# title = Transverse Momentum anti--Muon-Positron
# xlabel = $p_{\text{T},\mu^+\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  9.222864926729019E-03  5.334532978985710E-06 120100262	   1       0.00      20.00  9.222864926729019E-03  5.334532978985710E-06 120100262	   1       0.00      20.00  8.916204434746172E-03  5.000480292469179E-06 120100262	   1       0.00      20.00  8.916204434746172E-03  5.000480292469179E-06 120100262	   1       0.00      20.00  9.532935692010988E-03  5.723130043961912E-06 120100262	   1       0.00      20.00  9.532935692010988E-03  5.723130043961912E-06 120100262	   1       0.00      20.00  9.222864926729019E-03  5.334532978985710E-06 120100262
   2      20.00      40.00  2.282492534575563E-02  8.287466630316337E-06 298159577	   2      20.00      40.00  2.282492534575563E-02  8.287466630316337E-06 298159577	   2      20.00      40.00  2.205579320811097E-02  7.767234716321757E-06 298159577	   2      20.00      40.00  2.205579320811097E-02  7.767234716321757E-06 298159577	   2      20.00      40.00  2.360481516845942E-02  8.892654906630182E-06 298159577	   2      20.00      40.00  2.360481516845942E-02  8.892654906630182E-06 298159577	   2      20.00      40.00  2.282492534575563E-02  8.287466630316337E-06 298159577
   3      40.00      60.00  3.283478849688758E-02  9.719494816735788E-06 452418913	   3      40.00      60.00  3.283478849688758E-02  9.719494816735788E-06 452418913	   3      40.00      60.00  3.171453523782768E-02  9.107106452308702E-06 452418913	   3      40.00      60.00  3.171453523782768E-02  9.107106452308702E-06 452418913	   3      40.00      60.00  3.397424192608844E-02  1.043255910605218E-05 452418913	   3      40.00      60.00  3.397424192608844E-02  1.043255910605218E-05 452418913	   3      40.00      60.00  3.283478849688758E-02  9.719494816735788E-06 452418913
   4      60.00      80.00  3.497813941731628E-02  9.681601372003684E-06 498700284	   4      60.00      80.00  3.497813941731628E-02  9.681601372003684E-06 498700284	   4      60.00      80.00  3.374271558281149E-02  9.063532806822506E-06 498700284	   4      60.00      80.00  3.374271558281149E-02  9.063532806822506E-06 498700284	   4      60.00      80.00  3.624456475599015E-02  1.040233132873662E-05 498700284	   4      60.00      80.00  3.624456475599015E-02  1.040233132873662E-05 498700284	   4      60.00      80.00  3.497813941731628E-02  9.681601372003684E-06 498700284
   5      80.00     100.00  3.052447831524652E-02  8.743549549789692E-06 433655493	   5      80.00     100.00  3.052447831524652E-02  8.743549549789692E-06 433655493	   5      80.00     100.00  2.936919358094024E-02  8.170970145245584E-06 433655493	   5      80.00     100.00  2.936919358094024E-02  8.170970145245584E-06 433655493	   5      80.00     100.00  3.172586322006950E-02  9.413598604394985E-06 433655493	   5      80.00     100.00  3.172586322006950E-02  9.413598604394985E-06 433655493	   5      80.00     100.00  3.052447831524652E-02  8.743549549789692E-06 433655493
   6     100.00     120.00  2.428443093378409E-02  7.612655567680734E-06 365782919	   6     100.00     120.00  2.428443093378409E-02  7.612655567680734E-06 365782919	   6     100.00     120.00  2.328443149771609E-02  7.106466019461521E-06 365782919	   6     100.00     120.00  2.328443149771609E-02  7.106466019461521E-06 365782919	   6     100.00     120.00  2.534125888468819E-02  8.204237796809716E-06 365782919	   6     100.00     120.00  2.534125888468819E-02  8.204237796809716E-06 365782919	   6     100.00     120.00  2.428443093378409E-02  7.612655567680734E-06 365782919
   7     120.00     140.00  1.858357794037466E-02  6.412587823612613E-06 310269527	   7     120.00     140.00  1.858357794037466E-02  6.412587823612613E-06 310269527	   7     120.00     140.00  1.775347590717811E-02  5.974850911628488E-06 310269527	   7     120.00     140.00  1.775347590717811E-02  5.974850911628488E-06 310269527	   7     120.00     140.00  1.947360887504476E-02  6.925909652157890E-06 310269527	   7     120.00     140.00  1.947360887504476E-02  6.925909652157890E-06 310269527	   7     120.00     140.00  1.858357794037466E-02  6.412587823612613E-06 310269527
   8     140.00     160.00  1.406842582771968E-02  5.516204040912793E-06 265283589	   8     140.00     160.00  1.406842582771968E-02  5.516204040912793E-06 265283589	   8     140.00     160.00  1.339192542361695E-02  5.117293120290609E-06 265283589	   8     140.00     160.00  1.339192542361695E-02  5.117293120290609E-06 265283589	   8     140.00     160.00  1.480272133259728E-02  5.988250614570158E-06 265283589	   8     140.00     160.00  1.480272133259728E-02  5.988250614570158E-06 265283589	   8     140.00     160.00  1.406842582771968E-02  5.516204040912793E-06 265283589
   9     160.00     180.00  1.068091596818161E-02  4.514513944627332E-06 228790964	   9     160.00     180.00  1.068091596818161E-02  4.514513944627332E-06 228790964	   9     160.00     180.00  1.013389979613252E-02  4.191877522811081E-06 228790964	   9     160.00     180.00  1.013389979613252E-02  4.191877522811081E-06 228790964	   9     160.00     180.00  1.128058824494960E-02  4.894000344672040E-06 228790964	   9     160.00     180.00  1.128058824494960E-02  4.894000344672040E-06 228790964	   9     160.00     180.00  1.068091596818161E-02  4.514513944627332E-06 228790964
  10     180.00     200.00  8.195750611991969E-03  3.835604282864363E-06 199003533	  10     180.00     200.00  8.195750611991969E-03  3.835604282864363E-06 199003533	  10     180.00     200.00  7.751995037270723E-03  3.553426922686566E-06 199003533	  10     180.00     200.00  7.751995037270723E-03  3.553426922686566E-06 199003533	  10     180.00     200.00  8.686380208412829E-03  4.168804349011090E-06 199003533	  10     180.00     200.00  8.686380208412829E-03  4.168804349011090E-06 199003533	  10     180.00     200.00  8.195750611991969E-03  3.835604282864363E-06 199003533
