# title = Transverse Momentum anti--Muon-Positron
# xlabel = $p_{\text{T},\mu^+\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  7.759391545978914E-03  8.535371598593168E-05 147331095	   1       0.00      20.00  7.759391545978914E-03  8.535371598593168E-05 147331095	   1       0.00      20.00  7.535507074644337E-03  7.924623960253639E-05 147331095	   1       0.00      20.00  7.535507074644337E-03  7.924623960253639E-05 147331095	   1       0.00      20.00  7.980068957303899E-03  9.246583060384698E-05 147331095	   1       0.00      20.00  7.980068957303899E-03  9.246583060384698E-05 147331095	   1       0.00      20.00  7.759391545978914E-03  8.535371598593168E-05 147331095
   2      20.00      40.00  1.940232740350086E-02  1.247086758578598E-04 366446237	   2      20.00      40.00  1.940232740350086E-02  1.247086758578598E-04 366446237	   2      20.00      40.00  1.882473789045670E-02  1.159009903016299E-04 366446237	   2      20.00      40.00  1.882473789045670E-02  1.159009903016299E-04 366446237	   2      20.00      40.00  1.997637124832344E-02  1.349583699256614E-04 366446237	   2      20.00      40.00  1.997637124832344E-02  1.349583699256614E-04 366446237	   2      20.00      40.00  1.940232740350086E-02  1.247086758578598E-04 366446237
   3      40.00      60.00  2.770558074007226E-02  1.825089122523189E-04 557461106	   3      40.00      60.00  2.770558074007226E-02  1.825089122523189E-04 557461106	   3      40.00      60.00  2.686992230823065E-02  1.690714393275264E-04 557461106	   3      40.00      60.00  2.686992230823065E-02  1.690714393275264E-04 557461106	   3      40.00      60.00  2.853904370245342E-02  1.981773810100235E-04 557461106	   3      40.00      60.00  2.853904370245342E-02  1.981773810100235E-04 557461106	   3      40.00      60.00  2.770558074007226E-02  1.825089122523189E-04 557461106
   4      60.00      80.00  2.970013129266184E-02  1.147996619847820E-04 617361101	   4      60.00      80.00  2.970013129266184E-02  1.147996619847820E-04 617361101	   4      60.00      80.00  2.876465048876927E-02  1.058389127851825E-04 617361101	   4      60.00      80.00  2.876465048876927E-02  1.058389127851825E-04 617361101	   4      60.00      80.00  3.064249927080763E-02  1.254753664838793E-04 617361101	   4      60.00      80.00  3.064249927080763E-02  1.254753664838793E-04 617361101	   4      60.00      80.00  2.970013129266184E-02  1.147996619847820E-04 617361101
   5      80.00     100.00  2.552749131672606E-02  1.130478173227537E-04 541946696	   5      80.00     100.00  2.552749131672606E-02  1.130478173227537E-04 541946696	   5      80.00     100.00  2.465875729273863E-02  1.045246499724683E-04 541946696	   5      80.00     100.00  2.465875729273863E-02  1.045246499724683E-04 541946696	   5      80.00     100.00  2.641809498080171E-02  1.231213063681460E-04 541946696	   5      80.00     100.00  2.641809498080171E-02  1.231213063681460E-04 541946696	   5      80.00     100.00  2.552749131672606E-02  1.130478173227537E-04 541946696
   6     100.00     120.00  1.996592287762968E-02  1.430569147602018E-04 461690750	   6     100.00     120.00  1.996592287762968E-02  1.430569147602018E-04 461690750	   6     100.00     120.00  1.922560269832880E-02  1.307924175067649E-04 461690750	   6     100.00     120.00  1.922560269832880E-02  1.307924175067649E-04 461690750	   6     100.00     120.00  2.073823874285984E-02  1.576785823767382E-04 461690750	   6     100.00     120.00  2.073823874285984E-02  1.576785823767382E-04 461690750	   6     100.00     120.00  1.996592287762968E-02  1.430569147602018E-04 461690750
   7     120.00     140.00  1.495573266278344E-02  9.688150356172750E-05 395091322	   7     120.00     140.00  1.495573266278344E-02  9.688150356172750E-05 395091322	   7     120.00     140.00  1.435610186583328E-02  8.885120096579496E-05 395091322	   7     120.00     140.00  1.435610186583328E-02  8.885120096579496E-05 395091322	   7     120.00     140.00  1.559047979523047E-02  1.064332784044675E-04 395091322	   7     120.00     140.00  1.559047979523047E-02  1.064332784044675E-04 395091322	   7     120.00     140.00  1.495573266278344E-02  9.688150356172750E-05 395091322
   8     140.00     160.00  1.121668184179091E-02  8.162824702152132E-05 340367262	   8     140.00     160.00  1.121668184179091E-02  8.162824702152132E-05 340367262	   8     140.00     160.00  1.072859027626257E-02  7.503197332820796E-05 340367262	   8     140.00     160.00  1.072859027626257E-02  7.503197332820796E-05 340367262	   8     140.00     160.00  1.174081518010518E-02  8.943896505429827E-05 340367262	   8     140.00     160.00  1.174081518010518E-02  8.943896505429827E-05 340367262	   8     140.00     160.00  1.121668184179091E-02  8.162824702152132E-05 340367262
   9     160.00     180.00  8.380015487072076E-03  6.976437320853364E-05 295564854	   9     160.00     180.00  8.380015487072076E-03  6.976437320853364E-05 295564854	   9     160.00     180.00  7.989044588251277E-03  6.386441164725690E-05 295564854	   9     160.00     180.00  7.989044588251277E-03  6.386441164725690E-05 295564854	   9     160.00     180.00  8.804618459916952E-03  7.677839576210027E-05 295564854	   9     160.00     180.00  8.804618459916952E-03  7.677839576210027E-05 295564854	   9     160.00     180.00  8.380015487072076E-03  6.976437320853364E-05 295564854
  10     180.00     200.00  6.201399548197946E-03  6.386306416731109E-05 258628436	  10     180.00     200.00  6.201399548197946E-03  6.386306416731109E-05 258628436	  10     180.00     200.00  5.896910741807888E-03  5.816697544582274E-05 258628436	  10     180.00     200.00  5.896910741807888E-03  5.816697544582274E-05 258628436	  10     180.00     200.00  6.534664737845449E-03  7.074278386549902E-05 258628436	  10     180.00     200.00  6.534664737845449E-03  7.074278386549902E-05 258628436	  10     180.00     200.00  6.201399548197946E-03  6.386306416731109E-05 258628436
