# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  6.571485687386604E-02  1.316157846680822E-05 1088911897	   2      20.00      40.00  6.571485687386604E-02  1.316157846680822E-05 1088911897	   2      20.00      40.00  6.331529683766063E-02  1.232249092216758E-05 1088911897	   2      20.00      40.00  6.331529683766063E-02  1.232249092216758E-05 1088911897	   2      20.00      40.00  6.819661841350108E-02  1.414034193480469E-05 1088911897	   2      20.00      40.00  6.819661841350108E-02  1.414034193480469E-05 1088911897	   2      20.00      40.00  6.571485687386604E-02  1.316157846680822E-05 1088911897
   3      40.00      60.00  5.001789266621089E-02  1.110786234115229E-05 844572353	   3      40.00      60.00  5.001789266621089E-02  1.110786234115229E-05 844572353	   3      40.00      60.00  4.813655298553981E-02  1.038589143519295E-05 844572353	   3      40.00      60.00  4.813655298553981E-02  1.038589143519295E-05 844572353	   3      40.00      60.00  5.197490212026096E-02  1.195156659632762E-05 844572353	   3      40.00      60.00  5.197490212026096E-02  1.195156659632762E-05 844572353	   3      40.00      60.00  5.001789266621089E-02  1.110786234115229E-05 844572353
   4      60.00      80.00  3.385053957954583E-02  9.017232129758927E-06 568710495	   4      60.00      80.00  3.385053957954583E-02  9.017232129758927E-06 568710495	   4      60.00      80.00  3.248874890675300E-02  8.428461224691634E-06 568710495	   4      60.00      80.00  3.248874890675300E-02  8.428461224691634E-06 568710495	   4      60.00      80.00  3.528479353766466E-02  9.704793554913837E-06 568710495	   4      60.00      80.00  3.528479353766466E-02  9.704793554913837E-06 568710495	   4      60.00      80.00  3.385053957954583E-02  9.017232129758927E-06 568710495
   5      80.00     100.00  2.303227652497982E-02  7.426229853974150E-06 414194048	   5      80.00     100.00  2.303227652497982E-02  7.426229853974150E-06 414194048	   5      80.00     100.00  2.203823681123111E-02  6.931584100510664E-06 414194048	   5      80.00     100.00  2.203823681123111E-02  6.931584100510664E-06 414194048	   5      80.00     100.00  2.409215507981786E-02  8.004978845580757E-06 414194048	   5      80.00     100.00  2.409215507981786E-02  8.004978845580757E-06 414194048	   5      80.00     100.00  2.303227652497982E-02  7.426229853974150E-06 414194048
   6     100.00     120.00  1.605940801310561E-02  6.131250096192521E-06 316706207	   6     100.00     120.00  1.605940801310561E-02  6.131250096192521E-06 316706207	   6     100.00     120.00  1.532131400709952E-02  5.717217682914450E-06 316706207	   6     100.00     120.00  1.532131400709952E-02  5.717217682914450E-06 316706207	   6     100.00     120.00  1.685461205261337E-02  6.616305233977731E-06 316706207	   6     100.00     120.00  1.685461205261337E-02  6.616305233977731E-06 316706207	   6     100.00     120.00  1.605940801310561E-02  6.131250096192521E-06 316706207
   7     120.00     140.00  1.150239902008909E-02  5.076962905814693E-06 250506674	   7     120.00     140.00  1.150239902008909E-02  5.076962905814693E-06 250506674	   7     120.00     140.00  1.094273159655069E-02  4.728809912095477E-06 250506674	   7     120.00     140.00  1.094273159655069E-02  4.728809912095477E-06 250506674	   7     120.00     140.00  1.211084381333621E-02  5.485049957766920E-06 250506674	   7     120.00     140.00  1.211084381333621E-02  5.485049957766920E-06 250506674	   7     120.00     140.00  1.150239902008909E-02  5.076962905814693E-06 250506674
   8     140.00     160.00  8.429437851905384E-03  4.278518726443965E-06 203285771	   8     140.00     160.00  8.429437851905384E-03  4.278518726443965E-06 203285771	   8     140.00     160.00  7.998202487344657E-03  3.978306701483166E-06 203285771	   8     140.00     160.00  7.998202487344657E-03  3.978306701483166E-06 203285771	   8     140.00     160.00  8.901873524375320E-03  4.631080166921517E-06 203285771	   8     140.00     160.00  8.901873524375320E-03  4.631080166921517E-06 203285771	   8     140.00     160.00  8.429437851905384E-03  4.278518726443965E-06 203285771
   9     160.00     180.00  6.303549571017039E-03  3.634688520142616E-06 168226692	   9     160.00     180.00  6.303549571017039E-03  3.634688520142616E-06 168226692	   9     160.00     180.00  5.965967789641199E-03  3.372170811602295E-06 168226692	   9     160.00     180.00  5.965967789641199E-03  3.372170811602295E-06 168226692	   9     160.00     180.00  6.675934803828148E-03  3.944102072865242E-06 168226692	   9     160.00     180.00  6.675934803828148E-03  3.944102072865242E-06 168226692	   9     160.00     180.00  6.303549571017039E-03  3.634688520142616E-06 168226692
  10     180.00     200.00  4.794077133688020E-03  3.112598999461077E-06 141411626	  10     180.00     200.00  4.794077133688020E-03  3.112598999461077E-06 141411626	  10     180.00     200.00  4.526940465200055E-03  2.885996762266188E-06 141411626	  10     180.00     200.00  4.526940465200055E-03  2.885996762266188E-06 141411626	  10     180.00     200.00  5.090458042459358E-03  3.379519404580381E-06 141411626	  10     180.00     200.00  5.090458042459358E-03  3.379519404580381E-06 141411626	  10     180.00     200.00  4.794077133688020E-03  3.112598999461077E-06 141411626
  11     200.00     220.00  3.702515341664499E-03  2.852734625658917E-06 120454203	  11     200.00     220.00  3.702515341664499E-03  2.852734625658917E-06 120454203	  11     200.00     220.00  3.488181403574521E-03  2.620127471595202E-06 120454203	  11     200.00     220.00  3.488181403574521E-03  2.620127471595202E-06 120454203	  11     200.00     220.00  3.941629557836126E-03  3.132645492255831E-06 120454203	  11     200.00     220.00  3.941629557836126E-03  3.132645492255831E-06 120454203	  11     200.00     220.00  3.702515341664499E-03  2.852734625658917E-06 120454203
  12     220.00     240.00  2.895071049768758E-03  2.337317457304813E-06 103690035	  12     220.00     240.00  2.895071049768758E-03  2.337317457304813E-06 103690035	  12     220.00     240.00  2.721650650877230E-03  2.161101868498356E-06 103690035	  12     220.00     240.00  2.721650650877230E-03  2.161101868498356E-06 103690035	  12     220.00     240.00  3.089477409039258E-03  2.545341901447241E-06 103690035	  12     220.00     240.00  3.089477409039258E-03  2.545341901447241E-06 103690035	  12     220.00     240.00  2.895071049768758E-03  2.337317457304813E-06 103690035
  13     240.00     260.00  2.290065963805928E-03  2.029893614834196E-06 90100895	  13     240.00     260.00  2.290065963805928E-03  2.029893614834196E-06 90100895	  13     240.00     260.00  2.148462825060359E-03  1.872442525793628E-06 90100895	  13     240.00     260.00  2.148462825060359E-03  1.872442525793628E-06 90100895	  13     240.00     260.00  2.449509308339937E-03  2.216454841183997E-06 90100895	  13     240.00     260.00  2.449509308339937E-03  2.216454841183997E-06 90100895	  13     240.00     260.00  2.290065963805928E-03  2.029893614834196E-06 90100895
  14     260.00     280.00  1.828938286171403E-03  1.740540063357233E-06 78896275	  14     260.00     280.00  1.828938286171403E-03  1.740540063357233E-06 78896275	  14     260.00     280.00  1.712527654403838E-03  1.604684558098412E-06 78896275	  14     260.00     280.00  1.712527654403838E-03  1.604684558098412E-06 78896275	  14     260.00     280.00  1.960542863146236E-03  1.901516376331084E-06 78896275	  14     260.00     280.00  1.960542863146236E-03  1.901516376331084E-06 78896275	  14     260.00     280.00  1.828938286171403E-03  1.740540063357233E-06 78896275
  15     280.00     300.00  1.470563323558898E-03  1.620378616399890E-06 69565787	  15     280.00     300.00  1.470563323558898E-03  1.620378616399890E-06 69565787	  15     280.00     300.00  1.374321745362444E-03  1.490515829008339E-06 69565787	  15     280.00     300.00  1.374321745362444E-03  1.490515829008339E-06 69565787	  15     280.00     300.00  1.579779998809019E-03  1.774707413812309E-06 69565787	  15     280.00     300.00  1.579779998809019E-03  1.774707413812309E-06 69565787	  15     280.00     300.00  1.470563323558898E-03  1.620378616399890E-06 69565787
  16     300.00     320.00  1.191097261540658E-03  1.365483321573649E-06 61709075	  16     300.00     320.00  1.191097261540658E-03  1.365483321573649E-06 61709075	  16     300.00     320.00  1.111011481958313E-03  1.253928923563157E-06 61709075	  16     300.00     320.00  1.111011481958313E-03  1.253928923563157E-06 61709075	  16     300.00     320.00  1.282322143405220E-03  1.498360314402207E-06 61709075	  16     300.00     320.00  1.282322143405220E-03  1.498360314402207E-06 61709075	  16     300.00     320.00  1.191097261540658E-03  1.365483321573649E-06 61709075
  17     320.00     340.00  9.706698837303211E-04  1.182889433473824E-06 55047494	  17     320.00     340.00  9.706698837303211E-04  1.182889433473824E-06 55047494	  17     320.00     340.00  9.038496957517120E-04  1.085219595410823E-06 55047494	  17     320.00     340.00  9.038496957517120E-04  1.085219595410823E-06 55047494	  17     320.00     340.00  1.047027082762573E-03  1.299360754646728E-06 55047494	  17     320.00     340.00  1.047027082762573E-03  1.299360754646728E-06 55047494	  17     320.00     340.00  9.706698837303211E-04  1.182889433473824E-06 55047494
  18     340.00     360.00  8.003621231765026E-04  1.065064926670453E-06 49346655	  18     340.00     360.00  8.003621231765026E-04  1.065064926670453E-06 49346655	  18     340.00     360.00  7.440724511219073E-04  9.772783572236884E-07 49346655	  18     340.00     360.00  7.440724511219073E-04  9.772783572236884E-07 49346655	  18     340.00     360.00  8.648666008688558E-04  1.169496241863574E-06 49346655	  18     340.00     360.00  8.648666008688558E-04  1.169496241863574E-06 49346655	  18     340.00     360.00  8.003621231765026E-04  1.065064926670453E-06 49346655
  19     360.00     380.00  6.596701794976388E-04  9.280230073888462E-07 44423895	  19     360.00     380.00  6.596701794976388E-04  9.280230073888462E-07 44423895	  19     360.00     380.00  6.122473126743852E-04  8.501372499091935E-07 44423895	  19     360.00     380.00  6.122473126743852E-04  8.501372499091935E-07 44423895	  19     360.00     380.00  7.141725948916057E-04  1.020880564307988E-06 44423895	  19     360.00     380.00  7.141725948916057E-04  1.020880564307988E-06 44423895	  19     360.00     380.00  6.596701794976388E-04  9.280230073888462E-07 44423895
  20     380.00     400.00  5.484556261994321E-04  8.242657308486158E-07 40153470	  20     380.00     400.00  5.484556261994321E-04  8.242657308486158E-07 40153470	  20     380.00     400.00  5.082410803464436E-04  7.551965027164928E-07 40153470	  20     380.00     400.00  5.082410803464436E-04  7.551965027164928E-07 40153470	  20     380.00     400.00  5.947959744124792E-04  9.065655479048069E-07 40153470	  20     380.00     400.00  5.947959744124792E-04  9.065655479048069E-07 40153470	  20     380.00     400.00  5.484556261994321E-04  8.242657308486158E-07 40153470
