# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.540960426085583E-02  2.109036649206726E-04 1313025436	   2      20.00      40.00  5.540960426085583E-02  2.109036649206726E-04 1313025436	   2      20.00      40.00  5.361504697345678E-02  1.946936373824617E-04 1313025436	   2      20.00      40.00  5.361504697345678E-02  1.946936373824617E-04 1313025436	   2      20.00      40.00  5.723315571995234E-02  2.299579744735249E-04 1313025436	   2      20.00      40.00  5.723315571995234E-02  2.299579744735249E-04 1313025436	   2      20.00      40.00  5.540960426085583E-02  2.109036649206726E-04 1313025436
   3      40.00      60.00  4.147846261040589E-02  1.743229662408021E-04 1027299354	   3      40.00      60.00  4.147846261040589E-02  1.743229662408021E-04 1027299354	   3      40.00      60.00  4.009740411655291E-02  1.624457133460200E-04 1027299354	   3      40.00      60.00  4.009740411655291E-02  1.624457133460200E-04 1027299354	   3      40.00      60.00  4.289037635776844E-02  1.880909415355840E-04 1027299354	   3      40.00      60.00  4.289037635776844E-02  1.880909415355840E-04 1027299354	   3      40.00      60.00  4.147846261040589E-02  1.743229662408021E-04 1027299354
   4      60.00      80.00  2.788911148751589E-02  1.343265626693984E-04 699550709	   4      60.00      80.00  2.788911148751589E-02  1.343265626693984E-04 699550709	   4      60.00      80.00  2.688468916259957E-02  1.245554927952657E-04 699550709	   4      60.00      80.00  2.688468916259957E-02  1.245554927952657E-04 699550709	   4      60.00      80.00  2.893227567007254E-02  1.457385969035012E-04 699550709	   4      60.00      80.00  2.893227567007254E-02  1.457385969035012E-04 699550709	   4      60.00      80.00  2.788911148751589E-02  1.343265626693984E-04 699550709
   5      80.00     100.00  1.882562611813761E-02  1.309313113634286E-04 515113328	   5      80.00     100.00  1.882562611813761E-02  1.309313113634286E-04 515113328	   5      80.00     100.00  1.810015861293747E-02  1.186984421269652E-04 515113328	   5      80.00     100.00  1.810015861293747E-02  1.186984421269652E-04 515113328	   5      80.00     100.00  1.958780792989118E-02  1.456615980457379E-04 515113328	   5      80.00     100.00  1.958780792989118E-02  1.456615980457379E-04 515113328	   5      80.00     100.00  1.882562611813761E-02  1.309313113634286E-04 515113328
   6     100.00     120.00  1.285472247938563E-02  8.192170638346193E-05 397699630	   6     100.00     120.00  1.285472247938563E-02  8.192170638346193E-05 397699630	   6     100.00     120.00  1.232513125232442E-02  7.530106066766646E-05 397699630	   6     100.00     120.00  1.232513125232442E-02  7.530106066766646E-05 397699630	   6     100.00     120.00  1.341786434044602E-02  8.977590315959813E-05 397699630	   6     100.00     120.00  1.341786434044602E-02  8.977590315959813E-05 397699630	   6     100.00     120.00  1.285472247938563E-02  8.192170638346193E-05 397699630
   7     120.00     140.00  9.178851653640865E-03  7.598162362064055E-05 317313003	   7     120.00     140.00  9.178851653640865E-03  7.598162362064055E-05 317313003	   7     120.00     140.00  8.772561628999701E-03  7.015436774759318E-05 317313003	   7     120.00     140.00  8.772561628999701E-03  7.015436774759318E-05 317313003	   7     120.00     140.00  9.616155260809441E-03  8.284466814187941E-05 317313003	   7     120.00     140.00  9.616155260809441E-03  8.284466814187941E-05 317313003	   7     120.00     140.00  9.178851653640865E-03  7.598162362064055E-05 317313003
   8     140.00     160.00  6.528118786742886E-03  6.612510058482909E-05 259420450	   8     140.00     160.00  6.528118786742886E-03  6.612510058482909E-05 259420450	   8     140.00     160.00  6.227441341521220E-03  6.060925188240048E-05 259420450	   8     140.00     160.00  6.227441341521220E-03  6.060925188240048E-05 259420450	   8     140.00     160.00  6.853496541337658E-03  7.273466352997200E-05 259420450	   8     140.00     160.00  6.853496541337658E-03  7.273466352997200E-05 259420450	   8     140.00     160.00  6.528118786742886E-03  6.612510058482909E-05 259420450
   9     160.00     180.00  4.692900409827945E-03  7.990372653315650E-05 216155302	   9     160.00     180.00  4.692900409827945E-03  7.990372653315650E-05 216155302	   9     160.00     180.00  4.473462684677008E-03  7.182772060110960E-05 216155302	   9     160.00     180.00  4.473462684677008E-03  7.182772060110960E-05 216155302	   9     160.00     180.00  4.930488010836398E-03  8.974555304090513E-05 216155302	   9     160.00     180.00  4.930488010836398E-03  8.974555304090513E-05 216155302	   9     160.00     180.00  4.692900409827945E-03  7.990372653315650E-05 216155302
  10     180.00     200.00  3.640668075071623E-03  3.773951243217318E-05 182801455	  10     180.00     200.00  3.640668075071623E-03  3.773951243217318E-05 182801455	  10     180.00     200.00  3.454694042361180E-03  3.464710768898729E-05 182801455	  10     180.00     200.00  3.454694042361180E-03  3.464710768898729E-05 182801455	  10     180.00     200.00  3.845372826881904E-03  4.141935112135673E-05 182801455	  10     180.00     200.00  3.845372826881904E-03  4.141935112135673E-05 182801455	  10     180.00     200.00  3.640668075071623E-03  3.773951243217318E-05 182801455
