# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  6.720224408558792E-02  2.757516192367457E-05 256643619	   5      20.00      25.00  6.720224408558792E-02  2.757516192367457E-05 256643619	   5      20.00      25.00  6.471858900514052E-02  2.582660787804176E-05 256643619	   5      20.00      25.00  6.471858900514052E-02  2.582660787804176E-05 256643619	   5      20.00      25.00  6.977715873512275E-02  2.961184051834099E-05 256643619	   5      20.00      25.00  6.977715873512275E-02  2.961184051834099E-05 256643619	   5      20.00      25.00  6.720224408558792E-02  2.757516192367457E-05 256643619
   6      25.00      30.00  6.811010412179362E-02  2.687478351698580E-05 276126230	   6      25.00      30.00  6.811010412179362E-02  2.687478351698580E-05 276126230	   6      25.00      30.00  6.563128236103855E-02  2.517073300769777E-05 276126230	   6      25.00      30.00  6.563128236103855E-02  2.517073300769777E-05 276126230	   6      25.00      30.00  7.067224497028027E-02  2.886102479685260E-05 276126230	   6      25.00      30.00  7.067224497028027E-02  2.886102479685260E-05 276126230	   6      25.00      30.00  6.811010412179362E-02  2.687478351698580E-05 276126230
   7      30.00      35.00  6.576392787509899E-02  2.594974440259520E-05 281853969	   7      30.00      35.00  6.576392787509899E-02  2.594974440259520E-05 281853969	   7      30.00      35.00  6.337977170492320E-02  2.428775538709864E-05 281853969	   7      30.00      35.00  6.337977170492320E-02  2.428775538709864E-05 281853969	   7      30.00      35.00  6.822622259865889E-02  2.789194230589727E-05 281853969	   7      30.00      35.00  6.822622259865889E-02  2.789194230589727E-05 281853969	   7      30.00      35.00  6.576392787509899E-02  2.594974440259520E-05 281853969
   8      35.00      40.00  6.178315141304416E-02  2.486190270953595E-05 274288079	   8      35.00      40.00  6.178315141304416E-02  2.486190270953595E-05 274288079	   8      35.00      40.00  5.953154427959011E-02  2.326615130546814E-05 274288079	   8      35.00      40.00  5.953154427959011E-02  2.326615130546814E-05 274288079	   8      35.00      40.00  6.411084735002684E-02  2.672414494731739E-05 274288079	   8      35.00      40.00  6.411084735002684E-02  2.672414494731739E-05 274288079	   8      35.00      40.00  6.178315141304416E-02  2.486190270953595E-05 274288079
   9      40.00      45.00  5.718003983860118E-02  2.403675527537416E-05 248890423	   9      40.00      45.00  5.718003983860118E-02  2.403675527537416E-05 248890423	   9      40.00      45.00  5.507288284294990E-02  2.247655773903445E-05 248890423	   9      40.00      45.00  5.507288284294990E-02  2.247655773903445E-05 248890423	   9      40.00      45.00  5.936330007995368E-02  2.585971831940314E-05 248890423	   9      40.00      45.00  5.936330007995368E-02  2.585971831940314E-05 248890423	   9      40.00      45.00  5.718003983860118E-02  2.403675527537416E-05 248890423
  10      45.00      50.00  5.226728297100126E-02  2.278669509564020E-05 220507379	  10      45.00      50.00  5.226728297100126E-02  2.278669509564020E-05 220507379	  10      45.00      50.00  5.031465442391496E-02  2.130152646416374E-05 220507379	  10      45.00      50.00  5.031465442391496E-02  2.130152646416374E-05 220507379	  10      45.00      50.00  5.429583241781955E-02  2.452322575585589E-05 220507379	  10      45.00      50.00  5.429583241781955E-02  2.452322575585589E-05 220507379	  10      45.00      50.00  5.226728297100126E-02  2.278669509564020E-05 220507379
