# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  5.740291040352399E-02  4.081885785755862E-04 317638972	   5      20.00      25.00  5.740291040352399E-02  4.081885785755862E-04 317638972	   5      20.00      25.00  5.549454851833383E-02  3.799397595997521E-04 317638972	   5      20.00      25.00  5.549454851833383E-02  3.799397595997521E-04 317638972	   5      20.00      25.00  5.935412981121616E-02  4.409749190892865E-04 317638972	   5      20.00      25.00  5.935412981121616E-02  4.409749190892865E-04 317638972	   5      20.00      25.00  5.740291040352399E-02  4.081885785755862E-04 317638972
   6      25.00      30.00  5.675810469048258E-02  5.888185007046611E-04 342766349	   6      25.00      30.00  5.675810469048258E-02  5.888185007046611E-04 342766349	   6      25.00      30.00  5.495717787939264E-02  5.404556718654815E-04 342766349	   6      25.00      30.00  5.495717787939264E-02  5.404556718654815E-04 342766349	   6      25.00      30.00  5.857992471346526E-02  6.456888701509614E-04 342766349	   6      25.00      30.00  5.857992471346526E-02  6.456888701509614E-04 342766349	   6      25.00      30.00  5.675810469048258E-02  5.888185007046611E-04 342766349
   7      30.00      35.00  5.532747159368484E-02  3.407852551175138E-04 351202425	   7      30.00      35.00  5.532747159368484E-02  3.407852551175138E-04 351202425	   7      30.00      35.00  5.355329455305999E-02  3.151162632607232E-04 351202425	   7      30.00      35.00  5.355329455305999E-02  3.151162632607232E-04 351202425	   7      30.00      35.00  5.712582252688965E-02  3.713514048975605E-04 351202425	   7      30.00      35.00  5.712582252688965E-02  3.713514048975605E-04 351202425	   7      30.00      35.00  5.532747159368484E-02  3.407852551175138E-04 351202425
   8      35.00      40.00  5.214993035575787E-02  3.038448361792753E-04 343576668	   8      35.00      40.00  5.214993035575787E-02  3.038448361792753E-04 343576668	   8      35.00      40.00  5.045516694301674E-02  2.819335175391787E-04 343576668	   8      35.00      40.00  5.045516694301674E-02  2.819335175391787E-04 343576668	   8      35.00      40.00  5.387274582817554E-02  3.296139068758872E-04 343576668	   8      35.00      40.00  5.387274582817554E-02  3.296139068758872E-04 343576668	   8      35.00      40.00  5.214993035575787E-02  3.038448361792753E-04 343576668
   9      40.00      45.00  4.805198345339945E-02  3.130886083242272E-04 313748143	   9      40.00      45.00  4.805198345339945E-02  3.130886083242272E-04 313748143	   9      40.00      45.00  4.647123529845367E-02  2.906674074170576E-04 313748143	   9      40.00      45.00  4.647123529845367E-02  2.906674074170576E-04 313748143	   9      40.00      45.00  4.966492297186196E-02  3.393221479382085E-04 313748143	   9      40.00      45.00  4.966492297186196E-02  3.393221479382085E-04 313748143	   9      40.00      45.00  4.805198345339945E-02  3.130886083242272E-04 313748143
  10      45.00      50.00  4.358882171907817E-02  2.966929959547086E-04 279908553	  10      45.00      50.00  4.358882171907817E-02  2.966929959547086E-04 279908553	  10      45.00      50.00  4.215544856244915E-02  2.730761783586027E-04 279908553	  10      45.00      50.00  4.215544856244915E-02  2.730761783586027E-04 279908553	  10      45.00      50.00  4.504941726390850E-02  3.247930451152704E-04 279908553	  10      45.00      50.00  4.504941726390850E-02  3.247930451152704E-04 279908553	  10      45.00      50.00  4.358882171907817E-02  2.966929959547086E-04 279908553
