# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  4.399661408504060E-02  9.291810895476903E-06 701840664	   3      40.00      60.00  4.399661408504060E-02  9.291810895476903E-06 701840664	   3      40.00      60.00  4.255527907441849E-02  8.722963894883415E-06 701840664	   3      40.00      60.00  4.255527907441849E-02  8.722963894883415E-06 701840664	   3      40.00      60.00  4.544452760235571E-02  9.951062338684462E-06 701840664	   3      40.00      60.00  4.544452760235571E-02  9.951062338684462E-06 701840664	   3      40.00      60.00  4.399661408504060E-02  9.291810895476903E-06 701840664
   4      60.00      80.00  4.061371247624782E-02  9.386438649383807E-06 633584833	   4      60.00      80.00  4.061371247624782E-02  9.386438649383807E-06 633584833	   4      60.00      80.00  3.922963654211196E-02  8.804948195702054E-06 633584833	   4      60.00      80.00  3.922963654211196E-02  8.804948195702054E-06 633584833	   4      60.00      80.00  4.201838375898963E-02  1.006227854403467E-05 633584833	   4      60.00      80.00  4.201838375898963E-02  1.006227854403467E-05 633584833	   4      60.00      80.00  4.061371247624782E-02  9.386438649383807E-06 633584833
   5      80.00     100.00  3.279362970320474E-02  8.917686114174648E-06 497942497	   5      80.00     100.00  3.279362970320474E-02  8.917686114174648E-06 497942497	   5      80.00     100.00  3.159365616337958E-02  8.355696391291142E-06 497942497	   5      80.00     100.00  3.159365616337958E-02  8.355696391291142E-06 497942497	   5      80.00     100.00  3.403149638475785E-02  9.571641179270400E-06 497942497	   5      80.00     100.00  3.403149638475785E-02  9.571641179270400E-06 497942497	   5      80.00     100.00  3.279362970320474E-02  8.917686114174648E-06 497942497
   6     100.00     120.00  2.501075665785484E-02  8.052858411634521E-06 393739892	   6     100.00     120.00  2.501075665785484E-02  8.052858411634521E-06 393739892	   6     100.00     120.00  2.401463428593702E-02  7.534969189355125E-06 393739892	   6     100.00     120.00  2.401463428593702E-02  7.534969189355125E-06 393739892	   6     100.00     120.00  2.605652652069372E-02  8.656666850096154E-06 393739892	   6     100.00     120.00  2.605652652069372E-02  8.656666850096154E-06 393739892	   6     100.00     120.00  2.501075665785484E-02  8.052858411634521E-06 393739892
   7     120.00     140.00  1.897683803748337E-02  7.182382773916642E-06 321151966	   7     120.00     140.00  1.897683803748337E-02  7.182382773916642E-06 321151966	   7     120.00     140.00  1.815753868353325E-02  6.709029820569678E-06 321151966	   7     120.00     140.00  1.815753868353325E-02  6.709029820569678E-06 321151966	   7     120.00     140.00  1.985029387093602E-02  7.735614386946876E-06 321151966	   7     120.00     140.00  1.985029387093602E-02  7.735614386946876E-06 321151966	   7     120.00     140.00  1.897683803748337E-02  7.182382773916642E-06 321151966
   8     140.00     160.00  1.457942851688731E-02  6.426694537237847E-06 268380251	   8     140.00     160.00  1.457942851688731E-02  6.426694537237847E-06 268380251	   8     140.00     160.00  1.390483483730248E-02  5.989480106924431E-06 268380251	   8     140.00     160.00  1.390483483730248E-02  5.989480106924431E-06 268380251	   8     140.00     160.00  1.530754124203770E-02  6.939634742314308E-06 268380251	   8     140.00     160.00  1.530754124203770E-02  6.939634742314308E-06 268380251	   8     140.00     160.00  1.457942851688731E-02  6.426694537237847E-06 268380251
   9     160.00     180.00  1.135936367747046E-02  5.652936823969902E-06 228132062	   9     160.00     180.00  1.135936367747046E-02  5.652936823969902E-06 228132062	   9     160.00     180.00  1.080252094097378E-02  5.261482268347678E-06 228132062	   9     160.00     180.00  1.080252094097378E-02  5.261482268347678E-06 228132062	   9     160.00     180.00  1.196628070263010E-02  6.112791377335053E-06 228132062	   9     160.00     180.00  1.196628070263010E-02  6.112791377335053E-06 228132062	   9     160.00     180.00  1.135936367747046E-02  5.652936823969902E-06 228132062
  10     180.00     200.00  8.990028726121353E-03  5.039540188555987E-06 196395412	  10     180.00     200.00  8.990028726121353E-03  5.039540188555987E-06 196395412	  10     180.00     200.00  8.526370037926943E-03  4.682346143936468E-06 196395412	  10     180.00     200.00  8.526370037926943E-03  4.682346143936468E-06 196395412	  10     180.00     200.00  9.499596461646902E-03  5.460209702935595E-06 196395412	  10     180.00     200.00  9.499596461646902E-03  5.460209702935595E-06 196395412	  10     180.00     200.00  8.990028726121353E-03  5.039540188555987E-06 196395412
  11     200.00     220.00  7.181642007600477E-03  4.458879311191444E-06 170770575	  11     200.00     220.00  7.181642007600477E-03  4.458879311191444E-06 170770575	  11     200.00     220.00  6.794106286607359E-03  4.136536158735769E-06 170770575	  11     200.00     220.00  6.794106286607359E-03  4.136536158735769E-06 170770575	  11     200.00     220.00  7.610607445765744E-03  4.839199246863890E-06 170770575	  11     200.00     220.00  7.610607445765744E-03  4.839199246863890E-06 170770575	  11     200.00     220.00  7.181642007600477E-03  4.458879311191444E-06 170770575
  12     220.00     240.00  5.786040584773201E-03  3.943081294325371E-06 149720394	  12     220.00     240.00  5.786040584773201E-03  3.943081294325371E-06 149720394	  12     220.00     240.00  5.461428804697870E-03  3.654036843057993E-06 149720394	  12     220.00     240.00  5.461428804697870E-03  3.654036843057993E-06 149720394	  12     220.00     240.00  6.147497415329107E-03  4.284462568054380E-06 149720394	  12     220.00     240.00  6.147497415329107E-03  4.284462568054380E-06 149720394	  12     220.00     240.00  5.786040584773201E-03  3.943081294325371E-06 149720394
  13     240.00     260.00  4.700742772759951E-03  3.490463997100791E-06 132181340	  13     240.00     260.00  4.700742772759951E-03  3.490463997100791E-06 132181340	  13     240.00     260.00  4.427471174811337E-03  3.231610670213432E-06 132181340	  13     240.00     260.00  4.427471174811337E-03  3.231610670213432E-06 132181340	  13     240.00     260.00  5.006638658368850E-03  3.796445083578421E-06 132181340	  13     240.00     260.00  5.006638658368850E-03  3.796445083578421E-06 132181340	  13     240.00     260.00  4.700742772759951E-03  3.490463997100791E-06 132181340
  14     260.00     280.00  3.854636657379680E-03  3.125619675310129E-06 117428454	  14     260.00     280.00  3.854636657379680E-03  3.125619675310129E-06 117428454	  14     260.00     280.00  3.623014494015161E-03  2.889861613378855E-06 117428454	  14     260.00     280.00  3.623014494015161E-03  2.889861613378855E-06 117428454	  14     260.00     280.00  4.115172566169918E-03  3.404791184404916E-06 117428454	  14     260.00     280.00  4.115172566169918E-03  3.404791184404916E-06 117428454	  14     260.00     280.00  3.854636657379680E-03  3.125619675310129E-06 117428454
  15     280.00     300.00  3.175251428804288E-03  2.785189458199862E-06 104884521	  15     280.00     300.00  3.175251428804288E-03  2.785189458199862E-06 104884521	  15     280.00     300.00  2.978492860204759E-03  2.571895988044164E-06 104884521	  15     280.00     300.00  2.978492860204759E-03  2.571895988044164E-06 104884521	  15     280.00     300.00  3.397557771449651E-03  3.038349270510732E-06 104884521	  15     280.00     300.00  3.397557771449651E-03  3.038349270510732E-06 104884521	  15     280.00     300.00  3.175251428804288E-03  2.785189458199862E-06 104884521
  16     300.00     320.00  2.637267879718886E-03  2.713015333950510E-06 94107623	  16     300.00     320.00  2.637267879718886E-03  2.713015333950510E-06 94107623	  16     300.00     320.00  2.469283035964159E-03  2.481679233044951E-06 94107623	  16     300.00     320.00  2.469283035964159E-03  2.481679233044951E-06 94107623	  16     300.00     320.00  2.827796125359034E-03  2.992808098944772E-06 94107623	  16     300.00     320.00  2.827796125359034E-03  2.992808098944772E-06 94107623	  16     300.00     320.00  2.637267879718886E-03  2.713015333950510E-06 94107623
  17     320.00     340.00  2.197425578186078E-03  2.249323138595682E-06 84827210	  17     320.00     340.00  2.197425578186078E-03  2.249323138595682E-06 84827210	  17     320.00     340.00  2.053966275462390E-03  2.073328504069854E-06 84827210	  17     320.00     340.00  2.053966275462390E-03  2.073328504069854E-06 84827210	  17     320.00     340.00  2.360678266110698E-03  2.458400369539444E-06 84827210	  17     320.00     340.00  2.360678266110698E-03  2.458400369539444E-06 84827210	  17     320.00     340.00  2.197425578186078E-03  2.249323138595682E-06 84827210
  18     340.00     360.00  1.839558664133723E-03  2.014813148608362E-06 76748935	  18     340.00     360.00  1.839558664133723E-03  2.014813148608362E-06 76748935	  18     340.00     360.00  1.716739760927612E-03  1.857306616564714E-06 76748935	  18     340.00     360.00  1.716739760927612E-03  1.857306616564714E-06 76748935	  18     340.00     360.00  1.979738375446022E-03  2.201593006126725E-06 76748935	  18     340.00     360.00  1.979738375446022E-03  2.201593006126725E-06 76748935	  18     340.00     360.00  1.839558664133723E-03  2.014813148608362E-06 76748935
