# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  3.783334278514196E-02  1.017014956721012E-04 855241525	   3      40.00      60.00  3.783334278514196E-02  1.017014956721012E-04 855241525	   3      40.00      60.00  3.672523024693972E-02  9.417011084154689E-05 855241525	   3      40.00      60.00  3.672523024693972E-02  9.417011084154689E-05 855241525	   3      40.00      60.00  3.892610303298647E-02  1.106053452357926E-04 855241525	   3      40.00      60.00  3.892610303298647E-02  1.106053452357926E-04 855241525	   3      40.00      60.00  3.783334278514196E-02  1.017014956721012E-04 855241525
   4      60.00      80.00  3.448323676267730E-02  1.284822042976242E-04 776758143	   4      60.00      80.00  3.448323676267730E-02  1.284822042976242E-04 776758143	   4      60.00      80.00  3.343730487573901E-02  1.192342994039291E-04 776758143	   4      60.00      80.00  3.343730487573901E-02  1.192342994039291E-04 776758143	   4      60.00      80.00  3.552504154540683E-02  1.392817611037484E-04 776758143	   4      60.00      80.00  3.552504154540683E-02  1.392817611037484E-04 776758143	   4      60.00      80.00  3.448323676267730E-02  1.284822042976242E-04 776758143
   5      80.00     100.00  2.747354564022564E-02  1.234595048994458E-04 616034975	   5      80.00     100.00  2.747354564022564E-02  1.234595048994458E-04 616034975	   5      80.00     100.00  2.657817860489982E-02  1.141702093612487E-04 616034975	   5      80.00     100.00  2.657817860489982E-02  1.141702093612487E-04 616034975	   5      80.00     100.00  2.838136972858409E-02  1.343869309929197E-04 616034975	   5      80.00     100.00  2.838136972858409E-02  1.343869309929197E-04 616034975	   5      80.00     100.00  2.747354564022564E-02  1.234595048994458E-04 616034975
   6     100.00     120.00  2.079621516118986E-02  1.207563065281912E-04 491611806	   6     100.00     120.00  2.079621516118986E-02  1.207563065281912E-04 491611806	   6     100.00     120.00  2.005105243074962E-02  1.120262788801488E-04 491611806	   6     100.00     120.00  2.005105243074962E-02  1.120262788801488E-04 491611806	   6     100.00     120.00  2.156813002476499E-02  1.309679619667766E-04 491611806	   6     100.00     120.00  2.156813002476499E-02  1.309679619667766E-04 491611806	   6     100.00     120.00  2.079621516118986E-02  1.207563065281912E-04 491611806
   7     120.00     140.00  1.558674035455049E-02  8.042086118948000E-05 403989516	   7     120.00     140.00  1.558674035455049E-02  8.042086118948000E-05 403989516	   7     120.00     140.00  1.497376669733658E-02  7.440450421954107E-05 403989516	   7     120.00     140.00  1.497376669733658E-02  7.440450421954107E-05 403989516	   7     120.00     140.00  1.623368966981375E-02  8.752878025517111E-05 403989516	   7     120.00     140.00  1.623368966981375E-02  8.752878025517111E-05 403989516	   7     120.00     140.00  1.558674035455049E-02  8.042086118948000E-05 403989516
   8     140.00     160.00  1.176202256963715E-02  8.731519332197015E-05 339630907	   8     140.00     160.00  1.176202256963715E-02  8.731519332197015E-05 339630907	   8     140.00     160.00  1.126762994379917E-02  8.037054109028303E-05 339630907	   8     140.00     160.00  1.126762994379917E-02  8.037054109028303E-05 339630907	   8     140.00     160.00  1.229047818099545E-02  9.558443201908495E-05 339630907	   8     140.00     160.00  1.229047818099545E-02  9.558443201908495E-05 339630907	   8     140.00     160.00  1.176202256963715E-02  8.731519332197015E-05 339630907
   9     160.00     180.00  8.747962452270453E-03  1.681318763110580E-04 290285529	   9     160.00     180.00  8.747962452270453E-03  1.681318763110580E-04 290285529	   9     160.00     180.00  8.368256676794592E-03  1.531641805424537E-04 290285529	   9     160.00     180.00  8.368256676794592E-03  1.531641805424537E-04 290285529	   9     160.00     180.00  9.155873238811587E-03  1.859380707286375E-04 290285529	   9     160.00     180.00  9.155873238811587E-03  1.859380707286375E-04 290285529	   9     160.00     180.00  8.747962452270453E-03  1.681318763110580E-04 290285529
  10     180.00     200.00  7.137603556720547E-03  6.403212279695617E-05 251045382	  10     180.00     200.00  7.137603556720547E-03  6.403212279695617E-05 251045382	  10     180.00     200.00  6.801190172667477E-03  5.892164322219912E-05 251045382	  10     180.00     200.00  6.801190172667477E-03  5.892164322219912E-05 251045382	  10     180.00     200.00  7.504180188419340E-03  7.011899096739605E-05 251045382	  10     180.00     200.00  7.504180188419340E-03  7.011899096739605E-05 251045382	  10     180.00     200.00  7.137603556720547E-03  6.403212279695617E-05 251045382
  11     200.00     220.00  5.573299825397784E-03  6.262256799729325E-05 219220928	  11     200.00     220.00  5.573299825397784E-03  6.262256799729325E-05 219220928	  11     200.00     220.00  5.295568422726418E-03  5.754426913499193E-05 219220928	  11     200.00     220.00  5.295568422726418E-03  5.754426913499193E-05 219220928	  11     200.00     220.00  5.879005749428250E-03  6.864467988657421E-05 219220928	  11     200.00     220.00  5.879005749428250E-03  6.864467988657421E-05 219220928	  11     200.00     220.00  5.573299825397784E-03  6.262256799729325E-05 219220928
  12     220.00     240.00  4.435493112628236E-03  6.429991791998975E-05 192893627	  12     220.00     240.00  4.435493112628236E-03  6.429991791998975E-05 192893627	  12     220.00     240.00  4.202670076212493E-03  5.965857450341535E-05 192893627	  12     220.00     240.00  4.202670076212493E-03  5.965857450341535E-05 192893627	  12     220.00     240.00  4.694120937016243E-03  6.969005031010000E-05 192893627	  12     220.00     240.00  4.694120937016243E-03  6.969005031010000E-05 192893627	  12     220.00     240.00  4.435493112628236E-03  6.429991791998975E-05 192893627
  13     240.00     260.00  3.450750835301107E-03  6.420426846669633E-05 170884904	  13     240.00     260.00  3.450750835301107E-03  6.420426846669633E-05 170884904	  13     240.00     260.00  3.268067505051884E-03  5.837220075292493E-05 170884904	  13     240.00     260.00  3.268067505051884E-03  5.837220075292493E-05 170884904	  13     240.00     260.00  3.653525065066661E-03  7.129719192637478E-05 170884904	  13     240.00     260.00  3.653525065066661E-03  7.129719192637478E-05 170884904	  13     240.00     260.00  3.450750835301107E-03  6.420426846669633E-05 170884904
  14     260.00     280.00  2.852224422477613E-03  5.544056876989027E-05 152247376	  14     260.00     280.00  2.852224422477613E-03  5.544056876989027E-05 152247376	  14     260.00     280.00  2.692032977352303E-03  5.112299057961280E-05 152247376	  14     260.00     280.00  2.692032977352303E-03  5.112299057961280E-05 152247376	  14     260.00     280.00  3.031890610575361E-03  6.052135697186605E-05 152247376	  14     260.00     280.00  3.031890610575361E-03  6.052135697186605E-05 152247376	  14     260.00     280.00  2.852224422477613E-03  5.544056876989027E-05 152247376
  15     280.00     300.00  2.176393097614231E-03  8.029562453645272E-05 136331500	  15     280.00     300.00  2.176393097614231E-03  8.029562453645272E-05 136331500	  15     280.00     300.00  2.052827110991093E-03  7.493805098810906E-05 136331500	  15     280.00     300.00  2.052827110991093E-03  7.493805098810906E-05 136331500	  15     280.00     300.00  2.315018667351751E-03  8.645774913964095E-05 136331500	  15     280.00     300.00  2.315018667351751E-03  8.645774913964095E-05 136331500	  15     280.00     300.00  2.176393097614231E-03  8.029562453645272E-05 136331500
  16     300.00     320.00  1.898882394874240E-03  4.469376415249332E-05 122684242	  16     300.00     320.00  1.898882394874240E-03  4.469376415249332E-05 122684242	  16     300.00     320.00  1.786715316368857E-03  4.096389162708921E-05 122684242	  16     300.00     320.00  1.786715316368857E-03  4.096389162708921E-05 122684242	  16     300.00     320.00  2.025487483336621E-03  4.916043539843629E-05 122684242	  16     300.00     320.00  2.025487483336621E-03  4.916043539843629E-05 122684242	  16     300.00     320.00  1.898882394874240E-03  4.469376415249332E-05 122684242
  17     320.00     340.00  1.431875502049561E-03  4.765518415785490E-05 110865990	  17     320.00     340.00  1.431875502049561E-03  4.765518415785490E-05 110865990	  17     320.00     340.00  1.345905882378236E-03  4.406265914698850E-05 110865990	  17     320.00     340.00  1.345905882378236E-03  4.406265914698850E-05 110865990	  17     320.00     340.00  1.529122412393763E-03  5.189189836246591E-05 110865990	  17     320.00     340.00  1.529122412393763E-03  5.189189836246591E-05 110865990	  17     320.00     340.00  1.431875502049561E-03  4.765518415785490E-05 110865990
  18     340.00     360.00  1.254761092119237E-03  4.427305374964567E-05 100557435	  18     340.00     360.00  1.254761092119237E-03  4.427305374964567E-05 100557435	  18     340.00     360.00  1.178464067009197E-03  4.053125079373681E-05 100557435	  18     340.00     360.00  1.178464067009197E-03  4.053125079373681E-05 100557435	  18     340.00     360.00  1.341246395845913E-03  4.869702197002244E-05 100557435	  18     340.00     360.00  1.341246395845913E-03  4.869702197002244E-05 100557435	  18     340.00     360.00  1.254761092119237E-03  4.427305374964567E-05 100557435
