# title = Neutrino e Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\text{e}}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\text{e}}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  5.535764335926964E-03  6.225868811849899E-06 35469420	   1       0.00       5.00  5.535764335926964E-03  6.225868811849899E-06 35469420	   1       0.00       5.00  5.275298948273225E-03  5.802244339960083E-06 35469420	   1       0.00       5.00  5.275298948273225E-03  5.802244339960083E-06 35469420	   1       0.00       5.00  5.817450731720324E-03  6.721888316552532E-06 35469420	   1       0.00       5.00  5.817450731720324E-03  6.721888316552532E-06 35469420	   1       0.00       5.00  5.535764335926964E-03  6.225868811849899E-06 35469420
   2       5.00      10.00  1.800346766414341E-02  1.146553738781731E-05 96212267	   2       5.00      10.00  1.800346766414341E-02  1.146553738781731E-05 96212267	   2       5.00      10.00  1.719935575149769E-02  1.069541089065936E-05 96212267	   2       5.00      10.00  1.719935575149769E-02  1.069541089065936E-05 96212267	   2       5.00      10.00  1.886493727181773E-02  1.236724372316888E-05 96212267	   2       5.00      10.00  1.886493727181773E-02  1.236724372316888E-05 96212267	   2       5.00      10.00  1.800346766414341E-02  1.146553738781731E-05 96212267
   3      10.00      15.00  2.967375791956367E-02  1.506109421722571E-05 142149513	   3      10.00      15.00  2.967375791956367E-02  1.506109421722571E-05 142149513	   3      10.00      15.00  2.844033518774827E-02  1.407777184593069E-05 142149513	   3      10.00      15.00  2.844033518774827E-02  1.407777184593069E-05 142149513	   3      10.00      15.00  3.097864404387199E-02  1.620867396298202E-05 142149513	   3      10.00      15.00  3.097864404387199E-02  1.620867396298202E-05 142149513	   3      10.00      15.00  2.967375791956367E-02  1.506109421722571E-05 142149513
   4      15.00      20.00  3.847844625079722E-02  1.721056704698201E-05 177747572	   4      15.00      20.00  3.847844625079722E-02  1.721056704698201E-05 177747572	   4      15.00      20.00  3.696926986029112E-02  1.610122763336343E-05 177747572	   4      15.00      20.00  3.696926986029112E-02  1.610122763336343E-05 177747572	   4      15.00      20.00  4.005847536105604E-02  1.850367640503138E-05 177747572	   4      15.00      20.00  4.005847536105604E-02  1.850367640503138E-05 177747572	   4      15.00      20.00  3.847844625079722E-02  1.721056704698201E-05 177747572
   5      20.00      25.00  4.426158316135195E-02  1.850163215952169E-05 205654454	   5      20.00      25.00  4.426158316135195E-02  1.850163215952169E-05 205654454	   5      20.00      25.00  4.259374803127657E-02  1.730788409472878E-05 205654454	   5      20.00      25.00  4.259374803127657E-02  1.730788409472878E-05 205654454	   5      20.00      25.00  4.599480987469869E-02  1.989418780617079E-05 205654454	   5      20.00      25.00  4.599480987469869E-02  1.989418780617079E-05 205654454	   5      20.00      25.00  4.426158316135195E-02  1.850163215952169E-05 205654454
   6      25.00      30.00  4.750669769930670E-02  1.909542776707484E-05 226352218	   6      25.00      30.00  4.750669769930670E-02  1.909542776707484E-05 226352218	   6      25.00      30.00  4.576393259942597E-02  1.787190880500618E-05 226352218	   6      25.00      30.00  4.576393259942597E-02  1.787190880500618E-05 226352218	   6      25.00      30.00  4.930839685243817E-02  2.052244448239847E-05 226352218	   6      25.00      30.00  4.930839685243817E-02  2.052244448239847E-05 226352218	   6      25.00      30.00  4.750669769930670E-02  1.909542776707484E-05 226352218
   7      30.00      35.00  4.876455448700849E-02  1.949023235456779E-05 239167974	   7      30.00      35.00  4.876455448700849E-02  1.949023235456779E-05 239167974	   7      30.00      35.00  4.699936561156375E-02  1.823665574489847E-05 239167974	   7      30.00      35.00  4.699936561156375E-02  1.823665574489847E-05 239167974	   7      30.00      35.00  5.058479095703773E-02  2.095303962062894E-05 239167974	   7      30.00      35.00  5.058479095703773E-02  2.095303962062894E-05 239167974	   7      30.00      35.00  4.876455448700849E-02  1.949023235456779E-05 239167974
   8      35.00      40.00  4.847961577891943E-02  1.962037341519032E-05 241333154	   8      35.00      40.00  4.847961577891943E-02  1.962037341519032E-05 241333154	   8      35.00      40.00  4.673229055105002E-02  1.835826595750565E-05 241333154	   8      35.00      40.00  4.673229055105002E-02  1.835826595750565E-05 241333154	   8      35.00      40.00  5.027996366496958E-02  2.109298062268303E-05 241333154	   8      35.00      40.00  5.027996366496958E-02  2.109298062268303E-05 241333154	   8      35.00      40.00  4.847961577891943E-02  1.962037341519032E-05 241333154
   9      40.00      45.00  4.712135242917552E-02  1.968643935147085E-05 225078459	   9      40.00      45.00  4.712135242917552E-02  1.968643935147085E-05 225078459	   9      40.00      45.00  4.541836519078469E-02  1.842551961697295E-05 225078459	   9      40.00      45.00  4.541836519078469E-02  1.842551961697295E-05 225078459	   9      40.00      45.00  4.887708728303909E-02  2.115613488168568E-05 225078459	   9      40.00      45.00  4.887708728303909E-02  2.115613488168568E-05 225078459	   9      40.00      45.00  4.712135242917552E-02  1.968643935147085E-05 225078459
  10      45.00      50.00  4.502300349466926E-02  1.949514785603159E-05 203544180	  10      45.00      50.00  4.502300349466926E-02  1.949514785603159E-05 203544180	  10      45.00      50.00  4.338252163653782E-02  1.822104152858653E-05 203544180	  10      45.00      50.00  4.338252163653782E-02  1.822104152858653E-05 203544180	  10      45.00      50.00  4.671724779585055E-02  2.099055343923928E-05 203544180	  10      45.00      50.00  4.671724779585055E-02  2.099055343923928E-05 203544180	  10      45.00      50.00  4.502300349466926E-02  1.949514785603159E-05 203544180
