# title = Neutrino e Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\text{e}}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\text{e}}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  4.519755783034014E-03  5.737102026480081E-05 44733654	   1       0.00       5.00  4.519755783034014E-03  5.737102026480081E-05 44733654	   1       0.00       5.00  4.328021815629760E-03  5.275931378594811E-05 44733654	   1       0.00       5.00  4.328021815629760E-03  5.275931378594811E-05 44733654	   1       0.00       5.00  4.724666212008814E-03  6.285864986476499E-05 44733654	   1       0.00       5.00  4.724666212008814E-03  6.285864986476499E-05 44733654	   1       0.00       5.00  4.519755783034014E-03  5.737102026480081E-05 44733654
   2       5.00      10.00  1.470060903356496E-02  1.730661778909500E-04 117838150	   2       5.00      10.00  1.470060903356496E-02  1.730661778909500E-04 117838150	   2       5.00      10.00  1.410823559789546E-02  1.569784750857716E-04 117838150	   2       5.00      10.00  1.410823559789546E-02  1.569784750857716E-04 117838150	   2       5.00      10.00  1.532779190255032E-02  1.925830182708747E-04 117838150	   2       5.00      10.00  1.532779190255032E-02  1.925830182708747E-04 117838150	   2       5.00      10.00  1.470060903356496E-02  1.730661778909500E-04 117838150
   3      10.00      15.00  2.466243661601103E-02  1.908629969300754E-04 173771691	   3      10.00      15.00  2.466243661601103E-02  1.908629969300754E-04 173771691	   3      10.00      15.00  2.375041794431097E-02  1.743763108028383E-04 173771691	   3      10.00      15.00  2.375041794431097E-02  1.743763108028383E-04 173771691	   3      10.00      15.00  2.561050100285994E-02  2.107348177646888E-04 173771691	   3      10.00      15.00  2.561050100285994E-02  2.107348177646888E-04 173771691	   3      10.00      15.00  2.466243661601103E-02  1.908629969300754E-04 173771691
   4      15.00      20.00  3.224145796063872E-02  1.857442865949169E-04 217401452	   4      15.00      20.00  3.224145796063872E-02  1.857442865949169E-04 217401452	   4      15.00      20.00  3.111422689109324E-02  1.718372636769917E-04 217401452	   4      15.00      20.00  3.111422689109324E-02  1.718372636769917E-04 217401452	   4      15.00      20.00  3.340305303701169E-02  2.020938944271763E-04 217401452	   4      15.00      20.00  3.340305303701169E-02  2.020938944271763E-04 217401452	   4      15.00      20.00  3.224145796063872E-02  1.857442865949169E-04 217401452
   5      20.00      25.00  3.730102509874193E-02  1.913614517883627E-04 251906895	   5      20.00      25.00  3.730102509874193E-02  1.913614517883627E-04 251906895	   5      20.00      25.00  3.605256459195984E-02  1.768083277644062E-04 251906895	   5      20.00      25.00  3.605256459195984E-02  1.768083277644062E-04 251906895	   5      20.00      25.00  3.857577701183750E-02  2.085923559115385E-04 251906895	   5      20.00      25.00  3.857577701183750E-02  2.085923559115385E-04 251906895	   5      20.00      25.00  3.730102509874193E-02  1.913614517883627E-04 251906895
   6      25.00      30.00  4.042059525489399E-02  2.418129655708809E-04 277803848	   6      25.00      30.00  4.042059525489399E-02  2.418129655708809E-04 277803848	   6      25.00      30.00  3.909650642829317E-02  2.229389650576604E-04 277803848	   6      25.00      30.00  3.909650642829317E-02  2.229389650576604E-04 277803848	   6      25.00      30.00  4.176674113367624E-02  2.641609751631978E-04 277803848	   6      25.00      30.00  4.176674113367624E-02  2.641609751631978E-04 277803848	   6      25.00      30.00  4.042059525489399E-02  2.418129655708809E-04 277803848
   7      30.00      35.00  4.120566275222236E-02  3.502034533750946E-04 294332732	   7      30.00      35.00  4.120566275222236E-02  3.502034533750946E-04 294332732	   7      30.00      35.00  3.988367440988807E-02  3.256029896979561E-04 294332732	   7      30.00      35.00  3.988367440988807E-02  3.256029896979561E-04 294332732	   7      30.00      35.00  4.254386395574596E-02  3.787192846037754E-04 294332732	   7      30.00      35.00  4.254386395574596E-02  3.787192846037754E-04 294332732	   7      30.00      35.00  4.120566275222236E-02  3.502034533750946E-04 294332732
   8      35.00      40.00  4.041953474372725E-02  3.472141231008023E-04 298324812	   8      35.00      40.00  4.041953474372725E-02  3.472141231008023E-04 298324812	   8      35.00      40.00  3.914095077871240E-02  3.212605302569923E-04 298324812	   8      35.00      40.00  3.914095077871240E-02  3.212605302569923E-04 298324812	   8      35.00      40.00  4.170945311037430E-02  3.775505254602583E-04 298324812	   8      35.00      40.00  4.170945311037430E-02  3.775505254602583E-04 298324812	   8      35.00      40.00  4.041953474372725E-02  3.472141231008023E-04 298324812
   9      40.00      45.00  3.962155340106127E-02  2.734432395858666E-04 279800963	   9      40.00      45.00  3.962155340106127E-02  2.734432395858666E-04 279800963	   9      40.00      45.00  3.835223776015838E-02  2.527323193916146E-04 279800963	   9      40.00      45.00  3.835223776015838E-02  2.527323193916146E-04 279800963	   9      40.00      45.00  4.090675726016307E-02  2.977641119931535E-04 279800963	   9      40.00      45.00  4.090675726016307E-02  2.977641119931535E-04 279800963	   9      40.00      45.00  3.962155340106127E-02  2.734432395858666E-04 279800963
  10      45.00      50.00  3.740878819869515E-02  2.913152803559627E-04 254604121	  10      45.00      50.00  3.740878819869515E-02  2.913152803559627E-04 254604121	  10      45.00      50.00  3.621786584948013E-02  2.704060275639871E-04 254604121	  10      45.00      50.00  3.621786584948013E-02  2.704060275639871E-04 254604121	  10      45.00      50.00  3.861262214030951E-02  3.158158882364484E-04 254604121	  10      45.00      50.00  3.861262214030951E-02  3.158158882364484E-04 254604121	  10      45.00      50.00  3.740878819869515E-02  2.913152803559627E-04 254604121
