# title = Neutrino mu Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\mu}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\mu}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 7099658501
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  5.534414233500331E-03  6.139539462097384E-06 35482973	   1       0.00       5.00  5.534414233500331E-03  6.139539462097384E-06 35482973	   1       0.00       5.00  5.274064536898070E-03  5.720242781294596E-06 35482973	   1       0.00       5.00  5.274064536898070E-03  5.720242781294596E-06 35482973	   1       0.00       5.00  5.815974892701099E-03  6.631047264394552E-06 35482973	   1       0.00       5.00  5.815974892701099E-03  6.631047264394552E-06 35482973	   1       0.00       5.00  5.534414233500331E-03  6.139539462097384E-06 35482973
   2       5.00      10.00  1.800218322469677E-02  1.149284911930188E-05 96237231	   2       5.00      10.00  1.800218322469677E-02  1.149284911930188E-05 96237231	   2       5.00      10.00  1.719836345738637E-02  1.072977306927156E-05 96237231	   2       5.00      10.00  1.719836345738637E-02  1.072977306927156E-05 96237231	   2       5.00      10.00  1.886327142924216E-02  1.238376077042133E-05 96237231	   2       5.00      10.00  1.886327142924216E-02  1.238376077042133E-05 96237231	   2       5.00      10.00  1.800218322469677E-02  1.149284911930188E-05 96237231
   3      10.00      15.00  2.967053030747542E-02  1.507545212456074E-05 142189981	   3      10.00      15.00  2.967053030747542E-02  1.507545212456074E-05 142189981	   3      10.00      15.00  2.843749951971547E-02  1.409139496301056E-05 142189981	   3      10.00      15.00  2.843749951971547E-02  1.409139496301056E-05 142189981	   3      10.00      15.00  3.097495892737486E-02  1.622368543115773E-05 142189981	   3      10.00      15.00  3.097495892737486E-02  1.622368543115773E-05 142189981	   3      10.00      15.00  2.967053030747542E-02  1.507545212456074E-05 142189981
   4      15.00      20.00  3.848421389166894E-02  1.749602546063894E-05 177776171	   4      15.00      20.00  3.848421389166894E-02  1.749602546063894E-05 177776171	   4      15.00      20.00  3.697414318260709E-02  1.634559969391858E-05 177776171	   4      15.00      20.00  3.697414318260709E-02  1.634559969391858E-05 177776171	   4      15.00      20.00  4.006535965227949E-02  1.884180995519032E-05 177776171	   4      15.00      20.00  4.006535965227949E-02  1.884180995519032E-05 177776171	   4      15.00      20.00  3.848421389166894E-02  1.749602546063894E-05 177776171
   5      20.00      25.00  4.429895743086497E-02  1.854580492659719E-05 205690792	   5      20.00      25.00  4.429895743086497E-02  1.854580492659719E-05 205690792	   5      20.00      25.00  4.262993823522045E-02  1.734339777193887E-05 205690792	   5      20.00      25.00  4.262993823522045E-02  1.734339777193887E-05 205690792	   5      20.00      25.00  4.603336247853362E-02  1.995134587166615E-05 205690792	   5      20.00      25.00  4.603336247853362E-02  1.995134587166615E-05 205690792	   5      20.00      25.00  4.429895743086497E-02  1.854580492659719E-05 205690792
   6      25.00      30.00  4.753832380731950E-02  1.926076106041989E-05 226384396	   6      25.00      30.00  4.753832380731950E-02  1.926076106041989E-05 226384396	   6      25.00      30.00  4.579371705100632E-02  1.802112503243707E-05 226384396	   6      25.00      30.00  4.579371705100632E-02  1.802112503243707E-05 226384396	   6      25.00      30.00  4.934215026100013E-02  2.070766400384731E-05 226384396	   6      25.00      30.00  4.934215026100013E-02  2.070766400384731E-05 226384396	   6      25.00      30.00  4.753832380731950E-02  1.926076106041989E-05 226384396
   7      30.00      35.00  4.875234860295454E-02  1.930102456449909E-05 239227469	   7      30.00      35.00  4.875234860295454E-02  1.930102456449909E-05 239227469	   7      30.00      35.00  4.698896774763432E-02  1.807411570160368E-05 239227469	   7      30.00      35.00  4.698896774763432E-02  1.807411570160368E-05 239227469	   7      30.00      35.00  5.057033613655353E-02  2.073022079825332E-05 239227469	   7      30.00      35.00  5.057033613655353E-02  2.073022079825332E-05 239227469	   7      30.00      35.00  4.875234860295454E-02  1.930102456449909E-05 239227469
   8      35.00      40.00  4.850877034241110E-02  1.977740668710397E-05 241357785	   8      35.00      40.00  4.850877034241110E-02  1.977740668710397E-05 241357785	   8      35.00      40.00  4.675906515666589E-02  1.850178468657453E-05 241357785	   8      35.00      40.00  4.675906515666589E-02  1.850178468657453E-05 241357785	   8      35.00      40.00  5.031191406008118E-02  2.126563349249675E-05 241357785	   8      35.00      40.00  5.031191406008118E-02  2.126563349249675E-05 241357785	   8      35.00      40.00  4.850877034241110E-02  1.977740668710397E-05 241357785
   9      40.00      45.00  4.711713367564120E-02  1.956503887782359E-05 225111952	   9      40.00      45.00  4.711713367564120E-02  1.956503887782359E-05 225111952	   9      40.00      45.00  4.541330288776125E-02  1.831452433874022E-05 225111952	   9      40.00      45.00  4.541330288776125E-02  1.831452433874022E-05 225111952	   9      40.00      45.00  4.887399964652955E-02  2.102320624201064E-05 225111952	   9      40.00      45.00  4.887399964652955E-02  2.102320624201064E-05 225111952	   9      40.00      45.00  4.711713367564120E-02  1.956503887782359E-05 225111952
  10      45.00      50.00  4.501756759415215E-02  1.939412367134593E-05 203571212	  10      45.00      50.00  4.501756759415215E-02  1.939412367134593E-05 203571212	  10      45.00      50.00  4.337901747563620E-02  1.814984279700933E-05 203571212	  10      45.00      50.00  4.337901747563620E-02  1.814984279700933E-05 203571212	  10      45.00      50.00  4.670936492606787E-02  2.084605704183399E-05 203571212	  10      45.00      50.00  4.670936492606787E-02  2.084605704183399E-05 203571212	  10      45.00      50.00  4.501756759415215E-02  1.939412367134593E-05 203571212
