# title = Neutrino mu Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\mu}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\mu}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6885073
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  4.550586209183355E-03  5.911965556999396E-05 44704276	   1       0.00       5.00  4.550586209183355E-03  5.911965556999396E-05 44704276	   1       0.00       5.00  4.354669400626262E-03  5.493917953496980E-05 44704276	   1       0.00       5.00  4.354669400626262E-03  5.493917953496980E-05 44704276	   1       0.00       5.00  4.760596119271102E-03  6.397282395102184E-05 44704276	   1       0.00       5.00  4.760596119271102E-03  6.397282395102184E-05 44704276	   1       0.00       5.00  4.550586209183355E-03  5.911965556999396E-05 44704276
   2       5.00      10.00  1.467625238162865E-02  1.526940515234245E-04 117755105	   2       5.00      10.00  1.467625238162865E-02  1.526940515234245E-04 117755105	   2       5.00      10.00  1.408592408863780E-02  1.411144690941349E-04 117755105	   2       5.00      10.00  1.408592408863780E-02  1.411144690941349E-04 117755105	   2       5.00      10.00  1.530089373670495E-02  1.663146664571378E-04 117755105	   2       5.00      10.00  1.530089373670495E-02  1.663146664571378E-04 117755105	   2       5.00      10.00  1.467625238162865E-02  1.526940515234245E-04 117755105
   3      10.00      15.00  2.455798423151280E-02  1.908385178197909E-04 173605441	   3      10.00      15.00  2.455798423151280E-02  1.908385178197909E-04 173605441	   3      10.00      15.00  2.364245967196943E-02  1.763128914514920E-04 173605441	   3      10.00      15.00  2.364245967196943E-02  1.763128914514920E-04 173605441	   3      10.00      15.00  2.551272880265580E-02  2.081030607219608E-04 173605441	   3      10.00      15.00  2.551272880265580E-02  2.081030607219608E-04 173605441	   3      10.00      15.00  2.455798423151280E-02  1.908385178197909E-04 173605441
   4      15.00      20.00  3.210725409051313E-02  2.287801548737569E-04 217192923	   4      15.00      20.00  3.210725409051313E-02  2.287801548737569E-04 217192923	   4      15.00      20.00  3.099153715023736E-02  2.099398975294168E-04 217192923	   4      15.00      20.00  3.099153715023736E-02  2.099398975294168E-04 217192923	   4      15.00      20.00  3.325515246206721E-02  2.511731711518473E-04 217192923	   4      15.00      20.00  3.325515246206721E-02  2.511731711518473E-04 217192923	   4      15.00      20.00  3.210725409051313E-02  2.287801548737569E-04 217192923
   5      20.00      25.00  3.711413987331493E-02  2.351781571506345E-04 251647083	   5      20.00      25.00  3.711413987331493E-02  2.351781571506345E-04 251647083	   5      20.00      25.00  3.589281562992247E-02  2.145804764753895E-04 251647083	   5      20.00      25.00  3.589281562992247E-02  2.145804764753895E-04 251647083	   5      20.00      25.00  3.835495501063749E-02  2.600621612086572E-04 251647083	   5      20.00      25.00  3.835495501063749E-02  2.600621612086572E-04 251647083	   5      20.00      25.00  3.711413987331493E-02  2.351781571506345E-04 251647083
   6      25.00      30.00  3.999314447572127E-02  2.464116857959220E-04 277492329	   6      25.00      30.00  3.999314447572127E-02  2.464116857959220E-04 277492329	   6      25.00      30.00  3.869692984098861E-02  2.257873239931504E-04 277492329	   6      25.00      30.00  3.869692984098861E-02  2.257873239931504E-04 277492329	   6      25.00      30.00  4.130771340432391E-02  2.711991468890513E-04 277492329	   6      25.00      30.00  4.130771340432391E-02  2.711991468890513E-04 277492329	   6      25.00      30.00  3.999314447572127E-02  2.464116857959220E-04 277492329
   7      30.00      35.00  4.102837177432993E-02  2.400151139265763E-04 294021741	   7      30.00      35.00  4.102837177432993E-02  2.400151139265763E-04 294021741	   7      30.00      35.00  3.971133298910581E-02  2.215608576547822E-04 294021741	   7      30.00      35.00  3.971133298910581E-02  2.215608576547822E-04 294021741	   7      30.00      35.00  4.236138410004169E-02  2.618895110513478E-04 294021741	   7      30.00      35.00  4.236138410004169E-02  2.618895110513478E-04 294021741	   7      30.00      35.00  4.102837177432993E-02  2.400151139265763E-04 294021741
   8      35.00      40.00  4.145773938968353E-02  1.808443646353234E-04 297942490	   8      35.00      40.00  4.145773938968353E-02  1.808443646353234E-04 297942490	   8      35.00      40.00  4.010480997255142E-02  1.683754705071935E-04 297942490	   8      35.00      40.00  4.010480997255142E-02  1.683754705071935E-04 297942490	   8      35.00      40.00  4.283422506306533E-02  1.954378014813367E-04 297942490	   8      35.00      40.00  4.283422506306533E-02  1.954378014813367E-04 297942490	   8      35.00      40.00  4.145773938968353E-02  1.808443646353234E-04 297942490
   9      40.00      45.00  3.961767824540442E-02  2.504500276238013E-04 279502382	   9      40.00      45.00  3.961767824540442E-02  2.504500276238013E-04 279502382	   9      40.00      45.00  3.834571190491112E-02  2.311942579141491E-04 279502382	   9      40.00      45.00  3.834571190491112E-02  2.311942579141491E-04 279502382	   9      40.00      45.00  4.090615102710287E-02  2.730899683672180E-04 279502382	   9      40.00      45.00  4.090615102710287E-02  2.730899683672180E-04 279502382	   9      40.00      45.00  3.961767824540442E-02  2.504500276238013E-04 279502382
  10      45.00      50.00  3.777942289762013E-02  3.844807501743339E-04 254451676	  10      45.00      50.00  3.777942289762013E-02  3.844807501743339E-04 254451676	  10      45.00      50.00  3.656080183656389E-02  3.570553112809784E-04 254451676	  10      45.00      50.00  3.656080183656389E-02  3.570553112809784E-04 254451676	  10      45.00      50.00  3.901558911786516E-02  4.161650119758302E-04 254451676	  10      45.00      50.00  3.901558911786516E-02  4.161650119758302E-04 254451676	  10      45.00      50.00  3.777942289762013E-02  3.844807501743339E-04 254451676
  11      50.00      55.00  3.534154478699035E-02  2.689036104946146E-04 232639937	  11      50.00      55.00  3.534154478699035E-02  2.689036104946146E-04 232639937	  11      50.00      55.00  3.421250194605593E-02  2.482445708350924E-04 232639937	  11      50.00      55.00  3.421250194605593E-02  2.482445708350924E-04 232639937	  11      50.00      55.00  3.648330820606800E-02  2.931925457167886E-04 232639937	  11      50.00      55.00  3.648330820606800E-02  2.931925457167886E-04 232639937	  11      50.00      55.00  3.534154478699035E-02  2.689036104946146E-04 232639937
  12      55.00      60.00  3.302831916433976E-02  2.997771567332026E-04 213237284	  12      55.00      60.00  3.302831916433976E-02  2.997771567332026E-04 213237284	  12      55.00      60.00  3.193495839236512E-02  2.751840854994308E-04 213237284	  12      55.00      60.00  3.193495839236512E-02  2.751840854994308E-04 213237284	  12      55.00      60.00  3.414359375122786E-02  3.289809197220164E-04 213237284	  12      55.00      60.00  3.414359375122786E-02  3.289809197220164E-04 213237284	  12      55.00      60.00  3.302831916433976E-02  2.997771567332026E-04 213237284
  13      60.00      65.00  3.036741467055845E-02  2.188027091729241E-04 195611049	  13      60.00      65.00  3.036741467055845E-02  2.188027091729241E-04 195611049	  13      60.00      65.00  2.935307014242254E-02  2.034008202918389E-04 195611049	  13      60.00      65.00  2.935307014242254E-02  2.034008202918389E-04 195611049	  13      60.00      65.00  3.140358937037581E-02  2.368127843238968E-04 195611049	  13      60.00      65.00  3.140358937037581E-02  2.368127843238968E-04 195611049	  13      60.00      65.00  3.036741467055845E-02  2.188027091729241E-04 195611049
  14      65.00      70.00  2.821525602827175E-02  1.728631381304478E-04 179529990	  14      65.00      70.00  2.821525602827175E-02  1.728631381304478E-04 179529990	  14      65.00      70.00  2.724214132531813E-02  1.596828247249056E-04 179529990	  14      65.00      70.00  2.724214132531813E-02  1.596828247249056E-04 179529990	  14      65.00      70.00  2.921675933079222E-02  1.884878445212653E-04 179529990	  14      65.00      70.00  2.921675933079222E-02  1.884878445212653E-04 179529990	  14      65.00      70.00  2.821525602827175E-02  1.728631381304478E-04 179529990
  15      70.00      75.00  2.543752163769309E-02  2.002526986439014E-04 164692717	  15      70.00      75.00  2.543752163769309E-02  2.002526986439014E-04 164692717	  15      70.00      75.00  2.454598371247787E-02  1.868343944810856E-04 164692717	  15      70.00      75.00  2.454598371247787E-02  1.868343944810856E-04 164692717	  15      70.00      75.00  2.635798039743812E-02  2.158133594839289E-04 164692717	  15      70.00      75.00  2.635798039743812E-02  2.158133594839289E-04 164692717	  15      70.00      75.00  2.543752163769309E-02  2.002526986439014E-04 164692717
  16      75.00      80.00  2.260495884679141E-02  2.052112000972551E-04 150855578	  16      75.00      80.00  2.260495884679141E-02  2.052112000972551E-04 150855578	  16      75.00      80.00  2.180657698422802E-02  1.909885986356498E-04 150855578	  16      75.00      80.00  2.180657698422802E-02  1.909885986356498E-04 150855578	  16      75.00      80.00  2.342979018061243E-02  2.218484268009075E-04 150855578	  16      75.00      80.00  2.342979018061243E-02  2.218484268009075E-04 150855578	  16      75.00      80.00  2.260495884679141E-02  2.052112000972551E-04 150855578
  17      80.00      85.00  1.992044708612558E-02  2.794711813723869E-04 137909433	  17      80.00      85.00  1.992044708612558E-02  2.794711813723869E-04 137909433	  17      80.00      85.00  1.921785469228320E-02  2.550913461211384E-04 137909433	  17      80.00      85.00  1.921785469228320E-02  2.550913461211384E-04 137909433	  17      80.00      85.00  2.064496593688727E-02  3.087828964089525E-04 137909433	  17      80.00      85.00  2.064496593688727E-02  3.087828964089525E-04 137909433	  17      80.00      85.00  1.992044708612558E-02  2.794711813723869E-04 137909433
  18      85.00      90.00  1.776894597500008E-02  2.096818434804910E-04 126998177	  18      85.00      90.00  1.776894597500008E-02  2.096818434804910E-04 126998177	  18      85.00      90.00  1.711427833126357E-02  1.937010333454997E-04 126998177	  18      85.00      90.00  1.711427833126357E-02  1.937010333454997E-04 126998177	  18      85.00      90.00  1.845165057341900E-02  2.285156424127186E-04 126998177	  18      85.00      90.00  1.845165057341900E-02  2.285156424127186E-04 126998177	  18      85.00      90.00  1.776894597500008E-02  2.096818434804910E-04 126998177
