# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  1.743747539870899E-02  7.564624941361224E-05 2656971	   1       0.00       0.16  1.743747539870899E-02  7.564624941361224E-05 2656971	   1       0.00       0.16  1.658123750765004E-02  6.994164192236345E-05 2656971	   1       0.00       0.16  1.658123750765004E-02  6.994164192236345E-05 2656971	   1       0.00       0.16  1.837591828516154E-02  8.252389099156328E-05 2656971	   1       0.00       0.16  1.837591828516154E-02  8.252389099156328E-05 2656971	   1       0.00       0.16  1.743747539870899E-02  7.564624941361224E-05 2656971
   2       0.16       0.31  1.747991676949394E-02  7.787492346317796E-05 2659046	   2       0.16       0.31  1.747991676949394E-02  7.787492346317796E-05 2659046	   2       0.16       0.31  1.662090081853369E-02  7.187682951292531E-05 2659046	   2       0.16       0.31  1.662090081853369E-02  7.187682951292531E-05 2659046	   2       0.16       0.31  1.842171103559130E-02  8.514840567878387E-05 2659046	   2       0.16       0.31  1.842171103559130E-02  8.514840567878387E-05 2659046	   2       0.16       0.31  1.747991676949394E-02  7.787492346317796E-05 2659046
   3       0.31       0.47  1.737734194705429E-02  7.243466376319853E-05 2654912	   3       0.31       0.47  1.737734194705429E-02  7.243466376319853E-05 2654912	   3       0.31       0.47  1.652578416901342E-02  6.716491918636176E-05 2654912	   3       0.31       0.47  1.652578416901342E-02  6.716491918636176E-05 2654912	   3       0.31       0.47  1.831007980252805E-02  7.875980973372626E-05 2654912	   3       0.31       0.47  1.831007980252805E-02  7.875980973372626E-05 2654912	   3       0.31       0.47  1.737734194705429E-02  7.243466376319853E-05 2654912
   4       0.47       0.63  1.744907311099377E-02  7.334226589894509E-05 2655362	   4       0.47       0.63  1.744907311099377E-02  7.334226589894509E-05 2655362	   4       0.47       0.63  1.659534934394640E-02  6.798799377522646E-05 2655362	   4       0.47       0.63  1.659534934394640E-02  6.798799377522646E-05 2655362	   4       0.47       0.63  1.838384385069440E-02  7.976679382132371E-05 2655362	   4       0.47       0.63  1.838384385069440E-02  7.976679382132371E-05 2655362	   4       0.47       0.63  1.744907311099377E-02  7.334226589894509E-05 2655362
   5       0.63       0.79  1.735655580840541E-02  7.413485868016094E-05 2653048	   5       0.63       0.79  1.735655580840541E-02  7.413485868016094E-05 2653048	   5       0.63       0.79  1.650368507498490E-02  6.871800585828284E-05 2653048	   5       0.63       0.79  1.650368507498490E-02  6.871800585828284E-05 2653048	   5       0.63       0.79  1.829113801798164E-02  8.061905930377291E-05 2653048	   5       0.63       0.79  1.829113801798164E-02  8.061905930377291E-05 2653048	   5       0.63       0.79  1.735655580840541E-02  7.413485868016094E-05 2653048
   6       0.79       0.94  1.738260070411288E-02  7.824317814412679E-05 2657479	   6       0.79       0.94  1.738260070411288E-02  7.824317814412679E-05 2657479	   6       0.79       0.94  1.653133836310472E-02  7.239029371179842E-05 2657479	   6       0.79       0.94  1.653133836310472E-02  7.239029371179842E-05 2657479	   6       0.79       0.94  1.831456160962142E-02  8.526928456007110E-05 2657479	   6       0.79       0.94  1.831456160962142E-02  8.526928456007110E-05 2657479	   6       0.79       0.94  1.738260070411288E-02  7.824317814412679E-05 2657479
   7       0.94       1.10  1.742013727517750E-02  7.509076174689630E-05 2656689	   7       0.94       1.10  1.742013727517750E-02  7.509076174689630E-05 2656689	   7       0.94       1.10  1.656298658579745E-02  6.953225033540271E-05 2656689	   7       0.94       1.10  1.656298658579745E-02  6.953225033540271E-05 2656689	   7       0.94       1.10  1.835996204427069E-02  8.176001924391182E-05 2656689	   7       0.94       1.10  1.835996204427069E-02  8.176001924391182E-05 2656689	   7       0.94       1.10  1.742013727517750E-02  7.509076174689630E-05 2656689
   8       1.10       1.26  1.737926538468951E-02  7.851965713115366E-05 2657960	   8       1.10       1.26  1.737926538468951E-02  7.851965713115366E-05 2657960	   8       1.10       1.26  1.652872259387090E-02  7.242102551762029E-05 2657960	   8       1.10       1.26  1.652872259387090E-02  7.242102551762029E-05 2657960	   8       1.10       1.26  1.831048798777785E-02  8.588681561595148E-05 2657960	   8       1.10       1.26  1.831048798777785E-02  8.588681561595148E-05 2657960	   8       1.10       1.26  1.737926538468951E-02  7.851965713115366E-05 2657960
   9       1.26       1.41  1.735240708528050E-02  7.454996036469773E-05 2654838	   9       1.26       1.41  1.735240708528050E-02  7.454996036469773E-05 2654838	   9       1.26       1.41  1.649474560685594E-02  6.887551243843772E-05 2654838	   9       1.26       1.41  1.649474560685594E-02  6.887551243843772E-05 2654838	   9       1.26       1.41  1.829367918929099E-02  8.138497146639629E-05 2654838	   9       1.26       1.41  1.829367918929099E-02  8.138497146639629E-05 2654838	   9       1.26       1.41  1.735240708528050E-02  7.454996036469773E-05 2654838
  10       1.41       1.57  1.732518793018730E-02  7.114054302398423E-05 2657596	  10       1.41       1.57  1.732518793018730E-02  7.114054302398423E-05 2657596	  10       1.41       1.57  1.647861848450109E-02  6.604662843120749E-05 2657596	  10       1.41       1.57  1.647861848450109E-02  6.604662843120749E-05 2657596	  10       1.41       1.57  1.825200397374674E-02  7.723231432024284E-05 2657596	  10       1.41       1.57  1.825200397374674E-02  7.723231432024284E-05 2657596	  10       1.41       1.57  1.732518793018730E-02  7.114054302398423E-05 2657596
  11       1.57       1.73  1.747521365596919E-02  7.984875047985975E-05 2657548	  11       1.57       1.73  1.747521365596919E-02  7.984875047985975E-05 2657548	  11       1.57       1.73  1.661746563551515E-02  7.359670444954711E-05 2657548	  11       1.57       1.73  1.661746563551515E-02  7.359670444954711E-05 2657548	  11       1.57       1.73  1.841471784720879E-02  8.738754815929304E-05 2657548	  11       1.57       1.73  1.841471784720879E-02  8.738754815929304E-05 2657548	  11       1.57       1.73  1.747521365596919E-02  7.984875047985975E-05 2657548
  12       1.73       1.89  1.743232291238853E-02  8.063980738019296E-05 2657763	  12       1.73       1.89  1.743232291238853E-02  8.063980738019296E-05 2657763	  12       1.73       1.89  1.657020321034088E-02  7.417361228402601E-05 2657763	  12       1.73       1.89  1.657020321034088E-02  7.417361228402601E-05 2657763	  12       1.73       1.89  1.837837674917066E-02  8.846864620627780E-05 2657763	  12       1.73       1.89  1.837837674917066E-02  8.846864620627780E-05 2657763	  12       1.73       1.89  1.743232291238853E-02  8.063980738019296E-05 2657763
  13       1.89       2.04  1.740502758276237E-02  7.701196085874063E-05 2657009	  13       1.89       2.04  1.740502758276237E-02  7.701196085874063E-05 2657009	  13       1.89       2.04  1.654800063217588E-02  7.127768641802934E-05 2657009	  13       1.89       2.04  1.654800063217588E-02  7.127768641802934E-05 2657009	  13       1.89       2.04  1.834500694523042E-02  8.391880657293818E-05 2657009	  13       1.89       2.04  1.834500694523042E-02  8.391880657293818E-05 2657009	  13       1.89       2.04  1.740502758276237E-02  7.701196085874063E-05 2657009
  14       2.04       2.20  1.757565102632750E-02  8.394165514001055E-05 2657715	  14       2.04       2.20  1.757565102632750E-02  8.394165514001055E-05 2657715	  14       2.04       2.20  1.670861207395611E-02  7.735302255581189E-05 2657715	  14       2.04       2.20  1.670861207395611E-02  7.735302255581189E-05 2657715	  14       2.04       2.20  1.852663967634736E-02  9.190448483422774E-05 2657715	  14       2.04       2.20  1.852663967634736E-02  9.190448483422774E-05 2657715	  14       2.04       2.20  1.757565102632750E-02  8.394165514001055E-05 2657715
  15       2.20       2.36  1.736441423099510E-02  7.522770130259598E-05 2657025	  15       2.20       2.36  1.736441423099510E-02  7.522770130259598E-05 2657025	  15       2.20       2.36  1.651383750457100E-02  6.970653319458417E-05 2657025	  15       2.20       2.36  1.651383750457100E-02  6.970653319458417E-05 2657025	  15       2.20       2.36  1.829600794845628E-02  8.182649289985990E-05 2657025	  15       2.20       2.36  1.829600794845628E-02  8.182649289985990E-05 2657025	  15       2.20       2.36  1.736441423099510E-02  7.522770130259598E-05 2657025
  16       2.36       2.51  1.748878941165270E-02  7.635620049554295E-05 2660112	  16       2.36       2.51  1.748878941165270E-02  7.635620049554295E-05 2660112	  16       2.36       2.51  1.662892439855329E-02  7.064066950370541E-05 2660112	  16       2.36       2.51  1.662892439855329E-02  7.064066950370541E-05 2660112	  16       2.36       2.51  1.843146000369853E-02  8.323015249803825E-05 2660112	  16       2.36       2.51  1.843146000369853E-02  8.323015249803825E-05 2660112	  16       2.36       2.51  1.748878941165270E-02  7.635620049554295E-05 2660112
  17       2.51       2.67  1.739853394949539E-02  7.422924987005615E-05 2658673	  17       2.51       2.67  1.739853394949539E-02  7.422924987005615E-05 2658673	  17       2.51       2.67  1.654587988155374E-02  6.888585953856325E-05 2658673	  17       2.51       2.67  1.654587988155374E-02  6.888585953856325E-05 2658673	  17       2.51       2.67  1.833212898502656E-02  8.060397724563043E-05 2658673	  17       2.51       2.67  1.833212898502656E-02  8.060397724563043E-05 2658673	  17       2.51       2.67  1.739853394949539E-02  7.422924987005615E-05 2658673
  18       2.67       2.83  1.742580932249356E-02  7.390904495708879E-05 2661981	  18       2.67       2.83  1.742580932249356E-02  7.390904495708879E-05 2661981	  18       2.67       2.83  1.657001828982187E-02  6.848037472166649E-05 2661981	  18       2.67       2.83  1.657001828982187E-02  6.848037472166649E-05 2661981	  18       2.67       2.83  1.836375248815367E-02  8.043360965191232E-05 2661981	  18       2.67       2.83  1.836375248815367E-02  8.043360965191232E-05 2661981	  18       2.67       2.83  1.742580932249356E-02  7.390904495708879E-05 2661981
  19       2.83       2.98  1.752731516537059E-02  8.826078267172214E-05 2661945	  19       2.83       2.98  1.752731516537059E-02  8.826078267172214E-05 2661945	  19       2.83       2.98  1.666031890141681E-02  8.029470482573985E-05 2661945	  19       2.83       2.98  1.666031890141681E-02  8.029470482573985E-05 2661945	  19       2.83       2.98  1.847893739215592E-02  9.816119154707266E-05 2661945	  19       2.83       2.98  1.847893739215592E-02  9.816119154707266E-05 2661945	  19       2.83       2.98  1.752731516537059E-02  8.826078267172214E-05 2661945
  20       2.98       3.14  1.760782524586713E-02  7.681812168500857E-05 2656948	  20       2.98       3.14  1.760782524586713E-02  7.681812168500857E-05 2656948	  20       2.98       3.14  1.673856583531894E-02  7.121684526630655E-05 2656948	  20       2.98       3.14  1.673856583531894E-02  7.121684526630655E-05 2656948	  20       2.98       3.14  1.856149113645081E-02  8.350274348006294E-05 2656948	  20       2.98       3.14  1.856149113645081E-02  8.350274348006294E-05 2656948	  20       2.98       3.14  1.760782524586713E-02  7.681812168500857E-05 2656948
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  1.1808850331315048E+00  2.3426478863931190E-04 315107614
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.8746602438496604E-01  3.6948558385557579E-05 319479000
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
