# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  3.269631906210446E+00  1.800409197733148E-03 232335521	   1      -1.00      -0.90  3.269631906210446E+00  1.800409197733148E-03 232335521	   1      -1.00      -0.90  3.064795904573806E+00  1.655217378885398E-03 232335521	   1      -1.00      -0.90  3.064795904573806E+00  1.655217378885398E-03 232335521	   1      -1.00      -0.90  3.504584333632710E+00  1.976273877207070E-03 232335521	   1      -1.00      -0.90  3.504584333632710E+00  1.976273877207070E-03 232335521	   1      -1.00      -0.90  3.269631906210446E+00  1.800409197733148E-03 232335521
   2      -0.90      -0.80  2.732669025670038E+00  1.506580049798520E-03 196439031	   2      -0.90      -0.80  2.732669025670038E+00  1.506580049798520E-03 196439031	   2      -0.90      -0.80  2.578071534401943E+00  1.393905241854644E-03 196439031	   2      -0.90      -0.80  2.578071534401943E+00  1.393905241854644E-03 196439031	   2      -0.90      -0.80  2.906729476516004E+00  1.641683353781315E-03 196439031	   2      -0.90      -0.80  2.906729476516004E+00  1.641683353781315E-03 196439031	   2      -0.90      -0.80  2.732669025670038E+00  1.506580049798520E-03 196439031
   3      -0.80      -0.70  2.471079695326983E+00  1.358215968318409E-03 178915136	   3      -0.80      -0.70  2.471079695326983E+00  1.358215968318409E-03 178915136	   3      -0.80      -0.70  2.338969560128300E+00  1.259721022976109E-03 178915136	   3      -0.80      -0.70  2.338969560128300E+00  1.259721022976109E-03 178915136	   3      -0.80      -0.70  2.618305059514314E+00  1.475818897179408E-03 178915136	   3      -0.80      -0.70  2.618305059514314E+00  1.475818897179408E-03 178915136	   3      -0.80      -0.70  2.471079695326983E+00  1.358215968318409E-03 178915136
   4      -0.70      -0.60  2.308066288276398E+00  1.249865807423681E-03 168173525	   4      -0.70      -0.60  2.308066288276398E+00  1.249865807423681E-03 168173525	   4      -0.70      -0.60  2.189496308921839E+00  1.162275118183856E-03 168173525	   4      -0.70      -0.60  2.189496308921839E+00  1.162275118183856E-03 168173525	   4      -0.70      -0.60  2.439243885374452E+00  1.354101347254836E-03 168173525	   4      -0.70      -0.60  2.439243885374452E+00  1.354101347254836E-03 168173525	   4      -0.70      -0.60  2.308066288276398E+00  1.249865807423681E-03 168173525
   5      -0.60      -0.50  2.200617108228752E+00  1.189824998047353E-03 161185158	   5      -0.60      -0.50  2.200617108228752E+00  1.189824998047353E-03 161185158	   5      -0.60      -0.50  2.090931118621087E+00  1.106250215416623E-03 161185158	   5      -0.60      -0.50  2.090931118621087E+00  1.106250215416623E-03 161185158	   5      -0.60      -0.50  2.321284545996853E+00  1.289744045194944E-03 161185158	   5      -0.60      -0.50  2.321284545996853E+00  1.289744045194944E-03 161185158	   5      -0.60      -0.50  2.200617108228752E+00  1.189824998047353E-03 161185158
   6      -0.50      -0.40  2.124233835584000E+00  1.122998206640450E-03 156617017	   6      -0.50      -0.40  2.124233835584000E+00  1.122998206640450E-03 156617017	   6      -0.50      -0.40  2.020952034243050E+00  1.045959186150415E-03 156617017	   6      -0.50      -0.40  2.020952034243050E+00  1.045959186150415E-03 156617017	   6      -0.50      -0.40  2.237310782287764E+00  1.214498835052899E-03 156617017	   6      -0.50      -0.40  2.237310782287764E+00  1.214498835052899E-03 156617017	   6      -0.50      -0.40  2.124233835584000E+00  1.122998206640450E-03 156617017
   7      -0.40      -0.30  2.080245548863608E+00  1.097130039556245E-03 153849862	   7      -0.40      -0.30  2.080245548863608E+00  1.097130039556245E-03 153849862	   7      -0.40      -0.30  1.981184458829720E+00  1.021523881025961E-03 153849862	   7      -0.40      -0.30  1.981184458829720E+00  1.021523881025961E-03 153849862	   7      -0.40      -0.30  2.188267735925454E+00  1.187142663072735E-03 153849862	   7      -0.40      -0.30  2.188267735925454E+00  1.187142663072735E-03 153849862	   7      -0.40      -0.30  2.080245548863608E+00  1.097130039556245E-03 153849862
   8      -0.30      -0.20  2.053790026616658E+00  1.069487645267608E-03 152523780	   8      -0.30      -0.20  2.053790026616658E+00  1.069487645267608E-03 152523780	   8      -0.30      -0.20  1.957684732939892E+00  9.959703215298783E-04 152523780	   8      -0.30      -0.20  1.957684732939892E+00  9.959703215298783E-04 152523780	   8      -0.30      -0.20  2.158229168252599E+00  1.157092609333610E-03 152523780	   8      -0.30      -0.20  2.158229168252599E+00  1.157092609333610E-03 152523780	   8      -0.30      -0.20  2.053790026616658E+00  1.069487645267608E-03 152523780
   9      -0.20      -0.10  2.044574529060279E+00  1.051115894902076E-03 152489774	   9      -0.20      -0.10  2.044574529060279E+00  1.051115894902076E-03 152489774	   9      -0.20      -0.10  1.950390400295996E+00  9.798958808458049E-04 152489774	   9      -0.20      -0.10  1.950390400295996E+00  9.798958808458049E-04 152489774	   9      -0.20      -0.10  2.146591481231984E+00  1.135688923414279E-03 152489774	   9      -0.20      -0.10  2.146591481231984E+00  1.135688923414279E-03 152489774	   9      -0.20      -0.10  2.044574529060279E+00  1.051115894902076E-03 152489774
  10      -0.10       0.00  2.052656695617892E+00  1.049092182579666E-03 153689846	  10      -0.10       0.00  2.052656695617892E+00  1.049092182579666E-03 153689846	  10      -0.10       0.00  1.959463394230274E+00  9.778954723171304E-04 153689846	  10      -0.10       0.00  1.959463394230274E+00  9.778954723171304E-04 153689846	  10      -0.10       0.00  2.153284207183306E+00  1.133667099834464E-03 153689846	  10      -0.10       0.00  2.153284207183306E+00  1.133667099834464E-03 153689846	  10      -0.10       0.00  2.052656695617892E+00  1.049092182579666E-03 153689846
  11       0.00       0.10  2.075000572727691E+00  1.042319795283195E-03 156194411	  11       0.00       0.10  2.075000572727691E+00  1.042319795283195E-03 156194411	  11       0.00       0.10  1.981909991884054E+00  9.715937312609975E-04 156194411	  11       0.00       0.10  1.981909991884054E+00  9.715937312609975E-04 156194411	  11       0.00       0.10  2.175254311098854E+00  1.126362162668985E-03 156194411	  11       0.00       0.10  2.175254311098854E+00  1.126362162668985E-03 156194411	  11       0.00       0.10  2.075000572727691E+00  1.042319795283195E-03 156194411
  12       0.10       0.20  2.120373080544767E+00  1.053769546546169E-03 160138374	  12       0.10       0.20  2.120373080544767E+00  1.053769546546169E-03 160138374	  12       0.10       0.20  2.026253419249713E+00  9.823625994713064E-04 160138374	  12       0.10       0.20  2.026253419249713E+00  9.823625994713064E-04 160138374	  12       0.10       0.20  2.221481055932191E+00  1.138566056471255E-03 160138374	  12       0.10       0.20  2.221481055932191E+00  1.138566056471255E-03 160138374	  12       0.10       0.20  2.120373080544767E+00  1.053769546546169E-03 160138374
  13       0.20       0.30  2.184287166359170E+00  1.095848192181218E-03 165839679	  13       0.20       0.30  2.184287166359170E+00  1.095848192181218E-03 165839679	  13       0.20       0.30  2.088155639138018E+00  1.020043686686713E-03 165839679	  13       0.20       0.30  2.088155639138018E+00  1.020043686686713E-03 165839679	  13       0.20       0.30  2.287331977775120E+00  1.186069068558187E-03 165839679	  13       0.20       0.30  2.287331977775120E+00  1.186069068558187E-03 165839679	  13       0.20       0.30  2.184287166359170E+00  1.095848192181218E-03 165839679
  14       0.30       0.40  2.272272808037964E+00  1.110436266706886E-03 173703425	  14       0.30       0.40  2.272272808037964E+00  1.110436266706886E-03 173703425	  14       0.30       0.40  2.173172971191752E+00  1.032961027270423E-03 173703425	  14       0.30       0.40  2.173172971191752E+00  1.032961027270423E-03 173703425	  14       0.30       0.40  2.378250560009487E+00  1.202897927880953E-03 173703425	  14       0.30       0.40  2.378250560009487E+00  1.202897927880953E-03 173703425	  14       0.30       0.40  2.272272808037964E+00  1.110436266706886E-03 173703425
  15       0.40       0.50  2.397762003991350E+00  1.142505708076726E-03 184606324	  15       0.40       0.50  2.397762003991350E+00  1.142505708076726E-03 184606324	  15       0.40       0.50  2.293956013065183E+00  1.062656793299641E-03 184606324	  15       0.40       0.50  2.293956013065183E+00  1.062656793299641E-03 184606324	  15       0.40       0.50  2.508527357918729E+00  1.237800729204929E-03 184606324	  15       0.40       0.50  2.508527357918729E+00  1.237800729204929E-03 184606324	  15       0.40       0.50  2.397762003991350E+00  1.142505708076726E-03 184606324
  16       0.50       0.60  2.572721171426749E+00  1.219922031389951E-03 199797671	  16       0.50       0.60  2.572721171426749E+00  1.219922031389951E-03 199797671	  16       0.50       0.60  2.461798627263780E+00  1.132768868035965E-03 199797671	  16       0.50       0.60  2.461798627263780E+00  1.132768868035965E-03 199797671	  16       0.50       0.60  2.690881788686393E+00  1.324232072335997E-03 199797671	  16       0.50       0.60  2.690881788686393E+00  1.324232072335997E-03 199797671	  16       0.50       0.60  2.572721171426749E+00  1.219922031389951E-03 199797671
  17       0.60       0.70  2.816195131594070E+00  1.310580194154858E-03 221734467	  17       0.60       0.70  2.816195131594070E+00  1.310580194154858E-03 221734467	  17       0.60       0.70  2.695265731055654E+00  1.215305070612198E-03 221734467	  17       0.60       0.70  2.695265731055654E+00  1.215305070612198E-03 221734467	  17       0.60       0.70  2.944749189563171E+00  1.424774053461635E-03 221734467	  17       0.60       0.70  2.944749189563171E+00  1.424774053461635E-03 221734467	  17       0.60       0.70  2.816195131594070E+00  1.310580194154858E-03 221734467
  18       0.70       0.80  3.182127546438233E+00  1.449176233995185E-03 255536037	  18       0.70       0.80  3.182127546438233E+00  1.449176233995185E-03 255536037	  18       0.70       0.80  3.045455418669872E+00  1.340096574686264E-03 255536037	  18       0.70       0.80  3.045455418669872E+00  1.340096574686264E-03 255536037	  18       0.70       0.80  3.327172903624881E+00  1.580519028231166E-03 255536037	  18       0.70       0.80  3.327172903624881E+00  1.580519028231166E-03 255536037	  18       0.70       0.80  3.182127546438233E+00  1.449176233995185E-03 255536037
