# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  2.471627375124562E+00  4.086652791623277E-02 328990536	   1      -1.00      -0.90  2.471627375124562E+00  4.086652791623277E-02 328990536	   1      -1.00      -0.90  2.335698347256322E+00  3.631640326239901E-02 328990536	   1      -1.00      -0.90  2.335698347256322E+00  3.631640326239901E-02 328990536	   1      -1.00      -0.90  2.624722953880122E+00  4.658596444923131E-02 328990536	   1      -1.00      -0.90  2.624722953880122E+00  4.658596444923131E-02 328990536	   1      -1.00      -0.90  2.471627375124562E+00  4.086652791623277E-02 328990536
   2      -0.90      -0.80  2.126962298428924E+00  2.831013821053945E-02 289980154	   2      -0.90      -0.80  2.126962298428924E+00  2.831013821053945E-02 289980154	   2      -0.90      -0.80  2.021088225847385E+00  2.562852021751744E-02 289980154	   2      -0.90      -0.80  2.021088225847385E+00  2.562852021751744E-02 289980154	   2      -0.90      -0.80  2.243924011654801E+00  3.160486730158604E-02 289980154	   2      -0.90      -0.80  2.243924011654801E+00  3.160486730158604E-02 289980154	   2      -0.90      -0.80  2.126962298428924E+00  2.831013821053945E-02 289980154
   3      -0.80      -0.70  1.932865706166872E+00  2.344605213797601E-02 269070196	   3      -0.80      -0.70  1.932865706166872E+00  2.344605213797601E-02 269070196	   3      -0.80      -0.70  1.840102002904972E+00  2.154655306120460E-02 269070196	   3      -0.80      -0.70  1.840102002904972E+00  2.154655306120460E-02 269070196	   3      -0.80      -0.70  2.035023250680184E+00  2.573102300996613E-02 269070196	   3      -0.80      -0.70  2.035023250680184E+00  2.573102300996613E-02 269070196	   3      -0.80      -0.70  1.932865706166872E+00  2.344605213797601E-02 269070196
   4      -0.70      -0.60  1.788598622304721E+00  2.407476938852500E-02 256147753	   4      -0.70      -0.60  1.788598622304721E+00  2.407476938852500E-02 256147753	   4      -0.70      -0.60  1.708299719754080E+00  2.205608054590601E-02 256147753	   4      -0.70      -0.60  1.708299719754080E+00  2.205608054590601E-02 256147753	   4      -0.70      -0.60  1.875710946691392E+00  2.651127596165066E-02 256147753	   4      -0.70      -0.60  1.875710946691392E+00  2.651127596165066E-02 256147753	   4      -0.70      -0.60  1.788598622304721E+00  2.407476938852500E-02 256147753
   5      -0.60      -0.50  1.750266285750433E+00  1.851794776679753E-02 247794925	   5      -0.60      -0.50  1.750266285750433E+00  1.851794776679753E-02 247794925	   5      -0.60      -0.50  1.673193953943384E+00  1.687309667912851E-02 247794925	   5      -0.60      -0.50  1.673193953943384E+00  1.687309667912851E-02 247794925	   5      -0.60      -0.50  1.833671294411458E+00  2.051119942813912E-02 247794925	   5      -0.60      -0.50  1.833671294411458E+00  2.051119942813912E-02 247794925	   5      -0.60      -0.50  1.750266285750433E+00  1.851794776679753E-02 247794925
   6      -0.50      -0.40  1.687548148877230E+00  1.836842807819927E-02 242510602	   6      -0.50      -0.40  1.687548148877230E+00  1.836842807819927E-02 242510602	   6      -0.50      -0.40  1.615460671115865E+00  1.685676323811377E-02 242510602	   6      -0.50      -0.40  1.615460671115865E+00  1.685676323811377E-02 242510602	   6      -0.50      -0.40  1.765049751722011E+00  2.021340926915199E-02 242510602	   6      -0.50      -0.40  1.765049751722011E+00  2.021340926915199E-02 242510602	   6      -0.50      -0.40  1.687548148877230E+00  1.836842807819927E-02 242510602
   7      -0.40      -0.30  1.638943835239358E+00  2.011090714026919E-02 239550368	   7      -0.40      -0.30  1.638943835239358E+00  2.011090714026919E-02 239550368	   7      -0.40      -0.30  1.571910595234884E+00  1.827625761116727E-02 239550368	   7      -0.40      -0.30  1.571910595234884E+00  1.827625761116727E-02 239550368	   7      -0.40      -0.30  1.710255323638049E+00  2.235219831679124E-02 239550368	   7      -0.40      -0.30  1.710255323638049E+00  2.235219831679124E-02 239550368	   7      -0.40      -0.30  1.638943835239358E+00  2.011090714026919E-02 239550368
   8      -0.30      -0.20  1.627892724198513E+00  1.871546148514817E-02 238430717	   8      -0.30      -0.20  1.627892724198513E+00  1.871546148514817E-02 238430717	   8      -0.30      -0.20  1.561226512606972E+00  1.726854316554664E-02 238430717	   8      -0.30      -0.20  1.561226512606972E+00  1.726854316554664E-02 238430717	   8      -0.30      -0.20  1.698843744428963E+00  2.045607497080013E-02 238430717	   8      -0.30      -0.20  1.698843744428963E+00  2.045607497080013E-02 238430717	   8      -0.30      -0.20  1.627892724198513E+00  1.871546148514817E-02 238430717
   9      -0.20      -0.10  1.576521150686653E+00  2.198612907121222E-02 239071813	   9      -0.20      -0.10  1.576521150686653E+00  2.198612907121222E-02 239071813	   9      -0.20      -0.10  1.517439749196840E+00  1.972494133615964E-02 239071813	   9      -0.20      -0.10  1.517439749196840E+00  1.972494133615964E-02 239071813	   9      -0.20      -0.10  1.637872653443074E+00  2.485347293137028E-02 239071813	   9      -0.20      -0.10  1.637872653443074E+00  2.485347293137028E-02 239071813	   9      -0.20      -0.10  1.576521150686653E+00  2.198612907121222E-02 239071813
  10      -0.10       0.00  1.618072895678323E+00  2.168359961267326E-02 241533833	  10      -0.10       0.00  1.618072895678323E+00  2.168359961267326E-02 241533833	  10      -0.10       0.00  1.556267297716799E+00  1.949488644702984E-02 241533833	  10      -0.10       0.00  1.556267297716799E+00  1.949488644702984E-02 241533833	  10      -0.10       0.00  1.682818678351330E+00  2.438640691576970E-02 241533833	  10      -0.10       0.00  1.682818678351330E+00  2.438640691576970E-02 241533833	  10      -0.10       0.00  1.618072895678323E+00  2.168359961267326E-02 241533833
