# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  6.396973319881556E-02  1.714789553856309E-03 27637249	   2       0.20       0.40  6.396973319881556E-02  1.714789553856309E-03 27637249	   2       0.20       0.40  6.100700067802086E-02  1.524533492391113E-03 27637249	   2       0.20       0.40  6.100700067802086E-02  1.524533492391113E-03 27637249	   2       0.20       0.40  6.718638725180719E-02  1.956151614372494E-03 27637249	   2       0.20       0.40  6.718638725180719E-02  1.956151614372494E-03 27637249	   2       0.20       0.40  6.396973319881556E-02  1.714789553856309E-03 27637249
   3       0.40       0.60  2.958068858602189E-01  3.580509532445670E-03 99616896	   3       0.40       0.60  2.958068858602189E-01  3.580509532445670E-03 99616896	   3       0.40       0.60  2.844305157590391E-01  3.241909934447107E-03 99616896	   3       0.40       0.60  2.844305157590391E-01  3.241909934447107E-03 99616896	   3       0.40       0.60  3.077435084831197E-01  3.996832142721862E-03 99616896	   3       0.40       0.60  3.077435084831197E-01  3.996832142721862E-03 99616896	   3       0.40       0.60  2.958068858602189E-01  3.580509532445670E-03 99616896
   4       0.60       0.80  5.011166748845536E-01  5.167836389002153E-03 159458560	   4       0.60       0.80  5.011166748845536E-01  5.167836389002153E-03 159458560	   4       0.60       0.80  4.834189892790922E-01  4.704562672684712E-03 159458560	   4       0.60       0.80  4.834189892790922E-01  4.704562672684712E-03 159458560	   4       0.60       0.80  5.193774078764626E-01  5.729530597768937E-03 159458560	   4       0.60       0.80  5.193774078764626E-01  5.729530597768937E-03 159458560	   4       0.60       0.80  5.011166748845536E-01  5.167836389002153E-03 159458560
   5       0.80       1.00  6.584339312492193E-01  6.238701574815270E-03 206356084	   5       0.80       1.00  6.584339312492193E-01  6.238701574815270E-03 206356084	   5       0.80       1.00  6.355173890461667E-01  5.691633112004944E-03 206356084	   5       0.80       1.00  6.355173890461667E-01  5.691633112004944E-03 206356084	   5       0.80       1.00  6.819648129257748E-01  6.908555583395673E-03 206356084	   5       0.80       1.00  6.819648129257748E-01  6.908555583395673E-03 206356084	   5       0.80       1.00  6.584339312492193E-01  6.238701574815270E-03 206356084
   6       1.00       1.20  7.889260179700242E-01  1.047634638112798E-02 246424961	   6       1.00       1.20  7.889260179700242E-01  1.047634638112798E-02 246424961	   6       1.00       1.20  7.622539319818462E-01  9.378350690928525E-03 246424961	   6       1.00       1.20  7.622539319818462E-01  9.378350690928525E-03 246424961	   6       1.00       1.20  8.160494612109749E-01  1.184466735005992E-02 246424961	   6       1.00       1.20  8.160494612109749E-01  1.184466735005992E-02 246424961	   6       1.00       1.20  7.889260179700242E-01  1.047634638112798E-02 246424961
   7       1.20       1.40  9.338974528140487E-01  6.811327029738460E-03 283135632	   7       1.20       1.40  9.338974528140487E-01  6.811327029738460E-03 283135632	   7       1.20       1.40  8.997363513186750E-01  6.268023463481415E-03 283135632	   7       1.20       1.40  8.997363513186750E-01  6.268023463481415E-03 283135632	   7       1.20       1.40  9.694260742405980E-01  7.470068073658163E-03 283135632	   7       1.20       1.40  9.694260742405980E-01  7.470068073658163E-03 283135632	   7       1.20       1.40  9.338974528140487E-01  6.811327029738460E-03 283135632
   8       1.40       1.60  1.016940954264621E+00  2.630632380743373E-02 316748986	   8       1.40       1.60  1.016940954264621E+00  2.630632380743373E-02 316748986	   8       1.40       1.60  9.825193565437226E-01  2.387498945969050E-02 316748986	   8       1.40       1.60  9.825193565437226E-01  2.387498945969050E-02 316748986	   8       1.40       1.60  1.051883087466843E+00  2.921660346288621E-02 316748986	   8       1.40       1.60  1.051883087466843E+00  2.921660346288621E-02 316748986	   8       1.40       1.60  1.016940954264621E+00  2.630632380743373E-02 316748986
   9       1.60       1.80  1.181288372058489E+00  9.260814710264687E-03 347178183	   9       1.60       1.80  1.181288372058489E+00  9.260814710264687E-03 347178183	   9       1.60       1.80  1.137605898521094E+00  8.432390172525849E-03 347178183	   9       1.60       1.80  1.137605898521094E+00  8.432390172525849E-03 347178183	   9       1.60       1.80  1.226715883103285E+00  1.028005283538318E-02 347178183	   9       1.60       1.80  1.226715883103285E+00  1.028005283538318E-02 347178183	   9       1.60       1.80  1.181288372058489E+00  9.260814710264687E-03 347178183
  10       1.80       2.00  1.275154590690816E+00  1.025300654003567E-02 374403996	  10       1.80       2.00  1.275154590690816E+00  1.025300654003567E-02 374403996	  10       1.80       2.00  1.227970987453017E+00  9.400914009539950E-03 374403996	  10       1.80       2.00  1.227970987453017E+00  9.400914009539950E-03 374403996	  10       1.80       2.00  1.324196992534105E+00  1.129275793651360E-02 374403996	  10       1.80       2.00  1.324196992534105E+00  1.129275793651360E-02 374403996	  10       1.80       2.00  1.275154590690816E+00  1.025300654003567E-02 374403996
