# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  1.118515296145657E-02  6.323428085759071E-06 142290546	   2      20.00      40.00  1.118515296145657E-02  6.323428085759071E-06 142290546	   2      20.00      40.00  1.085201092040751E-02  5.893123567327975E-06 142290546	   2      20.00      40.00  1.085201092040751E-02  5.893123567327975E-06 142290546	   2      20.00      40.00  1.151065105457506E-02  6.836331903957840E-06 142290546	   2      20.00      40.00  1.151065105457506E-02  6.836331903957840E-06 142290546	   2      20.00      40.00  1.118515296145657E-02  6.323428085759071E-06 142290546
   3      40.00      60.00  1.951797802552776E-02  8.259138183822847E-06 237471991	   3      40.00      60.00  1.951797802552776E-02  8.259138183822847E-06 237471991	   3      40.00      60.00  1.890667396056540E-02  7.703417444405874E-06 237471991	   3      40.00      60.00  1.890667396056540E-02  7.703417444405874E-06 237471991	   3      40.00      60.00  2.012324240999756E-02  8.919643826154425E-06 237471991	   3      40.00      60.00  2.012324240999756E-02  8.919643826154425E-06 237471991	   3      40.00      60.00  1.951797802552776E-02  8.259138183822847E-06 237471991
   4      60.00      80.00  2.527377388848832E-02  9.311999490918775E-06 286248123	   4      60.00      80.00  2.527377388848832E-02  9.311999490918775E-06 286248123	   4      60.00      80.00  2.444108741335261E-02  8.673358869396973E-06 286248123	   4      60.00      80.00  2.444108741335261E-02  8.673358869396973E-06 286248123	   4      60.00      80.00  2.610864084215257E-02  1.007379121537144E-05 286248123	   4      60.00      80.00  2.610864084215257E-02  1.007379121537144E-05 286248123	   4      60.00      80.00  2.527377388848832E-02  9.311999490918775E-06 286248123
   5      80.00     100.00  2.611907975193482E-02  9.190663608709823E-06 277255835	   5      80.00     100.00  2.611907975193482E-02  9.190663608709823E-06 277255835	   5      80.00     100.00  2.519313005815921E-02  8.557515011404814E-06 277255835	   5      80.00     100.00  2.519313005815921E-02  8.557515011404814E-06 277255835	   5      80.00     100.00  2.706324426977263E-02  9.946375688763012E-06 277255835	   5      80.00     100.00  2.706324426977263E-02  9.946375688763012E-06 277255835	   5      80.00     100.00  2.611907975193482E-02  9.190663608709823E-06 277255835
   6     100.00     120.00  2.408013260295972E-02  8.719508667188683E-06 251720363	   6     100.00     120.00  2.408013260295972E-02  8.719508667188683E-06 251720363	   6     100.00     120.00  2.315661691441487E-02  8.113028843695512E-06 251720363	   6     100.00     120.00  2.315661691441487E-02  8.113028843695512E-06 251720363	   6     100.00     120.00  2.503784018844816E-02  9.443431106369618E-06 251720363	   6     100.00     120.00  2.503784018844816E-02  9.443431106369618E-06 251720363	   6     100.00     120.00  2.408013260295972E-02  8.719508667188683E-06 251720363
   7     120.00     140.00  2.103913743929022E-02  8.072536365703376E-06 224020780	   7     120.00     140.00  2.103913743929022E-02  8.072536365703376E-06 224020780	   7     120.00     140.00  2.016974066329914E-02  7.508674288061074E-06 224020780	   7     120.00     140.00  2.016974066329914E-02  7.508674288061074E-06 224020780	   7     120.00     140.00  2.195441696871852E-02  8.744980107625228E-06 224020780	   7     120.00     140.00  2.195441696871852E-02  8.744980107625228E-06 224020780	   7     120.00     140.00  2.103913743929022E-02  8.072536365703376E-06 224020780
   8     140.00     160.00  1.795856635438271E-02  7.487775899946534E-06 198311127	   8     140.00     160.00  1.795856635438271E-02  7.487775899946534E-06 198311127	   8     140.00     160.00  1.716312170440976E-02  6.952571969066285E-06 198311127	   8     140.00     160.00  1.716312170440976E-02  6.952571969066285E-06 198311127	   8     140.00     160.00  1.880726989183984E-02  8.128187462123013E-06 198311127	   8     140.00     160.00  1.880726989183984E-02  8.128187462123013E-06 198311127	   8     140.00     160.00  1.795856635438271E-02  7.487775899946534E-06 198311127
   9     160.00     180.00  1.517037721498505E-02  6.845294193818156E-06 175606446	   9     160.00     180.00  1.517037721498505E-02  6.845294193818156E-06 175606446	   9     160.00     180.00  1.445639098126820E-02  6.357370501046659E-06 175606446	   9     160.00     180.00  1.445639098126820E-02  6.357370501046659E-06 175606446	   9     160.00     180.00  1.594064641120606E-02  7.427577149311047E-06 175606446	   9     160.00     180.00  1.594064641120606E-02  7.427577149311047E-06 175606446	   9     160.00     180.00  1.517037721498505E-02  6.845294193818156E-06 175606446
  10     180.00     200.00  1.277884310842966E-02  6.352592086620642E-06 155982082	  10     180.00     200.00  1.277884310842966E-02  6.352592086620642E-06 155982082	  10     180.00     200.00  1.214340608293645E-02  5.893327921366664E-06 155982082	  10     180.00     200.00  1.214340608293645E-02  5.893327921366664E-06 155982082	  10     180.00     200.00  1.347111149432542E-02  6.901166765617825E-06 155982082	  10     180.00     200.00  1.347111149432542E-02  6.901166765617825E-06 155982082	  10     180.00     200.00  1.277884310842966E-02  6.352592086620642E-06 155982082
