# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  9.530009918880370E-03  7.533544850723070E-05 209659583	   2      20.00      40.00  9.530009918880370E-03  7.533544850723070E-05 209659583	   2      20.00      40.00  9.278769046742503E-03  6.926475762961148E-05 209659583	   2      20.00      40.00  9.278769046742503E-03  6.926475762961148E-05 209659583	   2      20.00      40.00  9.770208762335635E-03  8.260135640304160E-05 209659583	   2      20.00      40.00  9.770208762335635E-03  8.260135640304160E-05 209659583	   2      20.00      40.00  9.530009918880370E-03  7.533544850723070E-05 209659583
   3      40.00      60.00  1.623735041120629E-02  2.665511224956564E-04 350466958	   3      40.00      60.00  1.623735041120629E-02  2.665511224956564E-04 350466958	   3      40.00      60.00  1.581246278462670E-02  2.423344547545355E-04 350466958	   3      40.00      60.00  1.581246278462670E-02  2.423344547545355E-04 350466958	   3      40.00      60.00  1.664050009953994E-02  2.955038257550411E-04 350466958	   3      40.00      60.00  1.664050009953994E-02  2.955038257550411E-04 350466958	   3      40.00      60.00  1.623735041120629E-02  2.665511224956564E-04 350466958
   4      60.00      80.00  2.144436165460141E-02  1.215802597344818E-04 424513459	   4      60.00      80.00  2.144436165460141E-02  1.215802597344818E-04 424513459	   4      60.00      80.00  2.082680522010584E-02  1.115354696574578E-04 424513459	   4      60.00      80.00  2.082680522010584E-02  1.115354696574578E-04 424513459	   4      60.00      80.00  2.204756721428955E-02  1.338511950456030E-04 424513459	   4      60.00      80.00  2.204756721428955E-02  1.338511950456030E-04 424513459	   4      60.00      80.00  2.144436165460141E-02  1.215802597344818E-04 424513459
   5      80.00     100.00  2.166112307390526E-02  1.762670213115051E-04 415113153	   5      80.00     100.00  2.166112307390526E-02  1.762670213115051E-04 415113153	   5      80.00     100.00  2.099860973436736E-02  1.617940956362700E-04 415113153	   5      80.00     100.00  2.099860973436736E-02  1.617940956362700E-04 415113153	   5      80.00     100.00  2.231680211884270E-02  1.937341471750619E-04 415113153	   5      80.00     100.00  2.231680211884270E-02  1.937341471750619E-04 415113153	   5      80.00     100.00  2.166112307390526E-02  1.762670213115051E-04 415113153
   6     100.00     120.00  1.979394970996695E-02  1.598138748474876E-04 380726960	   6     100.00     120.00  1.979394970996695E-02  1.598138748474876E-04 380726960	   6     100.00     120.00  1.912971895462054E-02  1.451981737973157E-04 380726960	   6     100.00     120.00  1.912971895462054E-02  1.451981737973157E-04 380726960	   6     100.00     120.00  2.046689299390683E-02  1.776894586142971E-04 380726960	   6     100.00     120.00  2.046689299390683E-02  1.776894586142971E-04 380726960	   6     100.00     120.00  1.979394970996695E-02  1.598138748474876E-04 380726960
   7     120.00     140.00  1.709675859200232E-02  1.521640102394404E-04 341982054	   7     120.00     140.00  1.709675859200232E-02  1.521640102394404E-04 341982054	   7     120.00     140.00  1.647991576718709E-02  1.389707068623454E-04 341982054	   7     120.00     140.00  1.647991576718709E-02  1.389707068623454E-04 341982054	   7     120.00     140.00  1.773142634469857E-02  1.687623262422096E-04 341982054	   7     120.00     140.00  1.773142634469857E-02  1.687623262422096E-04 341982054	   7     120.00     140.00  1.709675859200232E-02  1.521640102394404E-04 341982054
   8     140.00     160.00  1.430821531872060E-02  1.680293421640349E-04 305138926	   8     140.00     160.00  1.430821531872060E-02  1.680293421640349E-04 305138926	   8     140.00     160.00  1.376766026741160E-02  1.518265890863109E-04 305138926	   8     140.00     160.00  1.376766026741160E-02  1.518265890863109E-04 305138926	   8     140.00     160.00  1.486752683759487E-02  1.881454424704038E-04 305138926	   8     140.00     160.00  1.486752683759487E-02  1.881454424704038E-04 305138926	   8     140.00     160.00  1.430821531872060E-02  1.680293421640349E-04 305138926
   9     160.00     180.00  1.206758286128780E-02  1.263862472277877E-04 272056546	   9     160.00     180.00  1.206758286128780E-02  1.263862472277877E-04 272056546	   9     160.00     180.00  1.157144985332020E-02  1.149121871471612E-04 272056546	   9     160.00     180.00  1.157144985332020E-02  1.149121871471612E-04 272056546	   9     160.00     180.00  1.259067442122306E-02  1.406257555912479E-04 272056546	   9     160.00     180.00  1.259067442122306E-02  1.406257555912479E-04 272056546	   9     160.00     180.00  1.206758286128780E-02  1.263862472277877E-04 272056546
  10     180.00     200.00  1.026203262302366E-02  1.205214263177645E-04 243020052	  10     180.00     200.00  1.026203262302366E-02  1.205214263177645E-04 243020052	  10     180.00     200.00  9.802508447890337E-03  1.086156897270433E-04 243020052	  10     180.00     200.00  9.802508447890337E-03  1.086156897270433E-04 243020052	  10     180.00     200.00  1.075561200947182E-02  1.352168559066968E-04 243020052	  10     180.00     200.00  1.075561200947182E-02  1.352168559066968E-04 243020052	  10     180.00     200.00  1.026203262302366E-02  1.205214263177645E-04 243020052
