# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      40.00      50.00  2.936534614698675E-12  2.933451117363412E-12 4	   5      40.00      50.00  2.936534614698675E-12  2.933451117363412E-12 4	   5      40.00      50.00  2.967486007051614E-12  2.964254142322311E-12 4	   5      40.00      50.00  2.967486007051614E-12  2.964254142322311E-12 4	   5      40.00      50.00  2.872215305500336E-12  2.869317900813424E-12 4	   5      40.00      50.00  2.872215305500336E-12  2.869317900813424E-12 4	   5      40.00      50.00  2.936534614698675E-12  2.933451117363412E-12 4
   6      50.00      60.00  6.136490932033592E-10  4.402959793490312E-10 12	   6      50.00      60.00  6.136490932033592E-10  4.402959793490312E-10 12	   6      50.00      60.00  5.556358233929809E-10  3.832952881771817E-10 12	   6      50.00      60.00  5.556358233929809E-10  3.832952881771817E-10 12	   6      50.00      60.00  6.858413399384543E-10  5.129371463881261E-10 12	   6      50.00      60.00  6.858413399384543E-10  5.129371463881261E-10 12	   6      50.00      60.00  6.136490932033592E-10  4.402959793490312E-10 12
   7      60.00      70.00  1.567508914550218E-09  6.882116592223866E-10 55	   7      60.00      70.00  1.567508914550218E-09  6.882116592223866E-10 55	   7      60.00      70.00  1.530168882436249E-09  6.589058205115743E-10 55	   7      60.00      70.00  1.530168882436249E-09  6.589058205115743E-10 55	   7      60.00      70.00  1.603890345174074E-09  7.229254798029591E-10 55	   7      60.00      70.00  1.603890345174074E-09  7.229254798029591E-10 55	   7      60.00      70.00  1.567508914550218E-09  6.882116592223866E-10 55
   8      70.00      80.00  1.269466059745400E-09  2.302699362525877E-10 127	   8      70.00      80.00  1.269466059745400E-09  2.302699362525877E-10 127	   8      70.00      80.00  1.264473865430988E-09  2.276609041522025E-10 127	   8      70.00      80.00  1.264473865430988E-09  2.276609041522025E-10 127	   8      70.00      80.00  1.263356247438136E-09  2.317538078166567E-10 127	   8      70.00      80.00  1.263356247438136E-09  2.317538078166567E-10 127	   8      70.00      80.00  1.269466059745400E-09  2.302699362525877E-10 127
   9      80.00      90.00  1.205670193387032E-08  2.224091121324658E-09 589	   9      80.00      90.00  1.205670193387032E-08  2.224091121324658E-09 589	   9      80.00      90.00  1.184094776974771E-08  2.051955416913568E-09 589	   9      80.00      90.00  1.184094776974771E-08  2.051955416913568E-09 589	   9      80.00      90.00  1.222752733876793E-08  2.433349924600988E-09 589	   9      80.00      90.00  1.222752733876793E-08  2.433349924600988E-09 589	   9      80.00      90.00  1.205670193387032E-08  2.224091121324658E-09 589
  10      90.00     100.00  1.001851646368004E-07  7.238322511817209E-09 4701	  10      90.00     100.00  1.001851646368004E-07  7.238322511817209E-09 4701	  10      90.00     100.00  9.899523861825185E-08  6.996680907315199E-09 4701	  10      90.00     100.00  9.899523861825185E-08  6.996680907315199E-09 4701	  10      90.00     100.00  1.008669390631855E-07  7.496851891928654E-09 4701	  10      90.00     100.00  1.008669390631855E-07  7.496851891928654E-09 4701	  10      90.00     100.00  1.001851646368004E-07  7.238322511817209E-09 4701
  11     100.00     110.00  9.679278097028011E-07  3.602477793941209E-08 24987	  11     100.00     110.00  9.679278097028011E-07  3.602477793941209E-08 24987	  11     100.00     110.00  9.515561907833541E-07  3.417989804320567E-08 24987	  11     100.00     110.00  9.515561907833541E-07  3.417989804320567E-08 24987	  11     100.00     110.00  9.809093139030627E-07  3.816502247513680E-08 24987	  11     100.00     110.00  9.809093139030627E-07  3.816502247513680E-08 24987	  11     100.00     110.00  9.679278097028011E-07  3.602477793941209E-08 24987
  12     110.00     120.00  4.553566299294338E-06  7.001217481045390E-08 94066	  12     110.00     120.00  4.553566299294338E-06  7.001217481045390E-08 94066	  12     110.00     120.00  4.496750102425230E-06  6.727554014282145E-08 94066	  12     110.00     120.00  4.496750102425230E-06  6.727554014282145E-08 94066	  12     110.00     120.00  4.588937589040793E-06  7.306156604756978E-08 94066	  12     110.00     120.00  4.588937589040793E-06  7.306156604756978E-08 94066	  12     110.00     120.00  4.553566299294338E-06  7.001217481045390E-08 94066
  13     120.00     130.00  1.704338682657655E-05  1.773239918234371E-07 300065	  13     120.00     130.00  1.704338682657655E-05  1.773239918234371E-07 300065	  13     120.00     130.00  1.681028557772128E-05  1.699633165893713E-07 300065	  13     120.00     130.00  1.681028557772128E-05  1.699633165893713E-07 300065	  13     120.00     130.00  1.720170915973734E-05  1.855797908893306E-07 300065	  13     120.00     130.00  1.720170915973734E-05  1.855797908893306E-07 300065	  13     120.00     130.00  1.704338682657655E-05  1.773239918234371E-07 300065
  14     130.00     140.00  5.340313294676155E-05  4.252335423071261E-07 839640	  14     130.00     140.00  5.340313294676155E-05  4.252335423071261E-07 839640	  14     130.00     140.00  5.255693600609329E-05  4.004371844649187E-07 839640	  14     130.00     140.00  5.255693600609329E-05  4.004371844649187E-07 839640	  14     130.00     140.00  5.404225054080279E-05  4.544790455359485E-07 839640	  14     130.00     140.00  5.404225054080279E-05  4.544790455359485E-07 839640	  14     130.00     140.00  5.340313294676155E-05  4.252335423071261E-07 839640
  15     140.00     150.00  1.612228457195738E-04  1.023862396696486E-06 2429354	  15     140.00     150.00  1.612228457195738E-04  1.023862396696486E-06 2429354	  15     140.00     150.00  1.584128039179850E-04  9.348376230567502E-07 2429354	  15     140.00     150.00  1.584128039179850E-04  9.348376230567502E-07 2429354	  15     140.00     150.00  1.634711542110767E-04  1.135939048545437E-06 2429354	  15     140.00     150.00  1.634711542110767E-04  1.135939048545437E-06 2429354	  15     140.00     150.00  1.612228457195738E-04  1.023862396696486E-06 2429354
  16     150.00     160.00  7.507241976542963E-04  2.085864342806000E-06 13896765	  16     150.00     160.00  7.507241976542963E-04  2.085864342806000E-06 13896765	  16     150.00     160.00  7.370038544148460E-04  1.954151556227756E-06 13896765	  16     150.00     160.00  7.370038544148460E-04  1.954151556227756E-06 13896765	  16     150.00     160.00  7.619064538349225E-04  2.241391446101730E-06 13896765	  16     150.00     160.00  7.619064538349225E-04  2.241391446101730E-06 13896765	  16     150.00     160.00  7.507241976542963E-04  2.085864342806000E-06 13896765
