# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00 -2.265734335583147E-21  2.265614564609866E-21 3	   4      30.00      40.00 -2.265734335583147E-21  2.265614564609866E-21 3	   4      30.00      40.00 -2.216864902963378E-21  2.216780707695480E-21 3	   4      30.00      40.00 -2.216864902963378E-21  2.216780707695480E-21 3	   4      30.00      40.00 -2.305630849015609E-21  2.305453135798386E-21 3	   4      30.00      40.00 -2.305630849015609E-21  2.305453135798386E-21 3	   4      30.00      40.00 -2.265734335583147E-21  2.265614564609866E-21 3
   5      40.00      50.00  1.760267363552614E-11  1.009264064921186E-11 23	   5      40.00      50.00  1.760267363552614E-11  1.009264064921186E-11 23	   5      40.00      50.00  1.738249965801632E-11  1.000457716842632E-11 23	   5      40.00      50.00  1.738249965801632E-11  1.000457716842632E-11 23	   5      40.00      50.00  1.773072454861217E-11  1.013440695784551E-11 23	   5      40.00      50.00  1.773072454861217E-11  1.013440695784551E-11 23	   5      40.00      50.00  1.760267363552614E-11  1.009264064921186E-11 23
   6      50.00      60.00  5.657246450761492E-11  3.127622996252093E-11 78	   6      50.00      60.00  5.657246450761492E-11  3.127622996252093E-11 78	   6      50.00      60.00  5.882617511822298E-11  3.285226245321123E-11 78	   6      50.00      60.00  5.882617511822298E-11  3.285226245321123E-11 78	   6      50.00      60.00  5.325677892478469E-11  2.908989015157069E-11 78	   6      50.00      60.00  5.325677892478469E-11  2.908989015157069E-11 78	   6      50.00      60.00  5.657246450761492E-11  3.127622996252093E-11 78
   7      60.00      70.00  1.909463101262322E-09  9.374493037678136E-10 259	   7      60.00      70.00  1.909463101262322E-09  9.374493037678136E-10 259	   7      60.00      70.00  1.885867902498432E-09  9.318031964993866E-10 259	   7      60.00      70.00  1.885867902498432E-09  9.318031964993866E-10 259	   7      60.00      70.00  1.923771302419980E-09  9.375947587827781E-10 259	   7      60.00      70.00  1.923771302419980E-09  9.375947587827781E-10 259	   7      60.00      70.00  1.909463101262322E-09  9.374493037678136E-10 259
   8      70.00      80.00  7.714632657392167E-09  1.885468330843116E-09 868	   8      70.00      80.00  7.714632657392167E-09  1.885468330843116E-09 868	   8      70.00      80.00  7.565185053390596E-09  1.821973184408375E-09 868	   8      70.00      80.00  7.565185053390596E-09  1.821973184408375E-09 868	   8      70.00      80.00  7.831467665700434E-09  1.951354521567928E-09 868	   8      70.00      80.00  7.831467665700434E-09  1.951354521567928E-09 868	   8      70.00      80.00  7.714632657392167E-09  1.885468330843116E-09 868
   9      80.00      90.00  3.672921228245633E-08  8.759216131692880E-09 3768	   9      80.00      90.00  3.672921228245633E-08  8.759216131692880E-09 3768	   9      80.00      90.00  3.621259905069334E-08  8.444165319754283E-09 3768	   9      80.00      90.00  3.621259905069334E-08  8.444165319754283E-09 3768	   9      80.00      90.00  3.704872481339191E-08  9.090229262200911E-09 3768	   9      80.00      90.00  3.704872481339191E-08  9.090229262200911E-09 3768	   9      80.00      90.00  3.672921228245633E-08  8.759216131692880E-09 3768
  10      90.00     100.00  1.683204631880890E-07  1.572588283994104E-08 21904	  10      90.00     100.00  1.683204631880890E-07  1.572588283994104E-08 21904	  10      90.00     100.00  1.649042286339292E-07  1.523533003125802E-08 21904	  10      90.00     100.00  1.649042286339292E-07  1.523533003125802E-08 21904	  10      90.00     100.00  1.711496096073128E-07  1.625352793871385E-08 21904	  10      90.00     100.00  1.711496096073128E-07  1.625352793871385E-08 21904	  10      90.00     100.00  1.683204631880890E-07  1.572588283994104E-08 21904
  11     100.00     110.00  1.239995239058372E-06  1.441910124781034E-07 88212	  11     100.00     110.00  1.239995239058372E-06  1.441910124781034E-07 88212	  11     100.00     110.00  1.212952834148542E-06  1.403730755524172E-07 88212	  11     100.00     110.00  1.212952834148542E-06  1.403730755524172E-07 88212	  11     100.00     110.00  1.264499905043798E-06  1.481106702616199E-07 88212	  11     100.00     110.00  1.264499905043798E-06  1.481106702616199E-07 88212	  11     100.00     110.00  1.239995239058372E-06  1.441910124781034E-07 88212
  12     110.00     120.00  7.003123369593277E-06  3.339758481581993E-07 261546	  12     110.00     120.00  7.003123369593277E-06  3.339758481581993E-07 261546	  12     110.00     120.00  6.841762232328971E-06  3.195815407237695E-07 261546	  12     110.00     120.00  6.841762232328971E-06  3.195815407237695E-07 261546	  12     110.00     120.00  7.152958243109063E-06  3.503300698353825E-07 261546	  12     110.00     120.00  7.152958243109063E-06  3.503300698353825E-07 261546	  12     110.00     120.00  7.003123369593277E-06  3.339758481581993E-07 261546
  13     120.00     130.00  2.505095230250375E-05  6.678285854930477E-07 672189	  13     120.00     130.00  2.505095230250375E-05  6.678285854930477E-07 672189	  13     120.00     130.00  2.459243298446729E-05  6.392454894131146E-07 672189	  13     120.00     130.00  2.459243298446729E-05  6.392454894131146E-07 672189	  13     120.00     130.00  2.543428544796355E-05  6.994807402591835E-07 672189	  13     120.00     130.00  2.543428544796355E-05  6.994807402591835E-07 672189	  13     120.00     130.00  2.505095230250375E-05  6.678285854930477E-07 672189
  14     130.00     140.00  7.850836884383251E-05  1.434364305350649E-06 1621459	  14     130.00     140.00  7.850836884383251E-05  1.434364305350649E-06 1621459	  14     130.00     140.00  7.699326941821815E-05  1.362873709198711E-06 1621459	  14     130.00     140.00  7.699326941821815E-05  1.362873709198711E-06 1621459	  14     130.00     140.00  7.979758271388399E-05  1.517591012078678E-06 1621459	  14     130.00     140.00  7.979758271388399E-05  1.517591012078678E-06 1621459	  14     130.00     140.00  7.850836884383251E-05  1.434364305350649E-06 1621459
  15     140.00     150.00  2.301439664743063E-04  4.620136174192106E-06 4232317	  15     140.00     150.00  2.301439664743063E-04  4.620136174192106E-06 4232317	  15     140.00     150.00  2.256617678191574E-04  4.329021052588656E-06 4232317	  15     140.00     150.00  2.256617678191574E-04  4.329021052588656E-06 4232317	  15     140.00     150.00  2.339889503788386E-04  4.979223023035635E-06 4232317	  15     140.00     150.00  2.339889503788386E-04  4.979223023035635E-06 4232317	  15     140.00     150.00  2.301439664743063E-04  4.620136174192106E-06 4232317
  16     150.00     160.00  8.053248791456963E-04  4.478573979001102E-05 21761677	  16     150.00     160.00  8.053248791456963E-04  4.478573979001102E-05 21761677	  16     150.00     160.00  7.929103511240420E-04  4.285748256906706E-05 21761677	  16     150.00     160.00  7.929103511240420E-04  4.285748256906706E-05 21761677	  16     150.00     160.00  8.147701543256547E-04  4.679728513708140E-05 21761677	  16     150.00     160.00  8.147701543256547E-04  4.679728513708140E-05 21761677	  16     150.00     160.00  8.053248791456963E-04  4.478573979001102E-05 21761677
