# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  5.092878372405887E-06  5.180986101611207E-09 5212291	   7     600.00     700.00  5.092878372405887E-06  5.180986101611207E-09 5212291	   7     600.00     700.00  5.319442567487288E-06  5.399269766696097E-09 5212291	   7     600.00     700.00  5.319442567487288E-06  5.399269766696097E-09 5212291	   7     600.00     700.00  4.797654257106095E-06  4.898697852255807E-09 5212291	   7     600.00     700.00  4.797654257106095E-06  4.898697852255807E-09 5212291	   7     600.00     700.00  5.092878372405887E-06  5.180986101611207E-09 5212291
   8     700.00     800.00  2.331428661490159E-04  7.403167055541202E-08 48784945	   8     700.00     800.00  2.331428661490159E-04  7.403167055541202E-08 48784945	   8     700.00     800.00  2.418408862490362E-04  7.659102151185212E-08 48784945	   8     700.00     800.00  2.418408862490362E-04  7.659102151185212E-08 48784945	   8     700.00     800.00  2.214041553468064E-04  7.059873984141091E-08 48784945	   8     700.00     800.00  2.214041553468064E-04  7.059873984141091E-08 48784945	   8     700.00     800.00  2.331428661490159E-04  7.403167055541202E-08 48784945
   9     800.00     900.00  6.838762145107830E-04  1.738515079102567E-07 83157951	   9     800.00     900.00  6.838762145107830E-04  1.738515079102567E-07 83157951	   9     800.00     900.00  7.042493204821019E-04  1.786260859311996E-07 83157951	   9     800.00     900.00  7.042493204821019E-04  1.786260859311996E-07 83157951	   9     800.00     900.00  6.549834109021233E-04  1.671388679909500E-07 83157951	   9     800.00     900.00  6.549834109021233E-04  1.671388679909500E-07 83157951	   9     800.00     900.00  6.838762145107830E-04  1.738515079102567E-07 83157951
  10     900.00    1000.00  1.048890724719880E-03  2.592835754701766E-07 101931644	  10     900.00    1000.00  1.048890724719880E-03  2.592835754701766E-07 101931644	  10     900.00    1000.00  1.072598229749976E-03  2.646025530360958E-07 101931644	  10     900.00    1000.00  1.072598229749976E-03  2.646025530360958E-07 101931644	  10     900.00    1000.00  1.012832714113187E-03  2.512703567026470E-07 101931644	  10     900.00    1000.00  1.012832714113187E-03  2.512703567026470E-07 101931644	  10     900.00    1000.00  1.048890724719880E-03  2.592835754701766E-07 101931644
  11    1000.00    1100.00  1.300585111017146E-03  3.296752404747568E-07 110349317	  11    1000.00    1100.00  1.300585111017146E-03  3.296752404747568E-07 110349317	  11    1000.00    1100.00  1.321457625244659E-03  3.343335653487348E-07 110349317	  11    1000.00    1100.00  1.321457625244659E-03  3.343335653487348E-07 110349317	  11    1000.00    1100.00  1.265353307163282E-03  3.218580061220993E-07 110349317	  11    1000.00    1100.00  1.265353307163282E-03  3.218580061220993E-07 110349317	  11    1000.00    1100.00  1.300585111017146E-03  3.296752404747568E-07 110349317
  12    1100.00    1200.00  1.467120650920353E-03  3.889903530199320E-07 112636088	  12    1100.00    1200.00  1.467120650920353E-03  3.889903530199320E-07 112636088	  12    1100.00    1200.00  1.481890397607397E-03  3.922283692506097E-07 112636088	  12    1100.00    1200.00  1.481890397607397E-03  3.922283692506097E-07 112636088	  12    1100.00    1200.00  1.437273136020131E-03  3.823461636974721E-07 112636088	  12    1100.00    1200.00  1.437273136020131E-03  3.823461636974721E-07 112636088	  12    1100.00    1200.00  1.467120650920353E-03  3.889903530199320E-07 112636088
  13    1200.00    1300.00  1.570268061284398E-03  4.393241374864371E-07 111660347	  13    1200.00    1300.00  1.570268061284398E-03  4.393241374864371E-07 111660347	  13    1200.00    1300.00  1.577444829391105E-03  4.406554687574808E-07 111660347	  13    1200.00    1300.00  1.577444829391105E-03  4.406554687574808E-07 111660347	  13    1200.00    1300.00  1.548181480329803E-03  4.345102700425938E-07 111660347	  13    1200.00    1300.00  1.548181480329803E-03  4.345102700425938E-07 111660347	  13    1200.00    1300.00  1.570268061284398E-03  4.393241374864371E-07 111660347
  14    1300.00    1400.00  1.629999440270490E-03  4.846135115062895E-07 109010320	  14    1300.00    1400.00  1.629999440270490E-03  4.846135115062895E-07 109010320	  14    1300.00    1400.00  1.629157186057113E-03  4.837240885621596E-07 109010320	  14    1300.00    1400.00  1.629157186057113E-03  4.837240885621596E-07 109010320	  14    1300.00    1400.00  1.616653841255680E-03  4.820600349706256E-07 109010320	  14    1300.00    1400.00  1.616653841255680E-03  4.820600349706256E-07 109010320	  14    1300.00    1400.00  1.629999440270490E-03  4.846135115062895E-07 109010320
  15    1400.00    1500.00  1.658128038409021E-03  5.253763769940968E-07 105521579	  15    1400.00    1500.00  1.658128038409021E-03  5.253763769940968E-07 105521579	  15    1400.00    1500.00  1.649427072250383E-03  5.220460592282984E-07 105521579	  15    1400.00    1500.00  1.649427072250383E-03  5.220460592282984E-07 105521579	  15    1400.00    1500.00  1.653720850632110E-03  5.254054927174659E-07 105521579	  15    1400.00    1500.00  1.653720850632110E-03  5.254054927174659E-07 105521579	  15    1400.00    1500.00  1.658128038409021E-03  5.253763769940968E-07 105521579
  16    1500.00    1600.00  1.661680476750396E-03  5.609300411913086E-07 101662256	  16    1500.00    1600.00  1.661680476750396E-03  5.609300411913086E-07 101662256	  16    1500.00    1600.00  1.645610049690972E-03  5.550445049229296E-07 101662256	  16    1500.00    1600.00  1.645610049690972E-03  5.550445049229296E-07 101662256	  16    1500.00    1600.00  1.665938006526553E-03  5.637385158668768E-07 101662256	  16    1500.00    1600.00  1.665938006526553E-03  5.637385158668768E-07 101662256	  16    1500.00    1600.00  1.661680476750396E-03  5.609300411913086E-07 101662256
  17    1600.00    1700.00  1.649623295963282E-03  5.960745773289104E-07 97684653	  17    1600.00    1700.00  1.649623295963282E-03  5.960745773289104E-07 97684653	  17    1600.00    1700.00  1.626821133284717E-03  5.875162384860348E-07 97684653	  17    1600.00    1700.00  1.626821133284717E-03  5.875162384860348E-07 97684653	  17    1600.00    1700.00  1.662012113634198E-03  6.018321611060365E-07 97684653	  17    1600.00    1700.00  1.662012113634198E-03  6.018321611060365E-07 97684653	  17    1600.00    1700.00  1.649623295963282E-03  5.960745773289104E-07 97684653
  18    1700.00    1800.00  1.624962977575848E-03  6.270838571447375E-07 93674173	  18    1700.00    1800.00  1.624962977575848E-03  6.270838571447375E-07 93674173	  18    1700.00    1800.00  1.596132063193691E-03  6.158087795362359E-07 93674173	  18    1700.00    1800.00  1.596132063193691E-03  6.158087795362359E-07 93674173	  18    1700.00    1800.00  1.644823065043865E-03  6.358907896138414E-07 93674173	  18    1700.00    1800.00  1.644823065043865E-03  6.358907896138414E-07 93674173	  18    1700.00    1800.00  1.624962977575848E-03  6.270838571447375E-07 93674173
  19    1800.00    1900.00  1.589788296245999E-03  6.537392513189191E-07 89789694	  19    1800.00    1900.00  1.589788296245999E-03  6.537392513189191E-07 89789694	  19    1800.00    1900.00  1.555643460206415E-03  6.397274013714969E-07 89789694	  19    1800.00    1900.00  1.555643460206415E-03  6.397274013714969E-07 89789694	  19    1800.00    1900.00  1.616416121329448E-03  6.656719131769584E-07 89789694	  19    1800.00    1900.00  1.616416121329448E-03  6.656719131769584E-07 89789694	  19    1800.00    1900.00  1.589788296245999E-03  6.537392513189191E-07 89789694
  20    1900.00    2000.00  1.548025855819596E-03  6.788024241137568E-07 86002920	  20    1900.00    2000.00  1.548025855819596E-03  6.788024241137568E-07 86002920	  20    1900.00    2000.00  1.509318626664563E-03  6.620656750897226E-07 86002920	  20    1900.00    2000.00  1.509318626664563E-03  6.620656750897226E-07 86002920	  20    1900.00    2000.00  1.580622975236682E-03  6.938753687321723E-07 86002920	  20    1900.00    2000.00  1.580622975236682E-03  6.938753687321723E-07 86002920	  20    1900.00    2000.00  1.548025855819596E-03  6.788024241137568E-07 86002920
  21    2000.00    2100.00  1.503477236602941E-03  7.039408746242805E-07 82382259	  21    2000.00    2100.00  1.503477236602941E-03  7.039408746242805E-07 82382259	  21    2000.00    2100.00  1.460821883374553E-03  6.844414473723070E-07 82382259	  21    2000.00    2100.00  1.460821883374553E-03  6.844414473723070E-07 82382259	  21    2000.00    2100.00  1.541366519723035E-03  7.222180392170925E-07 82382259	  21    2000.00    2100.00  1.541366519723035E-03  7.222180392170925E-07 82382259	  21    2000.00    2100.00  1.503477236602941E-03  7.039408746242805E-07 82382259
  22    2100.00    2200.00  1.455228723233875E-03  7.262487388959220E-07 78916265	  22    2100.00    2200.00  1.455228723233875E-03  7.262487388959220E-07 78916265	  22    2100.00    2200.00  1.409249764427390E-03  7.040254244000047E-07 78916265	  22    2100.00    2200.00  1.409249764427390E-03  7.040254244000047E-07 78916265	  22    2100.00    2200.00  1.497713484122980E-03  7.477147882817071E-07 78916265	  22    2100.00    2200.00  1.497713484122980E-03  7.477147882817071E-07 78916265	  22    2100.00    2200.00  1.455228723233875E-03  7.262487388959220E-07 78916265
  23    2200.00    2300.00  1.405233656707425E-03  7.479410672726150E-07 75627267	  23    2200.00    2300.00  1.405233656707425E-03  7.479410672726150E-07 75627267	  23    2200.00    2300.00  1.356499071102858E-03  7.230053221984120E-07 75627267	  23    2200.00    2300.00  1.356499071102858E-03  7.230053221984120E-07 75627267	  23    2200.00    2300.00  1.451668253789661E-03  7.726015519936954E-07 75627267	  23    2200.00    2300.00  1.451668253789661E-03  7.726015519936954E-07 75627267	  23    2200.00    2300.00  1.405233656707425E-03  7.479410672726150E-07 75627267
  24    2300.00    2400.00  1.354147836618826E-03  7.643161667788130E-07 72493936	  24    2300.00    2400.00  1.354147836618826E-03  7.643161667788130E-07 72493936	  24    2300.00    2400.00  1.303161004111208E-03  7.367478763921584E-07 72493936	  24    2300.00    2400.00  1.303161004111208E-03  7.367478763921584E-07 72493936	  24    2300.00    2400.00  1.403942350657280E-03  7.921180401662348E-07 72493936	  24    2300.00    2400.00  1.403942350657280E-03  7.921180401662348E-07 72493936	  24    2300.00    2400.00  1.354147836618826E-03  7.643161667788130E-07 72493936
  25    2400.00    2500.00  1.302027567477038E-03  7.762835935592957E-07 69526654	  25    2400.00    2500.00  1.302027567477038E-03  7.762835935592957E-07 69526654	  25    2400.00    2500.00  1.249261776530826E-03  7.462777557611733E-07 69526654	  25    2400.00    2500.00  1.249261776530826E-03  7.462777557611733E-07 69526654	  25    2400.00    2500.00  1.354625875969177E-03  8.070344042470690E-07 69526654	  25    2400.00    2500.00  1.354625875969177E-03  8.070344042470690E-07 69526654	  25    2400.00    2500.00  1.302027567477038E-03  7.762835935592957E-07 69526654
