# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  4.144876204589442E-06  2.500200720879423E-08 8498127	   7     600.00     700.00  4.144876204589442E-06  2.500200720879423E-08 8498127	   7     600.00     700.00  4.335720711615382E-06  2.599470717530831E-08 8498127	   7     600.00     700.00  4.335720711615382E-06  2.599470717530831E-08 8498127	   7     600.00     700.00  3.899032755522588E-06  2.370001484952805E-08 8498127	   7     600.00     700.00  3.899032755522588E-06  2.370001484952805E-08 8498127	   7     600.00     700.00  4.144876204589442E-06  2.500200720879423E-08 8498127
   8     700.00     800.00  1.996475587520438E-04  6.920417867604932E-07 75770182	   8     700.00     800.00  1.996475587520438E-04  6.920417867604932E-07 75770182	   8     700.00     800.00  2.074162696884917E-04  7.301579524742639E-07 75770182	   8     700.00     800.00  2.074162696884917E-04  7.301579524742639E-07 75770182	   8     700.00     800.00  1.893036294982627E-04  6.434883022571369E-07 75770182	   8     700.00     800.00  1.893036294982627E-04  6.434883022571369E-07 75770182	   8     700.00     800.00  1.996475587520438E-04  6.920417867604932E-07 75770182
   9     800.00     900.00  6.022596535162699E-04  9.240127591548376E-07 129158914	   9     800.00     900.00  6.022596535162699E-04  9.240127591548376E-07 129158914	   9     800.00     900.00  6.211846446097729E-04  9.434718423916099E-07 129158914	   9     800.00     900.00  6.211846446097729E-04  9.434718423916099E-07 129158914	   9     800.00     900.00  5.758983837563953E-04  8.955592789138799E-07 129158914	   9     800.00     900.00  5.758983837563953E-04  8.955592789138799E-07 129158914	   9     800.00     900.00  6.022596535162699E-04  9.240127591548376E-07 129158914
  10     900.00    1000.00  9.295749103889699E-04  1.401477115031358E-06 158901277	  10     900.00    1000.00  9.295749103889699E-04  1.401477115031358E-06 158901277	  10     900.00    1000.00  9.521474321318379E-04  1.423091525065440E-06 158901277	  10     900.00    1000.00  9.521474321318379E-04  1.423091525065440E-06 158901277	  10     900.00    1000.00  8.961317500455489E-04  1.367071988490182E-06 158901277	  10     900.00    1000.00  8.961317500455489E-04  1.367071988490182E-06 158901277	  10     900.00    1000.00  9.295749103889699E-04  1.401477115031358E-06 158901277
  11    1000.00    1100.00  1.152927245299209E-03  1.844885943469375E-06 172829126	  11    1000.00    1100.00  1.152927245299209E-03  1.844885943469375E-06 172829126	  11    1000.00    1100.00  1.173372615860555E-03  1.863217525743134E-06 172829126	  11    1000.00    1100.00  1.173372615860555E-03  1.863217525743134E-06 172829126	  11    1000.00    1100.00  1.119843399476220E-03  1.810351460391572E-06 172829126	  11    1000.00    1100.00  1.119843399476220E-03  1.810351460391572E-06 172829126	  11    1000.00    1100.00  1.152927245299209E-03  1.844885943469375E-06 172829126
  12    1100.00    1200.00  1.295478024261246E-03  2.344587674943913E-06 177180387	  12    1100.00    1200.00  1.295478024261246E-03  2.344587674943913E-06 177180387	  12    1100.00    1200.00  1.310783342756405E-03  2.351478669341408E-06 177180387	  12    1100.00    1200.00  1.310783342756405E-03  2.351478669341408E-06 177180387	  12    1100.00    1200.00  1.266915079621972E-03  2.320748402894974E-06 177180387	  12    1100.00    1200.00  1.266915079621972E-03  2.320748402894974E-06 177180387	  12    1100.00    1200.00  1.295478024261246E-03  2.344587674943913E-06 177180387
  13    1200.00    1300.00  1.381477796467715E-03  2.876857483660481E-06 176339640	  13    1200.00    1300.00  1.381477796467715E-03  2.876857483660481E-06 176339640	  13    1200.00    1300.00  1.390249336799636E-03  2.871163702922365E-06 176339640	  13    1200.00    1300.00  1.390249336799636E-03  2.871163702922365E-06 176339640	  13    1200.00    1300.00  1.359638432804322E-03  2.863029762753810E-06 176339640	  13    1200.00    1300.00  1.359638432804322E-03  2.863029762753810E-06 176339640	  13    1200.00    1300.00  1.381477796467715E-03  2.876857483660481E-06 176339640
  14    1300.00    1400.00  1.426914437646562E-03  3.304193856539297E-06 172785407	  14    1300.00    1400.00  1.426914437646562E-03  3.304193856539297E-06 172785407	  14    1300.00    1400.00  1.428792989575614E-03  3.283394986367509E-06 172785407	  14    1300.00    1400.00  1.428792989575614E-03  3.283394986367509E-06 172785407	  14    1300.00    1400.00  1.412636357241074E-03  3.304947746124312E-06 172785407	  14    1300.00    1400.00  1.412636357241074E-03  3.304947746124312E-06 172785407	  14    1300.00    1400.00  1.426914437646562E-03  3.304193856539297E-06 172785407
  15    1400.00    1500.00  1.441468795868132E-03  3.840911843421631E-06 167840450	  15    1400.00    1500.00  1.441468795868132E-03  3.840911843421631E-06 167840450	  15    1400.00    1500.00  1.436537162895336E-03  3.798717105573756E-06 167840450	  15    1400.00    1500.00  1.436537162895336E-03  3.798717105573756E-06 167840450	  15    1400.00    1500.00  1.434994606164772E-03  3.863645757941549E-06 167840450	  15    1400.00    1500.00  1.434994606164772E-03  3.863645757941549E-06 167840450	  15    1400.00    1500.00  1.441468795868132E-03  3.840911843421631E-06 167840450
  16    1500.00    1600.00  1.433794635304356E-03  4.768846234113929E-06 162195553	  16    1500.00    1600.00  1.433794635304356E-03  4.768846234113929E-06 162195553	  16    1500.00    1600.00  1.422622345395454E-03  4.680768166571655E-06 162195553	  16    1500.00    1600.00  1.422622345395454E-03  4.680768166571655E-06 162195553	  16    1500.00    1600.00  1.434730741046929E-03  4.840874784751536E-06 162195553	  16    1500.00    1600.00  1.434730741046929E-03  4.840874784751536E-06 162195553	  16    1500.00    1600.00  1.433794635304356E-03  4.768846234113929E-06 162195553
  17    1600.00    1700.00  1.418166157421374E-03  4.677732369440968E-06 156277493	  17    1600.00    1700.00  1.418166157421374E-03  4.677732369440968E-06 156277493	  17    1600.00    1700.00  1.401199730712001E-03  4.591764668967136E-06 156277493	  17    1600.00    1700.00  1.401199730712001E-03  4.591764668967136E-06 156277493	  17    1600.00    1700.00  1.426155557549461E-03  4.746076591098433E-06 156277493	  17    1600.00    1700.00  1.426155557549461E-03  4.746076591098433E-06 156277493	  17    1600.00    1700.00  1.418166157421374E-03  4.677732369440968E-06 156277493
  18    1700.00    1800.00  1.383989917821283E-03  5.662176334529998E-06 150275075	  18    1700.00    1800.00  1.383989917821283E-03  5.662176334529998E-06 150275075	  18    1700.00    1800.00  1.362132154889282E-03  5.543315226460090E-06 150275075	  18    1700.00    1800.00  1.362132154889282E-03  5.543315226460090E-06 150275075	  18    1700.00    1800.00  1.398120704567070E-03  5.763111391507325E-06 150275075	  18    1700.00    1800.00  1.398120704567070E-03  5.763111391507325E-06 150275075	  18    1700.00    1800.00  1.383989917821283E-03  5.662176334529998E-06 150275075
  19    1800.00    1900.00  1.333522456210362E-03  7.060741545757512E-06 144355556	  19    1800.00    1900.00  1.333522456210362E-03  7.060741545757512E-06 144355556	  19    1800.00    1900.00  1.307571470867066E-03  6.889932882003619E-06 144355556	  19    1800.00    1900.00  1.307571470867066E-03  6.889932882003619E-06 144355556	  19    1800.00    1900.00  1.353044426025651E-03  7.214653155112303E-06 144355556	  19    1800.00    1900.00  1.353044426025651E-03  7.214653155112303E-06 144355556	  19    1800.00    1900.00  1.333522456210362E-03  7.060741545757512E-06 144355556
  20    1900.00    2000.00  1.297507769263027E-03  6.573639811148586E-06 138598948	  20    1900.00    2000.00  1.297507769263027E-03  6.573639811148586E-06 138598948	  20    1900.00    2000.00  1.267767869164368E-03  6.396712433493965E-06 138598948	  20    1900.00    2000.00  1.267767869164368E-03  6.396712433493965E-06 138598948	  20    1900.00    2000.00  1.321982687466606E-03  6.739134205899942E-06 138598948	  20    1900.00    2000.00  1.321982687466606E-03  6.739134205899942E-06 138598948	  20    1900.00    2000.00  1.297507769263027E-03  6.573639811148586E-06 138598948
  21    2000.00    2100.00  1.266507298516577E-03  6.504661234305999E-06 133057045	  21    2000.00    2100.00  1.266507298516577E-03  6.504661234305999E-06 133057045	  21    2000.00    2100.00  1.233149978630899E-03  6.313946260186430E-06 133057045	  21    2000.00    2100.00  1.233149978630899E-03  6.313946260186430E-06 133057045	  21    2000.00    2100.00  1.295727197371997E-03  6.687709052658799E-06 133057045	  21    2000.00    2100.00  1.295727197371997E-03  6.687709052658799E-06 133057045	  21    2000.00    2100.00  1.266507298516577E-03  6.504661234305999E-06 133057045
  22    2100.00    2200.00  1.207291907324611E-03  8.148612582311732E-06 127722939	  22    2100.00    2200.00  1.207291907324611E-03  8.148612582311732E-06 127722939	  22    2100.00    2200.00  1.171801915236292E-03  7.874636050667797E-06 127722939	  22    2100.00    2200.00  1.171801915236292E-03  7.874636050667797E-06 127722939	  22    2100.00    2200.00  1.239686913129325E-03  8.422254941861730E-06 127722939	  22    2100.00    2200.00  1.239686913129325E-03  8.422254941861730E-06 127722939	  22    2100.00    2200.00  1.207291907324611E-03  8.148612582311732E-06 127722939
  23    2200.00    2300.00  1.163282595617954E-03  8.078663405353829E-06 122669719	  23    2200.00    2300.00  1.163282595617954E-03  8.078663405353829E-06 122669719	  23    2200.00    2300.00  1.125322209376358E-03  7.792316205358366E-06 122669719	  23    2200.00    2300.00  1.125322209376358E-03  7.792316205358366E-06 122669719	  23    2200.00    2300.00  1.199181282566668E-03  8.367083794356770E-06 122669719	  23    2200.00    2300.00  1.199181282566668E-03  8.367083794356770E-06 122669719	  23    2200.00    2300.00  1.163282595617954E-03  8.078663405353829E-06 122669719
  24    2300.00    2400.00  1.109791901539274E-03  1.016634827006045E-05 117810969	  24    2300.00    2400.00  1.109791901539274E-03  1.016634827006045E-05 117810969	  24    2300.00    2400.00  1.070299742008997E-03  9.790741000953564E-06 117810969	  24    2300.00    2400.00  1.070299742008997E-03  9.790741000953564E-06 117810969	  24    2300.00    2400.00  1.148171171239230E-03  1.054921409809511E-05 117810969	  24    2300.00    2400.00  1.148171171239230E-03  1.054921409809511E-05 117810969	  24    2300.00    2400.00  1.109791901539274E-03  1.016634827006045E-05 117810969
  25    2400.00    2500.00  1.062886321397528E-03  9.800408260768197E-06 113175150	  25    2400.00    2500.00  1.062886321397528E-03  9.800408260768197E-06 113175150	  25    2400.00    2500.00  1.022210454412129E-03  9.412347416551840E-06 113175150	  25    2400.00    2500.00  1.022210454412129E-03  9.412347416551840E-06 113175150	  25    2400.00    2500.00  1.103222747058355E-03  1.020235315432838E-05 113175150	  25    2400.00    2500.00  1.103222747058355E-03  1.020235315432838E-05 113175150	  25    2400.00    2500.00  1.062886321397528E-03  9.800408260768197E-06 113175150
