# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  4.175476011412118E-01  4.179524160519377E-04 89563507	   1      -2.50      -2.25  4.175476011412118E-01  4.179524160519377E-04 89563507	   1      -2.50      -2.25  3.946495148281975E-01  3.829495141396819E-04 89563507	   1      -2.50      -2.25  3.946495148281975E-01  3.829495141396819E-04 89563507	   1      -2.50      -2.25  4.429511752119623E-01  4.604938256181905E-04 89563507	   1      -2.50      -2.25  4.429511752119623E-01  4.604938256181905E-04 89563507	   1      -2.50      -2.25  4.175476011412118E-01  4.179524160519377E-04 89563507
   2      -2.25      -2.00  5.491556329375451E-01  4.731677880911663E-04 111571056	   2      -2.25      -2.00  5.491556329375451E-01  4.731677880911663E-04 111571056	   2      -2.25      -2.00  5.202426534439883E-01  4.342945584631465E-04 111571056	   2      -2.25      -2.00  5.202426534439883E-01  4.342945584631465E-04 111571056	   2      -2.25      -2.00  5.810668784630095E-01  5.203408444473190E-04 111571056	   2      -2.25      -2.00  5.810668784630095E-01  5.203408444473190E-04 111571056	   2      -2.25      -2.00  5.491556329375451E-01  4.731677880911663E-04 111571056
   3      -2.00      -1.75  6.856885988070540E-01  5.005068356051131E-04 134314142	   3      -2.00      -1.75  6.856885988070540E-01  5.005068356051131E-04 134314142	   3      -2.00      -1.75  6.509812126723749E-01  4.613214855697551E-04 134314142	   3      -2.00      -1.75  6.509812126723749E-01  4.613214855697551E-04 134314142	   3      -2.00      -1.75  7.237907406114059E-01  5.477869916720564E-04 134314142	   3      -2.00      -1.75  7.237907406114059E-01  5.477869916720564E-04 134314142	   3      -2.00      -1.75  6.856885988070540E-01  5.005068356051131E-04 134314142
   4      -1.75      -1.50  8.224596331608485E-01  5.223221859100764E-04 157005894	   4      -1.75      -1.50  8.224596331608485E-01  5.223221859100764E-04 157005894	   4      -1.75      -1.50  7.822261117261757E-01  4.829562581509519E-04 157005894	   4      -1.75      -1.50  7.822261117261757E-01  4.829562581509519E-04 157005894	   4      -1.75      -1.50  8.664186445710759E-01  5.696162369812755E-04 157005894	   4      -1.75      -1.50  8.664186445710759E-01  5.696162369812755E-04 157005894	   4      -1.75      -1.50  8.224596331608485E-01  5.223221859100764E-04 157005894
   5      -1.50      -1.25  9.507240927526592E-01  5.427912480857609E-04 178731397	   5      -1.50      -1.25  9.507240927526592E-01  5.427912480857609E-04 178731397	   5      -1.50      -1.25  9.056382874843730E-01  5.026948580644293E-04 178731397	   5      -1.50      -1.25  9.056382874843730E-01  5.026948580644293E-04 178731397	   5      -1.50      -1.25  9.997558639223902E-01  5.908137403892943E-04 178731397	   5      -1.50      -1.25  9.997558639223902E-01  5.908137403892943E-04 178731397	   5      -1.50      -1.25  9.507240927526592E-01  5.427912480857609E-04 178731397
   6      -1.25      -1.00  1.067790517956294E+00  5.380214467913824E-04 198464018	   6      -1.25      -1.00  1.067790517956294E+00  5.380214467913824E-04 198464018	   6      -1.25      -1.00  1.018508041626638E+00  4.999664003074161E-04 198464018	   6      -1.25      -1.00  1.018508041626638E+00  4.999664003074161E-04 198464018	   6      -1.25      -1.00  1.121158420397541E+00  5.833542609110091E-04 198464018	   6      -1.25      -1.00  1.121158420397541E+00  5.833542609110091E-04 198464018	   6      -1.25      -1.00  1.067790517956294E+00  5.380214467913824E-04 198464018
   7      -1.00      -0.75  1.167317451098472E+00  5.300060596998910E-04 215325763	   7      -1.00      -0.75  1.167317451098472E+00  5.300060596998910E-04 215325763	   7      -1.00      -0.75  1.114608459729825E+00  4.934075528125390E-04 215325763	   7      -1.00      -0.75  1.114608459729825E+00  4.934075528125390E-04 215325763	   7      -1.00      -0.75  1.224194236610388E+00  5.735392483118232E-04 215325763	   7      -1.00      -0.75  1.224194236610388E+00  5.735392483118232E-04 215325763	   7      -1.00      -0.75  1.167317451098472E+00  5.300060596998910E-04 215325763
   8      -0.75      -0.50  1.245041287808722E+00  5.216399453056277E-04 228610927	   8      -0.75      -0.50  1.245041287808722E+00  5.216399453056277E-04 228610927	   8      -0.75      -0.50  1.189776957788944E+00  4.865074504140608E-04 228610927	   8      -0.75      -0.50  1.189776957788944E+00  4.865074504140608E-04 228610927	   8      -0.75      -0.50  1.304502904738449E+00  5.633163502004497E-04 228610927	   8      -0.75      -0.50  1.304502904738449E+00  5.633163502004497E-04 228610927	   8      -0.75      -0.50  1.245041287808722E+00  5.216399453056277E-04 228610927
   9      -0.50      -0.25  1.298231438048636E+00  5.102122490041519E-04 237905040	   9      -0.50      -0.25  1.298231438048636E+00  5.102122490041519E-04 237905040	   9      -0.50      -0.25  1.241302058870567E+00  4.764708583695566E-04 237905040	   9      -0.50      -0.25  1.241302058870567E+00  4.764708583695566E-04 237905040	   9      -0.50      -0.25  1.359354891160455E+00  5.501705383806618E-04 237905040	   9      -0.50      -0.25  1.359354891160455E+00  5.501705383806618E-04 237905040	   9      -0.50      -0.25  1.298231438048636E+00  5.102122490041519E-04 237905040
  10      -0.25       0.00  1.324954690295744E+00  5.065736367814109E-04 242668194	  10      -0.25       0.00  1.324954690295744E+00  5.065736367814109E-04 242668194	  10      -0.25       0.00  1.267194007785564E+00  4.731750879946739E-04 242668194	  10      -0.25       0.00  1.267194007785564E+00  4.731750879946739E-04 242668194	  10      -0.25       0.00  1.386908447991577E+00  5.461339982801556E-04 242668194	  10      -0.25       0.00  1.386908447991577E+00  5.461339982801556E-04 242668194	  10      -0.25       0.00  1.324954690295744E+00  5.065736367814109E-04 242668194
