# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.317715354463882E-01  7.634993721345952E-03 132764726	   1      -2.50      -2.25  3.317715354463882E-01  7.634993721345952E-03 132764726	   1      -2.50      -2.25  3.159652474598317E-01  6.843962968152280E-03 132764726	   1      -2.50      -2.25  3.159652474598317E-01  6.843962968152280E-03 132764726	   1      -2.50      -2.25  3.489323506384696E-01  8.616304529637360E-03 132764726	   1      -2.50      -2.25  3.489323506384696E-01  8.616304529637360E-03 132764726	   1      -2.50      -2.25  3.317715354463882E-01  7.634993721345952E-03 132764726
   2      -2.25      -2.00  4.354614207421899E-01  1.008773398867355E-02 165857664	   2      -2.25      -2.00  4.354614207421899E-01  1.008773398867355E-02 165857664	   2      -2.25      -2.00  4.157850351080521E-01  9.044878278005188E-03 165857664	   2      -2.25      -2.00  4.157850351080521E-01  9.044878278005188E-03 165857664	   2      -2.25      -2.00  4.566024599337135E-01  1.139456807858071E-02 165857664	   2      -2.25      -2.00  4.566024599337135E-01  1.139456807858071E-02 165857664	   2      -2.25      -2.00  4.354614207421899E-01  1.008773398867355E-02 165857664
   3      -2.00      -1.75  5.544833980208638E-01  7.178036615761891E-03 200185382	   3      -2.00      -1.75  5.544833980208638E-01  7.178036615761891E-03 200185382	   3      -2.00      -1.75  5.296131372707614E-01  6.468797401245475E-03 200185382	   3      -2.00      -1.75  5.296131372707614E-01  6.468797401245475E-03 200185382	   3      -2.00      -1.75  5.813022061865116E-01  8.061137929790142E-03 200185382	   3      -2.00      -1.75  5.813022061865116E-01  8.061137929790142E-03 200185382	   3      -2.00      -1.75  5.544833980208638E-01  7.178036615761891E-03 200185382
   4      -1.75      -1.50  6.509063429549069E-01  9.045207645856453E-03 234587343	   4      -1.75      -1.50  6.509063429549069E-01  9.045207645856453E-03 234587343	   4      -1.75      -1.50  6.237718875428050E-01  8.063526603916510E-03 234587343	   4      -1.75      -1.50  6.237718875428050E-01  8.063526603916510E-03 234587343	   4      -1.75      -1.50  6.797297941278742E-01  1.030318005720537E-02 234587343	   4      -1.75      -1.50  6.797297941278742E-01  1.030318005720537E-02 234587343	   4      -1.75      -1.50  6.509063429549069E-01  9.045207645856453E-03 234587343
   5      -1.50      -1.25  7.465167038265005E-01  1.180969651107555E-02 267620764	   5      -1.50      -1.25  7.465167038265005E-01  1.180969651107555E-02 267620764	   5      -1.50      -1.25  7.168047846575767E-01  1.056543750320393E-02 267620764	   5      -1.50      -1.25  7.168047846575767E-01  1.056543750320393E-02 267620764	   5      -1.50      -1.25  7.778313857871462E-01  1.336674114237002E-02 267620764	   5      -1.50      -1.25  7.778313857871462E-01  1.336674114237002E-02 267620764	   5      -1.50      -1.25  7.465167038265005E-01  1.180969651107555E-02 267620764
   6      -1.25      -1.00  8.276980450427269E-01  1.108985013493891E-02 297746298	   6      -1.25      -1.00  8.276980450427269E-01  1.108985013493891E-02 297746298	   6      -1.25      -1.00  7.954341434014283E-01  1.013244289555161E-02 297746298	   6      -1.25      -1.00  7.954341434014283E-01  1.013244289555161E-02 297746298	   6      -1.25      -1.00  8.616128123598535E-01  1.226382650408996E-02 297746298	   6      -1.25      -1.00  8.616128123598535E-01  1.226382650408996E-02 297746298	   6      -1.25      -1.00  8.276980450427269E-01  1.108985013493891E-02 297746298
   7      -1.00      -0.75  9.136853499945268E-01  1.261310145115064E-02 323579940	   7      -1.00      -0.75  9.136853499945268E-01  1.261310145115064E-02 323579940	   7      -1.00      -0.75  8.787092185061504E-01  1.122513762665868E-02 323579940	   7      -1.00      -0.75  8.787092185061504E-01  1.122513762665868E-02 323579940	   7      -1.00      -0.75  9.503935573447120E-01  1.435862515735729E-02 323579940	   7      -1.00      -0.75  9.503935573447120E-01  1.435862515735729E-02 323579940	   7      -1.00      -0.75  9.136853499945268E-01  1.261310145115064E-02 323579940
   8      -0.75      -0.50  9.920049147831702E-01  9.900621716353395E-03 344050981	   8      -0.75      -0.50  9.920049147831702E-01  9.900621716353395E-03 344050981	   8      -0.75      -0.50  9.536226655258733E-01  9.140441949334633E-03 344050981	   8      -0.75      -0.50  9.536226655258733E-01  9.140441949334633E-03 344050981	   8      -0.75      -0.50  1.032438693350051E+00  1.081711077429311E-02 344050981	   8      -0.75      -0.50  1.032438693350051E+00  1.081711077429311E-02 344050981	   8      -0.75      -0.50  9.920049147831702E-01  9.900621716353395E-03 344050981
   9      -0.50      -0.25  1.035993036313834E+00  8.612318969824435E-03 358394623	   9      -0.50      -0.25  1.035993036313834E+00  8.612318969824435E-03 358394623	   9      -0.50      -0.25  9.968238546006756E-01  7.878878813400885E-03 358394623	   9      -0.50      -0.25  9.968238546006756E-01  7.878878813400885E-03 358394623	   9      -0.50      -0.25  1.077015057658175E+00  9.499157330466251E-03 358394623	   9      -0.50      -0.25  1.077015057658175E+00  9.499157330466251E-03 358394623	   9      -0.50      -0.25  1.035993036313834E+00  8.612318969824435E-03 358394623
  10      -0.25       0.00  1.054811275963001E+00  7.826555806047079E-03 365926585	  10      -0.25       0.00  1.054811275963001E+00  7.826555806047079E-03 365926585	  10      -0.25       0.00  1.014806596671087E+00  7.198579323000933E-03 365926585	  10      -0.25       0.00  1.014806596671087E+00  7.198579323000933E-03 365926585	  10      -0.25       0.00  1.096792393929677E+00  8.590251149999025E-03 365926585	  10      -0.25       0.00  1.096792393929677E+00  8.590251149999025E-03 365926585	  10      -0.25       0.00  1.054811275963001E+00  7.826555806047079E-03 365926585
