# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  4.964956023577846E-01  4.608376152769508E-04 100669858	   3      -4.00      -3.75  4.964956023577846E-01  4.608376152769508E-04 100669858	   3      -4.00      -3.75  4.614152578549504E-01  4.179715919310237E-04 100669858	   3      -4.00      -3.75  4.614152578549504E-01  4.179715919310237E-04 100669858	   3      -4.00      -3.75  5.368499401410831E-01  5.134186553809573E-04 100669858	   3      -4.00      -3.75  5.368499401410831E-01  5.134186553809573E-04 100669858	   3      -4.00      -3.75  4.964956023577846E-01  4.608376152769508E-04 100669858
   4      -3.75      -3.50  6.567421528782328E-01  5.375719525199635E-04 115293573	   4      -3.75      -3.50  6.567421528782328E-01  5.375719525199635E-04 115293573	   4      -3.75      -3.50  6.129182227827938E-01  4.896522280908746E-04 115293573	   4      -3.75      -3.50  6.129182227827938E-01  4.896522280908746E-04 115293573	   4      -3.75      -3.50  7.068445335595601E-01  5.961328531871044E-04 115293573	   4      -3.75      -3.50  7.068445335595601E-01  5.961328531871044E-04 115293573	   4      -3.75      -3.50  6.567421528782328E-01  5.375719525199635E-04 115293573
   5      -3.50      -3.25  7.975575493924720E-01  5.951724733563417E-04 127404956	   5      -3.50      -3.25  7.975575493924720E-01  5.951724733563417E-04 127404956	   5      -3.50      -3.25  7.473941535559743E-01  5.446676393886624E-04 127404956	   5      -3.50      -3.25  7.473941535559743E-01  5.446676393886624E-04 127404956	   5      -3.50      -3.25  8.545370047485217E-01  6.564954246224520E-04 127404956	   5      -3.50      -3.25  8.545370047485217E-01  6.564954246224520E-04 127404956	   5      -3.50      -3.25  7.975575493924720E-01  5.951724733563417E-04 127404956
   6      -3.25      -3.00  9.014457683912025E-01  6.208668642161676E-04 136678361	   6      -3.25      -3.00  9.014457683912025E-01  6.208668642161676E-04 136678361	   6      -3.25      -3.00  8.480933254544325E-01  5.704741181899868E-04 136678361	   6      -3.25      -3.00  8.480933254544325E-01  5.704741181899868E-04 136678361	   6      -3.25      -3.00  9.616140310287792E-01  6.817591439558637E-04 136678361	   6      -3.25      -3.00  9.616140310287792E-01  6.817591439558637E-04 136678361	   6      -3.25      -3.00  9.014457683912025E-01  6.208668642161676E-04 136678361
   7      -3.00      -2.75  9.534723263177955E-01  6.015137390320721E-04 142930045	   7      -3.00      -2.75  9.534723263177955E-01  6.015137390320721E-04 142930045	   7      -3.00      -2.75  9.005776898106599E-01  5.560046306562519E-04 142930045	   7      -3.00      -2.75  9.005776898106599E-01  5.560046306562519E-04 142930045	   7      -3.00      -2.75  1.012627694904460E+00  6.560624242884369E-04 142930045	   7      -3.00      -2.75  1.012627694904460E+00  6.560624242884369E-04 142930045	   7      -3.00      -2.75  9.534723263177955E-01  6.015137390320721E-04 142930045
   8      -2.75      -2.50  9.591394735287861E-01  5.721797611924205E-04 146068057	   8      -2.75      -2.50  9.591394735287861E-01  5.721797611924205E-04 146068057	   8      -2.75      -2.50  9.093845838662968E-01  5.311183570818945E-04 146068057	   8      -2.75      -2.50  9.093845838662968E-01  5.311183570818945E-04 146068057	   8      -2.75      -2.50  1.014249659323410E+00  6.211087793944242E-04 146068057	   8      -2.75      -2.50  1.014249659323410E+00  6.211087793944242E-04 146068057	   8      -2.75      -2.50  9.591394735287861E-01  5.721797611924205E-04 146068057
   9      -2.50      -2.25  9.207423111968640E-01  5.169535368852231E-04 146095629	   9      -2.50      -2.25  9.207423111968640E-01  5.169535368852231E-04 146095629	   9      -2.50      -2.25  8.762151662852887E-01  4.824938698108474E-04 146095629	   9      -2.50      -2.25  8.762151662852887E-01  4.824938698108474E-04 146095629	   9      -2.50      -2.25  9.695080104321447E-01  5.575856032779962E-04 146095629	   9      -2.50      -2.25  9.695080104321447E-01  5.575856032779962E-04 146095629	   9      -2.50      -2.25  9.207423111968640E-01  5.169535368852231E-04 146095629
  10      -2.25      -2.00  8.507054619814600E-01  4.554278171394943E-04 143122094	  10      -2.25      -2.00  8.507054619814600E-01  4.554278171394943E-04 143122094	  10      -2.25      -2.00  8.126179072744035E-01  4.271287898036794E-04 143122094	  10      -2.25      -2.00  8.126179072744035E-01  4.271287898036794E-04 143122094	  10      -2.25      -2.00  8.918338516228771E-01  4.884844241501887E-04 143122094	  10      -2.25      -2.00  8.918338516228771E-01  4.884844241501887E-04 143122094	  10      -2.25      -2.00  8.507054619814600E-01  4.554278171394943E-04 143122094
  11      -2.00      -1.75  7.608728571026021E-01  3.884279702742759E-04 137272922	  11      -2.00      -1.75  7.608728571026021E-01  3.884279702742759E-04 137272922	  11      -2.00      -1.75  7.295452000071505E-01  3.662717914180714E-04 137272922	  11      -2.00      -1.75  7.295452000071505E-01  3.662717914180714E-04 137272922	  11      -2.00      -1.75  7.941093588319766E-01  4.139942938411731E-04 137272922	  11      -2.00      -1.75  7.941093588319766E-01  4.139942938411731E-04 137272922	  11      -2.00      -1.75  7.608728571026021E-01  3.884279702742759E-04 137272922
