# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  5.077632098203504E-10  1.610741735565449E-10 284	   4      -3.75      -3.50  5.077632098203504E-10  1.610741735565449E-10 284	   4      -3.75      -3.50  4.259636239115366E-10  1.372827412267040E-10 284	   4      -3.75      -3.50  4.259636239115366E-10  1.372827412267040E-10 284	   4      -3.75      -3.50  6.119728061888341E-10  1.909810345969289E-10 284	   4      -3.75      -3.50  6.119728061888341E-10  1.909810345969289E-10 284	   4      -3.75      -3.50  5.077632098203504E-10  1.610741735565449E-10 284
   5      -3.50      -3.25  3.962345803502812E-06  1.011432773703145E-07 69627	   5      -3.50      -3.25  3.962345803502812E-06  1.011432773703145E-07 69627	   5      -3.50      -3.25  3.594108786011444E-06  9.270976613561904E-08 69627	   5      -3.50      -3.25  3.594108786011444E-06  9.270976613561904E-08 69627	   5      -3.50      -3.25  4.377482775836546E-06  1.105772880670469E-07 69627	   5      -3.50      -3.25  4.377482775836546E-06  1.105772880670469E-07 69627	   5      -3.50      -3.25  3.962345803502812E-06  1.011432773703145E-07 69627
   6      -3.25      -3.00  1.861051202269765E-04  1.342882543463632E-06 827996	   6      -3.25      -3.00  1.861051202269765E-04  1.342882543463632E-06 827996	   6      -3.25      -3.00  1.744275099463546E-04  1.267798835510380E-06 827996	   6      -3.25      -3.00  1.744275099463546E-04  1.267798835510380E-06 827996	   6      -3.25      -3.00  1.982065735451527E-04  1.420297862252974E-06 827996	   6      -3.25      -3.00  1.982065735451527E-04  1.420297862252974E-06 827996	   6      -3.25      -3.00  1.861051202269765E-04  1.342882543463632E-06 827996
   7      -3.00      -2.75  2.169032452290966E-03  6.244757403699806E-06 4040739	   7      -3.00      -2.75  2.169032452290966E-03  6.244757403699806E-06 4040739	   7      -3.00      -2.75  2.071511464483295E-03  5.989819422882193E-06 4040739	   7      -3.00      -2.75  2.071511464483295E-03  5.989819422882193E-06 4040739	   7      -3.00      -2.75  2.262331226072849E-03  6.491009242887795E-06 4040739	   7      -3.00      -2.75  2.262331226072849E-03  6.491009242887795E-06 4040739	   7      -3.00      -2.75  2.169032452290966E-03  6.244757403699806E-06 4040739
   8      -2.75      -2.50  1.230295932576587E-02  1.811530185032337E-05 13053500	   8      -2.75      -2.50  1.230295932576587E-02  1.811530185032337E-05 13053500	   8      -2.75      -2.50  1.187993019432798E-02  1.750254302694236E-05 13053500	   8      -2.75      -2.50  1.187993019432798E-02  1.750254302694236E-05 13053500	   8      -2.75      -2.50  1.267818379327127E-02  1.868863326857327E-05 13053500	   8      -2.75      -2.50  1.267818379327127E-02  1.868863326857327E-05 13053500	   8      -2.75      -2.50  1.230295932576587E-02  1.811530185032337E-05 13053500
   9      -2.50      -2.25  4.329818184529322E-02  3.893779822224469E-05 30092994	   9      -2.50      -2.25  4.329818184529322E-02  3.893779822224469E-05 30092994	   9      -2.50      -2.25  4.205853749535505E-02  3.773908973179935E-05 30092994	   9      -2.50      -2.25  4.205853749535505E-02  3.773908973179935E-05 30092994	   9      -2.50      -2.25  4.433903602690607E-02  4.005594425324810E-05 30092994	   9      -2.50      -2.25  4.433903602690607E-02  4.005594425324810E-05 30092994	   9      -2.50      -2.25  4.329818184529322E-02  3.893779822224469E-05 30092994
  10      -2.25      -2.00  1.110432788627442E-01  7.092262601279794E-05 54714756	  10      -2.25      -2.00  1.110432788627442E-01  7.092262601279794E-05 54714756	  10      -2.25      -2.00  1.081064735378469E-01  6.867595182206005E-05 54714756	  10      -2.25      -2.00  1.081064735378469E-01  6.867595182206005E-05 54714756	  10      -2.25      -2.00  1.134819419643390E-01  7.309342887938932E-05 54714756	  10      -2.25      -2.00  1.134819419643390E-01  7.309342887938932E-05 54714756	  10      -2.25      -2.00  1.110432788627442E-01  7.092262601279794E-05 54714756
  11      -2.00      -1.75  2.304680576256189E-01  1.162339221127815E-04 85996997	  11      -2.00      -1.75  2.304680576256189E-01  1.162339221127815E-04 85996997	  11      -2.00      -1.75  2.242839638854561E-01  1.121130294406535E-04 85996997	  11      -2.00      -1.75  2.242839638854561E-01  1.121130294406535E-04 85996997	  11      -2.00      -1.75  2.357701703868249E-01  1.204265355183896E-04 85996997	  11      -2.00      -1.75  2.357701703868249E-01  1.204265355183896E-04 85996997	  11      -2.00      -1.75  2.304680576256189E-01  1.162339221127815E-04 85996997
