# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  8.877993988538750E-01  5.981678697454925E-04 170921933	   3      -4.00      -3.75  8.877993988538750E-01  5.981678697454925E-04 170921933	   3      -4.00      -3.75  8.275143024526634E-01  5.435984293277941E-04 170921933	   3      -4.00      -3.75  8.275143024526634E-01  5.435984293277941E-04 170921933	   3      -4.00      -3.75  9.573595804950545E-01  6.651989066405991E-04 170921933	   3      -4.00      -3.75  9.573595804950545E-01  6.651989066405991E-04 170921933	   3      -4.00      -3.75  8.877993988538750E-01  5.981678697454925E-04 170921933
   4      -3.75      -3.50  9.837467352314224E-01  6.354522843944344E-04 174400741	   4      -3.75      -3.50  9.837467352314224E-01  6.354522843944344E-04 174400741	   4      -3.75      -3.50  9.212585572420477E-01  5.800759965095606E-04 174400741	   4      -3.75      -3.50  9.212585572420477E-01  5.800759965095606E-04 174400741	   4      -3.75      -3.50  1.055197494484113E+00  7.030376262374206E-04 174400741	   4      -3.75      -3.50  1.055197494484113E+00  7.030376262374206E-04 174400741	   4      -3.75      -3.50  9.837467352314224E-01  6.354522843944344E-04 174400741
   5      -3.50      -3.25  1.031008847340515E+00  6.337931253176294E-04 174112773	   5      -3.50      -3.25  1.031008847340515E+00  6.337931253176294E-04 174112773	   5      -3.50      -3.25  9.697721122052338E-01  5.809996674252836E-04 174112773	   5      -3.50      -3.25  9.697721122052338E-01  5.809996674252836E-04 174112773	   5      -3.50      -3.25  1.100363231826306E+00  6.979234970967667E-04 174112773	   5      -3.50      -3.25  1.100363231826306E+00  6.979234970967667E-04 174112773	   5      -3.50      -3.25  1.031008847340515E+00  6.337931253176294E-04 174112773
   6      -3.25      -3.00  1.031241092407396E+00  5.971904439931789E-04 170630727	   6      -3.25      -3.00  1.031241092407396E+00  5.971904439931789E-04 170630727	   6      -3.25      -3.00  9.741955771757544E-01  5.511374913103009E-04 170630727	   6      -3.25      -3.00  9.741955771757544E-01  5.511374913103009E-04 170630727	   6      -3.25      -3.00  1.095144050654973E+00  6.525425278235541E-04 170630727	   6      -3.25      -3.00  1.095144050654973E+00  6.525425278235541E-04 170630727	   6      -3.25      -3.00  1.031241092407396E+00  5.971904439931789E-04 170630727
   7      -3.00      -2.75  9.930577623624638E-01  5.536500266802206E-04 164616000	   7      -3.00      -2.75  9.930577623624638E-01  5.536500266802206E-04 164616000	   7      -3.00      -2.75  9.419111016160671E-01  5.133383908243789E-04 164616000	   7      -3.00      -2.75  9.419111016160671E-01  5.133383908243789E-04 164616000	   7      -3.00      -2.75  1.049673260910898E+00  6.018689185833484E-04 164616000	   7      -3.00      -2.75  1.049673260910898E+00  6.018689185833484E-04 164616000	   7      -3.00      -2.75  9.930577623624638E-01  5.536500266802206E-04 164616000
   8      -2.75      -2.50  9.226435152693364E-01  4.943834357354678E-04 156502539	   8      -2.75      -2.50  9.226435152693364E-01  4.943834357354678E-04 156502539	   8      -2.75      -2.50  8.786152234106870E-01  4.611252325206509E-04 156502539	   8      -2.75      -2.50  8.786152234106870E-01  4.611252325206509E-04 156502539	   8      -2.75      -2.50  9.706886861560780E-01  5.336211718009456E-04 156502539	   8      -2.75      -2.50  9.706886861560780E-01  5.336211718009456E-04 156502539	   8      -2.75      -2.50  9.226435152693364E-01  4.943834357354678E-04 156502539
   9      -2.50      -2.25  8.331407696194427E-01  4.285397226962509E-04 146738183	   9      -2.50      -2.25  8.331407696194427E-01  4.285397226962509E-04 146738183	   9      -2.50      -2.25  7.964175006409221E-01  4.015468265543872E-04 146738183	   9      -2.50      -2.25  7.964175006409221E-01  4.015468265543872E-04 146738183	   9      -2.50      -2.25  8.725541940261016E-01  4.601114744431681E-04 146738183	   9      -2.50      -2.25  8.725541940261016E-01  4.601114744431681E-04 146738183	   9      -2.50      -2.25  8.331407696194427E-01  4.285397226962509E-04 146738183
  10      -2.25      -2.00  7.343686857732636E-01  3.690679053501240E-04 135618531	  10      -2.25      -2.00  7.343686857732636E-01  3.690679053501240E-04 135618531	  10      -2.25      -2.00  7.045926764996047E-01  3.474786137407429E-04 135618531	  10      -2.25      -2.00  7.045926764996047E-01  3.474786137407429E-04 135618531	  10      -2.25      -2.00  7.657016414852639E-01  3.940475905808494E-04 135618531	  10      -2.25      -2.00  7.657016414852639E-01  3.940475905808494E-04 135618531	  10      -2.25      -2.00  7.343686857732636E-01  3.690679053501240E-04 135618531
  11      -2.00      -1.75  6.324414204266209E-01  3.074957133139385E-04 123566615	  11      -2.00      -1.75  6.324414204266209E-01  3.074957133139385E-04 123566615	  11      -2.00      -1.75  6.090157815794630E-01  2.912298254149668E-04 123566615	  11      -2.00      -1.75  6.090157815794630E-01  2.912298254149668E-04 123566615	  11      -2.00      -1.75  6.565013319249287E-01  3.260029374878337E-04 123566615	  11      -2.00      -1.75  6.565013319249287E-01  3.260029374878337E-04 123566615	  11      -2.00      -1.75  6.324414204266209E-01  3.074957133139385E-04 123566615
