# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  7.143943075054662E-01  9.359035912199956E-03 252971098	   3      -4.00      -3.75  7.143943075054662E-01  9.359035912199956E-03 252971098	   3      -4.00      -3.75  6.700942777289024E-01  8.386543543389110E-03 252971098	   3      -4.00      -3.75  6.700942777289024E-01  8.386543543389110E-03 252971098	   3      -4.00      -3.75  7.649968246876419E-01  1.056783000680486E-02 252971098	   3      -4.00      -3.75  7.649968246876419E-01  1.056783000680486E-02 252971098	   3      -4.00      -3.75  7.143943075054662E-01  9.359035912199956E-03 252971098
   4      -3.75      -3.50  7.698810319646165E-01  1.229033213295507E-02 259365790	   4      -3.75      -3.50  7.698810319646165E-01  1.229033213295507E-02 259365790	   4      -3.75      -3.50  7.267049321564018E-01  1.093037294757936E-02 259365790	   4      -3.75      -3.50  7.267049321564018E-01  1.093037294757936E-02 259365790	   4      -3.75      -3.50  8.184379890829803E-01  1.400091656341883E-02 259365790	   4      -3.75      -3.50  8.184379890829803E-01  1.400091656341883E-02 259365790	   4      -3.75      -3.50  7.698810319646165E-01  1.229033213295507E-02 259365790
   5      -3.50      -3.25  8.049715101148749E-01  1.150711223891792E-02 260049645	   5      -3.50      -3.25  8.049715101148749E-01  1.150711223891792E-02 260049645	   5      -3.50      -3.25  7.627445131403359E-01  1.031151403893466E-02 260049645	   5      -3.50      -3.25  7.627445131403359E-01  1.031151403893466E-02 260049645	   5      -3.50      -3.25  8.520259833572468E-01  1.299749116728543E-02 260049645	   5      -3.50      -3.25  8.520259833572468E-01  1.299749116728543E-02 260049645	   5      -3.50      -3.25  8.049715101148749E-01  1.150711223891792E-02 260049645
   6      -3.25      -3.00  8.100317311246030E-01  1.348226883941144E-02 255866413	   6      -3.25      -3.00  8.100317311246030E-01  1.348226883941144E-02 255866413	   6      -3.25      -3.00  7.708842806024909E-01  1.197423177109228E-02 255866413	   6      -3.25      -3.00  7.708842806024909E-01  1.197423177109228E-02 255866413	   6      -3.25      -3.00  8.530565126821043E-01  1.536985484202774E-02 255866413	   6      -3.25      -3.00  8.530565126821043E-01  1.536985484202774E-02 255866413	   6      -3.25      -3.00  8.100317311246030E-01  1.348226883941144E-02 255866413
   7      -3.00      -2.75  7.810308240301279E-01  9.492893612997010E-03 247614855	   7      -3.00      -2.75  7.810308240301279E-01  9.492893612997010E-03 247614855	   7      -3.00      -2.75  7.464771630130731E-01  8.434916161297792E-03 247614855	   7      -3.00      -2.75  7.464771630130731E-01  8.434916161297792E-03 247614855	   7      -3.00      -2.75  8.182649478909928E-01  1.086445128301034E-02 247614855	   7      -3.00      -2.75  8.182649478909928E-01  1.086445128301034E-02 247614855	   7      -3.00      -2.75  7.810308240301279E-01  9.492893612997010E-03 247614855
   8      -2.75      -2.50  7.319644585905025E-01  8.516678377815931E-03 236024946	   8      -2.75      -2.50  7.319644585905025E-01  8.516678377815931E-03 236024946	   8      -2.75      -2.50  7.017063309677870E-01  7.720082620067013E-03 236024946	   8      -2.75      -2.50  7.017063309677870E-01  7.720082620067013E-03 236024946	   8      -2.75      -2.50  7.641829365872868E-01  9.519973596468830E-03 236024946	   8      -2.75      -2.50  7.641829365872868E-01  9.519973596468830E-03 236024946	   8      -2.75      -2.50  7.319644585905025E-01  8.516678377815931E-03 236024946
   9      -2.50      -2.25  6.621572877311920E-01  7.404204564284731E-03 221749203	   9      -2.50      -2.25  6.621572877311920E-01  7.404204564284731E-03 221749203	   9      -2.50      -2.25  6.368912036964930E-01  6.907409648601160E-03 221749203	   9      -2.50      -2.25  6.368912036964930E-01  6.907409648601160E-03 221749203	   9      -2.50      -2.25  6.886079921608916E-01  7.996847248468034E-03 221749203	   9      -2.50      -2.25  6.886079921608916E-01  7.996847248468034E-03 221749203	   9      -2.50      -2.25  6.621572877311920E-01  7.404204564284731E-03 221749203
  10      -2.25      -2.00  5.934439273628825E-01  4.919806233049532E-03 205337079	  10      -2.25      -2.00  5.934439273628825E-01  4.919806233049532E-03 205337079	  10      -2.25      -2.00  5.720830545030087E-01  4.610306151799591E-03 205337079	  10      -2.25      -2.00  5.720830545030087E-01  4.610306151799591E-03 205337079	  10      -2.25      -2.00  6.155255778917232E-01  5.279050396112618E-03 205337079	  10      -2.25      -2.00  6.155255778917232E-01  5.279050396112618E-03 205337079	  10      -2.25      -2.00  5.934439273628825E-01  4.919806233049532E-03 205337079
  11      -2.00      -1.75  4.887695790798662E-01  7.075862753703296E-03 187277796	  11      -2.00      -1.75  4.887695790798662E-01  7.075862753703296E-03 187277796	  11      -2.00      -1.75  4.741364160587684E-01  6.521223197058966E-03 187277796	  11      -2.00      -1.75  4.741364160587684E-01  6.521223197058966E-03 187277796	  11      -2.00      -1.75  5.030777997597791E-01  7.735015076980967E-03 187277796	  11      -2.00      -1.75  5.030777997597791E-01  7.735015076980967E-03 187277796	  11      -2.00      -1.75  4.887695790798662E-01  7.075862753703296E-03 187277796
