# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  4.170379052435299E-01  4.237525577231595E-04 89914934	   1      -2.50      -2.25  4.170379052435299E-01  4.237525577231595E-04 89914934	   1      -2.50      -2.25  3.941846635134882E-01  3.877874905023355E-04 89914934	   1      -2.50      -2.25  3.941846635134882E-01  3.877874905023355E-04 89914934	   1      -2.50      -2.25  4.423861137970899E-01  4.675950188276878E-04 89914934	   1      -2.50      -2.25  4.423861137970899E-01  4.675950188276878E-04 89914934	   1      -2.50      -2.25  4.170379052435299E-01  4.237525577231595E-04 89914934
   2      -2.25      -2.00  5.492102566593959E-01  4.724582550034051E-04 111961157	   2      -2.25      -2.00  5.492102566593959E-01  4.724582550034051E-04 111961157	   2      -2.25      -2.00  5.202800408893387E-01  4.340392454202631E-04 111961157	   2      -2.25      -2.00  5.202800408893387E-01  4.340392454202631E-04 111961157	   2      -2.25      -2.00  5.811438317256765E-01  5.189764735064895E-04 111961157	   2      -2.25      -2.00  5.811438317256765E-01  5.189764735064895E-04 111961157	   2      -2.25      -2.00  5.492102566593959E-01  4.724582550034051E-04 111961157
   3      -2.00      -1.75  6.864680297432149E-01  5.041946502852038E-04 134723100	   3      -2.00      -1.75  6.864680297432149E-01  5.041946502852038E-04 134723100	   3      -2.00      -1.75  6.517035794017743E-01  4.648550580428303E-04 134723100	   3      -2.00      -1.75  6.517035794017743E-01  4.648550580428303E-04 134723100	   3      -2.00      -1.75  7.246351936141271E-01  5.516179819408831E-04 134723100	   3      -2.00      -1.75  7.246351936141271E-01  5.516179819408831E-04 134723100	   3      -2.00      -1.75  6.864680297432149E-01  5.041946502852038E-04 134723100
   4      -1.75      -1.50  8.218103637099288E-01  5.296223853927628E-04 157401305	   4      -1.75      -1.50  8.218103637099288E-01  5.296223853927628E-04 157401305	   4      -1.75      -1.50  7.816377915094768E-01  4.894629033222866E-04 157401305	   4      -1.75      -1.50  7.816377915094768E-01  4.894629033222866E-04 157401305	   4      -1.75      -1.50  8.656922450035653E-01  5.778054372682521E-04 157401305	   4      -1.75      -1.50  8.656922450035653E-01  5.778054372682521E-04 157401305	   4      -1.75      -1.50  8.218103637099288E-01  5.296223853927628E-04 157401305
   5      -1.50      -1.25  9.522385280218542E-01  5.399737391334645E-04 179122265	   5      -1.50      -1.25  9.522385280218542E-01  5.399737391334645E-04 179122265	   5      -1.50      -1.25  9.070592725867700E-01  5.001494807808796E-04 179122265	   5      -1.50      -1.25  9.070592725867700E-01  5.001494807808796E-04 179122265	   5      -1.50      -1.25  1.001375898888479E+00  5.878096338751567E-04 179122265	   5      -1.50      -1.25  1.001375898888479E+00  5.878096338751567E-04 179122265	   5      -1.50      -1.25  9.522385280218542E-01  5.399737391334645E-04 179122265
   6      -1.25      -1.00  1.068182939950210E+00  5.393485456056497E-04 198799065	   6      -1.25      -1.00  1.068182939950210E+00  5.393485456056497E-04 198799065	   6      -1.25      -1.00  1.018853104310799E+00  5.007435218773378E-04 198799065	   6      -1.25      -1.00  1.018853104310799E+00  5.007435218773378E-04 198799065	   6      -1.25      -1.00  1.121611128934435E+00  5.854505303321654E-04 198799065	   6      -1.25      -1.00  1.121611128934435E+00  5.854505303321654E-04 198799065	   6      -1.25      -1.00  1.068182939950210E+00  5.393485456056497E-04 198799065
   7      -1.00      -0.75  1.166236692723966E+00  5.269634045542884E-04 215611133	   7      -1.00      -0.75  1.166236692723966E+00  5.269634045542884E-04 215611133	   7      -1.00      -0.75  1.113626301925792E+00  4.908121810650086E-04 215611133	   7      -1.00      -0.75  1.113626301925792E+00  4.908121810650086E-04 215611133	   7      -1.00      -0.75  1.222994885547650E+00  5.698926369995331E-04 215611133	   7      -1.00      -0.75  1.222994885547650E+00  5.698926369995331E-04 215611133	   7      -1.00      -0.75  1.166236692723966E+00  5.269634045542884E-04 215611133
   8      -0.75      -0.50  1.244707328047687E+00  5.183824746333298E-04 228829343	   8      -0.75      -0.50  1.244707328047687E+00  5.183824746333298E-04 228829343	   8      -0.75      -0.50  1.189476652623605E+00  4.833990010982402E-04 228829343	   8      -0.75      -0.50  1.189476652623605E+00  4.833990010982402E-04 228829343	   8      -0.75      -0.50  1.304130313437777E+00  5.598944157062187E-04 228829343	   8      -0.75      -0.50  1.304130313437777E+00  5.598944157062187E-04 228829343	   8      -0.75      -0.50  1.244707328047687E+00  5.183824746333298E-04 228829343
   9      -0.50      -0.25  1.297878670854855E+00  5.086122969546711E-04 237959194	   9      -0.50      -0.25  1.297878670854855E+00  5.086122969546711E-04 237959194	   9      -0.50      -0.25  1.240968494965283E+00  4.749027190730112E-04 237959194	   9      -0.50      -0.25  1.240968494965283E+00  4.749027190730112E-04 237959194	   9      -0.50      -0.25  1.358980739642350E+00  5.485802223110720E-04 237959194	   9      -0.50      -0.25  1.358980739642350E+00  5.485802223110720E-04 237959194	   9      -0.50      -0.25  1.297878670854855E+00  5.086122969546711E-04 237959194
  10      -0.25       0.00  1.325643589499641E+00  5.057986426402081E-04 242639377	  10      -0.25       0.00  1.325643589499641E+00  5.057986426402081E-04 242639377	  10      -0.25       0.00  1.267812895996712E+00  4.724788302305083E-04 242639377	  10      -0.25       0.00  1.267812895996712E+00  4.724788302305083E-04 242639377	  10      -0.25       0.00  1.387684153003200E+00  5.452837903713653E-04 242639377	  10      -0.25       0.00  1.387684153003200E+00  5.452837903713653E-04 242639377	  10      -0.25       0.00  1.325643589499641E+00  5.057986426402081E-04 242639377
