# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.559633098818806E-02  1.357399008281576E-04 1923411	   5      -8.00      -7.75  1.559633098818806E-02  1.357399008281576E-04 1923411	   5      -8.00      -7.75  1.379379045108510E-02  1.198605019085926E-04 1923411	   5      -8.00      -7.75  1.379379045108510E-02  1.198605019085926E-04 1923411	   5      -8.00      -7.75  1.785404692887432E-02  1.558003495458120E-04 1923411	   5      -8.00      -7.75  1.785404692887432E-02  1.558003495458120E-04 1923411	   5      -8.00      -7.75  1.559633098818806E-02  1.357399008281576E-04 1923411
   6      -7.75      -7.50  5.596597211119313E-02  2.442979916827753E-04 6598268	   6      -7.75      -7.50  5.596597211119313E-02  2.442979916827753E-04 6598268	   6      -7.75      -7.50  4.978990432169975E-02  2.172986332073004E-04 6598268	   6      -7.75      -7.50  4.978990432169975E-02  2.172986332073004E-04 6598268	   6      -7.75      -7.50  6.364115580578787E-02  2.781389283086463E-04 6598268	   6      -7.75      -7.50  6.364115580578787E-02  2.781389283086463E-04 6598268	   6      -7.75      -7.50  5.596597211119313E-02  2.442979916827753E-04 6598268
   7      -7.50      -7.25  1.088724829314834E-01  3.326053903047375E-04 12556632	   7      -7.50      -7.25  1.088724829314834E-01  3.326053903047375E-04 12556632	   7      -7.50      -7.25  9.750240015153355E-02  2.972875825850731E-04 12556632	   7      -7.50      -7.25  9.750240015153355E-02  2.972875825850731E-04 12556632	   7      -7.50      -7.25  1.228707217494827E-01  3.765787015384498E-04 12556632	   7      -7.50      -7.25  1.228707217494827E-01  3.765787015384498E-04 12556632	   7      -7.50      -7.25  1.088724829314834E-01  3.326053903047375E-04 12556632
   8      -7.25      -7.00  1.744389658267675E-01  3.968611195176369E-04 19861292	   8      -7.25      -7.00  1.744389658267675E-01  3.968611195176369E-04 19861292	   8      -7.25      -7.00  1.572573475682749E-01  3.567712855988602E-04 19861292	   8      -7.25      -7.00  1.572573475682749E-01  3.567712855988602E-04 19861292	   8      -7.25      -7.00  1.953883105114033E-01  4.464481302969999E-04 19861292	   8      -7.25      -7.00  1.953883105114033E-01  4.464481302969999E-04 19861292	   8      -7.25      -7.00  1.744389658267675E-01  3.968611195176369E-04 19861292
   9      -7.00      -6.75  2.480892186708462E-01  4.453670105881972E-04 28500086	   9      -7.00      -6.75  2.480892186708462E-01  4.453670105881972E-04 28500086	   9      -7.00      -6.75  2.251358877123852E-01  4.028863296601511E-04 28500086	   9      -7.00      -6.75  2.251358877123852E-01  4.028863296601511E-04 28500086	   9      -7.00      -6.75  2.757871406451177E-01  4.974157704723682E-04 28500086	   9      -7.00      -6.75  2.757871406451177E-01  4.974157704723682E-04 28500086	   9      -7.00      -6.75  2.480892186708462E-01  4.453670105881972E-04 28500086
  10      -6.75      -6.50  3.278584600800586E-01  4.721206241699405E-04 38456708	  10      -6.75      -6.50  3.278584600800586E-01  4.721206241699405E-04 38456708	  10      -6.75      -6.50  2.995169722887003E-01  4.290929111730338E-04 38456708	  10      -6.75      -6.50  2.995169722887003E-01  4.290929111730338E-04 38456708	  10      -6.75      -6.50  3.616813724442385E-01  5.246264072486349E-04 38456708	  10      -6.75      -6.50  3.616813724442385E-01  5.246264072486349E-04 38456708	  10      -6.75      -6.50  3.278584600800586E-01  4.721206241699405E-04 38456708
