# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.453609041952199E-02  6.730202859482595E-04 3001964	   5      -8.00      -7.75  1.453609041952199E-02  6.730202859482595E-04 3001964	   5      -8.00      -7.75  1.292759368566978E-02  5.740108420524753E-04 3001964	   5      -8.00      -7.75  1.292759368566978E-02  5.740108420524753E-04 3001964	   5      -8.00      -7.75  1.654135210546085E-02  8.029923852462566E-04 3001964	   5      -8.00      -7.75  1.654135210546085E-02  8.029923852462566E-04 3001964	   5      -8.00      -7.75  1.453609041952199E-02  6.730202859482595E-04 3001964
   6      -7.75      -7.50  4.538280391273083E-02  2.442799387520013E-03 10033100	   6      -7.75      -7.50  4.538280391273083E-02  2.442799387520013E-03 10033100	   6      -7.75      -7.50  4.055267470039077E-02  2.159954686050071E-03 10033100	   6      -7.75      -7.50  4.055267470039077E-02  2.159954686050071E-03 10033100	   6      -7.75      -7.50  5.137537822200325E-02  2.795663675171186E-03 10033100	   6      -7.75      -7.50  5.137537822200325E-02  2.795663675171186E-03 10033100	   6      -7.75      -7.50  4.538280391273083E-02  2.442799387520013E-03 10033100
   7      -7.50      -7.25  8.514660346435310E-02  5.683348284530653E-03 18994595	   7      -7.50      -7.25  8.514660346435310E-02  5.683348284530653E-03 18994595	   7      -7.50      -7.25  7.679674162821108E-02  5.028032985933543E-03 18994595	   7      -7.50      -7.25  7.679674162821108E-02  5.028032985933543E-03 18994595	   7      -7.50      -7.25  9.535954059408426E-02  6.501405695810145E-03 18994595	   7      -7.50      -7.25  9.535954059408426E-02  6.501405695810145E-03 18994595	   7      -7.50      -7.25  8.514660346435310E-02  5.683348284530653E-03 18994595
   8      -7.25      -7.00  1.366876815482042E-01  6.413369143205292E-03 29969281	   8      -7.25      -7.00  1.366876815482042E-01  6.413369143205292E-03 29969281	   8      -7.25      -7.00  1.240770810622693E-01  5.609027444202826E-03 29969281	   8      -7.25      -7.00  1.240770810622693E-01  5.609027444202826E-03 29969281	   8      -7.25      -7.00  1.519620698093944E-01  7.430408249302624E-03 29969281	   8      -7.25      -7.00  1.519620698093944E-01  7.430408249302624E-03 29969281	   8      -7.25      -7.00  1.366876815482042E-01  6.413369143205292E-03 29969281
   9      -7.00      -6.75  2.002440401750410E-01  5.938308432102952E-03 42978470	   9      -7.00      -6.75  2.002440401750410E-01  5.938308432102952E-03 42978470	   9      -7.00      -6.75  1.827449562771225E-01  5.262556085792878E-03 42978470	   9      -7.00      -6.75  1.827449562771225E-01  5.262556085792878E-03 42978470	   9      -7.00      -6.75  2.212565217880173E-01  6.781791182374612E-03 42978470	   9      -7.00      -6.75  2.212565217880173E-01  6.781791182374612E-03 42978470	   9      -7.00      -6.75  2.002440401750410E-01  5.938308432102952E-03 42978470
  10      -6.75      -6.50  2.522768774302044E-01  7.302570161779891E-03 57966047	  10      -6.75      -6.50  2.522768774302044E-01  7.302570161779891E-03 57966047	  10      -6.75      -6.50  2.320824656350094E-01  6.503872534364406E-03 57966047	  10      -6.75      -6.50  2.320824656350094E-01  6.503872534364406E-03 57966047	  10      -6.75      -6.50  2.761333903756875E-01  8.335432756487597E-03 57966047	  10      -6.75      -6.50  2.761333903756875E-01  8.335432756487597E-03 57966047	  10      -6.75      -6.50  2.522768774302044E-01  7.302570161779891E-03 57966047
