# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  1.915996263746578E-02  8.745872366776570E-05 5949256	   1      -5.00      -4.75  1.915996263746578E-02  8.745872366776570E-05 5949256	   1      -5.00      -4.75  1.729415346763226E-02  7.849285912903600E-05 5949256	   1      -5.00      -4.75  1.729415346763226E-02  7.849285912903600E-05 5949256	   1      -5.00      -4.75  2.142984165101754E-02  9.858334159435550E-05 5949256	   1      -5.00      -4.75  2.142984165101754E-02  9.858334159435550E-05 5949256	   1      -5.00      -4.75  1.915996263746578E-02  8.745872366776570E-05 5949256
   2      -4.75      -4.50  2.953806757366936E-02  1.124936392411875E-04 8506577	   2      -4.75      -4.50  2.953806757366936E-02  1.124936392411875E-04 8506577	   2      -4.75      -4.50  2.680002174677306E-02  1.013540790077718E-04 8506577	   2      -4.75      -4.50  2.680002174677306E-02  1.013540790077718E-04 8506577	   2      -4.75      -4.50  3.284386756049714E-02  1.262538343776844E-04 8506577	   2      -4.75      -4.50  3.284386756049714E-02  1.262538343776844E-04 8506577	   2      -4.75      -4.50  2.953806757366936E-02  1.124936392411875E-04 8506577
   3      -4.50      -4.25  4.367750646339226E-02  1.384124086674240E-04 11910009	   3      -4.50      -4.25  4.367750646339226E-02  1.384124086674240E-04 11910009	   3      -4.50      -4.25  3.982816985474040E-02  1.251242569560696E-04 11910009	   3      -4.50      -4.25  3.982816985474040E-02  1.251242569560696E-04 11910009	   3      -4.50      -4.25  4.828816174313544E-02  1.547583848239607E-04 11910009	   3      -4.50      -4.25  4.828816174313544E-02  1.547583848239607E-04 11910009	   3      -4.50      -4.25  4.367750646339226E-02  1.384124086674240E-04 11910009
   4      -4.25      -4.00  6.299550119572864E-02  1.636823045463330E-04 16341059	   4      -4.25      -4.00  6.299550119572864E-02  1.636823045463330E-04 16341059	   4      -4.25      -4.00  5.774374757769259E-02  1.487421960377029E-04 16341059	   4      -4.25      -4.00  5.774374757769259E-02  1.487421960377029E-04 16341059	   4      -4.25      -4.00  6.923221290429424E-02  1.819448344386435E-04 16341059	   4      -4.25      -4.00  6.923221290429424E-02  1.819448344386435E-04 16341059	   4      -4.25      -4.00  6.299550119572864E-02  1.636823045463330E-04 16341059
   5      -4.00      -3.75  8.921147615877918E-02  2.065923061387208E-04 21979415	   5      -4.00      -3.75  8.921147615877918E-02  2.065923061387208E-04 21979415	   5      -4.00      -3.75  8.214653630388123E-02  1.874629433104585E-04 21979415	   5      -4.00      -3.75  8.214653630388123E-02  1.874629433104585E-04 21979415	   5      -4.00      -3.75  9.753781418882318E-02  2.300652244602270E-04 21979415	   5      -4.00      -3.75  9.753781418882318E-02  2.300652244602270E-04 21979415	   5      -4.00      -3.75  8.921147615877918E-02  2.065923061387208E-04 21979415
   6      -3.75      -3.50  1.226587095799219E-01  2.242953815398833E-04 29071155	   6      -3.75      -3.50  1.226587095799219E-01  2.242953815398833E-04 29071155	   6      -3.75      -3.50  1.134885168625069E-01  2.048563239978965E-04 29071155	   6      -3.75      -3.50  1.134885168625069E-01  2.048563239978965E-04 29071155	   6      -3.75      -3.50  1.333708971521477E-01  2.479175717811276E-04 29071155	   6      -3.75      -3.50  1.333708971521477E-01  2.479175717811276E-04 29071155	   6      -3.75      -3.50  1.226587095799219E-01  2.242953815398833E-04 29071155
   7      -3.50      -3.25  1.650086183498855E-01  2.554122655265782E-04 37795054	   7      -3.50      -3.25  1.650086183498855E-01  2.554122655265782E-04 37795054	   7      -3.50      -3.25  1.533798432179683E-01  2.340001115625267E-04 37795054	   7      -3.50      -3.25  1.533798432179683E-01  2.340001115625267E-04 37795054	   7      -3.50      -3.25  1.784690418480413E-01  2.813578890166603E-04 37795054	   7      -3.50      -3.25  1.784690418480413E-01  2.813578890166603E-04 37795054	   7      -3.50      -3.25  1.650086183498855E-01  2.554122655265782E-04 37795054
   8      -3.25      -3.00  2.190881458819683E-01  2.915188892037102E-04 48363471	   8      -3.25      -3.00  2.190881458819683E-01  2.915188892037102E-04 48363471	   8      -3.25      -3.00  2.045205328172948E-01  2.676201092616380E-04 48363471	   8      -3.25      -3.00  2.045205328172948E-01  2.676201092616380E-04 48363471	   8      -3.25      -3.00  2.358022972300667E-01  3.204238312188992E-04 48363471	   8      -3.25      -3.00  2.358022972300667E-01  3.204238312188992E-04 48363471	   8      -3.25      -3.00  2.190881458819683E-01  2.915188892037102E-04 48363471
   9      -3.00      -2.75  2.834478521930869E-01  3.280985143793302E-04 60988091	   9      -3.00      -2.75  2.834478521930869E-01  3.280985143793302E-04 60988091	   9      -3.00      -2.75  2.657159554728454E-01  3.016448269198761E-04 60988091	   9      -3.00      -2.75  2.657159554728454E-01  3.016448269198761E-04 60988091	   9      -3.00      -2.75  3.035981319115084E-01  3.599906115736299E-04 60988091	   9      -3.00      -2.75  3.035981319115084E-01  3.599906115736299E-04 60988091	   9      -3.00      -2.75  2.834478521930869E-01  3.280985143793302E-04 60988091
  10      -2.75      -2.50  3.608946083551626E-01  3.502037042425366E-04 75803668	  10      -2.75      -2.50  3.608946083551626E-01  3.502037042425366E-04 75803668	  10      -2.75      -2.50  3.396848956338267E-01  3.232694224141730E-04 75803668	  10      -2.75      -2.50  3.396848956338267E-01  3.232694224141730E-04 75803668	  10      -2.75      -2.50  3.847594907805322E-01  3.825440381950330E-04 75803668	  10      -2.75      -2.50  3.847594907805322E-01  3.825440381950330E-04 75803668	  10      -2.75      -2.50  3.608946083551626E-01  3.502037042425366E-04 75803668
