# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  5.592576480728285E-03  3.161714042879535E-06 142290546	   1       0.00      40.00  5.592576480728285E-03  3.161714042879535E-06 142290546	   1       0.00      40.00  5.426005460203757E-03  2.946561783663988E-06 142290546	   1       0.00      40.00  5.426005460203757E-03  2.946561783663988E-06 142290546	   1       0.00      40.00  5.755325527287531E-03  3.418165951978920E-06 142290546	   1       0.00      40.00  5.755325527287531E-03  3.418165951978920E-06 142290546	   1       0.00      40.00  5.592576480728285E-03  3.161714042879535E-06 142290546
   2      40.00      80.00  2.239587595700923E-02  6.222300764033615E-06 523720114	   2      40.00      80.00  2.239587595700923E-02  6.222300764033615E-06 523720114	   2      40.00      80.00  2.167388068696181E-02  5.799054955183236E-06 523720114	   2      40.00      80.00  2.167388068696181E-02  5.799054955183236E-06 523720114	   2      40.00      80.00  2.311594162607933E-02  6.726385645448738E-06 523720114	   2      40.00      80.00  2.311594162607933E-02  6.726385645448738E-06 523720114	   2      40.00      80.00  2.239587595700923E-02  6.222300764033615E-06 523720114
   3      80.00     120.00  2.509960617744852E-02  6.332887801856544E-06 528976198	   3      80.00     120.00  2.509960617744852E-02  6.332887801856544E-06 528976198	   3      80.00     120.00  2.417487348628905E-02  5.894556248086559E-06 528976198	   3      80.00     120.00  2.417487348628905E-02  5.894556248086559E-06 528976198	   3      80.00     120.00  2.605054222910968E-02  6.856095628679529E-06 528976198	   3      80.00     120.00  2.605054222910968E-02  6.856095628679529E-06 528976198	   3      80.00     120.00  2.509960617744852E-02  6.332887801856544E-06 528976198
   4     120.00     160.00  1.949885189683791E-02  5.504219283893507E-06 422331907	   4     120.00     160.00  1.949885189683791E-02  5.504219283893507E-06 422331907	   4     120.00     160.00  1.866643118386288E-02  5.115575115870071E-06 422331907	   4     120.00     160.00  1.866643118386288E-02  5.115575115870071E-06 422331907	   4     120.00     160.00  2.038084343028183E-02  5.968444975888786E-06 422331907	   4     120.00     160.00  2.038084343028183E-02  5.968444975888786E-06 422331907	   4     120.00     160.00  1.949885189683791E-02  5.504219283893507E-06 422331907
   5     160.00     200.00  1.397461016170698E-02  4.668747195691503E-06 331588528	   5     160.00     200.00  1.397461016170698E-02  4.668747195691503E-06 331588528	   5     160.00     200.00  1.329989853210477E-02  4.333751946555053E-06 331588528	   5     160.00     200.00  1.329989853210477E-02  4.333751946555053E-06 331588528	   5     160.00     200.00  1.470587895276512E-02  5.068700165151627E-06 331588528	   5     160.00     200.00  1.470587895276512E-02  5.068700165151627E-06 331588528	   5     160.00     200.00  1.397461016170698E-02  4.668747195691503E-06 331588528
   6     200.00     240.00  9.946013049655304E-03  4.043055079894686E-06 263438283	   6     200.00     240.00  9.946013049655304E-03  4.043055079894686E-06 263438283	   6     200.00     240.00  9.415450328120700E-03  3.742503680565516E-06 263438283	   6     200.00     240.00  9.415450328120700E-03  3.742503680565516E-06 263438283	   6     200.00     240.00  1.053106620869960E-02  4.403117977281441E-06 263438283	   6     200.00     240.00  1.053106620869960E-02  4.403117977281441E-06 263438283	   6     200.00     240.00  9.946013049655304E-03  4.043055079894686E-06 263438283
   7     240.00     280.00  7.176266824841694E-03  3.563183422315714E-06 212884625	   7     240.00     280.00  7.176266824841694E-03  3.563183422315714E-06 212884625	   7     240.00     280.00  6.760693731052174E-03  3.289077486121575E-06 212884625	   7     240.00     280.00  6.760693731052174E-03  3.289077486121575E-06 212884625	   7     240.00     280.00  7.640793780226976E-03  3.892172082679955E-06 212884625	   7     240.00     280.00  7.640793780226976E-03  3.892172082679955E-06 212884625	   7     240.00     280.00  7.176266824841694E-03  3.563183422315714E-06 212884625
   8     280.00     320.00  5.253115234836226E-03  3.048973273922022E-06 174839104	   8     280.00     320.00  5.253115234836226E-03  3.048973273922022E-06 174839104	   8     280.00     320.00  4.927282537500734E-03  2.809681633802137E-06 174839104	   8     280.00     320.00  4.927282537500734E-03  2.809681633802137E-06 174839104	   8     280.00     320.00  5.621380763745885E-03  3.336866038927810E-06 174839104	   8     280.00     320.00  5.621380763745885E-03  3.336866038927810E-06 174839104	   8     280.00     320.00  5.253115234836226E-03  3.048973273922022E-06 174839104
   9     320.00     360.00  3.925635158613095E-03  2.731020944545008E-06 145719767	   9     320.00     360.00  3.925635158613095E-03  2.731020944545008E-06 145719767	   9     320.00     360.00  3.667314084720400E-03  2.509441800206717E-06 145719767	   9     320.00     360.00  3.667314084720400E-03  2.509441800206717E-06 145719767	   9     320.00     360.00  4.220342608773729E-03  2.998397887838199E-06 145719767	   9     320.00     360.00  4.220342608773729E-03  2.998397887838199E-06 145719767	   9     320.00     360.00  3.925635158613095E-03  2.731020944545008E-06 145719767
  10     360.00     400.00  2.972919373053598E-03  2.378993387507805E-06 123031391	  10     360.00     400.00  2.972919373053598E-03  2.378993387507805E-06 123031391	  10     360.00     400.00  2.767226676827203E-03  2.181300959608285E-06 123031391	  10     360.00     400.00  2.767226676827203E-03  2.181300959608285E-06 123031391	  10     360.00     400.00  3.209415281286372E-03  2.618966170884771E-06 123031391	  10     360.00     400.00  3.209415281286372E-03  2.618966170884771E-06 123031391	  10     360.00     400.00  2.972919373053598E-03  2.378993387507805E-06 123031391
