# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.748527892530061E-02  3.588188925786915E-04 1150743410	   2      20.00      40.00  5.748527892530061E-02  3.588188925786915E-04 1150743410	   2      20.00      40.00  5.549143717527939E-02  3.267845441718152E-04 1150743410	   2      20.00      40.00  5.549143717527939E-02  3.267845441718152E-04 1150743410	   2      20.00      40.00  5.953004653413890E-02  3.974587552892479E-04 1150743410	   2      20.00      40.00  5.953004653413890E-02  3.974587552892479E-04 1150743410	   2      20.00      40.00  5.748527892530061E-02  3.588188925786915E-04 1150743410
   3      40.00      60.00  4.333404522785089E-02  2.252661228472024E-04 900618207	   3      40.00      60.00  4.333404522785089E-02  2.252661228472024E-04 900618207	   3      40.00      60.00  4.179043559354750E-02  2.028161420177760E-04 900618207	   3      40.00      60.00  4.179043559354750E-02  2.028161420177760E-04 900618207	   3      40.00      60.00  4.492412772565235E-02  2.535518413600236E-04 900618207	   3      40.00      60.00  4.492412772565235E-02  2.535518413600236E-04 900618207	   3      40.00      60.00  4.333404522785089E-02  2.252661228472024E-04 900618207
   4      60.00      80.00  2.910657985293257E-02  1.984108589227530E-04 613639702	   4      60.00      80.00  2.910657985293257E-02  1.984108589227530E-04 613639702	   4      60.00      80.00  2.797965424120365E-02  1.807550504551197E-04 613639702	   4      60.00      80.00  2.797965424120365E-02  1.807550504551197E-04 613639702	   4      60.00      80.00  3.028881117048163E-02  2.201724629222944E-04 613639702	   4      60.00      80.00  3.028881117048163E-02  2.201724629222944E-04 613639702	   4      60.00      80.00  2.910657985293257E-02  1.984108589227530E-04 613639702
   5      80.00     100.00  1.964455515305406E-02  1.477982761152379E-04 451996251	   5      80.00     100.00  1.964455515305406E-02  1.477982761152379E-04 451996251	   5      80.00     100.00  1.882092271100490E-02  1.342898709231852E-04 451996251	   5      80.00     100.00  1.882092271100490E-02  1.342898709231852E-04 451996251	   5      80.00     100.00  2.052163566943838E-02  1.642642482957718E-04 451996251	   5      80.00     100.00  2.052163566943838E-02  1.642642482957718E-04 451996251	   5      80.00     100.00  1.964455515305406E-02  1.477982761152379E-04 451996251
   6     100.00     120.00  1.340119040070215E-02  1.623390966475269E-04 349052296	   6     100.00     120.00  1.340119040070215E-02  1.623390966475269E-04 349052296	   6     100.00     120.00  1.280500219707089E-02  1.469445477926613E-04 349052296	   6     100.00     120.00  1.280500219707089E-02  1.469445477926613E-04 349052296	   6     100.00     120.00  1.404192714717897E-02  1.811335043342274E-04 349052296	   6     100.00     120.00  1.404192714717897E-02  1.811335043342274E-04 349052296	   6     100.00     120.00  1.340119040070215E-02  1.623390966475269E-04 349052296
   7     120.00     140.00  9.693589748468732E-03  1.147377965071387E-04 278582471	   7     120.00     140.00  9.693589748468732E-03  1.147377965071387E-04 278582471	   7     120.00     140.00  9.229356047298510E-03  1.031174383966209E-04 278582471	   7     120.00     140.00  9.229356047298510E-03  1.031174383966209E-04 278582471	   7     120.00     140.00  1.019845587669253E-02  1.292246100205282E-04 278582471	   7     120.00     140.00  1.019845587669253E-02  1.292246100205282E-04 278582471	   7     120.00     140.00  9.693589748468732E-03  1.147377965071387E-04 278582471
   8     140.00     160.00  6.972868694658509E-03  9.437857656380921E-05 227806501	   8     140.00     160.00  6.972868694658509E-03  9.437857656380921E-05 227806501	   8     140.00     160.00  6.617463882553271E-03  8.589042027963501E-05 227806501	   8     140.00     160.00  6.617463882553271E-03  8.589042027963501E-05 227806501	   8     140.00     160.00  7.363959076224941E-03  1.047996534728776E-04 227806501	   8     140.00     160.00  7.363959076224941E-03  1.047996534728776E-04 227806501	   8     140.00     160.00  6.972868694658509E-03  9.437857656380921E-05 227806501
   9     160.00     180.00  5.183800531759803E-03  7.572812968931819E-05 189865070	   9     160.00     180.00  5.183800531759803E-03  7.572812968931819E-05 189865070	   9     160.00     180.00  4.907238034572523E-03  6.836799395040906E-05 189865070	   9     160.00     180.00  4.907238034572523E-03  6.836799395040906E-05 189865070	   9     160.00     180.00  5.490597419780053E-03  8.480630238331468E-05 189865070	   9     160.00     180.00  5.490597419780053E-03  8.480630238331468E-05 189865070	   9     160.00     180.00  5.183800531759803E-03  7.572812968931819E-05 189865070
  10     180.00     200.00  3.870621838533092E-03  7.372720141699652E-05 160607575	  10     180.00     200.00  3.870621838533092E-03  7.372720141699652E-05 160607575	  10     180.00     200.00  3.658267732342636E-03  6.629821721591926E-05 160607575	  10     180.00     200.00  3.658267732342636E-03  6.629821721591926E-05 160607575	  10     180.00     200.00  4.107068884818528E-03  8.286991387820950E-05 160607575	  10     180.00     200.00  4.107068884818528E-03  8.286991387820950E-05 160607575	  10     180.00     200.00  3.870621838533092E-03  7.372720141699652E-05 160607575
  11     200.00     220.00  2.836699608588653E-03  1.223470587444289E-04 137574769	  11     200.00     220.00  2.836699608588653E-03  1.223470587444289E-04 137574769	  11     200.00     220.00  2.680307835004450E-03  1.066045648965332E-04 137574769	  11     200.00     220.00  2.680307835004450E-03  1.066045648965332E-04 137574769	  11     200.00     220.00  3.010195938140894E-03  1.423284447284624E-04 137574769	  11     200.00     220.00  3.010195938140894E-03  1.423284447284624E-04 137574769	  11     200.00     220.00  2.836699608588653E-03  1.223470587444289E-04 137574769
  12     220.00     240.00  2.376076873783686E-03  5.780906860384320E-05 119064927	  12     220.00     240.00  2.376076873783686E-03  5.780906860384320E-05 119064927	  12     220.00     240.00  2.226923604046390E-03  5.268201325635188E-05 119064927	  12     220.00     240.00  2.226923604046390E-03  5.268201325635188E-05 119064927	  12     220.00     240.00  2.546027996224953E-03  6.394410343222895E-05 119064927	  12     220.00     240.00  2.546027996224953E-03  6.394410343222895E-05 119064927	  12     220.00     240.00  2.376076873783686E-03  5.780906860384320E-05 119064927
  13     240.00     260.00  1.829376634727380E-03  4.033387725104917E-05 103965016	  13     240.00     260.00  1.829376634727380E-03  4.033387725104917E-05 103965016	  13     240.00     260.00  1.712819585692630E-03  3.658630348024980E-05 103965016	  13     240.00     260.00  1.712819585692630E-03  3.658630348024980E-05 103965016	  13     240.00     260.00  1.962268585449449E-03  4.492493060588340E-05 103965016	  13     240.00     260.00  1.962268585449449E-03  4.492493060588340E-05 103965016	  13     240.00     260.00  1.829376634727380E-03  4.033387725104917E-05 103965016
