# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  9.454990301882126E-05  2.955742461277745E-07 2123547	   2      20.00      40.00  9.454990301882126E-05  2.955742461277745E-07 2123547	   2      20.00      40.00  9.478092468827181E-05  2.908082732187605E-07 2123547	   2      20.00      40.00  9.478092468827181E-05  2.908082732187605E-07 2123547	   2      20.00      40.00  9.355618979398151E-05  2.995686464113415E-07 2123547	   2      20.00      40.00  9.355618979398151E-05  2.995686464113415E-07 2123547	   2      20.00      40.00  9.454990301882126E-05  2.955742461277745E-07 2123547
   3      40.00      60.00  1.604368693062808E-03  1.571221894251193E-06 24509170	   3      40.00      60.00  1.604368693062808E-03  1.571221894251193E-06 24509170	   3      40.00      60.00  1.601630203932823E-03  1.533422056958334E-06 24509170	   3      40.00      60.00  1.601630203932823E-03  1.533422056958334E-06 24509170	   3      40.00      60.00  1.595368902231185E-03  1.607655080601276E-06 24509170	   3      40.00      60.00  1.595368902231185E-03  1.607655080601276E-06 24509170	   3      40.00      60.00  1.604368693062808E-03  1.571221894251193E-06 24509170
   4      60.00      80.00  5.320712640091237E-03  3.525446636920251E-06 61838910	   4      60.00      80.00  5.320712640091237E-03  3.525446636920251E-06 61838910	   4      60.00      80.00  5.283257365605623E-03  3.402571280239664E-06 61838910	   4      60.00      80.00  5.283257365605623E-03  3.402571280239664E-06 61838910	   4      60.00      80.00  5.324704095452076E-03  3.654866767572508E-06 61838910	   4      60.00      80.00  5.324704095452076E-03  3.654866767572508E-06 61838910	   4      60.00      80.00  5.320712640091237E-03  3.525446636920251E-06 61838910
   5      80.00     100.00  1.012440044645629E-02  5.514319335106587E-06 101181725	   5      80.00     100.00  1.012440044645629E-02  5.514319335106587E-06 101181725	   5      80.00     100.00  9.997201035828639E-03  5.271964187681881E-06 101181725	   5      80.00     100.00  9.997201035828639E-03  5.271964187681881E-06 101181725	   5      80.00     100.00  1.019932041113374E-02  5.780287586808721E-06 101181725	   5      80.00     100.00  1.019932041113374E-02  5.780287586808721E-06 101181725	   5      80.00     100.00  1.012440044645629E-02  5.514319335106587E-06 101181725
   6     100.00     120.00  1.447178572114787E-02  7.117932523708879E-06 134472701	   6     100.00     120.00  1.447178572114787E-02  7.117932523708879E-06 134472701	   6     100.00     120.00  1.421130730200902E-02  6.745927532183598E-06 134472701	   6     100.00     120.00  1.421130730200902E-02  6.745927532183598E-06 134472701	   6     100.00     120.00  1.467457500069686E-02  7.538237733040391E-06 134472701	   6     100.00     120.00  1.467457500069686E-02  7.538237733040391E-06 134472701	   6     100.00     120.00  1.447178572114787E-02  7.117932523708879E-06 134472701
   7     120.00     140.00  1.747983292541595E-02  8.162099431223421E-06 158434676	   7     120.00     140.00  1.747983292541595E-02  8.162099431223421E-06 158434676	   7     120.00     140.00  1.707495009818045E-02  7.675401612566135E-06 158434676	   7     120.00     140.00  1.707495009818045E-02  7.675401612566135E-06 158434676	   7     120.00     140.00  1.783577706067903E-02  8.724687546013974E-06 158434676	   7     120.00     140.00  1.783577706067903E-02  8.724687546013974E-06 158434676	   7     120.00     140.00  1.747983292541595E-02  8.162099431223421E-06 158434676
   8     140.00     160.00  1.894320491068629E-02  8.539141935234256E-06 170782514	   8     140.00     160.00  1.894320491068629E-02  8.539141935234256E-06 170782514	   8     140.00     160.00  1.840987862800014E-02  7.995814089152073E-06 170782514	   8     140.00     160.00  1.840987862800014E-02  7.995814089152073E-06 170782514	   8     140.00     160.00  1.944611353004658E-02  9.172490931633787E-06 170782514	   8     140.00     160.00  1.944611353004658E-02  9.172490931633787E-06 170782514	   8     140.00     160.00  1.894320491068629E-02  8.539141935234256E-06 170782514
   9     160.00     180.00  1.906818582566425E-02  8.633212717786357E-06 172133589	   9     160.00     180.00  1.906818582566425E-02  8.633212717786357E-06 172133589	   9     160.00     180.00  1.843754479347422E-02  8.046398479433615E-06 172133589	   9     160.00     180.00  1.843754479347422E-02  8.046398479433615E-06 172133589	   9     160.00     180.00  1.969162058982754E-02  9.324287374610574E-06 172133589	   9     160.00     180.00  1.969162058982754E-02  9.324287374610574E-06 172133589	   9     160.00     180.00  1.906818582566425E-02  8.633212717786357E-06 172133589
  10     180.00     200.00  1.829243380066051E-02  8.543203599144154E-06 167504482	  10     180.00     200.00  1.829243380066051E-02  8.543203599144154E-06 167504482	  10     180.00     200.00  1.760110417068157E-02  7.924378358693132E-06 167504482	  10     180.00     200.00  1.760110417068157E-02  7.924378358693132E-06 167504482	  10     180.00     200.00  1.899932370007028E-02  9.279596436794302E-06 167504482	  10     180.00     200.00  1.899932370007028E-02  9.279596436794302E-06 167504482	  10     180.00     200.00  1.829243380066051E-02  8.543203599144154E-06 167504482
