# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  8.924865684466099E-05  1.260409135376473E-06 3223145	   2      20.00      40.00  8.924865684466099E-05  1.260409135376473E-06 3223145	   2      20.00      40.00  8.955196604238603E-05  1.239507212375032E-06 3223145	   2      20.00      40.00  8.955196604238603E-05  1.239507212375032E-06 3223145	   2      20.00      40.00  8.823216509870718E-05  1.278003513694817E-06 3223145	   2      20.00      40.00  8.823216509870718E-05  1.278003513694817E-06 3223145	   2      20.00      40.00  8.924865684466099E-05  1.260409135376473E-06 3223145
   3      40.00      60.00  1.489275452749244E-03  6.574692358926915E-06 36056783	   3      40.00      60.00  1.489275452749244E-03  6.574692358926915E-06 36056783	   3      40.00      60.00  1.488315765593582E-03  6.392734111352243E-06 36056783	   3      40.00      60.00  1.488315765593582E-03  6.392734111352243E-06 36056783	   3      40.00      60.00  1.479466085280653E-03  6.755562400978382E-06 36056783	   3      40.00      60.00  1.479466085280653E-03  6.755562400978382E-06 36056783	   3      40.00      60.00  1.489275452749244E-03  6.574692358926915E-06 36056783
   4      60.00      80.00  4.853295298364248E-03  1.792331541809319E-05 90790443	   4      60.00      80.00  4.853295298364248E-03  1.792331541809319E-05 90790443	   4      60.00      80.00  4.826600433416110E-03  1.722877255536873E-05 90790443	   4      60.00      80.00  4.826600433416110E-03  1.722877255536873E-05 90790443	   4      60.00      80.00  4.849365288464013E-03  1.866708468242833E-05 90790443	   4      60.00      80.00  4.849365288464013E-03  1.866708468242833E-05 90790443	   4      60.00      80.00  4.853295298364248E-03  1.792331541809319E-05 90790443
   5      80.00     100.00  9.173850772305044E-03  3.303407741364729E-05 149041139	   5      80.00     100.00  9.173850772305044E-03  3.303407741364729E-05 149041139	   5      80.00     100.00  9.069715553259321E-03  3.152002410876046E-05 149041139	   5      80.00     100.00  9.069715553259321E-03  3.152002410876046E-05 149041139	   5      80.00     100.00  9.231344690872324E-03  3.471878346774699E-05 149041139	   5      80.00     100.00  9.231344690872324E-03  3.471878346774699E-05 149041139	   5      80.00     100.00  9.173850772305044E-03  3.303407741364729E-05 149041139
   6     100.00     120.00  1.251874978305226E-02  2.540122302977219E-04 199089293	   6     100.00     120.00  1.251874978305226E-02  2.540122302977219E-04 199089293	   6     100.00     120.00  1.233897231509394E-02  2.319194889039736E-04 199089293	   6     100.00     120.00  1.233897231509394E-02  2.319194889039736E-04 199089293	   6     100.00     120.00  1.264149137195195E-02  2.801997228665436E-04 199089293	   6     100.00     120.00  1.264149137195195E-02  2.801997228665436E-04 199089293	   6     100.00     120.00  1.251874978305226E-02  2.540122302977219E-04 199089293
   7     120.00     140.00  1.540060937752536E-02  7.498765442820757E-05 235995880	   7     120.00     140.00  1.540060937752536E-02  7.498765442820757E-05 235995880	   7     120.00     140.00  1.507714320080058E-02  7.048257444807009E-05 235995880	   7     120.00     140.00  1.507714320080058E-02  7.048257444807009E-05 235995880	   7     120.00     140.00  1.567847327239816E-02  8.014418990628483E-05 235995880	   7     120.00     140.00  1.567847327239816E-02  8.014418990628483E-05 235995880	   7     120.00     140.00  1.540060937752536E-02  7.498765442820757E-05 235995880
   8     140.00     160.00  1.635029605222274E-02  9.117710024505387E-05 255915949	   8     140.00     160.00  1.635029605222274E-02  9.117710024505387E-05 255915949	   8     140.00     160.00  1.592906881369337E-02  8.538310543198464E-05 255915949	   8     140.00     160.00  1.592906881369337E-02  8.538310543198464E-05 255915949	   8     140.00     160.00  1.674196380577538E-02  9.781870969408465E-05 255915949	   8     140.00     160.00  1.674196380577538E-02  9.781870969408465E-05 255915949	   8     140.00     160.00  1.635029605222274E-02  9.117710024505387E-05 255915949
   9     160.00     180.00  1.622605658291997E-02  1.425649408043044E-04 259564634	   9     160.00     180.00  1.622605658291997E-02  1.425649408043044E-04 259564634	   9     160.00     180.00  1.573835859342347E-02  1.299370512706028E-04 259564634	   9     160.00     180.00  1.573835859342347E-02  1.299370512706028E-04 259564634	   9     160.00     180.00  1.670097685494112E-02  1.577832288030420E-04 259564634	   9     160.00     180.00  1.670097685494112E-02  1.577832288030420E-04 259564634	   9     160.00     180.00  1.622605658291997E-02  1.425649408043044E-04 259564634
  10     180.00     200.00  1.523131089294102E-02  1.378123764086767E-04 253963231	  10     180.00     200.00  1.523131089294102E-02  1.378123764086767E-04 253963231	  10     180.00     200.00  1.471231064045880E-02  1.259863552213043E-04 253963231	  10     180.00     200.00  1.471231064045880E-02  1.259863552213043E-04 253963231	  10     180.00     200.00  1.575349887069208E-02  1.521286546046103E-04 253963231	  10     180.00     200.00  1.575349887069208E-02  1.521286546046103E-04 253963231	  10     180.00     200.00  1.523131089294102E-02  1.378123764086767E-04 253963231
