# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  9.334665924645470E-03  4.490490782737182E-06 156345186	   2      20.00      40.00  9.334665924645470E-03  4.490490782737182E-06 156345186	   2      20.00      40.00  9.131875809485487E-03  4.278998529752143E-06 156345186	   2      20.00      40.00  9.131875809485487E-03  4.278998529752143E-06 156345186	   2      20.00      40.00  9.508762211012451E-03  4.728250224177706E-06 156345186	   2      20.00      40.00  9.508762211012451E-03  4.728250224177706E-06 156345186	   2      20.00      40.00  9.334665924645470E-03  4.490490782737182E-06 156345186
   3      40.00      60.00  2.729298478618659E-02  9.068057296974354E-06 353497605	   3      40.00      60.00  2.729298478618659E-02  9.068057296974354E-06 353497605	   3      40.00      60.00  2.662857977382137E-02  8.580479212978655E-06 353497605	   3      40.00      60.00  2.662857977382137E-02  8.580479212978655E-06 353497605	   3      40.00      60.00  2.789155337423793E-02  9.626572738554209E-06 353497605	   3      40.00      60.00  2.789155337423793E-02  9.626572738554209E-06 353497605	   3      40.00      60.00  2.729298478618659E-02  9.068057296974354E-06 353497605
   4      60.00      80.00  3.316465806844335E-02  1.096827211445447E-05 370963036	   4      60.00      80.00  3.316465806844335E-02  1.096827211445447E-05 370963036	   4      60.00      80.00  3.220207101103425E-02  1.031070812663009E-05 370963036	   4      60.00      80.00  3.220207101103425E-02  1.031070812663009E-05 370963036	   4      60.00      80.00  3.408606727138803E-02  1.173071186024892E-05 370963036	   4      60.00      80.00  3.408606727138803E-02  1.173071186024892E-05 370963036	   4      60.00      80.00  3.316465806844335E-02  1.096827211445447E-05 370963036
   5      80.00     100.00  3.298406038561592E-02  1.144756109147096E-05 358217087	   5      80.00     100.00  3.298406038561592E-02  1.144756109147096E-05 358217087	   5      80.00     100.00  3.184195438222572E-02  1.067907719342952E-05 358217087	   5      80.00     100.00  3.184195438222572E-02  1.067907719342952E-05 358217087	   5      80.00     100.00  3.413269634325090E-02  1.235240604987527E-05 358217087	   5      80.00     100.00  3.413269634325090E-02  1.235240604987527E-05 358217087	   5      80.00     100.00  3.298406038561592E-02  1.144756109147096E-05 358217087
   6     100.00     120.00  2.931379206965375E-02  1.091195035521506E-05 326981841	   6     100.00     120.00  2.931379206965375E-02  1.091195035521506E-05 326981841	   6     100.00     120.00  2.812343661522428E-02  1.011456098911588E-05 326981841	   6     100.00     120.00  2.812343661522428E-02  1.011456098911588E-05 326981841	   6     100.00     120.00  3.055661874378385E-02  1.186102421402971E-05 326981841	   6     100.00     120.00  3.055661874378385E-02  1.186102421402971E-05 326981841	   6     100.00     120.00  2.931379206965375E-02  1.091195035521506E-05 326981841
   7     120.00     140.00  2.441078076525368E-02  9.821070290442698E-06 285884014	   7     120.00     140.00  2.441078076525368E-02  9.821070290442698E-06 285884014	   7     120.00     140.00  2.327041183396624E-02  9.050213308212613E-06 285884014	   7     120.00     140.00  2.327041183396624E-02  9.050213308212613E-06 285884014	   7     120.00     140.00  2.563594166853152E-02  1.074837585380384E-05 285884014	   7     120.00     140.00  2.563594166853152E-02  1.074837585380384E-05 285884014	   7     120.00     140.00  2.441078076525368E-02  9.821070290442698E-06 285884014
   8     140.00     160.00  1.962446820021271E-02  8.570911393716218E-06 243708094	   8     140.00     160.00  1.962446820021271E-02  8.570911393716218E-06 243708094	   8     140.00     160.00  1.859170998962908E-02  7.864059383808756E-06 243708094	   8     140.00     160.00  1.859170998962908E-02  7.864059383808756E-06 243708094	   8     140.00     160.00  2.075856894085287E-02  9.427452475559858E-06 243708094	   8     140.00     160.00  2.075856894085287E-02  9.427452475559858E-06 243708094	   8     140.00     160.00  1.962446820021271E-02  8.570911393716218E-06 243708094
   9     160.00     180.00  1.555209377648590E-02  7.453624139141613E-06 207833268	   9     160.00     180.00  1.555209377648590E-02  7.453624139141613E-06 207833268	   9     160.00     180.00  1.465112153927337E-02  6.814188923134268E-06 207833268	   9     160.00     180.00  1.465112153927337E-02  6.814188923134268E-06 207833268	   9     160.00     180.00  1.655828527944576E-02  8.232830324644285E-06 207833268	   9     160.00     180.00  1.655828527944576E-02  8.232830324644285E-06 207833268	   9     160.00     180.00  1.555209377648590E-02  7.453624139141613E-06 207833268
  10     180.00     200.00  1.226372863278398E-02  6.367056426230179E-06 178236934	  10     180.00     200.00  1.226372863278398E-02  6.367056426230179E-06 178236934	  10     180.00     200.00  1.149531318708317E-02  5.800857268802099E-06 178236934	  10     180.00     200.00  1.149531318708317E-02  5.800857268802099E-06 178236934	  10     180.00     200.00  1.313347611955033E-02  7.060783096373022E-06 178236934	  10     180.00     200.00  1.313347611955033E-02  7.060783096373022E-06 178236934	  10     180.00     200.00  1.226372863278398E-02  6.367056426230179E-06 178236934
  11     200.00     220.00  9.669412391081492E-03  5.398642530372297E-06 153773127	  11     200.00     220.00  9.669412391081492E-03  5.398642530372297E-06 153773127	  11     200.00     220.00  9.023701581916007E-03  4.911319368803351E-06 153773127	  11     200.00     220.00  9.023701581916007E-03  4.911319368803351E-06 153773127	  11     200.00     220.00  1.040813877035209E-02  5.997436015984475E-06 153773127	  11     200.00     220.00  1.040813877035209E-02  5.997436015984475E-06 153773127	  11     200.00     220.00  9.669412391081492E-03  5.398642530372297E-06 153773127
  12     220.00     240.00  7.646205004325314E-03  4.776403474694448E-06 133424108	  12     220.00     240.00  7.646205004325314E-03  4.776403474694448E-06 133424108	  12     220.00     240.00  7.107251272601905E-03  4.322284474568151E-06 133424108	  12     220.00     240.00  7.107251272601905E-03  4.322284474568151E-06 133424108	  12     220.00     240.00  8.268321009544803E-03  5.340376863445415E-06 133424108	  12     220.00     240.00  8.268321009544803E-03  5.340376863445415E-06 133424108	  12     220.00     240.00  7.646205004325314E-03  4.776403474694448E-06 133424108
