# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.958842379663625E-03  2.744276054769139E-05 83687417	   1       0.00      20.00  2.958842379663625E-03  2.744276054769139E-05 83687417	   1       0.00      20.00  2.894745370179334E-03  2.596119328111613E-05 83687417	   1       0.00      20.00  2.894745370179334E-03  2.596119328111613E-05 83687417	   1       0.00      20.00  3.016246403936567E-03  2.910663424919229E-05 83687417	   1       0.00      20.00  3.016246403936567E-03  2.910663424919229E-05 83687417	   1       0.00      20.00  2.958842379663625E-03  2.744276054769139E-05 83687417
   2      20.00      40.00  7.878397706934853E-03  2.554771541436354E-04 163769859	   2      20.00      40.00  7.878397706934853E-03  2.554771541436354E-04 163769859	   2      20.00      40.00  7.733886086626382E-03  2.319218600813731E-04 163769859	   2      20.00      40.00  7.733886086626382E-03  2.319218600813731E-04 163769859	   2      20.00      40.00  7.996430596165054E-03  2.836306781153230E-04 163769859	   2      20.00      40.00  7.996430596165054E-03  2.836306781153230E-04 163769859	   2      20.00      40.00  7.878397706934853E-03  2.554771541436354E-04 163769859
   3      40.00      60.00  1.212527604182747E-02  1.212047017090201E-04 201704882	   3      40.00      60.00  1.212527604182747E-02  1.212047017090201E-04 201704882	   3      40.00      60.00  1.186058685286750E-02  1.093286477371760E-04 201704882	   3      40.00      60.00  1.186058685286750E-02  1.093286477371760E-04 201704882	   3      40.00      60.00  1.235908466717253E-02  1.363690779825656E-04 201704882	   3      40.00      60.00  1.235908466717253E-02  1.363690779825656E-04 201704882	   3      40.00      60.00  1.212527604182747E-02  1.212047017090201E-04 201704882
   4      60.00      80.00  1.500218441428886E-02  1.462968089335681E-04 223765908	   4      60.00      80.00  1.500218441428886E-02  1.462968089335681E-04 223765908	   4      60.00      80.00  1.463505767457128E-02  1.335630077880641E-04 223765908	   4      60.00      80.00  1.463505767457128E-02  1.335630077880641E-04 223765908	   4      60.00      80.00  1.534152890509860E-02  1.617519747300260E-04 223765908	   4      60.00      80.00  1.534152890509860E-02  1.617519747300260E-04 223765908	   4      60.00      80.00  1.500218441428886E-02  1.462968089335681E-04 223765908
   5      80.00     100.00  1.644985901669283E-02  1.335375389481460E-04 236389157	   5      80.00     100.00  1.644985901669283E-02  1.335375389481460E-04 236389157	   5      80.00     100.00  1.600145081737988E-02  1.214525487980444E-04 236389157	   5      80.00     100.00  1.600145081737988E-02  1.214525487980444E-04 236389157	   5      80.00     100.00  1.687835173634149E-02  1.483183154281172E-04 236389157	   5      80.00     100.00  1.687835173634149E-02  1.483183154281172E-04 236389157	   5      80.00     100.00  1.644985901669283E-02  1.335375389481460E-04 236389157
   6     100.00     120.00  1.660111769941527E-02  1.274722296730428E-04 241847193	   6     100.00     120.00  1.660111769941527E-02  1.274722296730428E-04 241847193	   6     100.00     120.00  1.609681360630440E-02  1.186047354704902E-04 241847193	   6     100.00     120.00  1.609681360630440E-02  1.186047354704902E-04 241847193	   6     100.00     120.00  1.709802713785803E-02  1.380063716222912E-04 241847193	   6     100.00     120.00  1.709802713785803E-02  1.380063716222912E-04 241847193	   6     100.00     120.00  1.660111769941527E-02  1.274722296730428E-04 241847193
   7     120.00     140.00  1.596688187372346E-02  1.019321459451342E-04 241527922	   7     120.00     140.00  1.596688187372346E-02  1.019321459451342E-04 241527922	   7     120.00     140.00  1.542868558685736E-02  9.442875220442399E-05 241527922	   7     120.00     140.00  1.542868558685736E-02  9.442875220442399E-05 241527922	   7     120.00     140.00  1.651209059534144E-02  1.107891887386250E-04 241527922	   7     120.00     140.00  1.651209059534144E-02  1.107891887386250E-04 241527922	   7     120.00     140.00  1.596688187372346E-02  1.019321459451342E-04 241527922
   8     140.00     160.00  1.499649994748955E-02  9.316264477772958E-05 236867207	   8     140.00     160.00  1.499649994748955E-02  9.316264477772958E-05 236867207	   8     140.00     160.00  1.444245003696074E-02  8.589410682230751E-05 236867207	   8     140.00     160.00  1.444245003696074E-02  8.589410682230751E-05 236867207	   8     140.00     160.00  1.556829386210283E-02  1.020337639633456E-04 236867207	   8     140.00     160.00  1.556829386210283E-02  1.020337639633456E-04 236867207	   8     140.00     160.00  1.499649994748955E-02  9.316264477772958E-05 236867207
   9     160.00     180.00  1.338810402056860E-02  1.193565787787266E-04 229119896	   9     160.00     180.00  1.338810402056860E-02  1.193565787787266E-04 229119896	   9     160.00     180.00  1.285755283269835E-02  1.100417690685741E-04 229119896	   9     160.00     180.00  1.285755283269835E-02  1.100417690685741E-04 229119896	   9     160.00     180.00  1.394416565891147E-02  1.304832456826791E-04 229119896	   9     160.00     180.00  1.394416565891147E-02  1.304832456826791E-04 229119896	   9     160.00     180.00  1.338810402056860E-02  1.193565787787266E-04 229119896
  10     180.00     200.00  1.200020588994947E-02  1.006870264052843E-04 219457790	  10     180.00     200.00  1.200020588994947E-02  1.006870264052843E-04 219457790	  10     180.00     200.00  1.148319326893010E-02  9.287490610020861E-05 219457790	  10     180.00     200.00  1.148319326893010E-02  9.287490610020861E-05 219457790	  10     180.00     200.00  1.255154397935952E-02  1.099890616371801E-04 219457790	  10     180.00     200.00  1.255154397935952E-02  1.099890616371801E-04 219457790	  10     180.00     200.00  1.200020588994947E-02  1.006870264052843E-04 219457790
