# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  6.927859013692159E-02  1.608457512674915E-05 811189065	   2      20.00      40.00  6.927859013692159E-02  1.608457512674915E-05 811189065	   2      20.00      40.00  6.651404962972139E-02  1.495523511618130E-05 811189065	   2      20.00      40.00  6.651404962972139E-02  1.495523511618130E-05 811189065	   2      20.00      40.00  7.218427443468067E-02  1.743257597998871E-05 811189065	   2      20.00      40.00  7.218427443468067E-02  1.743257597998871E-05 811189065	   2      20.00      40.00  6.927859013692159E-02  1.608457512674915E-05 811189065
   3      40.00      60.00  5.284938246054342E-02  1.360458922071362E-05 629200568	   3      40.00      60.00  5.284938246054342E-02  1.360458922071362E-05 629200568	   3      40.00      60.00  5.067555360584547E-02  1.262176590074852E-05 629200568	   3      40.00      60.00  5.067555360584547E-02  1.262176590074852E-05 629200568	   3      40.00      60.00  5.514717253585381E-02  1.478323852978312E-05 629200568	   3      40.00      60.00  5.514717253585381E-02  1.478323852978312E-05 629200568	   3      40.00      60.00  5.284938246054342E-02  1.360458922071362E-05 629200568
   4      60.00      80.00  3.594448398986769E-02  1.106563411845764E-05 423653692	   4      60.00      80.00  3.594448398986769E-02  1.106563411845764E-05 423653692	   4      60.00      80.00  3.435906848660888E-02  1.025795531673847E-05 423653692	   4      60.00      80.00  3.435906848660888E-02  1.025795531673847E-05 423653692	   4      60.00      80.00  3.764176069627293E-02  1.203422633100203E-05 423653692	   4      60.00      80.00  3.764176069627293E-02  1.203422633100203E-05 423653692	   4      60.00      80.00  3.594448398986769E-02  1.106563411845764E-05 423653692
   5      80.00     100.00  2.459134658973274E-02  9.214214674737619E-06 308572869	   5      80.00     100.00  2.459134658973274E-02  9.214214674737619E-06 308572869	   5      80.00     100.00  2.342500085962079E-02  8.522352185361506E-06 308572869	   5      80.00     100.00  2.342500085962079E-02  8.522352185361506E-06 308572869	   5      80.00     100.00  2.585588339814089E-02  1.004680445114733E-05 308572869	   5      80.00     100.00  2.585588339814089E-02  1.004680445114733E-05 308572869	   5      80.00     100.00  2.459134658973274E-02  9.214214674737619E-06 308572869
   6     100.00     120.00  1.723348340305133E-02  7.545809963070469E-06 235961984	   6     100.00     120.00  1.723348340305133E-02  7.545809963070469E-06 235961984	   6     100.00     120.00  1.636147005976947E-02  6.977186325087920E-06 235961984	   6     100.00     120.00  1.636147005976947E-02  6.977186325087920E-06 235961984	   6     100.00     120.00  1.818913767318782E-02  8.229308315083227E-06 235961984	   6     100.00     120.00  1.818913767318782E-02  8.229308315083227E-06 235961984	   6     100.00     120.00  1.723348340305133E-02  7.545809963070469E-06 235961984
   7     120.00     140.00  1.241148654307867E-02  6.360520076834153E-06 186697619	   7     120.00     140.00  1.241148654307867E-02  6.360520076834153E-06 186697619	   7     120.00     140.00  1.174509355384351E-02  5.866488802855929E-06 186697619	   7     120.00     140.00  1.174509355384351E-02  5.866488802855929E-06 186697619	   7     120.00     140.00  1.314885202168355E-02  6.956633580604840E-06 186697619	   7     120.00     140.00  1.314885202168355E-02  6.956633580604840E-06 186697619	   7     120.00     140.00  1.241148654307867E-02  6.360520076834153E-06 186697619
   8     140.00     160.00  9.149949908785872E-03  5.392456738128506E-06 151507699	   8     140.00     160.00  9.149949908785872E-03  5.392456738128506E-06 151507699	   8     140.00     160.00  8.631642235367110E-03  4.964380464526124E-06 151507699	   8     140.00     160.00  8.631642235367110E-03  4.964380464526124E-06 151507699	   8     140.00     160.00  9.728359441962575E-03  5.909584861413406E-06 151507699	   8     140.00     160.00  9.728359441962575E-03  5.909584861413406E-06 151507699	   8     140.00     160.00  9.149949908785872E-03  5.392456738128506E-06 151507699
   9     160.00     180.00  6.876750654240095E-03  4.539011691580905E-06 125388330	   9     160.00     180.00  6.876750654240095E-03  4.539011691580905E-06 125388330	   9     160.00     180.00  6.468631476730073E-03  4.175995099020380E-06 125388330	   9     160.00     180.00  6.468631476730073E-03  4.175995099020380E-06 125388330	   9     160.00     180.00  7.335472991051447E-03  4.977408651152658E-06 125388330	   9     160.00     180.00  7.335472991051447E-03  4.977408651152658E-06 125388330	   9     160.00     180.00  6.876750654240095E-03  4.539011691580905E-06 125388330
  10     180.00     200.00  5.269617826702527E-03  3.917985806359432E-06 105431196	  10     180.00     200.00  5.269617826702527E-03  3.917985806359432E-06 105431196	  10     180.00     200.00  4.942777985222220E-03  3.596598141109849E-06 105431196	  10     180.00     200.00  4.942777985222220E-03  3.596598141109849E-06 105431196	  10     180.00     200.00  5.639507263193694E-03  4.307223930687018E-06 105431196	  10     180.00     200.00  5.639507263193694E-03  4.307223930687018E-06 105431196	  10     180.00     200.00  5.269617826702527E-03  3.917985806359432E-06 105431196
  11     200.00     220.00  4.087950060258991E-03  3.375118036214338E-06 89819018	  11     200.00     220.00  4.087950060258991E-03  3.375118036214338E-06 89819018	  11     200.00     220.00  3.823981645222463E-03  3.094275061792221E-06 89819018	  11     200.00     220.00  3.823981645222463E-03  3.094275061792221E-06 89819018	  11     200.00     220.00  4.388541155973176E-03  3.715701558610993E-06 89819018	  11     200.00     220.00  4.388541155973176E-03  3.715701558610993E-06 89819018	  11     200.00     220.00  4.087950060258991E-03  3.375118036214338E-06 89819018
  12     220.00     240.00  3.211026733955106E-03  2.931384147440581E-06 77325200	  12     220.00     240.00  3.211026733955106E-03  2.931384147440581E-06 77325200	  12     220.00     240.00  2.996050644292877E-03  2.682909444258002E-06 77325200	  12     220.00     240.00  2.996050644292877E-03  2.682909444258002E-06 77325200	  12     220.00     240.00  3.457161015170585E-03  3.233028780939883E-06 77325200	  12     220.00     240.00  3.457161015170585E-03  3.233028780939883E-06 77325200	  12     220.00     240.00  3.211026733955106E-03  2.931384147440581E-06 77325200
  13     240.00     260.00  2.556093251532508E-03  2.511363545853878E-06 67194129	  13     240.00     260.00  2.556093251532508E-03  2.511363545853878E-06 67194129	  13     240.00     260.00  2.379021292158420E-03  2.295135299749275E-06 67194129	  13     240.00     260.00  2.379021292158420E-03  2.295135299749275E-06 67194129	  13     240.00     260.00  2.759865773303231E-03  2.774568053409763E-06 67194129	  13     240.00     260.00  2.759865773303231E-03  2.774568053409763E-06 67194129	  13     240.00     260.00  2.556093251532508E-03  2.511363545853878E-06 67194129
  14     260.00     280.00  2.053398867031484E-03  2.230869547690709E-06 58853431	  14     260.00     280.00  2.053398867031484E-03  2.230869547690709E-06 58853431	  14     260.00     280.00  1.906517397973819E-03  2.036425369776947E-06 58853431	  14     260.00     280.00  1.906517397973819E-03  2.036425369776947E-06 58853431	  14     260.00     280.00  2.223253111558598E-03  2.467423787934342E-06 58853431	  14     260.00     280.00  2.223253111558598E-03  2.467423787934342E-06 58853431	  14     260.00     280.00  2.053398867031484E-03  2.230869547690709E-06 58853431
  15     280.00     300.00  1.657831453284673E-03  1.952394359443063E-06 51911619	  15     280.00     300.00  1.657831453284673E-03  1.952394359443063E-06 51911619	  15     280.00     300.00  1.535587024707906E-03  1.777617664044827E-06 51911619	  15     280.00     300.00  1.535587024707906E-03  1.777617664044827E-06 51911619	  15     280.00     300.00  1.799844933756158E-03  2.165892181142459E-06 51911619	  15     280.00     300.00  1.799844933756158E-03  2.165892181142459E-06 51911619	  15     280.00     300.00  1.657831453284673E-03  1.952394359443063E-06 51911619
  16     300.00     320.00  1.349341757560435E-03  1.741049932244645E-06 46043075	  16     300.00     320.00  1.349341757560435E-03  1.741049932244645E-06 46043075	  16     300.00     320.00  1.246994522822923E-03  1.579016802200867E-06 46043075	  16     300.00     320.00  1.246994522822923E-03  1.579016802200867E-06 46043075	  16     300.00     320.00  1.468748627388950E-03  1.940140571132053E-06 46043075	  16     300.00     320.00  1.468748627388950E-03  1.940140571132053E-06 46043075	  16     300.00     320.00  1.349341757560435E-03  1.741049932244645E-06 46043075
  17     320.00     340.00  1.109002498332887E-03  1.515521473042300E-06 41071034	  17     320.00     340.00  1.109002498332887E-03  1.515521473042300E-06 41071034	  17     320.00     340.00  1.022630544860795E-03  1.375663190288645E-06 41071034	  17     320.00     340.00  1.022630544860795E-03  1.375663190288645E-06 41071034	  17     320.00     340.00  1.210176106844493E-03  1.687126731635003E-06 41071034	  17     320.00     340.00  1.210176106844493E-03  1.687126731635003E-06 41071034	  17     320.00     340.00  1.109002498332887E-03  1.515521473042300E-06 41071034
  18     340.00     360.00  9.162731944193256E-04  1.412053133652837E-06 36823057	  18     340.00     360.00  9.162731944193256E-04  1.412053133652837E-06 36823057	  18     340.00     360.00  8.430587633612740E-04  1.278221151532784E-06 36823057	  18     340.00     360.00  8.430587633612740E-04  1.278221151532784E-06 36823057	  18     340.00     360.00  1.002368690289076E-03  1.576262350455001E-06 36823057	  18     340.00     360.00  1.002368690289076E-03  1.576262350455001E-06 36823057	  18     340.00     360.00  9.162731944193256E-04  1.412053133652837E-06 36823057
  19     360.00     380.00  7.603426916733169E-04  1.226163550065443E-06 33156134	  19     360.00     380.00  7.603426916733169E-04  1.226163550065443E-06 33156134	  19     360.00     380.00  6.982440614160749E-04  1.106839613593523E-06 33156134	  19     360.00     380.00  6.982440614160749E-04  1.106839613593523E-06 33156134	  19     360.00     380.00  8.336063178898656E-04  1.373354029569791E-06 33156134	  19     360.00     380.00  8.336063178898656E-04  1.373354029569791E-06 33156134	  19     360.00     380.00  7.603426916733169E-04  1.226163550065443E-06 33156134
  20     380.00     400.00  6.361525647850799E-04  1.113773402241103E-06 29981493	  20     380.00     400.00  6.361525647850799E-04  1.113773402241103E-06 29981493	  20     380.00     400.00  5.829478176300813E-04  1.008082599235806E-06 29981493	  20     380.00     400.00  5.829478176300813E-04  1.008082599235806E-06 29981493	  20     380.00     400.00  6.991543100094081E-04  1.243557931024558E-06 29981493	  20     380.00     400.00  6.991543100094081E-04  1.243557931024558E-06 29981493	  20     380.00     400.00  6.361525647850799E-04  1.113773402241103E-06 29981493
