# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.721005555498228E-02  3.579976395578823E-04 1152122983	   2      20.00      40.00  5.721005555498228E-02  3.579976395578823E-04 1152122983	   2      20.00      40.00  5.522148438631359E-02  3.268445507781943E-04 1152122983	   2      20.00      40.00  5.522148438631359E-02  3.268445507781943E-04 1152122983	   2      20.00      40.00  5.925273707727827E-02  3.953520311034960E-04 1152122983	   2      20.00      40.00  5.925273707727827E-02  3.953520311034960E-04 1152122983	   2      20.00      40.00  5.721005555498228E-02  3.579976395578823E-04 1152122983
   3      40.00      60.00  4.326410460670192E-02  2.540071151087712E-04 901497817	   3      40.00      60.00  4.326410460670192E-02  2.540071151087712E-04 901497817	   3      40.00      60.00  4.171586558885997E-02  2.317234832797887E-04 901497817	   3      40.00      60.00  4.171586558885997E-02  2.317234832797887E-04 901497817	   3      40.00      60.00  4.486218145226761E-02  2.812170491463441E-04 901497817	   3      40.00      60.00  4.486218145226761E-02  2.812170491463441E-04 901497817	   3      40.00      60.00  4.326410460670192E-02  2.540071151087712E-04 901497817
   4      60.00      80.00  2.927221986753118E-02  2.118268204851276E-04 613905811	   4      60.00      80.00  2.927221986753118E-02  2.118268204851276E-04 613905811	   4      60.00      80.00  2.815451114065603E-02  1.872047910193562E-04 613905811	   4      60.00      80.00  2.815451114065603E-02  1.872047910193562E-04 613905811	   4      60.00      80.00  3.043739155412491E-02  2.433646696080641E-04 613905811	   4      60.00      80.00  3.043739155412491E-02  2.433646696080641E-04 613905811	   4      60.00      80.00  2.927221986753118E-02  2.118268204851276E-04 613905811
   5      80.00     100.00  1.969236171175310E-02  1.531295278032507E-04 452039002	   5      80.00     100.00  1.969236171175310E-02  1.531295278032507E-04 452039002	   5      80.00     100.00  1.887038492819413E-02  1.377937821063338E-04 452039002	   5      80.00     100.00  1.887038492819413E-02  1.377937821063338E-04 452039002	   5      80.00     100.00  2.056577339498407E-02  1.721145286714097E-04 452039002	   5      80.00     100.00  2.056577339498407E-02  1.721145286714097E-04 452039002	   5      80.00     100.00  1.969236171175310E-02  1.531295278032507E-04 452039002
   6     100.00     120.00  1.350595929828350E-02  1.182049606081850E-04 349009453	   6     100.00     120.00  1.350595929828350E-02  1.182049606081850E-04 349009453	   6     100.00     120.00  1.290191470527142E-02  1.072675653020978E-04 349009453	   6     100.00     120.00  1.290191470527142E-02  1.072675653020978E-04 349009453	   6     100.00     120.00  1.415660660717385E-02  1.315966150515154E-04 349009453	   6     100.00     120.00  1.415660660717385E-02  1.315966150515154E-04 349009453	   6     100.00     120.00  1.350595929828350E-02  1.182049606081850E-04 349009453
   7     120.00     140.00  9.502530378171975E-03  1.191055394035047E-04 278493766	   7     120.00     140.00  9.502530378171975E-03  1.191055394035047E-04 278493766	   7     120.00     140.00  9.053275320561582E-03  1.077381544341117E-04 278493766	   7     120.00     140.00  9.053275320561582E-03  1.077381544341117E-04 278493766	   7     120.00     140.00  9.990399715538679E-03  1.330887609597507E-04 278493766	   7     120.00     140.00  9.990399715538679E-03  1.330887609597507E-04 278493766	   7     120.00     140.00  9.502530378171975E-03  1.191055394035047E-04 278493766
   8     140.00     160.00  6.996030905808540E-03  9.406204146565607E-05 227671326	   8     140.00     160.00  6.996030905808540E-03  9.406204146565607E-05 227671326	   8     140.00     160.00  6.643052310459270E-03  8.452446074172047E-05 227671326	   8     140.00     160.00  6.643052310459270E-03  8.452446074172047E-05 227671326	   8     140.00     160.00  7.383612341086795E-03  1.059731827997862E-04 227671326	   8     140.00     160.00  7.383612341086795E-03  1.059731827997862E-04 227671326	   8     140.00     160.00  6.996030905808540E-03  9.406204146565607E-05 227671326
   9     160.00     180.00  5.186867820131193E-03  8.791123360458532E-05 189696133	   9     160.00     180.00  5.186867820131193E-03  8.791123360458532E-05 189696133	   9     160.00     180.00  4.905888728956838E-03  7.964104684915450E-05 189696133	   9     160.00     180.00  4.905888728956838E-03  7.964104684915450E-05 189696133	   9     160.00     180.00  5.499679574180951E-03  9.794881050451500E-05 189696133	   9     160.00     180.00  5.499679574180951E-03  9.794881050451500E-05 189696133	   9     160.00     180.00  5.186867820131193E-03  8.791123360458532E-05 189696133
  10     180.00     200.00  3.851666836060570E-03  7.189178291664435E-05 160504940	  10     180.00     200.00  3.851666836060570E-03  7.189178291664435E-05 160504940	  10     180.00     200.00  3.637000518162382E-03  6.490576442563629E-05 160504940	  10     180.00     200.00  3.637000518162382E-03  6.490576442563629E-05 160504940	  10     180.00     200.00  4.091656562529900E-03  8.042120299089628E-05 160504940	  10     180.00     200.00  4.091656562529900E-03  8.042120299089628E-05 160504940	  10     180.00     200.00  3.851666836060570E-03  7.189178291664435E-05 160504940
