# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4442000575
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  4.595736711577458E-02  1.123819517153952E-05 522929323	   3      40.00      60.00  4.595736711577458E-02  1.123819517153952E-05 522929323	   3      40.00      60.00  4.433117002084026E-02  1.047767411204576E-05 522929323	   3      40.00      60.00  4.433117002084026E-02  1.047767411204576E-05 522929323	   3      40.00      60.00  4.761340720477715E-02  1.214121405699146E-05 522929323	   3      40.00      60.00  4.761340720477715E-02  1.214121405699146E-05 522929323	   3      40.00      60.00  4.595736711577458E-02  1.123819517153952E-05 522929323
   4      60.00      80.00  4.251746300337121E-02  1.135261045260552E-05 472062429	   4      60.00      80.00  4.251746300337121E-02  1.135261045260552E-05 472062429	   4      60.00      80.00  4.095183974355887E-02  1.057896051610874E-05 472062429	   4      60.00      80.00  4.095183974355887E-02  1.057896051610874E-05 472062429	   4      60.00      80.00  4.412762571701222E-02  1.227256919601898E-05 472062429	   4      60.00      80.00  4.412762571701222E-02  1.227256919601898E-05 472062429	   4      60.00      80.00  4.251746300337121E-02  1.135261045260552E-05 472062429
   5      80.00     100.00  3.445807154837929E-02  1.080266951722507E-05 370879469	   5      80.00     100.00  3.445807154837929E-02  1.080266951722507E-05 370879469	   5      80.00     100.00  3.309409281489604E-02  1.005859125571532E-05 370879469	   5      80.00     100.00  3.309409281489604E-02  1.005859125571532E-05 370879469	   5      80.00     100.00  3.588341109345676E-02  1.168752572084183E-05 370879469	   5      80.00     100.00  3.588341109345676E-02  1.168752572084183E-05 370879469	   5      80.00     100.00  3.445807154837929E-02  1.080266951722507E-05 370879469
   6     100.00     120.00  2.644048929318617E-02  9.786728131306457E-06 293271901	   6     100.00     120.00  2.644048929318617E-02  9.786728131306457E-06 293271901	   6     100.00     120.00  2.529970982364017E-02  9.094048210996587E-06 293271901	   6     100.00     120.00  2.529970982364017E-02  9.094048210996587E-06 293271901	   6     100.00     120.00  2.765338402259181E-02  1.061335454434657E-05 293271901	   6     100.00     120.00  2.765338402259181E-02  1.061335454434657E-05 293271901	   6     100.00     120.00  2.644048929318617E-02  9.786728131306457E-06 293271901
   7     120.00     140.00  2.017757567032693E-02  8.850121576438244E-06 239199997	   7     120.00     140.00  2.017757567032693E-02  8.850121576438244E-06 239199997	   7     120.00     140.00  1.923147205314235E-02  8.204864348189874E-06 239199997	   7     120.00     140.00  1.923147205314235E-02  8.204864348189874E-06 239199997	   7     120.00     140.00  2.119934102205158E-02  9.622216238288243E-06 239199997	   7     120.00     140.00  2.119934102205158E-02  9.622216238288243E-06 239199997	   7     120.00     140.00  2.017757567032693E-02  8.850121576438244E-06 239199997
   8     140.00     160.00  1.558463031580605E-02  7.793919752679593E-06 199887179	   8     140.00     160.00  1.558463031580605E-02  7.793919752679593E-06 199887179	   8     140.00     160.00  1.480013458429845E-02  7.214978277097939E-06 199887179	   8     140.00     160.00  1.480013458429845E-02  7.214978277097939E-06 199887179	   8     140.00     160.00  1.644255888126150E-02  8.488209868474372E-06 199887179	   8     140.00     160.00  1.644255888126150E-02  8.488209868474372E-06 199887179	   8     140.00     160.00  1.558463031580605E-02  7.793919752679593E-06 199887179
   9     160.00     180.00  1.223507504701265E-02  7.130983796677779E-06 169939043	   9     160.00     180.00  1.223507504701265E-02  7.130983796677779E-06 169939043	   9     160.00     180.00  1.157926234823196E-02  6.571940275996806E-06 169939043	   9     160.00     180.00  1.157926234823196E-02  6.571940275996806E-06 169939043	   9     160.00     180.00  1.296009015572485E-02  7.807081425746913E-06 169939043	   9     160.00     180.00  1.296009015572485E-02  7.807081425746913E-06 169939043	   9     160.00     180.00  1.223507504701265E-02  7.130983796677779E-06 169939043
  10     180.00     200.00  9.726206908238319E-03  6.187948185307732E-06 146322400	  10     180.00     200.00  9.726206908238319E-03  6.187948185307732E-06 146322400	  10     180.00     200.00  9.176413421417163E-03  5.703773368241097E-06 146322400	  10     180.00     200.00  9.176413421417163E-03  5.703773368241097E-06 146322400	  10     180.00     200.00  1.033941514692725E-02  6.771772292957677E-06 146322400	  10     180.00     200.00  1.033941514692725E-02  6.771772292957677E-06 146322400	  10     180.00     200.00  9.726206908238319E-03  6.187948185307732E-06 146322400
  11     200.00     220.00  7.830683392270520E-03  5.527428337658344E-06 127254417	  11     200.00     220.00  7.830683392270520E-03  5.527428337658344E-06 127254417	  11     200.00     220.00  7.366093263526100E-03  5.086897728178265E-06 127254417	  11     200.00     220.00  7.366093263526100E-03  5.086897728178265E-06 127254417	  11     200.00     220.00  8.353030077710084E-03  6.059680276420114E-06 127254417	  11     200.00     220.00  8.353030077710084E-03  6.059680276420114E-06 127254417	  11     200.00     220.00  7.830683392270520E-03  5.527428337658344E-06 127254417
  12     220.00     240.00  6.356845858947450E-03  5.031184574539872E-06 111576338	  12     220.00     240.00  6.356845858947450E-03  5.031184574539872E-06 111576338	  12     220.00     240.00  5.962689933215514E-03  4.615731370240982E-06 111576338	  12     220.00     240.00  5.962689933215514E-03  4.615731370240982E-06 111576338	  12     220.00     240.00  6.803170083564097E-03  5.535275808711745E-06 111576338	  12     220.00     240.00  6.803170083564097E-03  5.535275808711745E-06 111576338	  12     220.00     240.00  6.356845858947450E-03  5.031184574539872E-06 111576338
  13     240.00     260.00  5.210983955028304E-03  4.484800500484682E-06 98544327	  13     240.00     260.00  5.210983955028304E-03  4.484800500484682E-06 98544327	  13     240.00     260.00  4.874512202095210E-03  4.111648711251564E-06 98544327	  13     240.00     260.00  4.874512202095210E-03  4.111648711251564E-06 98544327	  13     240.00     260.00  5.594513265177277E-03  4.937977747702499E-06 98544327	  13     240.00     260.00  5.594513265177277E-03  4.937977747702499E-06 98544327	  13     240.00     260.00  5.210983955028304E-03  4.484800500484682E-06 98544327
  14     260.00     280.00  4.293738215075164E-03  4.036589891836795E-06 87538879	  14     260.00     280.00  4.293738215075164E-03  4.036589891836795E-06 87538879	  14     260.00     280.00  4.006310291064422E-03  3.694420691268324E-06 87538879	  14     260.00     280.00  4.006310291064422E-03  3.694420691268324E-06 87538879	  14     260.00     280.00  4.623212233075669E-03  4.452842553032650E-06 87538879	  14     260.00     280.00  4.623212233075669E-03  4.452842553032650E-06 87538879	  14     260.00     280.00  4.293738215075164E-03  4.036589891836795E-06 87538879
  15     280.00     300.00  3.557240933235104E-03  3.573053403304495E-06 78187903	  15     280.00     300.00  3.557240933235104E-03  3.573053403304495E-06 78187903	  15     280.00     300.00  3.310948988050610E-03  3.265797614605683E-06 78187903	  15     280.00     300.00  3.310948988050610E-03  3.265797614605683E-06 78187903	  15     280.00     300.00  3.841062423062897E-03  3.947767674299362E-06 78187903	  15     280.00     300.00  3.841062423062897E-03  3.947767674299362E-06 78187903	  15     280.00     300.00  3.557240933235104E-03  3.573053403304495E-06 78187903
  16     300.00     320.00  2.973651070418523E-03  3.239420681750630E-06 70180852	  16     300.00     320.00  2.973651070418523E-03  3.239420681750630E-06 70180852	  16     300.00     320.00  2.761426246934105E-03  2.956397604090889E-06 70180852	  16     300.00     320.00  2.761426246934105E-03  2.956397604090889E-06 70180852	  16     300.00     320.00  3.219379398374002E-03  3.585171979294072E-06 70180852	  16     300.00     320.00  3.219379398374002E-03  3.585171979294072E-06 70180852	  16     300.00     320.00  2.973651070418523E-03  3.239420681750630E-06 70180852
  17     320.00     340.00  2.489449650404700E-03  2.882934819317781E-06 63261595	  17     320.00     340.00  2.489449650404700E-03  2.882934819317781E-06 63261595	  17     320.00     340.00  2.306703923144638E-03  2.629844302135344E-06 63261595	  17     320.00     340.00  2.306703923144638E-03  2.629844302135344E-06 63261595	  17     320.00     340.00  2.701967069620643E-03  3.192155812926297E-06 63261595	  17     320.00     340.00  2.701967069620643E-03  3.192155812926297E-06 63261595	  17     320.00     340.00  2.489449650404700E-03  2.882934819317781E-06 63261595
  18     340.00     360.00  2.106696373305393E-03  2.678121246471660E-06 57262895	  18     340.00     360.00  2.106696373305393E-03  2.678121246471660E-06 57262895	  18     340.00     360.00  1.947458351476793E-03  2.436400737218644E-06 57262895	  18     340.00     360.00  1.947458351476793E-03  2.436400737218644E-06 57262895	  18     340.00     360.00  2.292706645035283E-03  2.973922529263152E-06 57262895	  18     340.00     360.00  2.292706645035283E-03  2.973922529263152E-06 57262895	  18     340.00     360.00  2.106696373305393E-03  2.678121246471660E-06 57262895
