# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5882364
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  3.896155529896926E-02  1.757076383561630E-04 751123299	   3      40.00      60.00  3.896155529896926E-02  1.757076383561630E-04 751123299	   3      40.00      60.00  3.775416074977034E-02  1.594622275186756E-04 751123299	   3      40.00      60.00  3.775416074977034E-02  1.594622275186756E-04 751123299	   3      40.00      60.00  4.015921706287938E-02  1.959106358763142E-04 751123299	   3      40.00      60.00  4.015921706287938E-02  1.959106358763142E-04 751123299	   3      40.00      60.00  3.896155529896926E-02  1.757076383561630E-04 751123299
   4      60.00      80.00  3.593561769796209E-02  1.643415002605909E-04 682304934	   4      60.00      80.00  3.593561769796209E-02  1.643415002605909E-04 682304934	   4      60.00      80.00  3.475870457603498E-02  1.500333404574609E-04 682304934	   4      60.00      80.00  3.475870457603498E-02  1.500333404574609E-04 682304934	   4      60.00      80.00  3.712240355217682E-02  1.818841107484305E-04 682304934	   4      60.00      80.00  3.712240355217682E-02  1.818841107484305E-04 682304934	   4      60.00      80.00  3.593561769796209E-02  1.643415002605909E-04 682304934
   5      80.00     100.00  2.827578707868500E-02  3.038957901491295E-04 541215240	   5      80.00     100.00  2.827578707868500E-02  3.038957901491295E-04 541215240	   5      80.00     100.00  2.730446785763042E-02  2.763441325090454E-04 541215240	   5      80.00     100.00  2.730446785763042E-02  2.763441325090454E-04 541215240	   5      80.00     100.00  2.926473340075998E-02  3.370313517138784E-04 541215240	   5      80.00     100.00  2.926473340075998E-02  3.370313517138784E-04 541215240	   5      80.00     100.00  2.827578707868500E-02  3.038957901491295E-04 541215240
   6     100.00     120.00  2.184672538396089E-02  1.358730343550188E-04 431895204	   6     100.00     120.00  2.184672538396089E-02  1.358730343550188E-04 431895204	   6     100.00     120.00  2.099275945229342E-02  1.245173543852931E-04 431895204	   6     100.00     120.00  2.099275945229342E-02  1.245173543852931E-04 431895204	   6     100.00     120.00  2.274312457764750E-02  1.496714395019920E-04 431895204	   6     100.00     120.00  2.274312457764750E-02  1.496714395019920E-04 431895204	   6     100.00     120.00  2.184672538396089E-02  1.358730343550188E-04 431895204
   7     120.00     140.00  1.629226943945442E-02  1.222017989475392E-04 354929674	   7     120.00     140.00  1.629226943945442E-02  1.222017989475392E-04 354929674	   7     120.00     140.00  1.560441105774072E-02  1.120416550714607E-04 354929674	   7     120.00     140.00  1.560441105774072E-02  1.120416550714607E-04 354929674	   7     120.00     140.00  1.702548139437656E-02  1.345026964055821E-04 354929674	   7     120.00     140.00  1.702548139437656E-02  1.345026964055821E-04 354929674	   7     120.00     140.00  1.629226943945442E-02  1.222017989475392E-04 354929674
   8     140.00     160.00  1.223231793240854E-02  1.367029262493399E-04 298446015	   8     140.00     160.00  1.223231793240854E-02  1.367029262493399E-04 298446015	   8     140.00     160.00  1.168177703712982E-02  1.252321903813844E-04 298446015	   8     140.00     160.00  1.168177703712982E-02  1.252321903813844E-04 298446015	   8     140.00     160.00  1.282563864355700E-02  1.504892931945680E-04 298446015	   8     140.00     160.00  1.282563864355700E-02  1.504892931945680E-04 298446015	   8     140.00     160.00  1.223231793240854E-02  1.367029262493399E-04 298446015
   9     160.00     180.00  9.593311615959112E-03  1.293093120510351E-04 255089230	   9     160.00     180.00  9.593311615959112E-03  1.293093120510351E-04 255089230	   9     160.00     180.00  9.127701280061335E-03  1.173281101657008E-04 255089230	   9     160.00     180.00  9.127701280061335E-03  1.173281101657008E-04 255089230	   9     160.00     180.00  1.010193206274217E-02  1.438484755670585E-04 255089230	   9     160.00     180.00  1.010193206274217E-02  1.438484755670585E-04 255089230	   9     160.00     180.00  9.593311615959112E-03  1.293093120510351E-04 255089230
  10     180.00     200.00  7.326403431571303E-03  1.706739354862556E-04 220650086	  10     180.00     200.00  7.326403431571303E-03  1.706739354862556E-04 220650086	  10     180.00     200.00  6.964892778625019E-03  1.512734981588914E-04 220650086	  10     180.00     200.00  6.964892778625019E-03  1.512734981588914E-04 220650086	  10     180.00     200.00  7.721701299177241E-03  1.950460283608094E-04 220650086	  10     180.00     200.00  7.721701299177241E-03  1.950460283608094E-04 220650086	  10     180.00     200.00  7.326403431571303E-03  1.706739354862556E-04 220650086
  11     200.00     220.00  5.917347686556461E-03  9.332298629661523E-05 192679576	  11     200.00     220.00  5.917347686556461E-03  9.332298629661523E-05 192679576	  11     200.00     220.00  5.600544615272218E-03  8.508596760908264E-05 192679576	  11     200.00     220.00  5.600544615272218E-03  8.508596760908264E-05 192679576	  11     200.00     220.00  6.268911460386043E-03  1.034430198023324E-04 192679576	  11     200.00     220.00  6.268911460386043E-03  1.034430198023324E-04 192679576	  11     200.00     220.00  5.917347686556461E-03  9.332298629661523E-05 192679576
  12     220.00     240.00  4.682325297999642E-03  8.620566821306808E-05 169571383	  12     220.00     240.00  4.682325297999642E-03  8.620566821306808E-05 169571383	  12     220.00     240.00  4.423967235562679E-03  7.836537614224136E-05 169571383	  12     220.00     240.00  4.423967235562679E-03  7.836537614224136E-05 169571383	  12     220.00     240.00  4.970130788650632E-03  9.582692702028532E-05 169571383	  12     220.00     240.00  4.970130788650632E-03  9.582692702028532E-05 169571383	  12     220.00     240.00  4.682325297999642E-03  8.620566821306808E-05 169571383
  13     240.00     260.00  3.907825761184953E-03  7.235210145116514E-05 150238675	  13     240.00     260.00  3.907825761184953E-03  7.235210145116514E-05 150238675	  13     240.00     260.00  3.676140897751742E-03  6.546483301669628E-05 150238675	  13     240.00     260.00  3.676140897751742E-03  6.546483301669628E-05 150238675	  13     240.00     260.00  4.169455971673664E-03  8.090773405449845E-05 150238675	  13     240.00     260.00  4.169455971673664E-03  8.090773405449845E-05 150238675	  13     240.00     260.00  3.907825761184953E-03  7.235210145116514E-05 150238675
  14     260.00     280.00  3.098023249279612E-03  7.096426114877221E-05 133901110	  14     260.00     280.00  3.098023249279612E-03  7.096426114877221E-05 133901110	  14     260.00     280.00  2.908119813645358E-03  6.377837635229126E-05 133901110	  14     260.00     280.00  2.908119813645358E-03  6.377837635229126E-05 133901110	  14     260.00     280.00  3.313425418432960E-03  7.998521489831568E-05 133901110	  14     260.00     280.00  3.313425418432960E-03  7.998521489831568E-05 133901110	  14     260.00     280.00  3.098023249279612E-03  7.096426114877221E-05 133901110
  15     280.00     300.00  2.376324923860606E-03  9.388743221161335E-05 119934136	  15     280.00     300.00  2.376324923860606E-03  9.388743221161335E-05 119934136	  15     280.00     300.00  2.230528635254072E-03  8.410844729665887E-05 119934136	  15     280.00     300.00  2.230528635254072E-03  8.410844729665887E-05 119934136	  15     280.00     300.00  2.541994240921126E-03  1.060239477859212E-04 119934136	  15     280.00     300.00  2.541994240921126E-03  1.060239477859212E-04 119934136	  15     280.00     300.00  2.376324923860606E-03  9.388743221161335E-05 119934136
  16     300.00     320.00  2.076117025525301E-03  8.670288560195696E-05 107936273	  16     300.00     320.00  2.076117025525301E-03  8.670288560195696E-05 107936273	  16     300.00     320.00  1.939780808250993E-03  7.833330474290587E-05 107936273	  16     300.00     320.00  1.939780808250993E-03  7.833330474290587E-05 107936273	  16     300.00     320.00  2.232761352221980E-03  9.684432807760439E-05 107936273	  16     300.00     320.00  2.232761352221980E-03  9.684432807760439E-05 107936273	  16     300.00     320.00  2.076117025525301E-03  8.670288560195696E-05 107936273
  17     320.00     340.00  1.752668278377295E-03  7.770951827318431E-05 97511597	  17     320.00     340.00  1.752668278377295E-03  7.770951827318431E-05 97511597	  17     320.00     340.00  1.640893505721155E-03  6.749331111347979E-05 97511597	  17     320.00     340.00  1.640893505721155E-03  6.749331111347979E-05 97511597	  17     320.00     340.00  1.879384325600692E-03  9.097457014336156E-05 97511597	  17     320.00     340.00  1.879384325600692E-03  9.097457014336156E-05 97511597	  17     320.00     340.00  1.752668278377295E-03  7.770951827318431E-05 97511597
  18     340.00     360.00  1.450563712529431E-03  4.903425770641965E-05 88470128	  18     340.00     360.00  1.450563712529431E-03  4.903425770641965E-05 88470128	  18     340.00     360.00  1.346583958583573E-03  4.496310651340696E-05 88470128	  18     340.00     360.00  1.346583958583573E-03  4.496310651340696E-05 88470128	  18     340.00     360.00  1.571716129093991E-03  5.399753034895511E-05 88470128	  18     340.00     360.00  1.571716129093991E-03  5.399753034895511E-05 88470128	  18     340.00     360.00  1.450563712529431E-03  4.903425770641965E-05 88470128
