# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  8.017018354198350E-01  6.682316563559392E-03 313369506	   1      -1.00      -0.90  8.017018354198350E-01  6.682316563559392E-03 313369506	   1      -1.00      -0.90  7.324323838655649E-01  5.954095558215611E-03 313369506	   1      -1.00      -0.90  7.324323838655649E-01  5.954095558215611E-03 313369506	   1      -1.00      -0.90  8.850966869746913E-01  7.594930844578958E-03 313369506	   1      -1.00      -0.90  8.850966869746913E-01  7.594930844578958E-03 313369506	   1      -1.00      -0.90  8.017018354198350E-01  6.682316563559392E-03 313369506
   2      -0.90      -0.80  6.998117563783902E-01  6.822853659877133E-03 287070491	   2      -0.90      -0.80  6.998117563783902E-01  6.822853659877133E-03 287070491	   2      -0.90      -0.80  6.433116207469248E-01  5.988239075838628E-03 287070491	   2      -0.90      -0.80  6.433116207469248E-01  5.988239075838628E-03 287070491	   2      -0.90      -0.80  7.669599271293032E-01  7.892142217243270E-03 287070491	   2      -0.90      -0.80  7.669599271293032E-01  7.892142217243270E-03 287070491	   2      -0.90      -0.80  6.998117563783902E-01  6.822853659877133E-03 287070491
   3      -0.80      -0.70  6.609031529460307E-01  5.422271141026668E-03 272047418	   3      -0.80      -0.70  6.609031529460307E-01  5.422271141026668E-03 272047418	   3      -0.80      -0.70  6.085887021101418E-01  4.799222483354212E-03 272047418	   3      -0.80      -0.70  6.085887021101418E-01  4.799222483354212E-03 272047418	   3      -0.80      -0.70  7.228698756647480E-01  6.212866300063002E-03 272047418	   3      -0.80      -0.70  7.228698756647480E-01  6.212866300063002E-03 272047418	   3      -0.80      -0.70  6.609031529460307E-01  5.422271141026668E-03 272047418
   4      -0.70      -0.60  6.212242792014607E-01  5.312717400272979E-03 262497548	   4      -0.70      -0.60  6.212242792014607E-01  5.312717400272979E-03 262497548	   4      -0.70      -0.60  5.732637449292800E-01  4.698549320171840E-03 262497548	   4      -0.70      -0.60  5.732637449292800E-01  4.698549320171840E-03 262497548	   4      -0.70      -0.60  6.777624783406958E-01  6.089891092722291E-03 262497548	   4      -0.70      -0.60  6.777624783406958E-01  6.089891092722291E-03 262497548	   4      -0.70      -0.60  6.212242792014607E-01  5.312717400272979E-03 262497548
   5      -0.60      -0.50  5.928643687308329E-01  1.142431869721198E-02 256365984	   5      -0.60      -0.50  5.928643687308329E-01  1.142431869721198E-02 256365984	   5      -0.60      -0.50  5.475653273119355E-01  1.038088540339128E-02 256365984	   5      -0.60      -0.50  5.475653273119355E-01  1.038088540339128E-02 256365984	   5      -0.60      -0.50  6.462021136573106E-01  1.267234934635027E-02 256365984	   5      -0.60      -0.50  6.462021136573106E-01  1.267234934635027E-02 256365984	   5      -0.60      -0.50  5.928643687308329E-01  1.142431869721198E-02 256365984
   6      -0.50      -0.40  5.894303350068616E-01  4.488699869606440E-03 252645457	   6      -0.50      -0.40  5.894303350068616E-01  4.488699869606440E-03 252645457	   6      -0.50      -0.40  5.443076083754171E-01  4.064499522970082E-03 252645457	   6      -0.50      -0.40  5.443076083754171E-01  4.064499522970082E-03 252645457	   6      -0.50      -0.40  6.425722785648422E-01  5.008927230234838E-03 252645457	   6      -0.50      -0.40  6.425722785648422E-01  5.008927230234838E-03 252645457	   6      -0.50      -0.40  5.894303350068616E-01  4.488699869606440E-03 252645457
   7      -0.40      -0.30  5.704216484225879E-01  5.634449783873241E-03 250812327	   7      -0.40      -0.30  5.704216484225879E-01  5.634449783873241E-03 250812327	   7      -0.40      -0.30  5.279787755493257E-01  5.011093521714404E-03 250812327	   7      -0.40      -0.30  5.279787755493257E-01  5.011093521714404E-03 250812327	   7      -0.40      -0.30  6.201060533332023E-01  6.422292958753521E-03 250812327	   7      -0.40      -0.30  6.201060533332023E-01  6.422292958753521E-03 250812327	   7      -0.40      -0.30  5.704216484225879E-01  5.634449783873241E-03 250812327
   8      -0.30      -0.20  5.699489005069281E-01  3.837731156730554E-03 250611342	   8      -0.30      -0.20  5.699489005069281E-01  3.837731156730554E-03 250611342	   8      -0.30      -0.20  5.273425107823826E-01  3.446133581200302E-03 250611342	   8      -0.30      -0.20  5.273425107823826E-01  3.446133581200302E-03 250611342	   8      -0.30      -0.20  6.199030673143829E-01  4.325018072429473E-03 250611342	   8      -0.30      -0.20  6.199030673143829E-01  4.325018072429473E-03 250611342	   8      -0.30      -0.20  5.699489005069281E-01  3.837731156730554E-03 250611342
   9      -0.20      -0.10  5.635997396476696E-01  4.919754106781581E-03 251909163	   9      -0.20      -0.10  5.635997396476696E-01  4.919754106781581E-03 251909163	   9      -0.20      -0.10  5.219722744454990E-01  4.408760436483387E-03 251909163	   9      -0.20      -0.10  5.219722744454990E-01  4.408760436483387E-03 251909163	   9      -0.20      -0.10  6.122761608247634E-01  5.554545218752640E-03 251909163	   9      -0.20      -0.10  6.122761608247634E-01  5.554545218752640E-03 251909163	   9      -0.20      -0.10  5.635997396476696E-01  4.919754106781581E-03 251909163
  10      -0.10       0.00  5.670367913173135E-01  3.848770867600998E-03 254739546	  10      -0.10       0.00  5.670367913173135E-01  3.848770867600998E-03 254739546	  10      -0.10       0.00  5.254561610840629E-01  3.426409765110534E-03 254739546	  10      -0.10       0.00  5.254561610840629E-01  3.426409765110534E-03 254739546	  10      -0.10       0.00  6.155834906928028E-01  4.383181948936222E-03 254739546	  10      -0.10       0.00  6.155834906928028E-01  4.383181948936222E-03 254739546	  10      -0.10       0.00  5.670367913173135E-01  3.848770867600998E-03 254739546
