# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  2.454497198562555E-12  2.454492909360069E-12 3	   4      30.00      40.00  2.454497198562555E-12  2.454492909360069E-12 3	   4      30.00      40.00  2.425904571036969E-12  2.425900823113436E-12 3	   4      30.00      40.00  2.425904571036969E-12  2.425900823113436E-12 3	   4      30.00      40.00  2.440154259647192E-12  2.440149299351064E-12 3	   4      30.00      40.00  2.440154259647192E-12  2.440149299351064E-12 3	   4      30.00      40.00  2.454497198562555E-12  2.454492909360069E-12 3
   5      40.00      50.00  1.596048084817220E-12  1.025369562876887E-12 27	   5      40.00      50.00  1.596048084817220E-12  1.025369562876887E-12 27	   5      40.00      50.00  1.466253885310978E-12  9.339994238173152E-13 27	   5      40.00      50.00  1.466253885310978E-12  9.339994238173152E-13 27	   5      40.00      50.00  1.731707600056644E-12  1.121974980856045E-12 27	   5      40.00      50.00  1.731707600056644E-12  1.121974980856045E-12 27	   5      40.00      50.00  1.596048084817220E-12  1.025369562876887E-12 27
   6      50.00      60.00  1.044444373240375E-10  5.316358354220763E-11 86	   6      50.00      60.00  1.044444373240375E-10  5.316358354220763E-11 86	   6      50.00      60.00  9.833991877797262E-11  4.951659349908809E-11 86	   6      50.00      60.00  9.833991877797262E-11  4.951659349908809E-11 86	   6      50.00      60.00  1.111912097194335E-10  5.735112608370905E-11 86	   6      50.00      60.00  1.111912097194335E-10  5.735112608370905E-11 86	   6      50.00      60.00  1.044444373240375E-10  5.316358354220763E-11 86
   7      60.00      70.00  7.480145586629725E-10  3.090734390617592E-10 295	   7      60.00      70.00  7.480145586629725E-10  3.090734390617592E-10 295	   7      60.00      70.00  7.275613459996571E-10  3.005870235162429E-10 295	   7      60.00      70.00  7.275613459996571E-10  3.005870235162429E-10 295	   7      60.00      70.00  7.667095527499333E-10  3.172206434126674E-10 295	   7      60.00      70.00  7.667095527499333E-10  3.172206434126674E-10 295	   7      60.00      70.00  7.480145586629725E-10  3.090734390617592E-10 295
   8      70.00      80.00  2.473998766749671E-09  7.676937568847415E-10 1038	   8      70.00      80.00  2.473998766749671E-09  7.676937568847415E-10 1038	   8      70.00      80.00  2.358591847861063E-09  7.397358903048925E-10 1038	   8      70.00      80.00  2.358591847861063E-09  7.397358903048925E-10 1038	   8      70.00      80.00  2.597129245390301E-09  7.970768054783191E-10 1038	   8      70.00      80.00  2.597129245390301E-09  7.970768054783191E-10 1038	   8      70.00      80.00  2.473998766749671E-09  7.676937568847415E-10 1038
   9      80.00      90.00  4.381531330001015E-08  3.271805937354449E-08 4871	   9      80.00      90.00  4.381531330001015E-08  3.271805937354449E-08 4871	   9      80.00      90.00  3.811201344694481E-08  2.757646148800217E-08 4871	   9      80.00      90.00  3.811201344694481E-08  2.757646148800217E-08 4871	   9      80.00      90.00  5.117532351657827E-08  3.946922552219359E-08 4871	   9      80.00      90.00  5.117532351657827E-08  3.946922552219359E-08 4871	   9      80.00      90.00  4.381531330001015E-08  3.271805937354449E-08 4871
  10      90.00     100.00  1.707297017911686E-08  4.647591268255777E-08 28014	  10      90.00     100.00  1.707297017911686E-08  4.647591268255777E-08 28014	  10      90.00     100.00  2.105469552943518E-08  3.921462944636619E-08 28014	  10      90.00     100.00  2.105469552943518E-08  3.921462944636619E-08 28014	  10      90.00     100.00  1.111912269240926E-08  5.601374457219225E-08 28014	  10      90.00     100.00  1.111912269240926E-08  5.601374457219225E-08 28014	  10      90.00     100.00  1.707297017911686E-08  4.647591268255777E-08 28014
  11     100.00     110.00  5.161456203982439E-07  3.030393423935671E-08 116862	  11     100.00     110.00  5.161456203982439E-07  3.030393423935671E-08 116862	  11     100.00     110.00  4.882867406480331E-07  2.739523001234932E-08 116862	  11     100.00     110.00  4.882867406480331E-07  2.739523001234932E-08 116862	  11     100.00     110.00  5.467643386177417E-07  3.389069443136550E-08 116862	  11     100.00     110.00  5.467643386177417E-07  3.389069443136550E-08 116862	  11     100.00     110.00  5.161456203982439E-07  3.030393423935671E-08 116862
  12     110.00     120.00  2.516724286349181E-06  1.274155988449136E-07 349623	  12     110.00     120.00  2.516724286349181E-06  1.274155988449136E-07 349623	  12     110.00     120.00  2.376999173058773E-06  1.192140076125858E-07 349623	  12     110.00     120.00  2.376999173058773E-06  1.192140076125858E-07 349623	  12     110.00     120.00  2.671745835399649E-06  1.367655555208249E-07 349623	  12     110.00     120.00  2.671745835399649E-06  1.367655555208249E-07 349623	  12     110.00     120.00  2.516724286349181E-06  1.274155988449136E-07 349623
  13     120.00     130.00  7.675307076865321E-06  1.600987806167625E-06 893389	  13     120.00     130.00  7.675307076865321E-06  1.600987806167625E-06 893389	  13     120.00     130.00  7.290585552807864E-06  1.460544510333530E-06 893389	  13     120.00     130.00  7.290585552807864E-06  1.460544510333530E-06 893389	  13     120.00     130.00  8.095389641510786E-06  1.766971402803619E-06 893389	  13     120.00     130.00  8.095389641510786E-06  1.766971402803619E-06 893389	  13     120.00     130.00  7.675307076865321E-06  1.600987806167625E-06 893389
  14     130.00     140.00  3.012355863397402E-05  6.465406758924401E-07 2147729	  14     130.00     140.00  3.012355863397402E-05  6.465406758924401E-07 2147729	  14     130.00     140.00  2.841266163642030E-05  5.779998994164787E-07 2147729	  14     130.00     140.00  2.841266163642030E-05  5.779998994164787E-07 2147729	  14     130.00     140.00  3.203306178090598E-05  7.322644718709696E-07 2147729	  14     130.00     140.00  3.203306178090598E-05  7.322644718709696E-07 2147729	  14     130.00     140.00  3.012355863397402E-05  6.465406758924401E-07 2147729
  15     140.00     150.00 -3.795276619082647E-05  1.263344078006344E-04 5592401	  15     140.00     150.00 -3.795276619082647E-05  1.263344078006344E-04 5592401	  15     140.00     150.00 -2.301355575022091E-05  1.063668786609583E-04 5592401	  15     140.00     150.00 -2.301355575022091E-05  1.063668786609583E-04 5592401	  15     140.00     150.00 -5.859979820622862E-05  1.525802309048417E-04 5592401	  15     140.00     150.00 -5.859979820622862E-05  1.525802309048417E-04 5592401	  15     140.00     150.00 -3.795276619082647E-05  1.263344078006344E-04 5592401
  16     150.00     160.00  3.252729822672526E-04  8.575364533684007E-06 28717764	  16     150.00     160.00  3.252729822672526E-04  8.575364533684007E-06 28717764	  16     150.00     160.00  3.079836157510216E-04  7.613625035374666E-06 28717764	  16     150.00     160.00  3.079836157510216E-04  7.613625035374666E-06 28717764	  16     150.00     160.00  3.442701744856845E-04  9.768463287359951E-06 28717764	  16     150.00     160.00  3.442701744856845E-04  9.768463287359951E-06 28717764	  16     150.00     160.00  3.252729822672526E-04  8.575364533684007E-06 28717764
