# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  2.574696226403990E-06  2.723616167331660E-09 6840044	   7     600.00     700.00  2.574696226403990E-06  2.723616167331660E-09 6840044	   7     600.00     700.00  2.573448679423095E-06  2.717609279923235E-09 6840044	   7     600.00     700.00  2.573448679423095E-06  2.717609279923235E-09 6840044	   7     600.00     700.00  2.553326562639740E-06  2.710006323996832E-09 6840044	   7     600.00     700.00  2.553326562639740E-06  2.710006323996832E-09 6840044	   7     600.00     700.00  2.574696226403990E-06  2.723616167331660E-09 6840044
   8     700.00     800.00  1.141383296641634E-04  3.840128335875456E-08 63915277	   8     700.00     800.00  1.141383296641634E-04  3.840128335875456E-08 63915277	   8     700.00     800.00  1.132609501267906E-04  3.804173827167015E-08 63915277	   8     700.00     800.00  1.132609501267906E-04  3.804173827167015E-08 63915277	   8     700.00     800.00  1.141527704382428E-04  3.853468927438966E-08 63915277	   8     700.00     800.00  1.141527704382428E-04  3.853468927438966E-08 63915277	   8     700.00     800.00  1.141383296641634E-04  3.840128335875456E-08 63915277
   9     800.00     900.00  3.257939628533185E-04  8.987524208509487E-08 108423822	   9     800.00     900.00  3.257939628533185E-04  8.987524208509487E-08 108423822	   9     800.00     900.00  3.208263248708266E-04  8.842655727554679E-08 108423822	   9     800.00     900.00  3.208263248708266E-04  8.842655727554679E-08 108423822	   9     800.00     900.00  3.287636009441132E-04  9.091739962031436E-08 108423822	   9     800.00     900.00  3.287636009441132E-04  9.091739962031436E-08 108423822	   9     800.00     900.00  3.257939628533185E-04  8.987524208509487E-08 108423822
  10     900.00    1000.00  4.883672986426123E-04  1.341038650906622E-07 131774209	  10     900.00    1000.00  4.883672986426123E-04  1.341038650906622E-07 131774209	  10     900.00    1000.00  4.773673831281446E-04  1.310593119993035E-07 131774209	  10     900.00    1000.00  4.773673831281446E-04  1.310593119993035E-07 131774209	  10     900.00    1000.00  4.971138341899120E-04  1.367352756940675E-07 131774209	  10     900.00    1000.00  4.971138341899120E-04  1.367352756940675E-07 131774209	  10     900.00    1000.00  4.883672986426123E-04  1.341038650906622E-07 131774209
  11    1000.00    1100.00  5.935283176094172E-04  1.707924074829003E-07 141227098	  11    1000.00    1100.00  5.935283176094172E-04  1.707924074829003E-07 141227098	  11    1000.00    1100.00  5.761880913744279E-04  1.658777908047636E-07 141227098	  11    1000.00    1100.00  5.761880913744279E-04  1.658777908047636E-07 141227098	  11    1000.00    1100.00  6.090354892372850E-04  1.754245218056502E-07 141227098	  11    1000.00    1100.00  6.090354892372850E-04  1.754245218056502E-07 141227098	  11    1000.00    1100.00  5.935283176094172E-04  1.707924074829003E-07 141227098
  12    1100.00    1200.00  6.567286025656203E-04  2.019979888421261E-07 142654094	  12    1100.00    1200.00  6.567286025656203E-04  2.019979888421261E-07 142654094	  12    1100.00    1200.00  6.335186905885062E-04  1.950749065345232E-07 142654094	  12    1100.00    1200.00  6.335186905885062E-04  1.950749065345232E-07 142654094	  12    1100.00    1200.00  6.788948025113552E-04  2.088621924655423E-07 142654094	  12    1100.00    1200.00  6.788948025113552E-04  2.088621924655423E-07 142654094	  12    1100.00    1200.00  6.567286025656203E-04  2.019979888421261E-07 142654094
  13    1200.00    1300.00  6.909390394514794E-04  2.288349053297171E-07 139938848	  13    1200.00    1300.00  6.909390394514794E-04  2.288349053297171E-07 139938848	  13    1200.00    1300.00  6.626060682624657E-04  2.198236504256120E-07 139938848	  13    1200.00    1300.00  6.626060682624657E-04  2.198236504256120E-07 139938848	  13    1200.00    1300.00  7.191928685896855E-04  2.380806612151101E-07 139938848	  13    1200.00    1300.00  7.191928685896855E-04  2.380806612151101E-07 139938848	  13    1200.00    1300.00  6.909390394514794E-04  2.288349053297171E-07 139938848
  14    1300.00    1400.00  7.052188225300766E-04  2.528778820349679E-07 135225583	  14    1300.00    1400.00  7.052188225300766E-04  2.528778820349679E-07 135225583	  14    1300.00    1400.00  6.725686329312905E-04  2.417220419397244E-07 135225583	  14    1300.00    1400.00  6.725686329312905E-04  2.417220419397244E-07 135225583	  14    1300.00    1400.00  7.388122192473848E-04  2.646126004273654E-07 135225583	  14    1300.00    1400.00  7.388122192473848E-04  2.646126004273654E-07 135225583	  14    1300.00    1400.00  7.052188225300766E-04  2.528778820349679E-07 135225583
  15    1400.00    1500.00  7.051537689078528E-04  2.735137197374446E-07 129584771	  15    1400.00    1500.00  7.051537689078528E-04  2.735137197374446E-07 129584771	  15    1400.00    1500.00  6.689991660271483E-04  2.602077391757741E-07 129584771	  15    1400.00    1500.00  6.689991660271483E-04  2.602077391757741E-07 129584771	  15    1400.00    1500.00  7.432598015370788E-04  2.877854148960785E-07 129584771	  15    1400.00    1500.00  7.432598015370788E-04  2.877854148960785E-07 129584771	  15    1400.00    1500.00  7.051537689078528E-04  2.735137197374446E-07 129584771
  16    1500.00    1600.00  6.948268605138335E-04  2.914547855563356E-07 123608249	  16    1500.00    1600.00  6.948268605138335E-04  2.914547855563356E-07 123608249	  16    1500.00    1600.00  6.559468135596576E-04  2.760457164501522E-07 123608249	  16    1500.00    1600.00  6.559468135596576E-04  2.760457164501522E-07 123608249	  16    1500.00    1600.00  7.366048613607891E-04  3.082399451697860E-07 123608249	  16    1500.00    1600.00  7.366048613607891E-04  3.082399451697860E-07 123608249	  16    1500.00    1600.00  6.948268605138335E-04  2.914547855563356E-07 123608249
  17    1600.00    1700.00  6.777202420857019E-04  3.079212210650474E-07 117609319	  17    1600.00    1700.00  6.777202420857019E-04  3.079212210650474E-07 117609319	  17    1600.00    1700.00  6.367793081354986E-04  2.903911055022546E-07 117609319	  17    1600.00    1700.00  6.367793081354986E-04  2.903911055022546E-07 117609319	  17    1600.00    1700.00  7.224264282368426E-04  3.272672797891744E-07 117609319	  17    1600.00    1700.00  7.224264282368426E-04  3.272672797891744E-07 117609319	  17    1600.00    1700.00  6.777202420857019E-04  3.079212210650474E-07 117609319
  18    1700.00    1800.00  6.549937884435821E-04  3.215313001330631E-07 111750326	  18    1700.00    1800.00  6.549937884435821E-04  3.215313001330631E-07 111750326	  18    1700.00    1800.00  6.126273823137142E-04  3.019554019144347E-07 111750326	  18    1700.00    1800.00  6.126273823137142E-04  3.019554019144347E-07 111750326	  18    1700.00    1800.00  7.018981226434757E-04  3.433796433564457E-07 111750326	  18    1700.00    1800.00  7.018981226434757E-04  3.433796433564457E-07 111750326	  18    1700.00    1800.00  6.549937884435821E-04  3.215313001330631E-07 111750326
  19    1800.00    1900.00  6.303109407001473E-04  3.336616665291071E-07 106135958	  19    1800.00    1900.00  6.303109407001473E-04  3.336616665291071E-07 106135958	  19    1800.00    1900.00  5.869689835375772E-04  3.120665239566946E-07 106135958	  19    1800.00    1900.00  5.869689835375772E-04  3.120665239566946E-07 106135958	  19    1800.00    1900.00  6.788729751871722E-04  3.580029634536361E-07 106135958	  19    1800.00    1900.00  6.788729751871722E-04  3.580029634536361E-07 106135958	  19    1800.00    1900.00  6.303109407001473E-04  3.336616665291071E-07 106135958
  20    1900.00    2000.00  6.022762125604754E-04  3.419875085755547E-07 100772723	  20    1900.00    2000.00  6.022762125604754E-04  3.419875085755547E-07 100772723	  20    1900.00    2000.00  5.584757903211694E-04  3.185495888593032E-07 100772723	  20    1900.00    2000.00  5.584757903211694E-04  3.185495888593032E-07 100772723	  20    1900.00    2000.00  6.518774412884874E-04  3.686449812790026E-07 100772723	  20    1900.00    2000.00  6.518774412884874E-04  3.686449812790026E-07 100772723	  20    1900.00    2000.00  6.022762125604754E-04  3.419875085755547E-07 100772723
  21    2000.00    2100.00  5.729165458818662E-04  3.502824569819259E-07 95691865	  21    2000.00    2100.00  5.729165458818662E-04  3.502824569819259E-07 95691865	  21    2000.00    2100.00  5.290737125643110E-04  3.250183329865080E-07 95691865	  21    2000.00    2100.00  5.290737125643110E-04  3.250183329865080E-07 95691865	  21    2000.00    2100.00  6.230412184638641E-04  3.792457219865481E-07 95691865	  21    2000.00    2100.00  6.230412184638641E-04  3.792457219865481E-07 95691865	  21    2000.00    2100.00  5.729165458818662E-04  3.502824569819259E-07 95691865
  22    2100.00    2200.00  5.435272475586403E-04  3.559348353663438E-07 90886514	  22    2100.00    2200.00  5.435272475586403E-04  3.559348353663438E-07 90886514	  22    2100.00    2200.00  4.999174534254438E-04  3.289994100633415E-07 90886514	  22    2100.00    2200.00  4.999174534254438E-04  3.289994100633415E-07 90886514	  22    2100.00    2200.00  5.938225348448629E-04  3.870430649021488E-07 90886514	  22    2100.00    2200.00  5.938225348448629E-04  3.870430649021488E-07 90886514	  22    2100.00    2200.00  5.435272475586403E-04  3.559348353663438E-07 90886514
  23    2200.00    2300.00  5.130541455622031E-04  3.586609353147371E-07 86390544	  23    2200.00    2300.00  5.130541455622031E-04  3.586609353147371E-07 86390544	  23    2200.00    2300.00  4.700423280272735E-04  3.302621129121387E-07 86390544	  23    2200.00    2300.00  4.700423280272735E-04  3.302621129121387E-07 86390544	  23    2200.00    2300.00  5.630576541601815E-04  3.916865714807461E-07 86390544	  23    2200.00    2300.00  5.630576541601815E-04  3.916865714807461E-07 86390544	  23    2200.00    2300.00  5.130541455622031E-04  3.586609353147371E-07 86390544
  24    2300.00    2400.00  4.838256005546976E-04  3.606413389512000E-07 82160037	  24    2300.00    2400.00  4.838256005546976E-04  3.606413389512000E-07 82160037	  24    2300.00    2400.00  4.415582015500502E-04  3.308104532336270E-07 82160037	  24    2300.00    2400.00  4.415582015500502E-04  3.308104532336270E-07 82160037	  24    2300.00    2400.00  5.333317172932473E-04  3.955643925886796E-07 82160037	  24    2300.00    2400.00  5.333317172932473E-04  3.955643925886796E-07 82160037	  24    2300.00    2400.00  4.838256005546976E-04  3.606413389512000E-07 82160037
  25    2400.00    2500.00  4.545430985786234E-04  3.611223725079496E-07 78167165	  25    2400.00    2500.00  4.545430985786234E-04  3.611223725079496E-07 78167165	  25    2400.00    2500.00  4.132754403102991E-04  3.300377300982546E-07 78167165	  25    2400.00    2500.00  4.132754403102991E-04  3.300377300982546E-07 78167165	  25    2400.00    2500.00  5.032149607655535E-04  3.977358222515209E-07 78167165	  25    2400.00    2500.00  5.032149607655535E-04  3.977358222515209E-07 78167165	  25    2400.00    2500.00  4.545430985786234E-04  3.611223725079496E-07 78167165
