# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.737965733925625E-08  2.608157694363742E-09 10500	   6      -3.25      -3.00  1.737965733925625E-08  2.608157694363742E-09 10500	   6      -3.25      -3.00  1.460720079175762E-08  2.188577679921415E-09 10500	   6      -3.25      -3.00  1.460720079175762E-08  2.188577679921415E-09 10500	   6      -3.25      -3.00  2.093185693745780E-08  3.151005973017049E-09 10500	   6      -3.25      -3.00  2.093185693745780E-08  3.151005973017049E-09 10500	   6      -3.25      -3.00  1.737965733925625E-08  2.608157694363742E-09 10500
   7      -3.00      -2.75  8.432299842300958E-06  4.058205954340022E-07 770566	   7      -3.00      -2.75  8.432299842300958E-06  4.058205954340022E-07 770566	   7      -3.00      -2.75  7.468636314317527E-06  3.504366994362337E-07 770566	   7      -3.00      -2.75  7.468636314317527E-06  3.504366994362337E-07 770566	   7      -3.00      -2.75  9.579953517480618E-06  4.755776710858320E-07 770566	   7      -3.00      -2.75  9.579953517480618E-06  4.755776710858320E-07 770566	   7      -3.00      -2.75  8.432299842300958E-06  4.058205954340022E-07 770566
   8      -2.75      -2.50  2.398674993696600E-04  5.817788335973238E-06 7074693	   8      -2.75      -2.50  2.398674993696600E-04  5.817788335973238E-06 7074693	   8      -2.75      -2.50  2.182469348238527E-04  5.067935040862515E-06 7074693	   8      -2.75      -2.50  2.182469348238527E-04  5.067935040862515E-06 7074693	   8      -2.75      -2.50  2.644328330679503E-04  6.762465556728761E-06 7074693	   8      -2.75      -2.50  2.644328330679503E-04  6.762465556728761E-06 7074693	   8      -2.75      -2.50  2.398674993696600E-04  5.817788335973238E-06 7074693
   9      -2.50      -2.25  2.064834678488559E-03  1.856680673749604E-05 25433727	   9      -2.50      -2.25  2.064834678488559E-03  1.856680673749604E-05 25433727	   9      -2.50      -2.25  1.904724145572082E-03  1.700870527365103E-05 25433727	   9      -2.50      -2.25  1.904724145572082E-03  1.700870527365103E-05 25433727	   9      -2.50      -2.25  2.242797744488689E-03  2.037155249388822E-05 25433727	   9      -2.50      -2.25  2.242797744488689E-03  2.037155249388822E-05 25433727	   9      -2.50      -2.25  2.064834678488559E-03  1.856680673749604E-05 25433727
  10      -2.25      -2.00  9.109852171526820E-03  5.950866528551629E-05 57954677	  10      -2.25      -2.00  9.109852171526820E-03  5.950866528551629E-05 57954677	  10      -2.25      -2.00  8.480751725532533E-03  5.446068981027535E-05 57954677	  10      -2.25      -2.00  8.480751725532533E-03  5.446068981027535E-05 57954677	  10      -2.25      -2.00  9.797425087012536E-03  6.538991840174961E-05 57954677	  10      -2.25      -2.00  9.797425087012536E-03  6.538991840174961E-05 57954677	  10      -2.25      -2.00  9.109852171526820E-03  5.950866528551629E-05 57954677
  11      -2.00      -1.75  2.743412449280249E-02  1.426242847209288E-04 104159894	  11      -2.00      -1.75  2.743412449280249E-02  1.426242847209288E-04 104159894	  11      -2.00      -1.75  2.566073934086356E-02  1.280973220660796E-04 104159894	  11      -2.00      -1.75  2.566073934086356E-02  1.280973220660796E-04 104159894	  11      -2.00      -1.75  2.936489285975573E-02  1.603543716814493E-04 104159894	  11      -2.00      -1.75  2.936489285975573E-02  1.603543716814493E-04 104159894	  11      -2.00      -1.75  2.743412449280249E-02  1.426242847209288E-04 104159894
