# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  1.512473672515861E-01  1.333740575505620E-03 226234137	   3      -4.00      -3.75  1.512473672515861E-01  1.333740575505620E-03 226234137	   3      -4.00      -3.75  1.364112728142746E-01  1.157968900752057E-03 226234137	   3      -4.00      -3.75  1.364112728142746E-01  1.157968900752057E-03 226234137	   3      -4.00      -3.75  1.693744986680524E-01  1.559489043444222E-03 226234137	   3      -4.00      -3.75  1.693744986680524E-01  1.559489043444222E-03 226234137	   3      -4.00      -3.75  1.512473672515861E-01  1.333740575505620E-03 226234137
   4      -3.75      -3.50  1.927784941912544E-01  1.718705214285659E-03 248575484	   4      -3.75      -3.50  1.927784941912544E-01  1.718705214285659E-03 248575484	   4      -3.75      -3.50  1.749222535257775E-01  1.502525832460143E-03 248575484	   4      -3.75      -3.50  1.749222535257775E-01  1.502525832460143E-03 248575484	   4      -3.75      -3.50  2.143875515700030E-01  1.999077533470642E-03 248575484	   4      -3.75      -3.50  2.143875515700030E-01  1.999077533470642E-03 248575484	   4      -3.75      -3.50  1.927784941912544E-01  1.718705214285659E-03 248575484
   5      -3.50      -3.25  2.295610324154973E-01  5.556146213697241E-03 261607065	   5      -3.50      -3.25  2.295610324154973E-01  5.556146213697241E-03 261607065	   5      -3.50      -3.25  2.096171250370248E-01  4.708212522640870E-03 261607065	   5      -3.50      -3.25  2.096171250370248E-01  4.708212522640870E-03 261607065	   5      -3.50      -3.25  2.534623931075977E-01  6.667107277393506E-03 261607065	   5      -3.50      -3.25  2.534623931075977E-01  6.667107277393506E-03 261607065	   5      -3.50      -3.25  2.295610324154973E-01  5.556146213697241E-03 261607065
   6      -3.25      -3.00  2.602020294219623E-01  2.115251871988525E-03 265997811	   6      -3.25      -3.00  2.602020294219623E-01  2.115251871988525E-03 265997811	   6      -3.25      -3.00  2.384947971111552E-01  1.861048623199267E-03 265997811	   6      -3.25      -3.00  2.384947971111552E-01  1.861048623199267E-03 265997811	   6      -3.25      -3.00  2.860769698554081E-01  2.439146230672917E-03 265997811	   6      -3.25      -3.00  2.860769698554081E-01  2.439146230672917E-03 265997811	   6      -3.25      -3.00  2.602020294219623E-01  2.115251871988525E-03 265997811
   7      -3.00      -2.75  2.719612206525552E-01  1.943833601117289E-03 262937349	   7      -3.00      -2.75  2.719612206525552E-01  1.943833601117289E-03 262937349	   7      -3.00      -2.75  2.502888383313004E-01  1.725232169359792E-03 262937349	   7      -3.00      -2.75  2.502888383313004E-01  1.725232169359792E-03 262937349	   7      -3.00      -2.75  2.976323459006161E-01  2.219326649446038E-03 262937349	   7      -3.00      -2.75  2.976323459006161E-01  2.219326649446038E-03 262937349	   7      -3.00      -2.75  2.719612206525552E-01  1.943833601117289E-03 262937349
   8      -2.75      -2.50  2.653632692989765E-01  2.211393726095205E-03 253826848	   8      -2.75      -2.50  2.653632692989765E-01  2.211393726095205E-03 253826848	   8      -2.75      -2.50  2.454159794925460E-01  1.974240167420104E-03 253826848	   8      -2.75      -2.50  2.454159794925460E-01  1.974240167420104E-03 253826848	   8      -2.75      -2.50  2.887675318119323E-01  2.506630486156849E-03 253826848	   8      -2.75      -2.50  2.887675318119323E-01  2.506630486156849E-03 253826848	   8      -2.75      -2.50  2.653632692989765E-01  2.211393726095205E-03 253826848
   9      -2.50      -2.25  2.473382519430862E-01  2.185751245652764E-03 239782160	   9      -2.50      -2.25  2.473382519430862E-01  2.185751245652764E-03 239782160	   9      -2.50      -2.25  2.296240000991009E-01  1.955507646290570E-03 239782160	   9      -2.50      -2.25  2.296240000991009E-01  1.955507646290570E-03 239782160	   9      -2.50      -2.25  2.679476344678147E-01  2.473541827266067E-03 239782160	   9      -2.50      -2.25  2.679476344678147E-01  2.473541827266067E-03 239782160	   9      -2.50      -2.25  2.473382519430862E-01  2.185751245652764E-03 239782160
  10      -2.25      -2.00  2.191962157171831E-01  2.127274762556645E-03 222035512	  10      -2.25      -2.00  2.191962157171831E-01  2.127274762556645E-03 222035512	  10      -2.25      -2.00  2.043330671651976E-01  1.909353360438819E-03 222035512	  10      -2.25      -2.00  2.043330671651976E-01  1.909353360438819E-03 222035512	  10      -2.25      -2.00  2.363126807822646E-01  2.399103795741545E-03 222035512	  10      -2.25      -2.00  2.363126807822646E-01  2.399103795741545E-03 222035512	  10      -2.25      -2.00  2.191962157171831E-01  2.127274762556645E-03 222035512
  11      -2.00      -1.75  1.913490387238139E-01  1.363660941228838E-03 201373575	  11      -2.00      -1.75  1.913490387238139E-01  1.363660941228838E-03 201373575	  11      -2.00      -1.75  1.787886676441797E-01  1.231521346336471E-03 201373575	  11      -2.00      -1.75  1.787886676441797E-01  1.231521346336471E-03 201373575	  11      -2.00      -1.75  2.057253736152120E-01  1.526489452999386E-03 201373575	  11      -2.00      -1.75  2.057253736152120E-01  1.526489452999386E-03 201373575	  11      -2.00      -1.75  1.913490387238139E-01  1.363660941228838E-03 201373575
