# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  9.186673851042453E-02  1.021762776007897E-04 77124924	   1      -2.50      -2.25  9.186673851042453E-02  1.021762776007897E-04 77124924	   1      -2.50      -2.25  8.348338652143505E-02  9.101270511243491E-05 77124924	   1      -2.50      -2.25  8.348338652143505E-02  9.101270511243491E-05 77124924	   1      -2.50      -2.25  1.019192770632113E-01  1.162001404269583E-04 77124924	   1      -2.50      -2.25  1.019192770632113E-01  1.162001404269583E-04 77124924	   1      -2.50      -2.25  9.186673851042453E-02  1.021762776007897E-04 77124924
   2      -2.25      -2.00  1.348752966699276E-01  1.250899564811549E-04 100208119	   2      -2.25      -2.00  1.348752966699276E-01  1.250899564811549E-04 100208119	   2      -2.25      -2.00  1.229685133303125E-01  1.118724820604451E-04 100208119	   2      -2.25      -2.00  1.229685133303125E-01  1.118724820604451E-04 100208119	   2      -2.25      -2.00  1.490933635247426E-01  1.416214500452259E-04 100208119	   2      -2.25      -2.00  1.490933635247426E-01  1.416214500452259E-04 100208119	   2      -2.25      -2.00  1.348752966699276E-01  1.250899564811549E-04 100208119
   3      -2.00      -1.75  1.843109145033058E-01  1.448394949552600E-04 124909221	   3      -2.00      -1.75  1.843109145033058E-01  1.448394949552600E-04 124909221	   3      -2.00      -1.75  1.685451949348108E-01  1.300956166926878E-04 124909221	   3      -2.00      -1.75  1.685451949348108E-01  1.300956166926878E-04 124909221	   3      -2.00      -1.75  2.030601562701349E-01  1.631737156165235E-04 124909221	   3      -2.00      -1.75  2.030601562701349E-01  1.631737156165235E-04 124909221	   3      -2.00      -1.75  1.843109145033058E-01  1.448394949552600E-04 124909221
   4      -1.75      -1.50  2.377580181923856E-01  1.628180480627626E-04 150333101	   4      -1.75      -1.50  2.377580181923856E-01  1.628180480627626E-04 150333101	   4      -1.75      -1.50  2.179645392125500E-01  1.466149483893459E-04 150333101	   4      -1.75      -1.50  2.179645392125500E-01  1.466149483893459E-04 150333101	   4      -1.75      -1.50  2.612168699693411E-01  1.829052330281931E-04 150333101	   4      -1.75      -1.50  2.612168699693411E-01  1.829052330281931E-04 150333101	   4      -1.75      -1.50  2.377580181923856E-01  1.628180480627626E-04 150333101
   5      -1.50      -1.25  2.901901218500657E-01  1.714993250572657E-04 175315566	   5      -1.50      -1.25  2.901901218500657E-01  1.714993250572657E-04 175315566	   5      -1.50      -1.25  2.666371509551121E-01  1.550045343388608E-04 175315566	   5      -1.50      -1.25  2.666371509551121E-01  1.550045343388608E-04 175315566	   5      -1.50      -1.25  3.180122936443662E-01  1.918612182411114E-04 175315566	   5      -1.50      -1.25  3.180122936443662E-01  1.918612182411114E-04 175315566	   5      -1.50      -1.25  2.901901218500657E-01  1.714993250572657E-04 175315566
   6      -1.25      -1.00  3.398872978987614E-01  1.781475279335639E-04 198631080	   6      -1.25      -1.00  3.398872978987614E-01  1.781475279335639E-04 198631080	   6      -1.25      -1.00  3.128798313264339E-01  1.613855707656831E-04 198631080	   6      -1.25      -1.00  3.128798313264339E-01  1.613855707656831E-04 198631080	   6      -1.25      -1.00  3.717010315864987E-01  1.987801361895934E-04 198631080	   6      -1.25      -1.00  3.717010315864987E-01  1.987801361895934E-04 198631080	   6      -1.25      -1.00  3.398872978987614E-01  1.781475279335639E-04 198631080
   7      -1.00      -0.75  3.832370603355804E-01  1.796750886010747E-04 219018921	   7      -1.00      -0.75  3.832370603355804E-01  1.796750886010747E-04 219018921	   7      -1.00      -0.75  3.533310389060144E-01  1.631899806021029E-04 219018921	   7      -1.00      -0.75  3.533310389060144E-01  1.631899806021029E-04 219018921	   7      -1.00      -0.75  4.183784334936013E-01  1.999034234462792E-04 219018921	   7      -1.00      -0.75  4.183784334936013E-01  1.999034234462792E-04 219018921	   7      -1.00      -0.75  3.832370603355804E-01  1.796750886010747E-04 219018921
   8      -0.75      -0.50  4.178394271524867E-01  1.788860208709897E-04 235328572	   8      -0.75      -0.50  4.178394271524867E-01  1.788860208709897E-04 235328572	   8      -0.75      -0.50  3.856684818915496E-01  1.627620554560842E-04 235328572	   8      -0.75      -0.50  3.856684818915496E-01  1.627620554560842E-04 235328572	   8      -0.75      -0.50  4.555715737844889E-01  1.986249590714391E-04 235328572	   8      -0.75      -0.50  4.555715737844889E-01  1.986249590714391E-04 235328572	   8      -0.75      -0.50  4.178394271524867E-01  1.788860208709897E-04 235328572
   9      -0.50      -0.25  4.417353298760263E-01  1.764006326414256E-04 246771627	   9      -0.50      -0.25  4.417353298760263E-01  1.764006326414256E-04 246771627	   9      -0.50      -0.25  4.080405599280302E-01  1.607637436187046E-04 246771627	   9      -0.50      -0.25  4.080405599280302E-01  1.607637436187046E-04 246771627	   9      -0.50      -0.25  4.812017667727023E-01  1.954972214764783E-04 246771627	   9      -0.50      -0.25  4.812017667727023E-01  1.954972214764783E-04 246771627	   9      -0.50      -0.25  4.417353298760263E-01  1.764006326414256E-04 246771627
  10      -0.25       0.00  4.540982056603911E-01  1.750252200611429E-04 252666418	  10      -0.25       0.00  4.540982056603911E-01  1.750252200611429E-04 252666418	  10      -0.25       0.00  4.196172172131123E-01  1.596112471967499E-04 252666418	  10      -0.25       0.00  4.196172172131123E-01  1.596112471967499E-04 252666418	  10      -0.25       0.00  4.944603487103669E-01  1.938400476029561E-04 252666418	  10      -0.25       0.00  4.944603487103669E-01  1.938400476029561E-04 252666418	  10      -0.25       0.00  4.540982056603911E-01  1.750252200611429E-04 252666418
