# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  7.887361612054830E-02  8.202027505373685E-04 118418163	   1      -2.50      -2.25  7.887361612054830E-02  8.202027505373685E-04 118418163	   1      -2.50      -2.25  7.204196360456366E-02  7.143896926849414E-04 118418163	   1      -2.50      -2.25  7.204196360456366E-02  7.143896926849414E-04 118418163	   1      -2.50      -2.25  8.702256438302404E-02  9.565140826321308E-04 118418163	   1      -2.50      -2.25  8.702256438302404E-02  9.565140826321308E-04 118418163	   1      -2.50      -2.25  7.887361612054830E-02  8.202027505373685E-04 118418163
   2      -2.25      -2.00  1.148265568252689E-01  1.246205532865956E-03 154466310	   2      -2.25      -2.00  1.148265568252689E-01  1.246205532865956E-03 154466310	   2      -2.25      -2.00  1.052017416680533E-01  1.102942334880681E-03 154466310	   2      -2.25      -2.00  1.052017416680533E-01  1.102942334880681E-03 154466310	   2      -2.25      -2.00  1.262642788644439E-01  1.426790844058837E-03 154466310	   2      -2.25      -2.00  1.262642788644439E-01  1.426790844058837E-03 154466310	   2      -2.25      -2.00  1.148265568252689E-01  1.246205532865956E-03 154466310
   3      -2.00      -1.75  1.537564791555338E-01  4.377630445155825E-03 193297555	   3      -2.00      -1.75  1.537564791555338E-01  4.377630445155825E-03 193297555	   3      -2.00      -1.75  1.412212688580131E-01  3.984334520058730E-03 193297555	   3      -2.00      -1.75  1.412212688580131E-01  3.984334520058730E-03 193297555	   3      -2.00      -1.75  1.686146163033536E-01  4.845211434266319E-03 193297555	   3      -2.00      -1.75  1.686146163033536E-01  4.845211434266319E-03 193297555	   3      -2.00      -1.75  1.537564791555338E-01  4.377630445155825E-03 193297555
   4      -1.75      -1.50  1.983396149440879E-01  2.039213972197385E-03 233350933	   4      -1.75      -1.50  1.983396149440879E-01  2.039213972197385E-03 233350933	   4      -1.75      -1.50  1.826818439408454E-01  1.820316956822479E-03 233350933	   4      -1.75      -1.50  1.826818439408454E-01  1.820316956822479E-03 233350933	   4      -1.75      -1.50  2.168228337878188E-01  2.310597707146476E-03 233350933	   4      -1.75      -1.50  2.168228337878188E-01  2.310597707146476E-03 233350933	   4      -1.75      -1.50  1.983396149440879E-01  2.039213972197385E-03 233350933
   5      -1.50      -1.25  2.459112724491183E-01  1.798960738387118E-03 272972037	   5      -1.50      -1.25  2.459112724491183E-01  1.798960738387118E-03 272972037	   5      -1.50      -1.25  2.269029674223871E-01  1.606857663630362E-03 272972037	   5      -1.50      -1.25  2.269029674223871E-01  1.606857663630362E-03 272972037	   5      -1.50      -1.25  2.682793239960027E-01  2.039483958734845E-03 272972037	   5      -1.50      -1.25  2.682793239960027E-01  2.039483958734845E-03 272972037	   5      -1.50      -1.25  2.459112724491183E-01  1.798960738387118E-03 272972037
   6      -1.25      -1.00  2.874907087659477E-01  1.806865471937865E-03 310009183	   6      -1.25      -1.00  2.874907087659477E-01  1.806865471937865E-03 310009183	   6      -1.25      -1.00  2.659255040535594E-01  1.612446451375535E-03 310009183	   6      -1.25      -1.00  2.659255040535594E-01  1.612446451375535E-03 310009183	   6      -1.25      -1.00  3.127368173399102E-01  2.052948086193690E-03 310009183	   6      -1.25      -1.00  3.127368173399102E-01  2.052948086193690E-03 310009183	   6      -1.25      -1.00  2.874907087659477E-01  1.806865471937865E-03 310009183
   7      -1.00      -0.75  3.187397101938423E-01  2.374135099445343E-03 342562025	   7      -1.00      -0.75  3.187397101938423E-01  2.374135099445343E-03 342562025	   7      -1.00      -0.75  2.953333209818110E-01  2.134853831525357E-03 342562025	   7      -1.00      -0.75  2.953333209818110E-01  2.134853831525357E-03 342562025	   7      -1.00      -0.75  3.460879331964905E-01  2.669041016719583E-03 342562025	   7      -1.00      -0.75  3.460879331964905E-01  2.669041016719583E-03 342562025	   7      -1.00      -0.75  3.187397101938423E-01  2.374135099445343E-03 342562025
   8      -0.75      -0.50  3.478394073742863E-01  2.165439379149225E-03 368773255	   8      -0.75      -0.50  3.478394073742863E-01  2.165439379149225E-03 368773255	   8      -0.75      -0.50  3.226898597779534E-01  1.930399690710950E-03 368773255	   8      -0.75      -0.50  3.226898597779534E-01  1.930399690710950E-03 368773255	   8      -0.75      -0.50  3.771354263231512E-01  2.463307358039464E-03 368773255	   8      -0.75      -0.50  3.771354263231512E-01  2.463307358039464E-03 368773255	   8      -0.75      -0.50  3.478394073742863E-01  2.165439379149225E-03 368773255
   9      -0.50      -0.25  3.660450430944271E-01  2.208922957004035E-03 387213850	   9      -0.50      -0.25  3.660450430944271E-01  2.208922957004035E-03 387213850	   9      -0.50      -0.25  3.399782827352383E-01  1.970534449833015E-03 387213850	   9      -0.50      -0.25  3.399782827352383E-01  1.970534449833015E-03 387213850	   9      -0.50      -0.25  3.963458216131381E-01  2.509972494401479E-03 387213850	   9      -0.50      -0.25  3.963458216131381E-01  2.509972494401479E-03 387213850	   9      -0.50      -0.25  3.660450430944271E-01  2.208922957004035E-03 387213850
  10      -0.25       0.00  3.767619475588338E-01  2.277864372731105E-03 396862666	  10      -0.25       0.00  3.767619475588338E-01  2.277864372731105E-03 396862666	  10      -0.25       0.00  3.499697137230806E-01  2.037455777527796E-03 396862666	  10      -0.25       0.00  3.499697137230806E-01  2.037455777527796E-03 396862666	  10      -0.25       0.00  4.079175422440017E-01  2.577244362837659E-03 396862666	  10      -0.25       0.00  4.079175422440017E-01  2.577244362837659E-03 396862666	  10      -0.25       0.00  3.767619475588338E-01  2.277864372731105E-03 396862666
