# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  1.993695214732885E-02  9.220967928045145E-05 1347038288	   2      20.00      40.00  1.993695214732885E-02  9.220967928045145E-05 1347038288	   2      20.00      40.00  1.853758267726415E-02  7.965176786550741E-05 1347038288	   2      20.00      40.00  1.853758267726415E-02  7.965176786550741E-05 1347038288	   2      20.00      40.00  2.155716553223643E-02  1.085963808129472E-04 1347038288	   2      20.00      40.00  2.155716553223643E-02  1.085963808129472E-04 1347038288	   2      20.00      40.00  1.993695214732885E-02  9.220967928045145E-05 1347038288
   3      40.00      60.00  1.448914999042391E-02  7.837723702415623E-05 1034529927	   3      40.00      60.00  1.448914999042391E-02  7.837723702415623E-05 1034529927	   3      40.00      60.00  1.346278960396891E-02  7.052028759384388E-05 1034529927	   3      40.00      60.00  1.346278960396891E-02  7.052028759384388E-05 1034529927	   3      40.00      60.00  1.567951738278510E-02  8.801781339691350E-05 1034529927	   3      40.00      60.00  1.567951738278510E-02  8.801781339691350E-05 1034529927	   3      40.00      60.00  1.448914999042391E-02  7.837723702415623E-05 1034529927
   4      60.00      80.00  9.562562048147203E-03  4.290690696870681E-05 679457293	   4      60.00      80.00  9.562562048147203E-03  4.290690696870681E-05 679457293	   4      60.00      80.00  8.853566267124902E-03  3.848913503391338E-05 679457293	   4      60.00      80.00  8.853566267124902E-03  3.848913503391338E-05 679457293	   4      60.00      80.00  1.039081239454203E-02  4.836434896210806E-05 679457293	   4      60.00      80.00  1.039081239454203E-02  4.836434896210806E-05 679457293	   4      60.00      80.00  9.562562048147203E-03  4.290690696870681E-05 679457293
   5      80.00     100.00  6.132148967296952E-03  3.433996153013683E-05 484180126	   5      80.00     100.00  6.132148967296952E-03  3.433996153013683E-05 484180126	   5      80.00     100.00  5.659952979162132E-03  3.048541478985646E-05 484180126	   5      80.00     100.00  5.659952979162132E-03  3.048541478985646E-05 484180126	   5      80.00     100.00  6.687018635930867E-03  3.917130978393173E-05 484180126	   5      80.00     100.00  6.687018635930867E-03  3.917130978393173E-05 484180126	   5      80.00     100.00  6.132148967296952E-03  3.433996153013683E-05 484180126
   6     100.00     120.00  4.055083304327496E-03  2.577573976746226E-05 362218539	   6     100.00     120.00  4.055083304327496E-03  2.577573976746226E-05 362218539	   6     100.00     120.00  3.731749496672307E-03  2.290131407234948E-05 362218539	   6     100.00     120.00  3.731749496672307E-03  2.290131407234948E-05 362218539	   6     100.00     120.00  4.436866192650515E-03  2.939676395238725E-05 362218539	   6     100.00     120.00  4.436866192650515E-03  2.939676395238725E-05 362218539	   6     100.00     120.00  4.055083304327496E-03  2.577573976746226E-05 362218539
   7     120.00     140.00  2.737901280121832E-03  2.455083518767368E-05 280246553	   7     120.00     140.00  2.737901280121832E-03  2.455083518767368E-05 280246553	   7     120.00     140.00  2.512878010737696E-03  2.172760698014819E-05 280246553	   7     120.00     140.00  2.512878010737696E-03  2.172760698014819E-05 280246553	   7     120.00     140.00  3.004829435944146E-03  2.809417153224931E-05 280246553	   7     120.00     140.00  3.004829435944146E-03  2.809417153224931E-05 280246553	   7     120.00     140.00  2.737901280121832E-03  2.455083518767368E-05 280246553
   8     140.00     160.00  1.925935740726142E-03  1.800270360842921E-05 222362746	   8     140.00     160.00  1.925935740726142E-03  1.800270360842921E-05 222362746	   8     140.00     160.00  1.761141203923992E-03  1.594023931615286E-05 222362746	   8     140.00     160.00  1.761141203923992E-03  1.594023931615286E-05 222362746	   8     140.00     160.00  2.122689439475357E-03  2.060945425026500E-05 222362746	   8     140.00     160.00  2.122689439475357E-03  2.060945425026500E-05 222362746	   8     140.00     160.00  1.925935740726142E-03  1.800270360842921E-05 222362746
   9     160.00     180.00  1.389931922047142E-03  1.389923421102140E-05 179974978	   9     160.00     180.00  1.389931922047142E-03  1.389923421102140E-05 179974978	   9     160.00     180.00  1.267622656745948E-03  1.214998695488033E-05 179974978	   9     160.00     180.00  1.267622656745948E-03  1.214998695488033E-05 179974978	   9     160.00     180.00  1.536410301347892E-03  1.615704447327542E-05 179974978	   9     160.00     180.00  1.536410301347892E-03  1.615704447327542E-05 179974978	   9     160.00     180.00  1.389931922047142E-03  1.389923421102140E-05 179974978
  10     180.00     200.00  9.916801445741903E-04  1.375465557059720E-05 147995936	  10     180.00     200.00  9.916801445741903E-04  1.375465557059720E-05 147995936	  10     180.00     200.00  9.020863741343310E-04  1.205999945698154E-05 147995936	  10     180.00     200.00  9.020863741343310E-04  1.205999945698154E-05 147995936	  10     180.00     200.00  1.099435075518261E-03  1.593214788087478E-05 147995936	  10     180.00     200.00  1.099435075518261E-03  1.593214788087478E-05 147995936	  10     180.00     200.00  9.916801445741903E-04  1.375465557059720E-05 147995936
  11     200.00     220.00  7.283194404275226E-04  1.149603288382797E-05 123362116	  11     200.00     220.00  7.283194404275226E-04  1.149603288382797E-05 123362116	  11     200.00     220.00  6.603387621287720E-04  1.021877432539993E-05 123362116	  11     200.00     220.00  6.603387621287720E-04  1.021877432539993E-05 123362116	  11     200.00     220.00  8.105898346596066E-04  1.309765257471548E-05 123362116	  11     200.00     220.00  8.105898346596066E-04  1.309765257471548E-05 123362116	  11     200.00     220.00  7.283194404275226E-04  1.149603288382797E-05 123362116
  12     220.00     240.00  5.230292432396799E-04  1.297901411172644E-05 104052606	  12     220.00     240.00  5.230292432396799E-04  1.297901411172644E-05 104052606	  12     220.00     240.00  4.734607979416659E-04  1.140908037384938E-05 104052606	  12     220.00     240.00  4.734607979416659E-04  1.140908037384938E-05 104052606	  12     220.00     240.00  5.831788383350853E-04  1.496154310391595E-05 104052606	  12     220.00     240.00  5.831788383350853E-04  1.496154310391595E-05 104052606	  12     220.00     240.00  5.230292432396799E-04  1.297901411172644E-05 104052606
  13     240.00     260.00  4.130478861782028E-04  8.833346788907805E-06 88649317	  13     240.00     260.00  4.130478861782028E-04  8.833346788907805E-06 88649317	  13     240.00     260.00  3.723778077034525E-04  7.784497008838931E-06 88649317	  13     240.00     260.00  3.723778077034525E-04  7.784497008838931E-06 88649317	  13     240.00     260.00  4.626964025643743E-04  1.015626475296077E-05 88649317	  13     240.00     260.00  4.626964025643743E-04  1.015626475296077E-05 88649317	  13     240.00     260.00  4.130478861782028E-04  8.833346788907805E-06 88649317
  14     260.00     280.00  3.130364147949610E-04  6.335111719410327E-06 76204152	  14     260.00     280.00  3.130364147949610E-04  6.335111719410327E-06 76204152	  14     260.00     280.00  2.816636949150005E-04  5.557277744914873E-06 76204152	  14     260.00     280.00  2.816636949150005E-04  5.557277744914873E-06 76204152	  14     260.00     280.00  3.514076131593517E-04  7.326872379293408E-06 76204152	  14     260.00     280.00  3.514076131593517E-04  7.326872379293408E-06 76204152	  14     260.00     280.00  3.130364147949610E-04  6.335111719410327E-06 76204152
  15     280.00     300.00  2.450498594087957E-04  7.351424629943511E-06 66025605	  15     280.00     300.00  2.450498594087957E-04  7.351424629943511E-06 66025605	  15     280.00     300.00  2.205093977953062E-04  6.204363288107990E-06 66025605	  15     280.00     300.00  2.205093977953062E-04  6.204363288107990E-06 66025605	  15     280.00     300.00  2.749985675384139E-04  8.890376564598413E-06 66025605	  15     280.00     300.00  2.749985675384139E-04  8.890376564598413E-06 66025605	  15     280.00     300.00  2.450498594087957E-04  7.351424629943511E-06 66025605
