# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  4.904837815602438E-05  1.615346159404091E-07 2797914	   2      20.00      40.00  4.904837815602438E-05  1.615346159404091E-07 2797914	   2      20.00      40.00  4.705446807311401E-05  1.526296790093675E-07 2797914	   2      20.00      40.00  4.705446807311401E-05  1.526296790093675E-07 2797914	   2      20.00      40.00  5.108816900838511E-05  1.715156000894509E-07 2797914	   2      20.00      40.00  5.108816900838511E-05  1.715156000894509E-07 2797914	   2      20.00      40.00  4.904837815602438E-05  1.615346159404091E-07 2797914
   3      40.00      60.00  7.996664279185666E-04  8.102087105803351E-07 32165040	   3      40.00      60.00  7.996664279185666E-04  8.102087105803351E-07 32165040	   3      40.00      60.00  7.628731823806654E-04  7.582167516425577E-07 32165040	   3      40.00      60.00  7.628731823806654E-04  7.582167516425577E-07 32165040	   3      40.00      60.00  8.383906527554006E-04  8.699991017611221E-07 32165040	   3      40.00      60.00  8.383906527554006E-04  8.699991017611221E-07 32165040	   3      40.00      60.00  7.996664279185666E-04  8.102087105803351E-07 32165040
   4      60.00      80.00  2.517994395117469E-03  1.666891676246778E-06 80828077	   4      60.00      80.00  2.517994395117469E-03  1.666891676246778E-06 80828077	   4      60.00      80.00  2.387184015618309E-03  1.543647240585750E-06 80828077	   4      60.00      80.00  2.387184015618309E-03  1.543647240585750E-06 80828077	   4      60.00      80.00  2.659322879989953E-03  1.812214978630114E-06 80828077	   4      60.00      80.00  2.659322879989953E-03  1.812214978630114E-06 80828077	   4      60.00      80.00  2.517994395117469E-03  1.666891676246778E-06 80828077
   5      80.00     100.00  4.494901488499596E-03  2.387417219728936E-06 131891454	   5      80.00     100.00  4.494901488499596E-03  2.387417219728936E-06 131891454	   5      80.00     100.00  4.236597291616086E-03  2.192521034522829E-06 131891454	   5      80.00     100.00  4.236597291616086E-03  2.192521034522829E-06 131891454	   5      80.00     100.00  4.779950513499492E-03  2.621372293948564E-06 131891454	   5      80.00     100.00  4.779950513499492E-03  2.621372293948564E-06 131891454	   5      80.00     100.00  4.494901488499596E-03  2.387417219728936E-06 131891454
   6     100.00     120.00  6.007157779048776E-03  2.820274985223794E-06 174838544	   6     100.00     120.00  6.007157779048776E-03  2.820274985223794E-06 174838544	   6     100.00     120.00  5.632845957458092E-03  2.573519384103701E-06 174838544	   6     100.00     120.00  5.632845957458092E-03  2.573519384103701E-06 174838544	   6     100.00     120.00  6.427195074369497E-03  3.120515538568329E-06 174838544	   6     100.00     120.00  6.427195074369497E-03  3.120515538568329E-06 174838544	   6     100.00     120.00  6.007157779048776E-03  2.820274985223794E-06 174838544
   7     120.00     140.00  6.787202568454478E-03  2.949227932800166E-06 205295909	   7     120.00     140.00  6.787202568454478E-03  2.949227932800166E-06 205295909	   7     120.00     140.00  6.337409712604330E-03  2.683194237081846E-06 205295909	   7     120.00     140.00  6.337409712604330E-03  2.683194237081846E-06 205295909	   7     120.00     140.00  7.298276826158257E-03  3.274765666224879E-06 205295909	   7     120.00     140.00  7.298276826158257E-03  3.274765666224879E-06 205295909	   7     120.00     140.00  6.787202568454478E-03  2.949227932800166E-06 205295909
   8     140.00     160.00  6.919899457227958E-03  2.927939901618054E-06 220026009	   8     140.00     160.00  6.919899457227958E-03  2.927939901618054E-06 220026009	   8     140.00     160.00  6.436385023062931E-03  2.657810820985193E-06 220026009	   8     140.00     160.00  6.436385023062931E-03  2.657810820985193E-06 220026009	   8     140.00     160.00  7.474950026731647E-03  3.259672580699968E-06 220026009	   8     140.00     160.00  7.474950026731647E-03  3.259672580699968E-06 220026009	   8     140.00     160.00  6.919899457227958E-03  2.927939901618054E-06 220026009
   9     160.00     180.00  6.568862825081017E-03  2.808604303313744E-06 219868118	   9     160.00     180.00  6.568862825081017E-03  2.808604303313744E-06 219868118	   9     160.00     180.00  6.087230793736799E-03  2.543835153012400E-06 219868118	   9     160.00     180.00  6.087230793736799E-03  2.543835153012400E-06 219868118	   9     160.00     180.00  7.126617353537807E-03  3.134919313009494E-06 219868118	   9     160.00     180.00  7.126617353537807E-03  3.134919313009494E-06 219868118	   9     160.00     180.00  6.568862825081017E-03  2.808604303313744E-06 219868118
  10     180.00     200.00  5.973897588860813E-03  2.642926907353418E-06 211190519	  10     180.00     200.00  5.973897588860813E-03  2.642926907353418E-06 211190519	  10     180.00     200.00  5.516045790577531E-03  2.389914064605890E-06 211190519	  10     180.00     200.00  5.516045790577531E-03  2.389914064605890E-06 211190519	  10     180.00     200.00  6.508189273723804E-03  2.955282168217934E-06 211190519	  10     180.00     200.00  6.508189273723804E-03  2.955282168217934E-06 211190519	  10     180.00     200.00  5.973897588860813E-03  2.642926907353418E-06 211190519
  11     200.00     220.00  5.291624335057964E-03  2.449046749578866E-06 198134138	  11     200.00     220.00  5.291624335057964E-03  2.449046749578866E-06 198134138	  11     200.00     220.00  4.869408912109954E-03  2.211080682048170E-06 198134138	  11     200.00     220.00  4.869408912109954E-03  2.211080682048170E-06 198134138	  11     200.00     220.00  5.787633298584892E-03  2.743426517256532E-06 198134138	  11     200.00     220.00  5.787633298584892E-03  2.743426517256532E-06 198134138	  11     200.00     220.00  5.291624335057964E-03  2.449046749578866E-06 198134138
  12     220.00     240.00  4.605050287353655E-03  2.245892002566364E-06 182909123	  12     220.00     240.00  4.605050287353655E-03  2.245892002566364E-06 182909123	  12     220.00     240.00  4.223645235059998E-03  2.023915074748745E-06 182909123	  12     220.00     240.00  4.223645235059998E-03  2.023915074748745E-06 182909123	  12     220.00     240.00  5.055841504714230E-03  2.521158234451218E-06 182909123	  12     220.00     240.00  5.055841504714230E-03  2.521158234451218E-06 182909123	  12     220.00     240.00  4.605050287353655E-03  2.245892002566364E-06 182909123
  13     240.00     260.00  3.962317003531038E-03  2.050857482730969E-06 166733832	  13     240.00     260.00  3.962317003531038E-03  2.050857482730969E-06 166733832	  13     240.00     260.00  3.622973598135848E-03  1.845978869199856E-06 166733832	  13     240.00     260.00  3.622973598135848E-03  1.845978869199856E-06 166733832	  13     240.00     260.00  4.365534052615598E-03  2.305165815839642E-06 166733832	  13     240.00     260.00  4.365534052615598E-03  2.305165815839642E-06 166733832	  13     240.00     260.00  3.962317003531038E-03  2.050857482730969E-06 166733832
  14     260.00     280.00  3.386149962590415E-03  1.855417062017860E-06 151047276	  14     260.00     280.00  3.386149962590415E-03  1.855417062017860E-06 151047276	  14     260.00     280.00  3.086951510462039E-03  1.667685897940872E-06 151047276	  14     260.00     280.00  3.086951510462039E-03  1.667685897940872E-06 151047276	  14     260.00     280.00  3.743443899378889E-03  2.088822623373345E-06 151047276	  14     260.00     280.00  3.743443899378889E-03  2.088822623373345E-06 151047276	  14     260.00     280.00  3.386149962590415E-03  1.855417062017860E-06 151047276
  15     280.00     300.00  2.883368953226891E-03  1.685633153732497E-06 136662417	  15     280.00     300.00  2.883368953226891E-03  1.685633153732497E-06 136662417	  15     280.00     300.00  2.620907394354877E-03  1.512977535669926E-06 136662417	  15     280.00     300.00  2.620907394354877E-03  1.512977535669926E-06 136662417	  15     280.00     300.00  3.198275757075006E-03  1.900553479425291E-06 136662417	  15     280.00     300.00  3.198275757075006E-03  1.900553479425291E-06 136662417	  15     280.00     300.00  2.883368953226891E-03  1.685633153732497E-06 136662417
  16     300.00     320.00  2.451180524949156E-03  1.532121848998077E-06 123710816	  16     300.00     320.00  2.451180524949156E-03  1.532121848998077E-06 123710816	  16     300.00     320.00  2.221759809845117E-03  1.372627598922022E-06 123710816	  16     300.00     320.00  2.221759809845117E-03  1.372627598922022E-06 123710816	  16     300.00     320.00  2.727664183284579E-03  1.731075573924923E-06 123710816	  16     300.00     320.00  2.727664183284579E-03  1.731075573924923E-06 123710816	  16     300.00     320.00  2.451180524949156E-03  1.532121848998077E-06 123710816
  17     320.00     340.00  2.078631462819666E-03  1.378237312807791E-06 112068746	  17     320.00     340.00  2.078631462819666E-03  1.378237312807791E-06 112068746	  17     320.00     340.00  1.879010145854921E-03  1.233387880405719E-06 112068746	  17     320.00     340.00  1.879010145854921E-03  1.233387880405719E-06 112068746	  17     320.00     340.00  2.320208640859485E-03  1.559126082261710E-06 112068746	  17     320.00     340.00  2.320208640859485E-03  1.559126082261710E-06 112068746	  17     320.00     340.00  2.078631462819666E-03  1.378237312807791E-06 112068746
  18     340.00     360.00  1.765456660855451E-03  1.248330574705718E-06 101721025	  18     340.00     360.00  1.765456660855451E-03  1.248330574705718E-06 101721025	  18     340.00     360.00  1.591803564124928E-03  1.115633248758796E-06 101721025	  18     340.00     360.00  1.591803564124928E-03  1.115633248758796E-06 101721025	  18     340.00     360.00  1.976415433869708E-03  1.414245724300005E-06 101721025	  18     340.00     360.00  1.976415433869708E-03  1.414245724300005E-06 101721025	  18     340.00     360.00  1.765456660855451E-03  1.248330574705718E-06 101721025
  19     360.00     380.00  1.501513877473985E-03  1.137148041850870E-06 92483174	  19     360.00     380.00  1.501513877473985E-03  1.137148041850870E-06 92483174	  19     360.00     380.00  1.350369072953542E-03  1.014710357971768E-06 92483174	  19     360.00     380.00  1.350369072953542E-03  1.014710357971768E-06 92483174	  19     360.00     380.00  1.685815190229529E-03  1.290479745809398E-06 92483174	  19     360.00     380.00  1.685815190229529E-03  1.290479745809398E-06 92483174	  19     360.00     380.00  1.501513877473985E-03  1.137148041850870E-06 92483174
  20     380.00     400.00  1.274902290652665E-03  1.025774534311984E-06 84260870	  20     380.00     400.00  1.274902290652665E-03  1.025774534311984E-06 84260870	  20     380.00     400.00  1.143735190332278E-03  9.138935573978822E-07 84260870	  20     380.00     400.00  1.143735190332278E-03  9.138935573978822E-07 84260870	  20     380.00     400.00  1.435414306157711E-03  1.166110094089284E-06 84260870	  20     380.00     400.00  1.435414306157711E-03  1.166110094089284E-06 84260870	  20     380.00     400.00  1.274902290652665E-03  1.025774534311984E-06 84260870
  21     400.00     420.00  1.084376317967461E-03  9.216637422228909E-07 76928568	  21     400.00     420.00  1.084376317967461E-03  9.216637422228909E-07 76928568	  21     400.00     420.00  9.704923021148368E-04  8.201915369984845E-07 76928568	  21     400.00     420.00  9.704923021148368E-04  8.201915369984845E-07 76928568	  21     400.00     420.00  1.224205752031593E-03  1.049067656036908E-06 76928568	  21     400.00     420.00  1.224205752031593E-03  1.049067656036908E-06 76928568	  21     400.00     420.00  1.084376317967461E-03  9.216637422228909E-07 76928568
  22     420.00     440.00  9.278421927381789E-04  8.405775654393663E-07 70399923	  22     420.00     440.00  9.278421927381789E-04  8.405775654393663E-07 70399923	  22     420.00     440.00  8.284976018514856E-04  7.469189887277895E-07 70399923	  22     420.00     440.00  8.284976018514856E-04  7.469189887277895E-07 70399923	  22     420.00     440.00  1.050209354654478E-03  9.583544024125647E-07 70399923	  22     420.00     440.00  1.050209354654478E-03  9.583544024125647E-07 70399923	  22     420.00     440.00  9.278421927381789E-04  8.405775654393663E-07 70399923
  23     440.00     460.00  7.931771513394621E-04  7.640705238542509E-07 64578460	  23     440.00     460.00  7.931771513394621E-04  7.640705238542509E-07 64578460	  23     440.00     460.00  7.066378575509266E-04  6.778901358757675E-07 64578460	  23     440.00     460.00  7.066378575509266E-04  6.778901358757675E-07 64578460	  23     440.00     460.00  9.001024185540886E-04  8.725562638355065E-07 64578460	  23     440.00     460.00  9.001024185540886E-04  8.725562638355065E-07 64578460	  23     440.00     460.00  7.931771513394621E-04  7.640705238542509E-07 64578460
  24     460.00     480.00  6.784970672363552E-04  6.884902417911067E-07 59321060	  24     460.00     480.00  6.784970672363552E-04  6.884902417911067E-07 59321060	  24     460.00     480.00  6.031311702162303E-04  6.101285785218007E-07 59321060	  24     460.00     480.00  6.031311702162303E-04  6.101285785218007E-07 59321060	  24     460.00     480.00  7.718981565431733E-04  7.872480076465320E-07 59321060	  24     460.00     480.00  7.718981565431733E-04  7.872480076465320E-07 59321060	  24     460.00     480.00  6.784970672363552E-04  6.884902417911067E-07 59321060
  25     480.00     500.00  5.817562348065208E-04  6.266244551064752E-07 54614119	  25     480.00     500.00  5.817562348065208E-04  6.266244551064752E-07 54614119	  25     480.00     500.00  5.160307713811152E-04  5.546117889195154E-07 54614119	  25     480.00     500.00  5.160307713811152E-04  5.546117889195154E-07 54614119	  25     480.00     500.00  6.634407258123589E-04  7.174467536923559E-07 54614119	  25     480.00     500.00  6.634407258123589E-04  7.174467536923559E-07 54614119	  25     480.00     500.00  5.817562348065208E-04  6.266244551064752E-07 54614119
  26     500.00     520.00  4.998442524149071E-04  5.649350948501653E-07 50377851	  26     500.00     520.00  4.998442524149071E-04  5.649350948501653E-07 50377851	  26     500.00     520.00  4.424480759169522E-04  4.993035905189490E-07 50377851	  26     500.00     520.00  4.424480759169522E-04  4.993035905189490E-07 50377851	  26     500.00     520.00  5.713732022303677E-04  6.478562767194369E-07 50377851	  26     500.00     520.00  5.713732022303677E-04  6.478562767194369E-07 50377851	  26     500.00     520.00  4.998442524149071E-04  5.649350948501653E-07 50377851
  27     520.00     540.00  4.301598223037953E-04  5.129088757238410E-07 46556059	  27     520.00     540.00  4.301598223037953E-04  5.129088757238410E-07 46556059	  27     520.00     540.00  3.799506811150918E-04  4.527290715717711E-07 46556059	  27     520.00     540.00  3.799506811150918E-04  4.527290715717711E-07 46556059	  27     520.00     540.00  4.929099347003918E-04  5.890421242511788E-07 46556059	  27     520.00     540.00  4.929099347003918E-04  5.890421242511788E-07 46556059	  27     520.00     540.00  4.301598223037953E-04  5.129088757238410E-07 46556059
  28     540.00     560.00  3.710360823461475E-04  4.652963530923805E-07 43102147	  28     540.00     560.00  3.710360823461475E-04  4.652963530923805E-07 43102147	  28     540.00     560.00  3.270768861909312E-04  4.102244213332430E-07 43102147	  28     540.00     560.00  3.270768861909312E-04  4.102244213332430E-07 43102147	  28     540.00     560.00  4.261141019732243E-04  5.350298850059248E-07 43102147	  28     540.00     560.00  4.261141019732243E-04  5.350298850059248E-07 43102147	  28     540.00     560.00  3.710360823461475E-04  4.652963530923805E-07 43102147
  29     560.00     580.00  3.217383214174051E-04  4.327164884718287E-07 39960461	  29     560.00     580.00  3.217383214174051E-04  4.327164884718287E-07 39960461	  29     560.00     580.00  2.830667281003562E-04  3.809712330800810E-07 39960461	  29     560.00     580.00  2.830667281003562E-04  3.809712330800810E-07 39960461	  29     560.00     580.00  3.703148036995194E-04  4.983286763784775E-07 39960461	  29     560.00     580.00  3.703148036995194E-04  4.983286763784775E-07 39960461	  29     560.00     580.00  3.217383214174051E-04  4.327164884718287E-07 39960461
