# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  4.579155249837022E-05  4.942713098089607E-07 4463415	   2      20.00      40.00  4.579155249837022E-05  4.942713098089607E-07 4463415	   2      20.00      40.00  4.400731367333152E-05  4.651389918075082E-07 4463415	   2      20.00      40.00  4.400731367333152E-05  4.651389918075082E-07 4463415	   2      20.00      40.00  4.761303544809257E-05  5.274398172508015E-07 4463415	   2      20.00      40.00  4.761303544809257E-05  5.274398172508015E-07 4463415	   2      20.00      40.00  4.579155249837022E-05  4.942713098089607E-07 4463415
   3      40.00      60.00  7.401881239817966E-04  3.253590783957835E-06 49661925	   3      40.00      60.00  7.401881239817966E-04  3.253590783957835E-06 49661925	   3      40.00      60.00  7.072900242685098E-04  3.014538136049470E-06 49661925	   3      40.00      60.00  7.072900242685098E-04  3.014538136049470E-06 49661925	   3      40.00      60.00  7.747949796420100E-04  3.536017662094275E-06 49661925	   3      40.00      60.00  7.747949796420100E-04  3.536017662094275E-06 49661925	   3      40.00      60.00  7.401881239817966E-04  3.253590783957835E-06 49661925
   4      60.00      80.00  2.287002384332802E-03  9.452533794883209E-06 124467089	   4      60.00      80.00  2.287002384332802E-03  9.452533794883209E-06 124467089	   4      60.00      80.00  2.172408372655515E-03  8.775558471634763E-06 124467089	   4      60.00      80.00  2.172408372655515E-03  8.775558471634763E-06 124467089	   4      60.00      80.00  2.410723594167578E-03  1.024390827887258E-05 124467089	   4      60.00      80.00  2.410723594167578E-03  1.024390827887258E-05 124467089	   4      60.00      80.00  2.287002384332802E-03  9.452533794883209E-06 124467089
   5      80.00     100.00  4.027924850013560E-03  1.817173927959632E-05 203509528	   5      80.00     100.00  4.027924850013560E-03  1.817173927959632E-05 203509528	   5      80.00     100.00  3.806089816847955E-03  1.644022940891512E-05 203509528	   5      80.00     100.00  3.806089816847955E-03  1.644022940891512E-05 203509528	   5      80.00     100.00  4.272184122404163E-03  2.028834830879318E-05 203509528	   5      80.00     100.00  4.272184122404163E-03  2.028834830879318E-05 203509528	   5      80.00     100.00  4.027924850013560E-03  1.817173927959632E-05 203509528
   6     100.00     120.00  5.330502825608174E-03  2.156637569361751E-05 270719408	   6     100.00     120.00  5.330502825608174E-03  2.156637569361751E-05 270719408	   6     100.00     120.00  5.012454665330418E-03  1.963292149059982E-05 270719408	   6     100.00     120.00  5.012454665330418E-03  1.963292149059982E-05 270719408	   6     100.00     120.00  5.686525745231368E-03  2.392399052758606E-05 270719408	   6     100.00     120.00  5.686525745231368E-03  2.392399052758606E-05 270719408	   6     100.00     120.00  5.330502825608174E-03  2.156637569361751E-05 270719408
   7     120.00     140.00  6.071639006588795E-03  2.132404540388976E-05 319223819	   7     120.00     140.00  6.071639006588795E-03  2.132404540388976E-05 319223819	   7     120.00     140.00  5.681648527508590E-03  1.929741299020852E-05 319223819	   7     120.00     140.00  5.681648527508590E-03  1.929741299020852E-05 319223819	   7     120.00     140.00  6.514850406370543E-03  2.382805357936239E-05 319223819	   7     120.00     140.00  6.514850406370543E-03  2.382805357936239E-05 319223819	   7     120.00     140.00  6.071639006588795E-03  2.132404540388976E-05 319223819
   8     140.00     160.00  5.985310344151225E-03  7.061542538498483E-05 343619713	   8     140.00     160.00  5.985310344151225E-03  7.061542538498483E-05 343619713	   8     140.00     160.00  5.591032571103860E-03  6.016513786082968E-05 343619713	   8     140.00     160.00  5.591032571103860E-03  6.016513786082968E-05 343619713	   8     140.00     160.00  6.435043949874122E-03  8.429251967141733E-05 343619713	   8     140.00     160.00  6.435043949874122E-03  8.429251967141733E-05 343619713	   8     140.00     160.00  5.985310344151225E-03  7.061542538498483E-05 343619713
   9     160.00     180.00  5.665668374716982E-03  2.855939419659629E-05 344798872	   9     160.00     180.00  5.665668374716982E-03  2.855939419659629E-05 344798872	   9     160.00     180.00  5.269777783928535E-03  2.553612727551279E-05 344798872	   9     160.00     180.00  5.269777783928535E-03  2.553612727551279E-05 344798872	   9     160.00     180.00  6.122490808652736E-03  3.235464540470360E-05 344798872	   9     160.00     180.00  6.122490808652736E-03  3.235464540470360E-05 344798872	   9     160.00     180.00  5.665668374716982E-03  2.855939419659629E-05 344798872
  10     180.00     200.00  5.163807209676321E-03  2.756602403055877E-05 332625155	  10     180.00     200.00  5.163807209676321E-03  2.756602403055877E-05 332625155	  10     180.00     200.00  4.782452932179372E-03  2.473348129124577E-05 332625155	  10     180.00     200.00  4.782452932179372E-03  2.473348129124577E-05 332625155	  10     180.00     200.00  5.608251690945877E-03  3.110931103432668E-05 332625155	  10     180.00     200.00  5.608251690945877E-03  3.110931103432668E-05 332625155	  10     180.00     200.00  5.163807209676321E-03  2.756602403055877E-05 332625155
  11     200.00     220.00  4.390930179733295E-03  3.440240691363985E-05 313241041	  11     200.00     220.00  4.390930179733295E-03  3.440240691363985E-05 313241041	  11     200.00     220.00  4.059313822605460E-03  3.051846991325663E-05 313241041	  11     200.00     220.00  4.059313822605460E-03  3.051846991325663E-05 313241041	  11     200.00     220.00  4.778556797727827E-03  3.930783446597658E-05 313241041	  11     200.00     220.00  4.778556797727827E-03  3.930783446597658E-05 313241041	  11     200.00     220.00  4.390930179733295E-03  3.440240691363985E-05 313241041
  12     220.00     240.00  3.830787436434506E-03  3.145134304071850E-05 290295352	  12     220.00     240.00  3.830787436434506E-03  3.145134304071850E-05 290295352	  12     220.00     240.00  3.527063348949773E-03  2.818028775801783E-05 290295352	  12     220.00     240.00  3.527063348949773E-03  2.818028775801783E-05 290295352	  12     220.00     240.00  4.188857919855241E-03  3.551188664476483E-05 290295352	  12     220.00     240.00  4.188857919855241E-03  3.551188664476483E-05 290295352	  12     220.00     240.00  3.830787436434506E-03  3.145134304071850E-05 290295352
  13     240.00     260.00  3.255256773341297E-03  3.568619549956443E-05 265779628	  13     240.00     260.00  3.255256773341297E-03  3.568619549956443E-05 265779628	  13     240.00     260.00  2.988239118755875E-03  3.207892746617697E-05 265779628	  13     240.00     260.00  2.988239118755875E-03  3.207892746617697E-05 265779628	  13     240.00     260.00  3.571715141410619E-03  4.010345429174824E-05 265779628	  13     240.00     260.00  3.571715141410619E-03  4.010345429174824E-05 265779628	  13     240.00     260.00  3.255256773341297E-03  3.568619549956443E-05 265779628
  14     260.00     280.00  2.671894101632070E-03  5.987085300868677E-05 241785619	  14     260.00     280.00  2.671894101632070E-03  5.987085300868677E-05 241785619	  14     260.00     280.00  2.447352997025677E-03  5.417735223561722E-05 241785619	  14     260.00     280.00  2.447352997025677E-03  5.417735223561722E-05 241785619	  14     260.00     280.00  2.938912010608194E-03  6.676912236516848E-05 241785619	  14     260.00     280.00  2.938912010608194E-03  6.676912236516848E-05 241785619	  14     260.00     280.00  2.671894101632070E-03  5.987085300868677E-05 241785619
  15     280.00     300.00  2.333733985991394E-03  2.244561048815429E-05 219696392	  15     280.00     300.00  2.333733985991394E-03  2.244561048815429E-05 219696392	  15     280.00     300.00  2.128751559217094E-03  2.012956883094335E-05 219696392	  15     280.00     300.00  2.128751559217094E-03  2.012956883094335E-05 219696392	  15     280.00     300.00  2.579386276146636E-03  2.531524212308985E-05 219696392	  15     280.00     300.00  2.579386276146636E-03  2.531524212308985E-05 219696392	  15     280.00     300.00  2.333733985991394E-03  2.244561048815429E-05 219696392
  16     300.00     320.00  1.952081352792691E-03  2.251612384335519E-05 199622341	  16     300.00     320.00  1.952081352792691E-03  2.251612384335519E-05 199622341	  16     300.00     320.00  1.777748954810421E-03  2.000590108154496E-05 199622341	  16     300.00     320.00  1.777748954810421E-03  2.000590108154496E-05 199622341	  16     300.00     320.00  2.161354562958043E-03  2.565556149311839E-05 199622341	  16     300.00     320.00  2.161354562958043E-03  2.565556149311839E-05 199622341	  16     300.00     320.00  1.952081352792691E-03  2.251612384335519E-05 199622341
  17     320.00     340.00  1.627853908427488E-03  2.327607961369176E-05 181587011	  17     320.00     340.00  1.627853908427488E-03  2.327607961369176E-05 181587011	  17     320.00     340.00  1.479678907328032E-03  2.034958893560951E-05 181587011	  17     320.00     340.00  1.479678907328032E-03  2.034958893560951E-05 181587011	  17     320.00     340.00  1.806108394101682E-03  2.704993265416946E-05 181587011	  17     320.00     340.00  1.806108394101682E-03  2.704993265416946E-05 181587011	  17     320.00     340.00  1.627853908427488E-03  2.327607961369176E-05 181587011
  18     340.00     360.00  1.343965663361666E-03  2.003476329283227E-05 165397905	  18     340.00     360.00  1.343965663361666E-03  2.003476329283227E-05 165397905	  18     340.00     360.00  1.218095228916174E-03  1.765830852223688E-05 165397905	  18     340.00     360.00  1.218095228916174E-03  1.765830852223688E-05 165397905	  18     340.00     360.00  1.496242602537861E-03  2.305637673270377E-05 165397905	  18     340.00     360.00  1.496242602537861E-03  2.305637673270377E-05 165397905	  18     340.00     360.00  1.343965663361666E-03  2.003476329283227E-05 165397905
  19     360.00     380.00  1.174497633827583E-03  1.773584096212731E-05 150903530	  19     360.00     380.00  1.174497633827583E-03  1.773584096212731E-05 150903530	  19     360.00     380.00  1.061594970303358E-03  1.553875840815873E-05 150903530	  19     360.00     380.00  1.061594970303358E-03  1.553875840815873E-05 150903530	  19     360.00     380.00  1.311629288854145E-03  2.054803402598171E-05 150903530	  19     360.00     380.00  1.311629288854145E-03  2.054803402598171E-05 150903530	  19     360.00     380.00  1.174497633827583E-03  1.773584096212731E-05 150903530
  20     380.00     400.00  9.637629489286627E-04  1.555869312662312E-05 137926261	  20     380.00     400.00  9.637629489286627E-04  1.555869312662312E-05 137926261	  20     380.00     400.00  8.686577669540244E-04  1.381796014556236E-05 137926261	  20     380.00     400.00  8.686577669540244E-04  1.381796014556236E-05 137926261	  20     380.00     400.00  1.079790362886797E-03  1.774302142380619E-05 137926261	  20     380.00     400.00  1.079790362886797E-03  1.774302142380619E-05 137926261	  20     380.00     400.00  9.637629489286627E-04  1.555869312662312E-05 137926261
  21     400.00     420.00  8.154960567736614E-04  1.655093436948948E-05 126308676	  21     400.00     420.00  8.154960567736614E-04  1.655093436948948E-05 126308676	  21     400.00     420.00  7.335628961690731E-04  1.468244450328202E-05 126308676	  21     400.00     420.00  7.335628961690731E-04  1.468244450328202E-05 126308676	  21     400.00     420.00  9.158112015708381E-04  1.888429781661949E-05 126308676	  21     400.00     420.00  9.158112015708381E-04  1.888429781661949E-05 126308676	  21     400.00     420.00  8.154960567736614E-04  1.655093436948948E-05 126308676
  22     420.00     440.00  7.100958525450026E-04  1.247256697287492E-05 115934385	  22     420.00     440.00  7.100958525450026E-04  1.247256697287492E-05 115934385	  22     420.00     440.00  6.363834028397689E-04  1.104824246126504E-05 115934385	  22     420.00     440.00  6.363834028397689E-04  1.104824246126504E-05 115934385	  22     420.00     440.00  8.007744601842712E-04  1.427368325685151E-05 115934385	  22     420.00     440.00  8.007744601842712E-04  1.427368325685151E-05 115934385	  22     420.00     440.00  7.100958525450026E-04  1.247256697287492E-05 115934385
  23     440.00     460.00  5.786435948182995E-04  1.177867901081245E-05 106572091	  23     440.00     460.00  5.786435948182995E-04  1.177867901081245E-05 106572091	  23     440.00     460.00  5.182392458285446E-04  1.036196958877971E-05 106572091	  23     440.00     460.00  5.182392458285446E-04  1.036196958877971E-05 106572091	  23     440.00     460.00  6.529328015322964E-04  1.359410970904058E-05 106572091	  23     440.00     460.00  6.529328015322964E-04  1.359410970904058E-05 106572091	  23     440.00     460.00  5.786435948182995E-04  1.177867901081245E-05 106572091
