# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.721661140844255E-03  1.855723103904527E-06 173298774	   2      20.00      40.00  3.721661140844255E-03  1.855723103904527E-06 173298774	   2      20.00      40.00  3.494442005455116E-03  1.711355835188794E-06 173298774	   2      20.00      40.00  3.494442005455116E-03  1.711355835188794E-06 173298774	   2      20.00      40.00  3.975738152703017E-03  2.027935726688772E-06 173298774	   2      20.00      40.00  3.975738152703017E-03  2.027935726688772E-06 173298774	   2      20.00      40.00  3.721661140844255E-03  1.855723103904527E-06 173298774
   3      40.00      60.00  1.066639544323693E-02  3.510608556812008E-06 401390017	   3      40.00      60.00  1.066639544323693E-02  3.510608556812008E-06 401390017	   3      40.00      60.00  9.982727521689754E-03  3.219192795222055E-06 401390017	   3      40.00      60.00  9.982727521689754E-03  3.219192795222055E-06 401390017	   3      40.00      60.00  1.143812624465528E-02  3.861822284220465E-06 401390017	   3      40.00      60.00  1.143812624465528E-02  3.861822284220465E-06 401390017	   3      40.00      60.00  1.066639544323693E-02  3.510608556812008E-06 401390017
   4      60.00      80.00  1.233344491102682E-02  4.006096218795917E-06 427045459	   4      60.00      80.00  1.233344491102682E-02  4.006096218795917E-06 427045459	   4      60.00      80.00  1.148339736135504E-02  3.646497149888479E-06 427045459	   4      60.00      80.00  1.148339736135504E-02  3.646497149888479E-06 427045459	   4      60.00      80.00  1.330643969328573E-02  4.445239102918096E-06 427045459	   4      60.00      80.00  1.330643969328573E-02  4.445239102918096E-06 427045459	   4      60.00      80.00  1.233344491102682E-02  4.006096218795917E-06 427045459
   5      80.00     100.00  1.145634608099721E-02  3.823633321236142E-06 412757729	   5      80.00     100.00  1.145634608099721E-02  3.823633321236142E-06 412757729	   5      80.00     100.00  1.060873660619044E-02  3.462166757962661E-06 412757729	   5      80.00     100.00  1.060873660619044E-02  3.462166757962661E-06 412757729	   5      80.00     100.00  1.243967154743705E-02  4.268728753867368E-06 412757729	   5      80.00     100.00  1.243967154743705E-02  4.268728753867368E-06 412757729	   5      80.00     100.00  1.145634608099721E-02  3.823633321236142E-06 412757729
   6     100.00     120.00  9.444513085864310E-03  3.356795192745546E-06 373691591	   6     100.00     120.00  9.444513085864310E-03  3.356795192745546E-06 373691591	   6     100.00     120.00  8.698950795061184E-03  3.026902011244439E-06 373691591	   6     100.00     120.00  8.698950795061184E-03  3.026902011244439E-06 373691591	   6     100.00     120.00  1.031988104252061E-02  3.765746605767843E-06 373691591	   6     100.00     120.00  1.031988104252061E-02  3.765746605767843E-06 373691591	   6     100.00     120.00  9.444513085864310E-03  3.356795192745546E-06 373691591
   7     120.00     140.00  7.277246887112169E-03  2.820889370970222E-06 321317872	   7     120.00     140.00  7.277246887112169E-03  2.820889370970222E-06 321317872	   7     120.00     140.00  6.667809318136138E-03  2.536404955418010E-06 321317872	   7     120.00     140.00  6.667809318136138E-03  2.536404955418010E-06 321317872	   7     120.00     140.00  8.000158699593800E-03  3.174891304209192E-06 321317872	   7     120.00     140.00  8.000158699593800E-03  3.174891304209192E-06 321317872	   7     120.00     140.00  7.277246887112169E-03  2.820889370970222E-06 321317872
   8     140.00     160.00  5.424010610155517E-03  2.329331048437062E-06 267235525	   8     140.00     160.00  5.424010610155517E-03  2.329331048437062E-06 267235525	   8     140.00     160.00  4.944339340350342E-03  2.089620904882654E-06 267235525	   8     140.00     160.00  4.944339340350342E-03  2.089620904882654E-06 267235525	   8     140.00     160.00  5.998099088603100E-03  2.628436688749607E-06 267235525	   8     140.00     160.00  5.998099088603100E-03  2.628436688749607E-06 267235525	   8     140.00     160.00  5.424010610155517E-03  2.329331048437062E-06 267235525
   9     160.00     180.00  4.013902268717375E-03  1.925065771975059E-06 221261193	   9     160.00     180.00  4.013902268717375E-03  1.925065771975059E-06 221261193	   9     160.00     180.00  3.642331685653826E-03  1.723175097067860E-06 221261193	   9     160.00     180.00  3.642331685653826E-03  1.723175097067860E-06 221261193	   9     160.00     180.00  4.461874610240452E-03  2.177546263573019E-06 221261193	   9     160.00     180.00  4.461874610240452E-03  2.177546263573019E-06 221261193	   9     160.00     180.00  4.013902268717375E-03  1.925065771975059E-06 221261193
  10     180.00     200.00  2.982867128273436E-03  1.611054946002631E-06 183265802	  10     180.00     200.00  2.982867128273436E-03  1.611054946002631E-06 183265802	  10     180.00     200.00  2.695809173268715E-03  1.439260753157878E-06 183265802	  10     180.00     200.00  2.695809173268715E-03  1.439260753157878E-06 183265802	  10     180.00     200.00  3.331073676662211E-03  1.826261303260176E-06 183265802	  10     180.00     200.00  3.331073676662211E-03  1.826261303260176E-06 183265802	  10     180.00     200.00  2.982867128273436E-03  1.611054946002631E-06 183265802
  11     200.00     220.00  2.222256982872999E-03  1.327691700705841E-06 151745349	  11     200.00     220.00  2.222256982872999E-03  1.327691700705841E-06 151745349	  11     200.00     220.00  2.001119751620745E-03  1.184377203404981E-06 151745349	  11     200.00     220.00  2.001119751620745E-03  1.184377203404981E-06 151745349	  11     200.00     220.00  2.491891544560171E-03  1.507457035425827E-06 151745349	  11     200.00     220.00  2.491891544560171E-03  1.507457035425827E-06 151745349	  11     200.00     220.00  2.222256982872999E-03  1.327691700705841E-06 151745349
