# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.294845995320748E-03  1.284670132078635E-06 73661308	   1       0.00      20.00  1.294845995320748E-03  1.284670132078635E-06 73661308	   1       0.00      20.00  1.214428387092279E-03  1.173544433453933E-06 73661308	   1       0.00      20.00  1.214428387092279E-03  1.173544433453933E-06 73661308	   1       0.00      20.00  1.385447201783795E-03  1.420026023485026E-06 73661308	   1       0.00      20.00  1.385447201783795E-03  1.420026023485026E-06 73661308	   1       0.00      20.00  1.294845995320748E-03  1.284670132078635E-06 73661308
   2      20.00      40.00  3.606661334174141E-03  2.165775006648283E-06 141854177	   2      20.00      40.00  3.606661334174141E-03  2.165775006648283E-06 141854177	   2      20.00      40.00  3.378839168164644E-03  1.976183564429202E-06 141854177	   2      20.00      40.00  3.378839168164644E-03  1.976183564429202E-06 141854177	   2      20.00      40.00  3.864085704239927E-03  2.397091349882866E-06 141854177	   2      20.00      40.00  3.864085704239927E-03  2.397091349882866E-06 141854177	   2      20.00      40.00  3.606661334174141E-03  2.165775006648283E-06 141854177
   3      40.00      60.00  5.345812295691534E-03  2.636860074461417E-06 171334716	   3      40.00      60.00  5.345812295691534E-03  2.636860074461417E-06 171334716	   3      40.00      60.00  4.999506733709985E-03  2.404672313624177E-06 171334716	   3      40.00      60.00  4.999506733709985E-03  2.404672313624177E-06 171334716	   3      40.00      60.00  5.738816323276544E-03  2.920317399940153E-06 171334716	   3      40.00      60.00  5.738816323276544E-03  2.920317399940153E-06 171334716	   3      40.00      60.00  5.345812295691534E-03  2.636860074461417E-06 171334716
   4      60.00      80.00  6.439434350007270E-03  2.896742561345210E-06 186659633	   4      60.00      80.00  6.439434350007270E-03  2.896742561345210E-06 186659633	   4      60.00      80.00  6.009296005453989E-03  2.637547204585923E-06 186659633	   4      60.00      80.00  6.009296005453989E-03  2.637547204585923E-06 186659633	   4      60.00      80.00  6.930126728562228E-03  3.213846716265730E-06 186659633	   4      60.00      80.00  6.930126728562228E-03  3.213846716265730E-06 186659633	   4      60.00      80.00  6.439434350007270E-03  2.896742561345210E-06 186659633
   5      80.00     100.00  6.885018126180720E-03  2.967014719763916E-06 193867522	   5      80.00     100.00  6.885018126180720E-03  2.967014719763916E-06 193867522	   5      80.00     100.00  6.409283483644448E-03  2.698470400626725E-06 193867522	   5      80.00     100.00  6.409283483644448E-03  2.698470400626725E-06 193867522	   5      80.00     100.00  7.430815303222290E-03  3.295996297056145E-06 193867522	   5      80.00     100.00  7.430815303222290E-03  3.295996297056145E-06 193867522	   5      80.00     100.00  6.885018126180720E-03  2.967014719763916E-06 193867522
   6     100.00     120.00  6.799871559921296E-03  2.910399854261577E-06 194912982	   6     100.00     120.00  6.799871559921296E-03  2.910399854261577E-06 194912982	   6     100.00     120.00  6.312846181731884E-03  2.642536426609872E-06 194912982	   6     100.00     120.00  6.312846181731884E-03  2.642536426609872E-06 194912982	   6     100.00     120.00  7.361981937817181E-03  3.239252292494171E-06 194912982	   6     100.00     120.00  7.361981937817181E-03  3.239252292494171E-06 194912982	   6     100.00     120.00  6.799871559921296E-03  2.910399854261577E-06 194912982
   7     120.00     140.00  6.379690910263771E-03  2.795634425182766E-06 191237068	   7     120.00     140.00  6.379690910263771E-03  2.795634425182766E-06 191237068	   7     120.00     140.00  5.905664850651609E-03  2.532037043265392E-06 191237068	   7     120.00     140.00  5.905664850651609E-03  2.532037043265392E-06 191237068	   7     120.00     140.00  6.930148630617704E-03  3.120469658563987E-06 191237068	   7     120.00     140.00  6.930148630617704E-03  3.120469658563987E-06 191237068	   7     120.00     140.00  6.379690910263771E-03  2.795634425182766E-06 191237068
   8     140.00     160.00  5.776182291555234E-03  2.583627012985897E-06 184117267	   8     140.00     160.00  5.776182291555234E-03  2.583627012985897E-06 184117267	   8     140.00     160.00  5.331471445216758E-03  2.338460024666933E-06 184117267	   8     140.00     160.00  5.331471445216758E-03  2.338460024666933E-06 184117267	   8     140.00     160.00  6.295621704688970E-03  2.885856197503839E-06 184117267	   8     140.00     160.00  6.295621704688970E-03  2.885856197503839E-06 184117267	   8     140.00     160.00  5.776182291555234E-03  2.583627012985897E-06 184117267
   9     160.00     180.00  5.102955784107335E-03  2.380963727811047E-06 174640569	   9     160.00     180.00  5.102955784107335E-03  2.380963727811047E-06 174640569	   9     160.00     180.00  4.696447301770840E-03  2.151614105013094E-06 174640569	   9     160.00     180.00  4.696447301770840E-03  2.151614105013094E-06 174640569	   9     160.00     180.00  5.580433902404813E-03  2.664169856169022E-06 174640569	   9     160.00     180.00  5.580433902404813E-03  2.664169856169022E-06 174640569	   9     160.00     180.00  5.102955784107335E-03  2.380963727811047E-06 174640569
  10     180.00     200.00  4.433448267031292E-03  2.166547633165048E-06 163890000	  10     180.00     200.00  4.433448267031292E-03  2.166547633165048E-06 163890000	  10     180.00     200.00  4.068513748497237E-03  1.954639907196148E-06 163890000	  10     180.00     200.00  4.068513748497237E-03  1.954639907196148E-06 163890000	  10     180.00     200.00  4.864408106288440E-03  2.428775179250844E-06 163890000	  10     180.00     200.00  4.864408106288440E-03  2.428775179250844E-06 163890000	  10     180.00     200.00  4.433448267031292E-03  2.166547633165048E-06 163890000
