# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.141699986072359E-03  9.807337387434903E-06 110422602	   1       0.00      20.00  1.141699986072359E-03  9.807337387434903E-06 110422602	   1       0.00      20.00  1.074158827925428E-03  9.011150598525597E-06 110422602	   1       0.00      20.00  1.074158827925428E-03  9.011150598525597E-06 110422602	   1       0.00      20.00  1.217572128292071E-03  1.076480887157817E-05 110422602	   1       0.00      20.00  1.217572128292071E-03  1.076480887157817E-05 110422602	   1       0.00      20.00  1.141699986072359E-03  9.807337387434903E-06 110422602
   2      20.00      40.00  3.198819779467948E-03  1.573314669537545E-05 214579629	   2      20.00      40.00  3.198819779467948E-03  1.573314669537545E-05 214579629	   2      20.00      40.00  3.007263209531766E-03  1.405484776287162E-05 214579629	   2      20.00      40.00  3.007263209531766E-03  1.405484776287162E-05 214579629	   2      20.00      40.00  3.414109376644612E-03  1.785721278220503E-05 214579629	   2      20.00      40.00  3.414109376644612E-03  1.785721278220503E-05 214579629	   2      20.00      40.00  3.198819779467948E-03  1.573314669537545E-05 214579629
   3      40.00      60.00  4.720499887059582E-03  2.925278808513675E-05 262299341	   3      40.00      60.00  4.720499887059582E-03  2.925278808513675E-05 262299341	   3      40.00      60.00  4.429294259028544E-03  2.615088455619916E-05 262299341	   3      40.00      60.00  4.429294259028544E-03  2.615088455619916E-05 262299341	   3      40.00      60.00  5.049780300874564E-03  3.309823851308649E-05 262299341	   3      40.00      60.00  5.049780300874564E-03  3.309823851308649E-05 262299341	   3      40.00      60.00  4.720499887059582E-03  2.925278808513675E-05 262299341
   4      60.00      80.00  5.604544324199692E-03  6.887421907371467E-05 288647153	   4      60.00      80.00  5.604544324199692E-03  6.887421907371467E-05 288647153	   4      60.00      80.00  5.253732846393147E-03  5.862300736044150E-05 288647153	   4      60.00      80.00  5.253732846393147E-03  5.862300736044150E-05 288647153	   4      60.00      80.00  6.001604636123999E-03  8.231664290316441E-05 288647153	   4      60.00      80.00  6.001604636123999E-03  8.231664290316441E-05 288647153	   4      60.00      80.00  5.604544324199692E-03  6.887421907371467E-05 288647153
   5      80.00     100.00  5.994506302438769E-03  2.973300648697606E-05 302327303	   5      80.00     100.00  5.994506302438769E-03  2.973300648697606E-05 302327303	   5      80.00     100.00  5.599966647294683E-03  2.676508444532159E-05 302327303	   5      80.00     100.00  5.599966647294683E-03  2.676508444532159E-05 302327303	   5      80.00     100.00  6.445427165478817E-03  3.342795131708345E-05 302327303	   5      80.00     100.00  6.445427165478817E-03  3.342795131708345E-05 302327303	   5      80.00     100.00  5.994506302438769E-03  2.973300648697606E-05 302327303
   6     100.00     120.00  5.908691572280581E-03  2.972762564485985E-05 306140978	   6     100.00     120.00  5.908691572280581E-03  2.972762564485985E-05 306140978	   6     100.00     120.00  5.504605564888155E-03  2.663570723152915E-05 306140978	   6     100.00     120.00  5.504605564888155E-03  2.663570723152915E-05 306140978	   6     100.00     120.00  6.373663204664169E-03  3.358653901977506E-05 306140978	   6     100.00     120.00  6.373663204664169E-03  3.358653901977506E-05 306140978	   6     100.00     120.00  5.908691572280581E-03  2.972762564485985E-05 306140978
   7     120.00     140.00  5.489324059429965E-03  3.194010223861687E-05 302220837	   7     120.00     140.00  5.489324059429965E-03  3.194010223861687E-05 302220837	   7     120.00     140.00  5.100352963886867E-03  2.855506291201438E-05 302220837	   7     120.00     140.00  5.100352963886867E-03  2.855506291201438E-05 302220837	   7     120.00     140.00  5.939383505764595E-03  3.618420652367498E-05 302220837	   7     120.00     140.00  5.939383505764595E-03  3.618420652367498E-05 302220837	   7     120.00     140.00  5.489324059429965E-03  3.194010223861687E-05 302220837
   8     140.00     160.00  4.882531003637827E-03  3.825172507762889E-05 292558460	   8     140.00     160.00  4.882531003637827E-03  3.825172507762889E-05 292558460	   8     140.00     160.00  4.525126862355731E-03  3.421907156466954E-05 292558460	   8     140.00     160.00  4.525126862355731E-03  3.421907156466954E-05 292558460	   8     140.00     160.00  5.298260139062048E-03  4.328859854003893E-05 292558460	   8     140.00     160.00  5.298260139062048E-03  4.328859854003893E-05 292558460	   8     140.00     160.00  4.882531003637827E-03  3.825172507762889E-05 292558460
   9     160.00     180.00  4.252113347314023E-03  6.000174325264635E-05 278936486	   9     160.00     180.00  4.252113347314023E-03  6.000174325264635E-05 278936486	   9     160.00     180.00  3.930786779433862E-03  5.436252049753424E-05 278936486	   9     160.00     180.00  3.930786779433862E-03  5.436252049753424E-05 278936486	   9     160.00     180.00  4.627885729336819E-03  6.680478396631422E-05 278936486	   9     160.00     180.00  4.627885729336819E-03  6.680478396631422E-05 278936486	   9     160.00     180.00  4.252113347314023E-03  6.000174325264635E-05 278936486
  10     180.00     200.00  3.667479901411376E-03  3.086623369512564E-05 262925204	  10     180.00     200.00  3.667479901411376E-03  3.086623369512564E-05 262925204	  10     180.00     200.00  3.381742869141779E-03  2.726176198305119E-05 262925204	  10     180.00     200.00  3.381742869141779E-03  2.726176198305119E-05 262925204	  10     180.00     200.00  4.003137613614460E-03  3.542519793303548E-05 262925204	  10     180.00     200.00  4.003137613614460E-03  3.542519793303548E-05 262925204	  10     180.00     200.00  3.667479901411376E-03  3.086623369512564E-05 262925204
