# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  4.726939050413292E-03  1.853609328997994E-05 2987073	   1       0.00       0.16  4.726939050413292E-03  1.853609328997994E-05 2987073	   1       0.00       0.16  4.378560753917284E-03  1.696547971268584E-05 2987073	   1       0.00       0.16  4.378560753917284E-03  1.696547971268584E-05 2987073	   1       0.00       0.16  5.129937320688991E-03  2.042557494174298E-05 2987073	   1       0.00       0.16  5.129937320688991E-03  2.042557494174298E-05 2987073	   1       0.00       0.16  4.726939050413292E-03  1.853609328997994E-05 2987073
   2       0.16       0.31  4.737330214967035E-03  1.862410132085885E-05 2985906	   2       0.16       0.31  4.737330214967035E-03  1.862410132085885E-05 2985906	   2       0.16       0.31  4.387951026803217E-03  1.702915279668633E-05 2985906	   2       0.16       0.31  4.387951026803217E-03  1.702915279668633E-05 2985906	   2       0.16       0.31  5.141553414419076E-03  2.054460535075171E-05 2985906	   2       0.16       0.31  5.141553414419076E-03  2.054460535075171E-05 2985906	   2       0.16       0.31  4.737330214967035E-03  1.862410132085885E-05 2985906
   3       0.31       0.47  4.745455231994683E-03  1.872787479318163E-05 2989250	   3       0.31       0.47  4.745455231994683E-03  1.872787479318163E-05 2989250	   3       0.31       0.47  4.395138745020431E-03  1.709350676058672E-05 2989250	   3       0.31       0.47  4.395138745020431E-03  1.709350676058672E-05 2989250	   3       0.31       0.47  5.150825770856210E-03  2.070693545929283E-05 2989250	   3       0.31       0.47  5.150825770856210E-03  2.070693545929283E-05 2989250	   3       0.31       0.47  4.745455231994683E-03  1.872787479318163E-05 2989250
   4       0.47       0.63  4.732599920718710E-03  1.851921537070366E-05 2988625	   4       0.47       0.63  4.732599920718710E-03  1.851921537070366E-05 2988625	   4       0.47       0.63  4.383886633685864E-03  1.693123218478691E-05 2988625	   4       0.47       0.63  4.383886633685864E-03  1.693123218478691E-05 2988625	   4       0.47       0.63  5.135941151598987E-03  2.043093865861376E-05 2988625	   4       0.47       0.63  5.135941151598987E-03  2.043093865861376E-05 2988625	   4       0.47       0.63  4.732599920718710E-03  1.851921537070366E-05 2988625
   5       0.63       0.79  4.736814714081078E-03  1.895581635649111E-05 2986148	   5       0.63       0.79  4.736814714081078E-03  1.895581635649111E-05 2986148	   5       0.63       0.79  4.387668978292896E-03  1.730462794481242E-05 2986148	   5       0.63       0.79  4.387668978292896E-03  1.730462794481242E-05 2986148	   5       0.63       0.79  5.140687019665711E-03  2.095426803489345E-05 2986148	   5       0.63       0.79  5.140687019665711E-03  2.095426803489345E-05 2986148	   5       0.63       0.79  4.736814714081078E-03  1.895581635649111E-05 2986148
   6       0.79       0.94  4.709167595195010E-03  1.883794412325387E-05 2986284	   6       0.79       0.94  4.709167595195010E-03  1.883794412325387E-05 2986284	   6       0.79       0.94  4.361754431990330E-03  1.722799127145933E-05 2986284	   6       0.79       0.94  4.361754431990330E-03  1.722799127145933E-05 2986284	   6       0.79       0.94  5.111144043248340E-03  2.077932890463412E-05 2986284	   6       0.79       0.94  5.111144043248340E-03  2.077932890463412E-05 2986284	   6       0.79       0.94  4.709167595195010E-03  1.883794412325387E-05 2986284
   7       0.94       1.10  4.718338213239733E-03  1.840182369387080E-05 2990142	   7       0.94       1.10  4.718338213239733E-03  1.840182369387080E-05 2990142	   7       0.94       1.10  4.370663157894522E-03  1.682897351912456E-05 2990142	   7       0.94       1.10  4.370663157894522E-03  1.682897351912456E-05 2990142	   7       0.94       1.10  5.120530480538899E-03  2.029740037482157E-05 2990142	   7       0.94       1.10  5.120530480538899E-03  2.029740037482157E-05 2990142	   7       0.94       1.10  4.718338213239733E-03  1.840182369387080E-05 2990142
   8       1.10       1.26  4.764772840939588E-03  1.962820828876869E-05 2988327	   8       1.10       1.26  4.764772840939588E-03  1.962820828876869E-05 2988327	   8       1.10       1.26  4.413414394810679E-03  1.792607447867845E-05 2988327	   8       1.10       1.26  4.413414394810679E-03  1.792607447867845E-05 2988327	   8       1.10       1.26  5.171244259430346E-03  2.168349973206168E-05 2988327	   8       1.10       1.26  5.171244259430346E-03  2.168349973206168E-05 2988327	   8       1.10       1.26  4.764772840939588E-03  1.962820828876869E-05 2988327
   9       1.26       1.41  4.761505041374050E-03  1.933754420218089E-05 2988140	   9       1.26       1.41  4.761505041374050E-03  1.933754420218089E-05 2988140	   9       1.26       1.41  4.409206157016012E-03  1.764262113039827E-05 2988140	   9       1.26       1.41  4.409206157016012E-03  1.764262113039827E-05 2988140	   9       1.26       1.41  5.169345188652525E-03  2.138504748796799E-05 2988140	   9       1.26       1.41  5.169345188652525E-03  2.138504748796799E-05 2988140	   9       1.26       1.41  4.761505041374050E-03  1.933754420218089E-05 2988140
  10       1.41       1.57  4.733509404292589E-03  1.855932154970459E-05 2988169	  10       1.41       1.57  4.733509404292589E-03  1.855932154970459E-05 2988169	  10       1.41       1.57  4.384365541098906E-03  1.695898860757246E-05 2988169	  10       1.41       1.57  4.384365541098906E-03  1.695898860757246E-05 2988169	  10       1.41       1.57  5.137503361522134E-03  2.048997630873011E-05 2988169	  10       1.41       1.57  5.137503361522134E-03  2.048997630873011E-05 2988169	  10       1.41       1.57  4.733509404292589E-03  1.855932154970459E-05 2988169
