# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  3.539043858840895E-03  5.080658075332268E-04 5062640	   1       0.00       0.16  3.539043858840895E-03  5.080658075332268E-04 5062640	   1       0.00       0.16  3.290065408531163E-03  4.617512969453949E-04 5062640	   1       0.00       0.16  3.290065408531163E-03  4.617512969453949E-04 5062640	   1       0.00       0.16  3.825354246004557E-03  5.642825061009726E-04 5062640	   1       0.00       0.16  3.825354246004557E-03  5.642825061009726E-04 5062640	   1       0.00       0.16  3.539043858840895E-03  5.080658075332268E-04 5062640
   2       0.16       0.31  4.095249184677473E-03  6.297506325830099E-04 5166018	   2       0.16       0.31  4.095249184677473E-03  6.297506325830099E-04 5166018	   2       0.16       0.31  3.787790237732662E-03  5.760011714351049E-04 5166018	   2       0.16       0.31  3.787790237732662E-03  5.760011714351049E-04 5166018	   2       0.16       0.31  4.454337667091053E-03  6.941777675374245E-04 5166018	   2       0.16       0.31  4.454337667091053E-03  6.941777675374245E-04 5166018	   2       0.16       0.31  4.095249184677473E-03  6.297506325830099E-04 5166018
   3       0.31       0.47  4.511138501222208E-03  6.658023239180553E-04 5193013	   3       0.31       0.47  4.511138501222208E-03  6.658023239180553E-04 5193013	   3       0.31       0.47  4.182864486435025E-03  6.056963871071470E-04 5193013	   3       0.31       0.47  4.182864486435025E-03  6.056963871071470E-04 5193013	   3       0.31       0.47  4.891006751038907E-03  7.389579079658619E-04 5193013	   3       0.31       0.47  4.891006751038907E-03  7.389579079658619E-04 5193013	   3       0.31       0.47  4.511138501222208E-03  6.658023239180553E-04 5193013
   4       0.47       0.63  4.121154436511420E-03  5.594667036612288E-04 5205130	   4       0.47       0.63  4.121154436511420E-03  5.594667036612288E-04 5205130	   4       0.47       0.63  3.813100069848641E-03  5.006089108175575E-04 5205130	   4       0.47       0.63  3.813100069848641E-03  5.006089108175575E-04 5205130	   4       0.47       0.63  4.482136620618022E-03  6.322714634387089E-04 5205130	   4       0.47       0.63  4.482136620618022E-03  6.322714634387089E-04 5205130	   4       0.47       0.63  4.121154436511420E-03  5.594667036612288E-04 5205130
   5       0.63       0.79  4.981089736668704E-03  6.426050160811754E-04 5209927	   5       0.63       0.79  4.981089736668704E-03  6.426050160811754E-04 5209927	   5       0.63       0.79  4.592218536735818E-03  5.857965718799481E-04 5209927	   5       0.63       0.79  4.592218536735818E-03  5.857965718799481E-04 5209927	   5       0.63       0.79  5.435409112110530E-03  7.109299329769121E-04 5209927	   5       0.63       0.79  5.435409112110530E-03  7.109299329769121E-04 5209927	   5       0.63       0.79  4.981089736668704E-03  6.426050160811754E-04 5209927
   6       0.79       0.94  4.375295541442599E-03  5.051852299284524E-04 5215433	   6       0.79       0.94  4.375295541442599E-03  5.051852299284524E-04 5215433	   6       0.79       0.94  4.069543138668258E-03  4.645184811975969E-04 5215433	   6       0.79       0.94  4.069543138668258E-03  4.645184811975969E-04 5215433	   6       0.79       0.94  4.729612934859861E-03  5.548992124385847E-04 5215433	   6       0.79       0.94  4.729612934859861E-03  5.548992124385847E-04 5215433	   6       0.79       0.94  4.375295541442599E-03  5.051852299284524E-04 5215433
   7       0.94       1.10  3.791971617818001E-03  6.157558180742295E-04 5216633	   7       0.94       1.10  3.791971617818001E-03  6.157558180742295E-04 5216633	   7       0.94       1.10  3.538368724735244E-03  5.596746051555884E-04 5216633	   7       0.94       1.10  3.538368724735244E-03  5.596746051555884E-04 5216633	   7       0.94       1.10  4.080609222491556E-03  6.839410449744487E-04 5216633	   7       0.94       1.10  4.080609222491556E-03  6.839410449744487E-04 5216633	   7       0.94       1.10  3.791971617818001E-03  6.157558180742295E-04 5216633
   8       1.10       1.26  4.647334185241749E-03  4.434914913454842E-04 5221818	   8       1.10       1.26  4.647334185241749E-03  4.434914913454842E-04 5221818	   8       1.10       1.26  4.308883681836548E-03  4.030473291756420E-04 5221818	   8       1.10       1.26  4.308883681836548E-03  4.030473291756420E-04 5221818	   8       1.10       1.26  5.040880305607474E-03  4.926323440094802E-04 5221818	   8       1.10       1.26  5.040880305607474E-03  4.926323440094802E-04 5221818	   8       1.10       1.26  4.647334185241749E-03  4.434914913454842E-04 5221818
   9       1.26       1.41  3.936980815979279E-03  5.625467947775846E-04 5227468	   9       1.26       1.41  3.936980815979279E-03  5.625467947775846E-04 5227468	   9       1.26       1.41  3.668961923128033E-03  5.239088192860816E-04 5227468	   9       1.26       1.41  3.668961923128033E-03  5.239088192860816E-04 5227468	   9       1.26       1.41  4.244008137461607E-03  6.072049457413085E-04 5227468	   9       1.26       1.41  4.244008137461607E-03  6.072049457413085E-04 5227468	   9       1.26       1.41  3.936980815979279E-03  5.625467947775846E-04 5227468
  10       1.41       1.57  3.287488370710001E-03  3.088904357460165E-04 5222900	  10       1.41       1.57  3.287488370710001E-03  3.088904357460165E-04 5222900	  10       1.41       1.57  3.064190903534072E-03  2.836625937070272E-04 5222900	  10       1.41       1.57  3.064190903534072E-03  2.836625937070272E-04 5222900	  10       1.41       1.57  3.543214094784470E-03  3.390380837109143E-04 5222900	  10       1.41       1.57  3.543214094784470E-03  3.390380837109143E-04 5222900	  10       1.41       1.57  3.287488370710001E-03  3.088904357460165E-04 5222900
  11       1.57       1.73  4.627693868508743E-03  5.844231364192301E-04 5224612	  11       1.57       1.73  4.627693868508743E-03  5.844231364192301E-04 5224612	  11       1.57       1.73  4.296096319837878E-03  5.312515496948576E-04 5224612	  11       1.57       1.73  4.296096319837878E-03  5.312515496948576E-04 5224612	  11       1.57       1.73  5.008287403888386E-03  6.486528457403205E-04 5224612	  11       1.57       1.73  5.008287403888386E-03  6.486528457403205E-04 5224612	  11       1.57       1.73  4.627693868508743E-03  5.844231364192301E-04 5224612
  12       1.73       1.89  2.840654387746091E-03  4.126498291668627E-04 5232665	  12       1.73       1.89  2.840654387746091E-03  4.126498291668627E-04 5232665	  12       1.73       1.89  2.640647889396606E-03  3.767754364187462E-04 5232665	  12       1.73       1.89  2.640647889396606E-03  3.767754364187462E-04 5232665	  12       1.73       1.89  3.071517953431743E-03  4.555286276675676E-04 5232665	  12       1.73       1.89  3.071517953431743E-03  4.555286276675676E-04 5232665	  12       1.73       1.89  2.840654387746091E-03  4.126498291668627E-04 5232665
  13       1.89       2.04  3.892408345814259E-03  4.139059355921258E-04 5234474	  13       1.89       2.04  3.892408345814259E-03  4.139059355921258E-04 5234474	  13       1.89       2.04  3.622189565423465E-03  3.817865080648604E-04 5234474	  13       1.89       2.04  3.622189565423465E-03  3.817865080648604E-04 5234474	  13       1.89       2.04  4.202206035875255E-03  4.516348481730773E-04 5234474	  13       1.89       2.04  4.202206035875255E-03  4.516348481730773E-04 5234474	  13       1.89       2.04  3.892408345814259E-03  4.139059355921258E-04 5234474
  14       2.04       2.20  5.307220521104542E-03  1.293041047636458E-03 5234207	  14       2.04       2.20  5.307220521104542E-03  1.293041047636458E-03 5234207	  14       2.04       2.20  4.902108543780253E-03  1.167699659618242E-03 5234207	  14       2.04       2.20  4.902108543780253E-03  1.167699659618242E-03 5234207	  14       2.04       2.20  5.779227824176821E-03  1.443199365110296E-03 5234207	  14       2.04       2.20  5.779227824176821E-03  1.443199365110296E-03 5234207	  14       2.04       2.20  5.307220521104542E-03  1.293041047636458E-03 5234207
  15       2.20       2.36  4.133855893175717E-03  4.578815597086636E-04 5232388	  15       2.20       2.36  4.133855893175717E-03  4.578815597086636E-04 5232388	  15       2.20       2.36  3.848034168163563E-03  4.180495304991257E-04 5232388	  15       2.20       2.36  3.848034168163563E-03  4.180495304991257E-04 5232388	  15       2.20       2.36  4.460914004947370E-03  5.055523011467476E-04 5232388	  15       2.20       2.36  4.460914004947370E-03  5.055523011467476E-04 5232388	  15       2.20       2.36  4.133855893175717E-03  4.578815597086636E-04 5232388
  16       2.36       2.51  2.523606282526695E-03  3.334357409111335E-04 5236726	  16       2.36       2.51  2.523606282526695E-03  3.334357409111335E-04 5236726	  16       2.36       2.51  2.354556194865077E-03  3.065191709857799E-04 5236726	  16       2.36       2.51  2.354556194865077E-03  3.065191709857799E-04 5236726	  16       2.36       2.51  2.717451986022244E-03  3.656345524752149E-04 5236726	  16       2.36       2.51  2.717451986022244E-03  3.656345524752149E-04 5236726	  16       2.36       2.51  2.523606282526695E-03  3.334357409111335E-04 5236726
  17       2.51       2.67  5.108301682970906E-03  7.386196850152145E-04 5235667	  17       2.51       2.67  5.108301682970906E-03  7.386196850152145E-04 5235667	  17       2.51       2.67  4.778892858189451E-03  6.838449749618404E-04 5235667	  17       2.51       2.67  4.778892858189451E-03  6.838449749618404E-04 5235667	  17       2.51       2.67  5.481624701947321E-03  8.026547265110691E-04 5235667	  17       2.51       2.67  5.481624701947321E-03  8.026547265110691E-04 5235667	  17       2.51       2.67  5.108301682970906E-03  7.386196850152145E-04 5235667
