# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  9.125381899090205E-01  4.421012354491476E-04 252299087	   1      -1.00      -0.90  9.125381899090205E-01  4.421012354491476E-04 252299087	   1      -1.00      -0.90  8.351870090872121E-01  4.006475421204999E-04 252299087	   1      -1.00      -0.90  8.351870090872121E-01  4.006475421204999E-04 252299087	   1      -1.00      -0.90  1.004427779439980E+00  4.927068650590733E-04 252299087	   1      -1.00      -0.90  1.004427779439980E+00  4.927068650590733E-04 252299087	   1      -1.00      -0.90  9.125381899090205E-01  4.421012354491476E-04 252299087
   2      -0.90      -0.80  8.006119605518862E-01  3.958387402608113E-04 221201759	   2      -0.90      -0.80  8.006119605518862E-01  3.958387402608113E-04 221201759	   2      -0.90      -0.80  7.364605995815021E-01  3.601710707999650E-04 221201759	   2      -0.90      -0.80  7.364605995815021E-01  3.601710707999650E-04 221201759	   2      -0.90      -0.80  8.760023309652792E-01  4.391104005762728E-04 221201759	   2      -0.90      -0.80  8.760023309652792E-01  4.391104005762728E-04 221201759	   2      -0.90      -0.80  8.006119605518862E-01  3.958387402608113E-04 221201759
   3      -0.80      -0.70  7.385341279570777E-01  3.630315849135139E-04 205703200	   3      -0.80      -0.70  7.385341279570777E-01  3.630315849135139E-04 205703200	   3      -0.80      -0.70  6.812083043573741E-01  3.313871870473489E-04 205703200	   3      -0.80      -0.70  6.812083043573741E-01  3.313871870473489E-04 205703200	   3      -0.80      -0.70  8.055192327087992E-01  4.012115718550682E-04 205703200	   3      -0.80      -0.70  8.055192327087992E-01  4.012115718550682E-04 205703200	   3      -0.80      -0.70  7.385341279570777E-01  3.630315849135139E-04 205703200
   4      -0.70      -0.60  6.983530276955419E-01  3.425670198680019E-04 196040238	   4      -0.70      -0.60  6.983530276955419E-01  3.425670198680019E-04 196040238	   4      -0.70      -0.60  6.453293086134175E-01  3.131949153689936E-04 196040238	   4      -0.70      -0.60  6.453293086134175E-01  3.131949153689936E-04 196040238	   4      -0.70      -0.60  7.600701424347596E-01  3.779264264524329E-04 196040238	   4      -0.70      -0.60  7.600701424347596E-01  3.779264264524329E-04 196040238	   4      -0.70      -0.60  6.983530276955419E-01  3.425670198680019E-04 196040238
   5      -0.60      -0.50  6.699386357960198E-01  3.266455919683752E-04 189711995	   5      -0.60      -0.50  6.699386357960198E-01  3.266455919683752E-04 189711995	   5      -0.60      -0.50  6.199389927613970E-01  2.989882038382556E-04 189711995	   5      -0.60      -0.50  6.199389927613970E-01  2.989882038382556E-04 189711995	   5      -0.60      -0.50  7.279613748266675E-01  3.598816514032362E-04 189711995	   5      -0.60      -0.50  7.279613748266675E-01  3.598816514032362E-04 189711995	   5      -0.60      -0.50  6.699386357960198E-01  3.266455919683752E-04 189711995
   6      -0.50      -0.40  6.489854091014554E-01  3.144871529293971E-04 185637401	   6      -0.50      -0.40  6.489854091014554E-01  3.144871529293971E-04 185637401	   6      -0.50      -0.40  6.011934318368052E-01  2.880710250461451E-04 185637401	   6      -0.50      -0.40  6.011934318368052E-01  2.880710250461451E-04 185637401	   6      -0.50      -0.40  7.043150208609221E-01  3.461965725528913E-04 185637401	   6      -0.50      -0.40  7.043150208609221E-01  3.461965725528913E-04 185637401	   6      -0.50      -0.40  6.489854091014554E-01  3.144871529293971E-04 185637401
   7      -0.40      -0.30  6.350540659864062E-01  3.050311954433770E-04 183305554	   7      -0.40      -0.30  6.350540659864062E-01  3.050311954433770E-04 183305554	   7      -0.40      -0.30  5.887755046835543E-01  2.795056541025808E-04 183305554	   7      -0.40      -0.30  5.887755046835543E-01  2.795056541025808E-04 183305554	   7      -0.40      -0.30  6.885318414515419E-01  3.356626248426296E-04 183305554	   7      -0.40      -0.30  6.885318414515419E-01  3.356626248426296E-04 183305554	   7      -0.40      -0.30  6.350540659864062E-01  3.050311954433770E-04 183305554
   8      -0.30      -0.20  6.262597472876326E-01  2.982786893804504E-04 182419822	   8      -0.30      -0.20  6.262597472876326E-01  2.982786893804504E-04 182419822	   8      -0.30      -0.20  5.810211818739197E-01  2.732685362419217E-04 182419822	   8      -0.30      -0.20  5.810211818739197E-01  2.732685362419217E-04 182419822	   8      -0.30      -0.20  6.784535896560864E-01  3.283407691743602E-04 182419822	   8      -0.30      -0.20  6.784535896560864E-01  3.283407691743602E-04 182419822	   8      -0.30      -0.20  6.262597472876326E-01  2.982786893804504E-04 182419822
   9      -0.20      -0.10  6.214239735928612E-01  2.930103002412878E-04 182828202	   9      -0.20      -0.10  6.214239735928612E-01  2.930103002412878E-04 182828202	   9      -0.20      -0.10  5.768558379115972E-01  2.686021807324574E-04 182828202	   9      -0.20      -0.10  5.768558379115972E-01  2.686021807324574E-04 182828202	   9      -0.20      -0.10  6.727729628609761E-01  3.222970973579492E-04 182828202	   9      -0.20      -0.10  6.727729628609761E-01  3.222970973579492E-04 182828202	   9      -0.20      -0.10  6.214239735928612E-01  2.930103002412878E-04 182828202
  10      -0.10       0.00  6.201535865307736E-01  2.905373943494718E-04 184502252	  10      -0.10       0.00  6.201535865307736E-01  2.905373943494718E-04 184502252	  10      -0.10       0.00  5.759328461611468E-01  2.661695140057462E-04 184502252	  10      -0.10       0.00  5.759328461611468E-01  2.661695140057462E-04 184502252	  10      -0.10       0.00  6.710446245059699E-01  3.198412268470638E-04 184502252	  10      -0.10       0.00  6.710446245059699E-01  3.198412268470638E-04 184502252	  10      -0.10       0.00  6.201535865307736E-01  2.905373943494718E-04 184502252
