# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  7.536360701899857E-01  1.277530319694628E-02 356911013	   1      -1.00      -0.90  7.536360701899857E-01  1.277530319694628E-02 356911013	   1      -1.00      -0.90  6.940237547591650E-01  1.161608747174803E-02 356911013	   1      -1.00      -0.90  6.940237547591650E-01  1.161608747174803E-02 356911013	   1      -1.00      -0.90  8.240023810318049E-01  1.418185144393365E-02 356911013	   1      -1.00      -0.90  8.240023810318049E-01  1.418185144393365E-02 356911013	   1      -1.00      -0.90  7.536360701899857E-01  1.277530319694628E-02 356911013
   2      -0.90      -0.80  6.791600147327089E-01  1.166162212288127E-02 324227949	   2      -0.90      -0.80  6.791600147327089E-01  1.166162212288127E-02 324227949	   2      -0.90      -0.80  6.278116122165605E-01  1.061947975530355E-02 324227949	   2      -0.90      -0.80  6.278116122165605E-01  1.061947975530355E-02 324227949	   2      -0.90      -0.80  7.391994033683359E-01  1.291963175493342E-02 324227949	   2      -0.90      -0.80  7.391994033683359E-01  1.291963175493342E-02 324227949	   2      -0.90      -0.80  6.791600147327089E-01  1.166162212288127E-02 324227949
   3      -0.80      -0.70  6.171903610430438E-01  1.051252427529883E-02 306204462	   3      -0.80      -0.70  6.171903610430438E-01  1.051252427529883E-02 306204462	   3      -0.80      -0.70  5.717144861726584E-01  9.576611547292951E-03 306204462	   3      -0.80      -0.70  5.717144861726584E-01  9.576611547292951E-03 306204462	   3      -0.80      -0.70  6.701127154700429E-01  1.164157452629374E-02 306204462	   3      -0.80      -0.70  6.701127154700429E-01  1.164157452629374E-02 306204462	   3      -0.80      -0.70  6.171903610430438E-01  1.051252427529883E-02 306204462
   4      -0.70      -0.60  5.907218275956282E-01  1.030049634790216E-02 294816226	   4      -0.70      -0.60  5.907218275956282E-01  1.030049634790216E-02 294816226	   4      -0.70      -0.60  5.481708386340084E-01  9.409716265943738E-03 294816226	   4      -0.70      -0.60  5.481708386340084E-01  9.409716265943738E-03 294816226	   4      -0.70      -0.60  6.400609366656655E-01  1.137579462650666E-02 294816226	   4      -0.70      -0.60  6.400609366656655E-01  1.137579462650666E-02 294816226	   4      -0.70      -0.60  5.907218275956282E-01  1.030049634790216E-02 294816226
   5      -0.60      -0.50  5.574842336086641E-01  9.051718359319645E-03 287533262	   5      -0.60      -0.50  5.574842336086641E-01  9.051718359319645E-03 287533262	   5      -0.60      -0.50  5.180696696868953E-01  8.298222407246538E-03 287533262	   5      -0.60      -0.50  5.180696696868953E-01  8.298222407246538E-03 287533262	   5      -0.60      -0.50  6.030260995199138E-01  9.956505375870490E-03 287533262	   5      -0.60      -0.50  6.030260995199138E-01  9.956505375870490E-03 287533262	   5      -0.60      -0.50  5.574842336086641E-01  9.051718359319645E-03 287533262
   6      -0.50      -0.40  5.499603023000981E-01  1.014936326060818E-02 283025397	   6      -0.50      -0.40  5.499603023000981E-01  1.014936326060818E-02 283025397	   6      -0.50      -0.40  5.114328727217513E-01  9.263806696675498E-03 283025397	   6      -0.50      -0.40  5.114328727217513E-01  9.263806696675498E-03 283025397	   6      -0.50      -0.40  5.944443309377594E-01  1.121454201387132E-02 283025397	   6      -0.50      -0.40  5.944443309377594E-01  1.121454201387132E-02 283025397	   6      -0.50      -0.40  5.499603023000981E-01  1.014936326060818E-02 283025397
   7      -0.40      -0.30  5.366353153057363E-01  9.403541736743836E-03 280705204	   7      -0.40      -0.30  5.366353153057363E-01  9.403541736743836E-03 280705204	   7      -0.40      -0.30  4.997173203477674E-01  8.599985194216397E-03 280705204	   7      -0.40      -0.30  4.997173203477674E-01  8.599985194216397E-03 280705204	   7      -0.40      -0.30  5.790898626525284E-01  1.037104126285321E-02 280705204	   7      -0.40      -0.30  5.790898626525284E-01  1.037104126285321E-02 280705204	   7      -0.40      -0.30  5.366353153057363E-01  9.403541736743836E-03 280705204
   8      -0.30      -0.20  5.580133517426090E-01  1.252796588142646E-02 280292550	   8      -0.30      -0.20  5.580133517426090E-01  1.252796588142646E-02 280292550	   8      -0.30      -0.20  5.189170449719642E-01  1.147837623400573E-02 280292550	   8      -0.30      -0.20  5.189170449719642E-01  1.147837623400573E-02 280292550	   8      -0.30      -0.20  6.031191998354414E-01  1.377634952760406E-02 280292550	   8      -0.30      -0.20  6.031191998354414E-01  1.377634952760406E-02 280292550	   8      -0.30      -0.20  5.580133517426090E-01  1.252796588142646E-02 280292550
   9      -0.20      -0.10  5.172079935814665E-01  9.343691443722879E-03 281640111	   9      -0.20      -0.10  5.172079935814665E-01  9.343691443722879E-03 281640111	   9      -0.20      -0.10  4.819589159340154E-01  8.511893386262268E-03 281640111	   9      -0.20      -0.10  4.819589159340154E-01  8.511893386262268E-03 281640111	   9      -0.20      -0.10  5.577026259597873E-01  1.035128758362154E-02 281640111	   9      -0.20      -0.10  5.577026259597873E-01  1.035128758362154E-02 281640111	   9      -0.20      -0.10  5.172079935814665E-01  9.343691443722879E-03 281640111
  10      -0.10       0.00  5.321770938750106E-01  8.760460531023782E-03 284663916	  10      -0.10       0.00  5.321770938750106E-01  8.760460531023782E-03 284663916	  10      -0.10       0.00  4.957786632298390E-01  8.007852301478604E-03 284663916	  10      -0.10       0.00  4.957786632298390E-01  8.007852301478604E-03 284663916	  10      -0.10       0.00  5.740086137928188E-01  9.667074680777510E-03 284663916	  10      -0.10       0.00  5.740086137928188E-01  9.667074680777510E-03 284663916	  10      -0.10       0.00  5.321770938750106E-01  8.760460531023782E-03 284663916
  11       0.00       0.10  5.290985706885184E-01  8.970665551573992E-03 289593204	  11       0.00       0.10  5.290985706885184E-01  8.970665551573992E-03 289593204	  11       0.00       0.10  4.937563230792792E-01  8.168540622330909E-03 289593204	  11       0.00       0.10  4.937563230792792E-01  8.168540622330909E-03 289593204	  11       0.00       0.10  5.695207552838931E-01  9.950632192670233E-03 289593204	  11       0.00       0.10  5.695207552838931E-01  9.950632192670233E-03 289593204	  11       0.00       0.10  5.290985706885184E-01  8.970665551573992E-03 289593204
  12       0.10       0.20  5.340914265560294E-01  8.960131221044727E-03 296714347	  12       0.10       0.20  5.340914265560294E-01  8.960131221044727E-03 296714347	  12       0.10       0.20  4.982520726139851E-01  8.156464572954839E-03 296714347	  12       0.10       0.20  4.982520726139851E-01  8.156464572954839E-03 296714347	  12       0.10       0.20  5.751329805066772E-01  9.940107405326269E-03 296714347	  12       0.10       0.20  5.751329805066772E-01  9.940107405326269E-03 296714347	  12       0.10       0.20  5.340914265560294E-01  8.960131221044727E-03 296714347
