# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  3.135035488187648E-03  2.283668545493403E-06 83635854	   3      20.00      30.00  3.135035488187648E-03  2.283668545493403E-06 83635854	   3      20.00      30.00  2.944767745304554E-03  2.095158979001411E-06 83635854	   3      20.00      30.00  2.944767745304554E-03  2.095158979001411E-06 83635854	   3      20.00      30.00  3.348089543770769E-03  2.510204686593972E-06 83635854	   3      20.00      30.00  3.348089543770769E-03  2.510204686593972E-06 83635854	   3      20.00      30.00  3.135035488187648E-03  2.283668545493403E-06 83635854
   4      30.00      40.00  4.448967648589761E-03  2.738632593490128E-06 118333663	   4      30.00      40.00  4.448967648589761E-03  2.738632593490128E-06 118333663	   4      30.00      40.00  4.174662517188591E-03  2.508078138906889E-06 118333663	   4      30.00      40.00  4.174662517188591E-03  2.508078138906889E-06 118333663	   4      30.00      40.00  4.756956975077908E-03  3.016778251900935E-06 118333663	   4      30.00      40.00  4.756956975077908E-03  3.016778251900935E-06 118333663	   4      30.00      40.00  4.448967648589761E-03  2.738632593490128E-06 118333663
   5      40.00      50.00  5.867653274407866E-03  3.110115400811586E-06 151893015	   5      40.00      50.00  5.867653274407866E-03  3.110115400811586E-06 151893015	   5      40.00      50.00  5.502445372005687E-03  2.852517387797946E-06 151893015	   5      40.00      50.00  5.502445372005687E-03  2.852517387797946E-06 151893015	   5      40.00      50.00  6.278333832172891E-03  3.419965321493420E-06 151893015	   5      40.00      50.00  6.278333832172891E-03  3.419965321493420E-06 151893015	   5      40.00      50.00  5.867653274407866E-03  3.110115400811586E-06 151893015
   6      50.00      60.00  7.242777307174548E-03  3.458216801843532E-06 181838217	   6      50.00      60.00  7.242777307174548E-03  3.458216801843532E-06 181838217	   6      50.00      60.00  6.788058752772042E-03  3.171155695630171E-06 181838217	   6      50.00      60.00  6.788058752772042E-03  3.171155695630171E-06 181838217	   6      50.00      60.00  7.754828264286765E-03  3.803651196942881E-06 181838217	   6      50.00      60.00  7.754828264286765E-03  3.803651196942881E-06 181838217	   6      50.00      60.00  7.242777307174548E-03  3.458216801843532E-06 181838217
   7      60.00      70.00  8.165367999183940E-03  3.668344095869127E-06 198137470	   7      60.00      70.00  8.165367999183940E-03  3.668344095869127E-06 198137470	   7      60.00      70.00  7.646755294046723E-03  3.362095429733895E-06 198137470	   7      60.00      70.00  7.646755294046723E-03  3.362095429733895E-06 198137470	   7      60.00      70.00  8.750436415109482E-03  4.036972198391415E-06 198137470	   7      60.00      70.00  8.750436415109482E-03  4.036972198391415E-06 198137470	   7      60.00      70.00  8.165367999183940E-03  3.668344095869127E-06 198137470
   8      70.00      80.00  8.579714424371080E-03  3.711183390856312E-06 199826069	   8      70.00      80.00  8.579714424371080E-03  3.711183390856312E-06 199826069	   8      70.00      80.00  8.027102579458191E-03  3.401354850702840E-06 199826069	   8      70.00      80.00  8.027102579458191E-03  3.401354850702840E-06 199826069	   8      70.00      80.00  9.204509733942436E-03  4.084010961472328E-06 199826069	   8      70.00      80.00  9.204509733942436E-03  4.084010961472328E-06 199826069	   8      70.00      80.00  8.579714424371080E-03  3.711183390856312E-06 199826069
   9      80.00      90.00  8.563433046094037E-03  3.680078190651229E-06 194026838	   9      80.00      90.00  8.563433046094037E-03  3.680078190651229E-06 194026838	   9      80.00      90.00  8.002751046330581E-03  3.370227319710624E-06 194026838	   9      80.00      90.00  8.002751046330581E-03  3.370227319710624E-06 194026838	   9      80.00      90.00  9.198982322375144E-03  4.053394079930321E-06 194026838	   9      80.00      90.00  9.198982322375144E-03  4.053394079930321E-06 194026838	   9      80.00      90.00  8.563433046094037E-03  3.680078190651229E-06 194026838
  10      90.00     100.00  8.261016028914674E-03  3.580532629149026E-06 184831835	  10      90.00     100.00  8.261016028914674E-03  3.580532629149026E-06 184831835	  10      90.00     100.00  7.710262817030468E-03  3.279012162331918E-06 184831835	  10      90.00     100.00  7.710262817030468E-03  3.279012162331918E-06 184831835	  10      90.00     100.00  8.887075377041856E-03  3.943548751382740E-06 184831835	  10      90.00     100.00  8.887075377041856E-03  3.943548751382740E-06 184831835	  10      90.00     100.00  8.261016028914674E-03  3.580532629149026E-06 184831835
  11     100.00     110.00  7.781887358952834E-03  3.456881935641888E-06 174193449	  11     100.00     110.00  7.781887358952834E-03  3.456881935641888E-06 174193449	  11     100.00     110.00  7.253292041227231E-03  3.164078251389589E-06 174193449	  11     100.00     110.00  7.253292041227231E-03  3.164078251389589E-06 174193449	  11     100.00     110.00  8.384478227169520E-03  3.809448020071957E-06 174193449	  11     100.00     110.00  8.384478227169520E-03  3.809448020071957E-06 174193449	  11     100.00     110.00  7.781887358952834E-03  3.456881935641888E-06 174193449
  12     110.00     120.00  7.222066557170027E-03  3.304228858654965E-06 163164101	  12     110.00     120.00  7.222066557170027E-03  3.304228858654965E-06 163164101	  12     110.00     120.00  6.722494027051388E-03  3.023834847513751E-06 163164101	  12     110.00     120.00  6.722494027051388E-03  3.023834847513751E-06 163164101	  12     110.00     120.00  7.793158983852743E-03  3.641853433984059E-06 163164101	  12     110.00     120.00  7.793158983852743E-03  3.641853433984059E-06 163164101	  12     110.00     120.00  7.222066557170027E-03  3.304228858654965E-06 163164101
  13     120.00     130.00  6.616056077721207E-03  3.160161875141592E-06 152327517	  13     120.00     130.00  6.616056077721207E-03  3.160161875141592E-06 152327517	  13     120.00     130.00  6.150101568822636E-03  2.890365267149978E-06 152327517	  13     120.00     130.00  6.150101568822636E-03  2.890365267149978E-06 152327517	  13     120.00     130.00  7.150156007091098E-03  3.485035407657071E-06 152327517	  13     120.00     130.00  7.150156007091098E-03  3.485035407657071E-06 152327517	  13     120.00     130.00  6.616056077721207E-03  3.160161875141592E-06 152327517
  14     130.00     140.00  6.030735805071533E-03  3.019087922106718E-06 141934654	  14     130.00     140.00  6.030735805071533E-03  3.019087922106718E-06 141934654	  14     130.00     140.00  5.598284796619610E-03  2.759260756923144E-06 141934654	  14     130.00     140.00  5.598284796619610E-03  2.759260756923144E-06 141934654	  14     130.00     140.00  6.527790363001637E-03  3.332330425526593E-06 141934654	  14     130.00     140.00  6.527790363001637E-03  3.332330425526593E-06 141934654	  14     130.00     140.00  6.030735805071533E-03  3.019087922106718E-06 141934654
  15     140.00     150.00  5.462442231674173E-03  2.899425060408183E-06 132186219	  15     140.00     150.00  5.462442231674173E-03  2.899425060408183E-06 132186219	  15     140.00     150.00  5.063864401547273E-03  2.647498074648655E-06 132186219	  15     140.00     150.00  5.063864401547273E-03  2.647498074648655E-06 132186219	  15     140.00     150.00  5.921759860581987E-03  3.203207081670076E-06 132186219	  15     140.00     150.00  5.921759860581987E-03  3.203207081670076E-06 132186219	  15     140.00     150.00  5.462442231674173E-03  2.899425060408183E-06 132186219
