# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  2.709834754169387E-03  6.807849035540128E-05 124136516	   3      20.00      30.00  2.709834754169387E-03  6.807849035540128E-05 124136516	   3      20.00      30.00  2.553569181584106E-03  6.260341655598077E-05 124136516	   3      20.00      30.00  2.553569181584106E-03  6.260341655598077E-05 124136516	   3      20.00      30.00  2.884430138463404E-03  7.464926301538623E-05 124136516	   3      20.00      30.00  2.884430138463404E-03  7.464926301538623E-05 124136516	   3      20.00      30.00  2.709834754169387E-03  6.807849035540128E-05 124136516
   4      30.00      40.00  3.972907801689078E-03  1.251628044717766E-04 175749791	   4      30.00      40.00  3.972907801689078E-03  1.251628044717766E-04 175749791	   4      30.00      40.00  3.732674917864792E-03  1.137075030882620E-04 175749791	   4      30.00      40.00  3.732674917864792E-03  1.137075030882620E-04 175749791	   4      30.00      40.00  4.243348851671496E-03  1.389125681224735E-04 175749791	   4      30.00      40.00  4.243348851671496E-03  1.389125681224735E-04 175749791	   4      30.00      40.00  3.972907801689078E-03  1.251628044717766E-04 175749791
   5      40.00      50.00  5.037297727614893E-03  9.410337498877871E-05 225769821	   5      40.00      50.00  5.037297727614893E-03  9.410337498877871E-05 225769821	   5      40.00      50.00  4.741193673754074E-03  8.614219072919295E-05 225769821	   5      40.00      50.00  4.741193673754074E-03  8.614219072919295E-05 225769821	   5      40.00      50.00  5.368993149410272E-03  1.037364277875796E-04 225769821	   5      40.00      50.00  5.368993149410272E-03  1.037364277875796E-04 225769821	   5      40.00      50.00  5.037297727614893E-03  9.410337498877871E-05 225769821
   6      50.00      60.00  6.338233979823749E-03  1.258189125039239E-04 270658077	   6      50.00      60.00  6.338233979823749E-03  1.258189125039239E-04 270658077	   6      50.00      60.00  5.966016949565028E-03  1.148939926228359E-04 270658077	   6      50.00      60.00  5.966016949565028E-03  1.148939926228359E-04 270658077	   6      50.00      60.00  6.754065319152888E-03  1.390225287878491E-04 270658077	   6      50.00      60.00  6.754065319152888E-03  1.390225287878491E-04 270658077	   6      50.00      60.00  6.338233979823749E-03  1.258189125039239E-04 270658077
   7      60.00      70.00  7.122494533874426E-03  1.066530887494903E-04 295847047	   7      60.00      70.00  7.122494533874426E-03  1.066530887494903E-04 295847047	   7      60.00      70.00  6.688603225540077E-03  9.740220673241149E-05 295847047	   7      60.00      70.00  6.688603225540077E-03  9.740220673241149E-05 295847047	   7      60.00      70.00  7.611695097480032E-03  1.178811381983538E-04 295847047	   7      60.00      70.00  7.611695097480032E-03  1.178811381983538E-04 295847047	   7      60.00      70.00  7.122494533874426E-03  1.066530887494903E-04 295847047
   8      70.00      80.00  7.553870293902055E-03  1.084797523026884E-04 300050498	   8      70.00      80.00  7.553870293902055E-03  1.084797523026884E-04 300050498	   8      70.00      80.00  7.089787031400512E-03  9.949050473533186E-05 300050498	   8      70.00      80.00  7.089787031400512E-03  9.949050473533186E-05 300050498	   8      70.00      80.00  8.077635660580498E-03  1.193234151020843E-04 300050498	   8      70.00      80.00  8.077635660580498E-03  1.193234151020843E-04 300050498	   8      70.00      80.00  7.553870293902055E-03  1.084797523026884E-04 300050498
   9      80.00      90.00  7.664680667169519E-03  1.134087685559937E-04 293168139	   9      80.00      90.00  7.664680667169519E-03  1.134087685559937E-04 293168139	   9      80.00      90.00  7.185842992792549E-03  1.038751565699954E-04 293168139	   9      80.00      90.00  7.185842992792549E-03  1.038751565699954E-04 293168139	   9      80.00      90.00  8.206109195297906E-03  1.248682424887524E-04 293168139	   9      80.00      90.00  8.206109195297906E-03  1.248682424887524E-04 293168139	   9      80.00      90.00  7.664680667169519E-03  1.134087685559937E-04 293168139
  10      90.00     100.00  7.168825804801169E-03  1.111821706457550E-04 280952123	  10      90.00     100.00  7.168825804801169E-03  1.111821706457550E-04 280952123	  10      90.00     100.00  6.713602250420719E-03  1.019104153752631E-04 280952123	  10      90.00     100.00  6.713602250420719E-03  1.019104153752631E-04 280952123	  10      90.00     100.00  7.684487329332136E-03  1.222917130237309E-04 280952123	  10      90.00     100.00  7.684487329332136E-03  1.222917130237309E-04 280952123	  10      90.00     100.00  7.168825804801169E-03  1.111821706457550E-04 280952123
  11     100.00     110.00  6.627014021637352E-03  1.119586540238410E-04 266262667	  11     100.00     110.00  6.627014021637352E-03  1.119586540238410E-04 266262667	  11     100.00     110.00  6.194322793960574E-03  1.022048069065609E-04 266262667	  11     100.00     110.00  6.194322793960574E-03  1.022048069065609E-04 266262667	  11     100.00     110.00  7.119406561407218E-03  1.237096683522333E-04 266262667	  11     100.00     110.00  7.119406561407218E-03  1.237096683522333E-04 266262667	  11     100.00     110.00  6.627014021637352E-03  1.119586540238410E-04 266262667
  12     110.00     120.00  6.265978152608299E-03  1.039338072905947E-04 250679008	  12     110.00     120.00  6.265978152608299E-03  1.039338072905947E-04 250679008	  12     110.00     120.00  5.856048231801108E-03  9.540615373581827E-05 250679008	  12     110.00     120.00  5.856048231801108E-03  9.540615373581827E-05 250679008	  12     110.00     120.00  6.732121191756945E-03  1.141048483193567E-04 250679008	  12     110.00     120.00  6.732121191756945E-03  1.141048483193567E-04 250679008	  12     110.00     120.00  6.265978152608299E-03  1.039338072905947E-04 250679008
  13     120.00     130.00  5.685815791578451E-03  1.016212007071699E-04 235175528	  13     120.00     130.00  5.685815791578451E-03  1.016212007071699E-04 235175528	  13     120.00     130.00  5.306313532965149E-03  9.318093114276158E-05 235175528	  13     120.00     130.00  5.306313532965149E-03  9.318093114276158E-05 235175528	  13     120.00     130.00  6.119108209361304E-03  1.117051999886868E-04 235175528	  13     120.00     130.00  6.119108209361304E-03  1.117051999886868E-04 235175528	  13     120.00     130.00  5.685815791578451E-03  1.016212007071699E-04 235175528
  14     130.00     140.00  5.066846833861982E-03  9.138330302604397E-05 220096994	  14     130.00     140.00  5.066846833861982E-03  9.138330302604397E-05 220096994	  14     130.00     140.00  4.722845946528735E-03  8.316826750323346E-05 220096994	  14     130.00     140.00  4.722845946528735E-03  8.316826750323346E-05 220096994	  14     130.00     140.00  5.460781275676706E-03  1.013498598101895E-04 220096994	  14     130.00     140.00  5.460781275676706E-03  1.013498598101895E-04 220096994	  14     130.00     140.00  5.066846833861982E-03  9.138330302604397E-05 220096994
  15     140.00     150.00  4.680593375302579E-03  8.188384007435706E-05 205766567	  15     140.00     150.00  4.680593375302579E-03  8.188384007435706E-05 205766567	  15     140.00     150.00  4.354120553424512E-03  7.469792947197625E-05 205766567	  15     140.00     150.00  4.354120553424512E-03  7.469792947197625E-05 205766567	  15     140.00     150.00  5.055727193572702E-03  9.053423234607014E-05 205766567	  15     140.00     150.00  5.055727193572702E-03  9.053423234607014E-05 205766567	  15     140.00     150.00  4.680593375302579E-03  8.188384007435706E-05 205766567
