# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.792001568388596E-03  1.782803995385202E-06 201969517	   2      20.00      40.00  3.792001568388596E-03  1.782803995385202E-06 201969517	   2      20.00      40.00  3.559715131246197E-03  1.633912192549502E-06 201969517	   2      20.00      40.00  3.559715131246197E-03  1.633912192549502E-06 201969517	   2      20.00      40.00  4.052523259424116E-03  1.962149142070376E-06 201969517	   2      20.00      40.00  4.052523259424116E-03  1.962149142070376E-06 201969517	   2      20.00      40.00  3.792001568388596E-03  1.782803995385202E-06 201969517
   3      40.00      60.00  6.555215290792125E-03  2.325232413344079E-06 333731232	   3      40.00      60.00  6.555215290792125E-03  2.325232413344079E-06 333731232	   3      40.00      60.00  6.145252062388162E-03  2.132400055913254E-06 333731232	   3      40.00      60.00  6.145252062388162E-03  2.132400055913254E-06 333731232	   3      40.00      60.00  7.016581048228038E-03  2.557235052281932E-06 333731232	   3      40.00      60.00  7.016581048228038E-03  2.557235052281932E-06 333731232	   3      40.00      60.00  6.555215290792125E-03  2.325232413344079E-06 333731232
   4      60.00      80.00  8.372541211777280E-03  2.608681336288340E-06 397963539	   4      60.00      80.00  8.372541211777280E-03  2.608681336288340E-06 397963539	   4      60.00      80.00  7.836928936753022E-03  2.390884893969956E-06 397963539	   4      60.00      80.00  7.836928936753022E-03  2.390884893969956E-06 397963539	   4      60.00      80.00  8.977473074522690E-03  2.870803953477427E-06 397963539	   4      60.00      80.00  8.977473074522690E-03  2.870803953477427E-06 397963539	   4      60.00      80.00  8.372541211777280E-03  2.608681336288340E-06 397963539
   5      80.00     100.00  8.412224537503600E-03  2.566821650417594E-06 378858673	   5      80.00     100.00  8.412224537503600E-03  2.566821650417594E-06 378858673	   5      80.00     100.00  7.856506931681393E-03  2.350674832320938E-06 378858673	   5      80.00     100.00  7.856506931681393E-03  2.350674832320938E-06 378858673	   5      80.00     100.00  9.043028849709613E-03  2.827151310399832E-06 378858673	   5      80.00     100.00  9.043028849709613E-03  2.827151310399832E-06 378858673	   5      80.00     100.00  8.412224537503600E-03  2.566821650417594E-06 378858673
   6     100.00     120.00  7.501976958062246E-03  2.390650452213250E-06 337357550	   6     100.00     120.00  7.501976958062246E-03  2.390650452213250E-06 337357550	   6     100.00     120.00  6.987893034137143E-03  2.187970710036692E-06 337357550	   6     100.00     120.00  6.987893034137143E-03  2.187970710036692E-06 337357550	   6     100.00     120.00  8.088818605512138E-03  2.634700229893574E-06 337357550	   6     100.00     120.00  8.088818605512138E-03  2.634700229893574E-06 337357550	   6     100.00     120.00  7.501976958062246E-03  2.390650452213250E-06 337357550
   7     120.00     140.00  6.323395941395730E-03  2.184972402013111E-06 294262171	   7     120.00     140.00  6.323395941395730E-03  2.184972402013111E-06 294262171	   7     120.00     140.00  5.874193182721313E-03  1.997710254095467E-06 294262171	   7     120.00     140.00  5.874193182721313E-03  1.997710254095467E-06 294262171	   7     120.00     140.00  6.838973185047268E-03  2.410593507193234E-06 294262171	   7     120.00     140.00  6.838973185047268E-03  2.410593507193234E-06 294262171	   7     120.00     140.00  6.323395941395730E-03  2.184972402013111E-06 294262171
   8     140.00     160.00  5.199702188357538E-03  1.990180651571457E-06 255272786	   8     140.00     160.00  5.199702188357538E-03  1.990180651571457E-06 255272786	   8     140.00     160.00  4.817351831418882E-03  1.817180823664068E-06 255272786	   8     140.00     160.00  4.817351831418882E-03  1.817180823664068E-06 255272786	   8     140.00     160.00  5.640832713606873E-03  2.198850627304761E-06 255272786	   8     140.00     160.00  5.640832713606873E-03  2.198850627304761E-06 255272786	   8     140.00     160.00  5.199702188357538E-03  1.990180651571457E-06 255272786
   9     160.00     180.00  4.241943632052647E-03  1.804049330624914E-06 221623660	   9     160.00     180.00  4.241943632052647E-03  1.804049330624914E-06 221623660	   9     160.00     180.00  3.919901586816184E-03  1.645399403433342E-06 221623660	   9     160.00     180.00  3.919901586816184E-03  1.645399403433342E-06 221623660	   9     160.00     180.00  4.615265136978484E-03  1.995620570193377E-06 221623660	   9     160.00     180.00  4.615265136978484E-03  1.995620570193377E-06 221623660	   9     160.00     180.00  4.241943632052647E-03  1.804049330624914E-06 221623660
  10     180.00     200.00  3.450877310108568E-03  1.638265431122999E-06 192980131	  10     180.00     200.00  3.450877310108568E-03  1.638265431122999E-06 192980131	  10     180.00     200.00  3.180930361202975E-03  1.492348551505590E-06 192980131	  10     180.00     200.00  3.180930361202975E-03  1.492348551505590E-06 192980131	  10     180.00     200.00  3.765203747123595E-03  1.814708084235175E-06 192980131	  10     180.00     200.00  3.765203747123595E-03  1.814708084235175E-06 192980131	  10     180.00     200.00  3.450877310108568E-03  1.638265431122999E-06 192980131
  11     200.00     220.00  2.813220430008674E-03  1.497568278930632E-06 168797751	  11     200.00     220.00  2.813220430008674E-03  1.497568278930632E-06 168797751	  11     200.00     220.00  2.586978223937931E-03  1.361771054365061E-06 168797751	  11     200.00     220.00  2.586978223937931E-03  1.361771054365061E-06 168797751	  11     200.00     220.00  3.077742717419423E-03  1.662119915981766E-06 168797751	  11     200.00     220.00  3.077742717419423E-03  1.662119915981766E-06 168797751	  11     200.00     220.00  2.813220430008674E-03  1.497568278930632E-06 168797751
  12     220.00     240.00  2.304787781550713E-03  1.368017603958421E-06 148378420	  12     220.00     240.00  2.304787781550713E-03  1.368017603958421E-06 148378420	  12     220.00     240.00  2.114561190293038E-03  1.242216178735693E-06 148378420	  12     220.00     240.00  2.114561190293038E-03  1.242216178735693E-06 148378420	  12     220.00     240.00  2.528057535952868E-03  1.520599943120135E-06 148378420	  12     220.00     240.00  2.528057535952868E-03  1.520599943120135E-06 148378420	  12     220.00     240.00  2.304787781550713E-03  1.368017603958421E-06 148378420
  13     240.00     260.00  1.897069329292381E-03  1.250344508836062E-06 131026778	  13     240.00     260.00  1.897069329292381E-03  1.250344508836062E-06 131026778	  13     240.00     260.00  1.736552109573279E-03  1.133173566974937E-06 131026778	  13     240.00     260.00  1.736552109573279E-03  1.133173566974937E-06 131026778	  13     240.00     260.00  2.086180912235921E-03  1.392959199670641E-06 131026778	  13     240.00     260.00  2.086180912235921E-03  1.392959199670641E-06 131026778	  13     240.00     260.00  1.897069329292381E-03  1.250344508836062E-06 131026778
  14     260.00     280.00  1.566164500186420E-03  1.139464733736539E-06 116298540	  14     260.00     280.00  1.566164500186420E-03  1.139464733736539E-06 116298540	  14     260.00     280.00  1.430706154503660E-03  1.031987399756783E-06 116298540	  14     260.00     280.00  1.430706154503660E-03  1.031987399756783E-06 116298540	  14     260.00     280.00  1.726267957186505E-03  1.270192395708730E-06 116298540	  14     260.00     280.00  1.726267957186505E-03  1.270192395708730E-06 116298540	  14     260.00     280.00  1.566164500186420E-03  1.139464733736539E-06 116298540
  15     280.00     300.00  1.301599539668636E-03  1.045548696073838E-06 103657806	  15     280.00     300.00  1.301599539668636E-03  1.045548696073838E-06 103657806	  15     280.00     300.00  1.186521510524334E-03  9.453647585683489E-07 103657806	  15     280.00     300.00  1.186521510524334E-03  9.453647585683489E-07 103657806	  15     280.00     300.00  1.438067435412236E-03  1.167656201112517E-06 103657806	  15     280.00     300.00  1.438067435412236E-03  1.167656201112517E-06 103657806	  15     280.00     300.00  1.301599539668636E-03  1.045548696073838E-06 103657806
