# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.341371277929160E-03  7.109099756444412E-05 293209264	   2      20.00      40.00  3.341371277929160E-03  7.109099756444412E-05 293209264	   2      20.00      40.00  3.143122049724565E-03  6.476272627808402E-05 293209264	   2      20.00      40.00  3.143122049724565E-03  6.476272627808402E-05 293209264	   2      20.00      40.00  3.563889495067399E-03  7.868899539382738E-05 293209264	   2      20.00      40.00  3.563889495067399E-03  7.868899539382738E-05 293209264	   2      20.00      40.00  3.341371277929160E-03  7.109099756444412E-05 293209264
   3      40.00      60.00  5.687765853719212E-03  7.846428807392226E-05 484971534	   3      40.00      60.00  5.687765853719212E-03  7.846428807392226E-05 484971534	   3      40.00      60.00  5.353605311659496E-03  7.171218671468285E-05 484971534	   3      40.00      60.00  5.353605311659496E-03  7.171218671468285E-05 484971534	   3      40.00      60.00  6.061529234281425E-03  8.662825621793336E-05 484971534	   3      40.00      60.00  6.061529234281425E-03  8.662825621793336E-05 484971534	   3      40.00      60.00  5.687765853719212E-03  7.846428807392226E-05 484971534
   4      60.00      80.00  7.338182413888202E-03  7.595032635437072E-05 580727810	   4      60.00      80.00  7.338182413888202E-03  7.595032635437072E-05 580727810	   4      60.00      80.00  6.889195128470244E-03  6.950748537345220E-05 580727810	   4      60.00      80.00  6.889195128470244E-03  6.950748537345220E-05 580727810	   4      60.00      80.00  7.844665379030587E-03  8.374748485548026E-05 580727810	   4      60.00      80.00  7.844665379030587E-03  8.374748485548026E-05 580727810	   4      60.00      80.00  7.338182413888202E-03  7.595032635437072E-05 580727810
   5      80.00     100.00  7.416753235985008E-03  7.935683279349118E-05 557722938	   5      80.00     100.00  7.416753235985008E-03  7.935683279349118E-05 557722938	   5      80.00     100.00  6.949722621606676E-03  7.271149728613216E-05 557722938	   5      80.00     100.00  6.949722621606676E-03  7.271149728613216E-05 557722938	   5      80.00     100.00  7.945298262315629E-03  8.733213987170715E-05 557722938	   5      80.00     100.00  7.945298262315629E-03  8.733213987170715E-05 557722938	   5      80.00     100.00  7.416753235985008E-03  7.935683279349118E-05 557722938
   6     100.00     120.00  6.446496087123192E-03  7.623423075927161E-05 501134677	   6     100.00     120.00  6.446496087123192E-03  7.623423075927161E-05 501134677	   6     100.00     120.00  6.025185512880970E-03  6.976614926099741E-05 501134677	   6     100.00     120.00  6.025185512880970E-03  6.976614926099741E-05 501134677	   6     100.00     120.00  6.925763876581680E-03  8.399307585087659E-05 501134677	   6     100.00     120.00  6.925763876581680E-03  8.399307585087659E-05 501134677	   6     100.00     120.00  6.446496087123192E-03  7.623423075927161E-05 501134677
   7     120.00     140.00  5.376331312720526E-03  6.809809980825035E-05 440844309	   7     120.00     140.00  5.376331312720526E-03  6.809809980825035E-05 440844309	   7     120.00     140.00  5.014579739747190E-03  6.222755428899992E-05 440844309	   7     120.00     140.00  5.014579739747190E-03  6.222755428899992E-05 440844309	   7     120.00     140.00  5.789944742519156E-03  7.516522320509163E-05 440844309	   7     120.00     140.00  5.789944742519156E-03  7.516522320509163E-05 440844309	   7     120.00     140.00  5.376331312720526E-03  6.809809980825035E-05 440844309
   8     140.00     160.00  4.441556767607520E-03  5.633320928156625E-05 385226126	   8     140.00     160.00  4.441556767607520E-03  5.633320928156625E-05 385226126	   8     140.00     160.00  4.129718539152248E-03  5.133402733363634E-05 385226126	   8     140.00     160.00  4.129718539152248E-03  5.133402733363634E-05 385226126	   8     140.00     160.00  4.800373131809651E-03  6.236378661606317E-05 385226126	   8     140.00     160.00  4.800373131809651E-03  6.236378661606317E-05 385226126	   8     140.00     160.00  4.441556767607520E-03  5.633320928156625E-05 385226126
   9     160.00     180.00  3.630412190849901E-03  5.555762000220210E-05 336456081	   9     160.00     180.00  3.630412190849901E-03  5.555762000220210E-05 336456081	   9     160.00     180.00  3.369290218690421E-03  5.060388165891070E-05 336456081	   9     160.00     180.00  3.369290218690421E-03  5.060388165891070E-05 336456081	   9     160.00     180.00  3.931873774142082E-03  6.157585672978249E-05 336456081	   9     160.00     180.00  3.931873774142082E-03  6.157585672978249E-05 336456081	   9     160.00     180.00  3.630412190849901E-03  5.555762000220210E-05 336456081
  10     180.00     200.00  2.949964109111297E-03  6.107941363485775E-05 294568823	  10     180.00     200.00  2.949964109111297E-03  6.107941363485775E-05 294568823	  10     180.00     200.00  2.727562707023129E-03  5.579305261370578E-05 294568823	  10     180.00     200.00  2.727562707023129E-03  5.579305261370578E-05 294568823	  10     180.00     200.00  3.208835145740089E-03  6.739272378671392E-05 294568823	  10     180.00     200.00  3.208835145740089E-03  6.739272378671392E-05 294568823	  10     180.00     200.00  2.949964109111297E-03  6.107941363485775E-05 294568823
