# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  5.426396521691010E-03  9.369195649922000E-07 1312522961	   1       0.00     100.00  5.426396521691010E-03  9.369195649922000E-07 1312522961	   1       0.00     100.00  5.079680612411913E-03  8.586003131705699E-07 1312522961	   1       0.00     100.00  5.079680612411913E-03  8.586003131705699E-07 1312522961	   1       0.00     100.00  5.817921246378031E-03  1.031207977206918E-06 1312522961	   1       0.00     100.00  5.817921246378031E-03  1.031207977206918E-06 1312522961	   1       0.00     100.00  5.426396521691010E-03  9.369195649922000E-07 1312522961
   2     100.00     200.00  5.343579205994594E-03  9.022772876078495E-07 1301496298	   2     100.00     200.00  5.343579205994594E-03  9.022772876078495E-07 1301496298	   2     100.00     200.00  4.956053999259691E-03  8.242338533161750E-07 1301496298	   2     100.00     200.00  4.956053999259691E-03  8.242338533161750E-07 1301496298	   2     100.00     200.00  5.789818677653414E-03  9.963986054379038E-07 1301496298	   2     100.00     200.00  5.789818677653414E-03  9.963986054379038E-07 1301496298	   2     100.00     200.00  5.343579205994594E-03  9.022772876078495E-07 1301496298
   3     200.00     300.00  1.976568316141277E-03  5.679421385429755E-07 668159295	   3     200.00     300.00  1.976568316141277E-03  5.679421385429755E-07 668159295	   3     200.00     300.00  1.811063837766106E-03  5.152106481480959E-07 668159295	   3     200.00     300.00  1.811063837766106E-03  5.152106481480959E-07 668159295	   3     200.00     300.00  2.171263311641409E-03  6.320038610853278E-07 668159295	   3     200.00     300.00  2.171263311641409E-03  6.320038610853278E-07 668159295	   3     200.00     300.00  1.976568316141277E-03  5.679421385429755E-07 668159295
   4     300.00     400.00  7.934557748314473E-04  3.691130207244495E-07 381206265	   4     300.00     400.00  7.934557748314473E-04  3.691130207244495E-07 381206265	   4     300.00     400.00  7.196838604972227E-04  3.322179512431583E-07 381206265	   4     300.00     400.00  7.196838604972227E-04  3.322179512431583E-07 381206265	   4     300.00     400.00  8.816155026463119E-04  4.143586052565257E-07 381206265	   4     300.00     400.00  8.816155026463119E-04  4.143586052565257E-07 381206265	   4     300.00     400.00  7.934557748314473E-04  3.691130207244495E-07 381206265
   5     400.00     500.00  3.563242923433136E-04  2.457750069875989E-07 237588249	   5     400.00     500.00  3.563242923433136E-04  2.457750069875989E-07 237588249	   5     400.00     500.00  3.204097631012429E-04  2.198673922820416E-07 237588249	   5     400.00     500.00  3.204097631012429E-04  2.198673922820416E-07 237588249	   5     400.00     500.00  3.997817200985261E-04  2.777229052352108E-07 237588249	   5     400.00     500.00  3.997817200985261E-04  2.777229052352108E-07 237588249	   5     400.00     500.00  3.563242923433136E-04  2.457750069875989E-07 237588249
   6     500.00     600.00  1.737601353988421E-04  1.643482875527245E-07 157564322	   6     500.00     600.00  1.737601353988421E-04  1.643482875527245E-07 157564322	   6     500.00     600.00  1.550717320955555E-04  1.461318482198065E-07 157564322	   6     500.00     600.00  1.550717320955555E-04  1.461318482198065E-07 157564322	   6     500.00     600.00  1.966096655000263E-04  1.869687756767212E-07 157564322	   6     500.00     600.00  1.966096655000263E-04  1.869687756767212E-07 157564322	   6     500.00     600.00  1.737601353988421E-04  1.643482875527245E-07 157564322
   7     600.00     700.00  9.057706352556340E-05  1.140536460743524E-07 109308898	   7     600.00     700.00  9.057706352556340E-05  1.140536460743524E-07 109308898	   7     600.00     700.00  8.028870149746243E-05  1.008081221495393E-07 109308898	   7     600.00     700.00  8.028870149746243E-05  1.008081221495393E-07 109308898	   7     600.00     700.00  1.032705772294562E-04  1.306124988115475E-07 109308898	   7     600.00     700.00  1.032705772294562E-04  1.306124988115475E-07 109308898	   7     600.00     700.00  9.057706352556340E-05  1.140536460743524E-07 109308898
   8     700.00     800.00  4.949814859768434E-05  7.889052330670754E-08 78403355	   8     700.00     800.00  4.949814859768434E-05  7.889052330670754E-08 78403355	   8     700.00     800.00  4.360789368491554E-05  6.934776941053948E-08 78403355	   8     700.00     800.00  4.360789368491554E-05  6.934776941053948E-08 78403355	   8     700.00     800.00  5.682323239636885E-05  9.089529553817344E-08 78403355	   8     700.00     800.00  5.682323239636885E-05  9.089529553817344E-08 78403355	   8     700.00     800.00  4.949814859768434E-05  7.889052330670754E-08 78403355
   9     800.00     900.00  2.821616327041952E-05  5.646517841724754E-08 57728752	   9     800.00     900.00  2.821616327041952E-05  5.646517841724754E-08 57728752	   9     800.00     900.00  2.471721447955368E-05  4.939182790848213E-08 57728752	   9     800.00     900.00  2.471721447955368E-05  4.939182790848213E-08 57728752	   9     800.00     900.00  3.259892522056810E-05  6.541078330114853E-08 57728752	   9     800.00     900.00  3.259892522056810E-05  6.541078330114853E-08 57728752	   9     800.00     900.00  2.821616327041952E-05  5.646517841724754E-08 57728752
  10     900.00    1000.00  1.643451787554423E-05  4.013208294520727E-08 43394652	  10     900.00    1000.00  1.643451787554423E-05  4.013208294520727E-08 43394652	  10     900.00    1000.00  1.432117901651005E-05  3.491726295191253E-08 43394652	  10     900.00    1000.00  1.432117901651005E-05  3.491726295191253E-08 43394652	  10     900.00    1000.00  1.909917071488854E-05  4.676570864891145E-08 43394652	  10     900.00    1000.00  1.909917071488854E-05  4.676570864891145E-08 43394652	  10     900.00    1000.00  1.643451787554423E-05  4.013208294520727E-08 43394652
  11    1000.00    1100.00  9.916766015601468E-06  3.061094453588626E-08 33167538	  11    1000.00    1100.00  9.916766015601468E-06  3.061094453588626E-08 33167538	  11    1000.00    1100.00  8.598480237533728E-06  2.652091155387696E-08 33167538	  11    1000.00    1100.00  8.598480237533728E-06  2.652091155387696E-08 33167538	  11    1000.00    1100.00  1.158919887987361E-05  3.583766211295594E-08 33167538	  11    1000.00    1100.00  1.158919887987361E-05  3.583766211295594E-08 33167538	  11    1000.00    1100.00  9.916766015601468E-06  3.061094453588626E-08 33167538
  12    1100.00    1200.00  6.161284427854730E-06  2.226829400537149E-08 25714656	  12    1100.00    1200.00  6.161284427854730E-06  2.226829400537149E-08 25714656	  12    1100.00    1200.00  5.317321842260306E-06  1.914877130954657E-08 25714656	  12    1100.00    1200.00  5.317321842260306E-06  1.914877130954657E-08 25714656	  12    1100.00    1200.00  7.238142223101158E-06  2.629278419195147E-08 25714656	  12    1100.00    1200.00  7.238142223101158E-06  2.629278419195147E-08 25714656	  12    1100.00    1200.00  6.161284427854730E-06  2.226829400537149E-08 25714656
  13    1200.00    1300.00  3.868821147080188E-06  1.626765791197652E-08 20165117	  13    1200.00    1300.00  3.868821147080188E-06  1.626765791197652E-08 20165117	  13    1200.00    1300.00  3.324407956242871E-06  1.397600335404567E-08 20165117	  13    1200.00    1300.00  3.324407956242871E-06  1.397600335404567E-08 20165117	  13    1200.00    1300.00  4.567093347970379E-06  1.922433992442629E-08 20165117	  13    1200.00    1300.00  4.567093347970379E-06  1.922433992442629E-08 20165117	  13    1200.00    1300.00  3.868821147080188E-06  1.626765791197652E-08 20165117
  14    1300.00    1400.00  2.499942332928602E-06  1.215027528250106E-08 15981621	  14    1300.00    1400.00  2.499942332928602E-06  1.215027528250106E-08 15981621	  14    1300.00    1400.00  2.138860222355511E-06  1.040601720164811E-08 15981621	  14    1300.00    1400.00  2.138860222355511E-06  1.040601720164811E-08 15981621	  14    1300.00    1400.00  2.965494476604641E-06  1.440655186348677E-08 15981621	  14    1300.00    1400.00  2.965494476604641E-06  1.440655186348677E-08 15981621	  14    1300.00    1400.00  2.499942332928602E-06  1.215027528250106E-08 15981621
  15    1400.00    1500.00  1.605295190409123E-06  8.586794594850902E-09 12768691	  15    1400.00    1500.00  1.605295190409123E-06  8.586794594850902E-09 12768691	  15    1400.00    1500.00  1.367854122551165E-06  7.319454263431450E-09 12768691	  15    1400.00    1500.00  1.367854122551165E-06  7.319454263431450E-09 12768691	  15    1400.00    1500.00  1.912942081398532E-06  1.023626712684144E-08 12768691	  15    1400.00    1500.00  1.912942081398532E-06  1.023626712684144E-08 12768691	  15    1400.00    1500.00  1.605295190409123E-06  8.586794594850902E-09 12768691
  16    1500.00    1600.00  1.068562732985017E-06  6.949304546864737E-09 10294871	  16    1500.00    1600.00  1.068562732985017E-06  6.949304546864737E-09 10294871	  16    1500.00    1600.00  9.068778787403534E-07  5.907748042885068E-09 10294871	  16    1500.00    1600.00  9.068778787403534E-07  5.907748042885068E-09 10294871	  16    1500.00    1600.00  1.279045814722506E-06  8.308617675371241E-09 10294871	  16    1500.00    1600.00  1.279045814722506E-06  8.308617675371241E-09 10294871	  16    1500.00    1600.00  1.068562732985017E-06  6.949304546864737E-09 10294871
  17    1600.00    1700.00  7.019091230907591E-07  4.889477961664150E-09 8349460	  17    1600.00    1700.00  7.019091230907591E-07  4.889477961664150E-09 8349460	  17    1600.00    1700.00  5.934524044921279E-07  4.130226511942137E-09 8349460	  17    1600.00    1700.00  5.934524044921279E-07  4.130226511942137E-09 8349460	  17    1600.00    1700.00  8.437457786984080E-07  5.887597616500748E-09 8349460	  17    1600.00    1700.00  8.437457786984080E-07  5.887597616500748E-09 8349460	  17    1600.00    1700.00  7.019091230907591E-07  4.889477961664150E-09 8349460
  18    1700.00    1800.00  4.760524779594744E-07  3.725366859166434E-09 6810807	  18    1700.00    1800.00  4.760524779594744E-07  3.725366859166434E-09 6810807	  18    1700.00    1800.00  4.010041815255846E-07  3.140880849209223E-09 6810807	  18    1700.00    1800.00  4.010041815255846E-07  3.140880849209223E-09 6810807	  18    1700.00    1800.00  5.746352681230105E-07  4.495656142490403E-09 6810807	  18    1700.00    1800.00  5.746352681230105E-07  4.495656142490403E-09 6810807	  18    1700.00    1800.00  4.760524779594744E-07  3.725366859166434E-09 6810807
  19    1800.00    1900.00  3.200379193305078E-07  2.982004078627829E-09 5591661	  19    1800.00    1900.00  3.200379193305078E-07  2.982004078627829E-09 5591661	  19    1800.00    1900.00  2.687027893612881E-07  2.504902334688469E-09 5591661	  19    1800.00    1900.00  2.687027893612881E-07  2.504902334688469E-09 5591661	  19    1800.00    1900.00  3.877269931948527E-07  3.612525096750824E-09 5591661	  19    1800.00    1900.00  3.877269931948527E-07  3.612525096750824E-09 5591661	  19    1800.00    1900.00  3.200379193305078E-07  2.982004078627829E-09 5591661
  20    1900.00    2000.00  2.195596682967510E-07  2.050445214398992E-09 4605548	  20    1900.00    2000.00  2.195596682967510E-07  2.050445214398992E-09 4605548	  20    1900.00    2000.00  1.837433867398286E-07  1.717586693562638E-09 4605548	  20    1900.00    2000.00  1.837433867398286E-07  1.717586693562638E-09 4605548	  20    1900.00    2000.00  2.669687484617523E-07  2.492434533027861E-09 4605548	  20    1900.00    2000.00  2.669687484617523E-07  2.492434533027861E-09 4605548	  20    1900.00    2000.00  2.195596682967510E-07  2.050445214398992E-09 4605548
  21    2000.00    2100.00  1.562398412797187E-07  1.908674817851789E-09 3813779	  21    2000.00    2100.00  1.562398412797187E-07  1.908674817851789E-09 3813779	  21    2000.00    2100.00  1.303057070180025E-07  1.592103241098106E-09 3813779	  21    2000.00    2100.00  1.303057070180025E-07  1.592103241098106E-09 3813779	  21    2000.00    2100.00  1.907022573834787E-07  2.330104558641116E-09 3813779	  21    2000.00    2100.00  1.907022573834787E-07  2.330104558641116E-09 3813779	  21    2000.00    2100.00  1.562398412797187E-07  1.908674817851789E-09 3813779
  22    2100.00    2200.00  1.054290282189457E-07  1.255535217322105E-09 3172201	  22    2100.00    2200.00  1.054290282189457E-07  1.255535217322105E-09 3172201	  22    2100.00    2200.00  8.762763262813675E-08  1.042134733322665E-09 3172201	  22    2100.00    2200.00  8.762763262813675E-08  1.042134733322665E-09 3172201	  22    2100.00    2200.00  1.291854987985890E-07  1.541758732927162E-09 3172201	  22    2100.00    2200.00  1.291854987985890E-07  1.541758732927162E-09 3172201	  22    2100.00    2200.00  1.054290282189457E-07  1.255535217322105E-09 3172201
  23    2200.00    2300.00  7.540581758639054E-08  1.048175861821497E-09 2649526	  23    2200.00    2300.00  7.540581758639054E-08  1.048175861821497E-09 2649526	  23    2200.00    2300.00  6.242921312497647E-08  8.638302766206238E-10 2649526	  23    2200.00    2300.00  6.242921312497647E-08  8.638302766206238E-10 2649526	  23    2200.00    2300.00  9.280800306415834E-08  1.297747600721246E-09 2649526	  23    2200.00    2300.00  9.280800306415834E-08  1.297747600721246E-09 2649526	  23    2200.00    2300.00  7.540581758639054E-08  1.048175861821497E-09 2649526
  24    2300.00    2400.00  5.326096628240834E-08  7.523890630363312E-10 2220230	  24    2300.00    2400.00  5.326096628240834E-08  7.523890630363312E-10 2220230	  24    2300.00    2400.00  4.399643701740529E-08  6.212613312311812E-10 2220230	  24    2300.00    2400.00  4.399643701740529E-08  6.212613312311812E-10 2220230	  24    2300.00    2400.00  6.571809669735108E-08  9.292729881389318E-10 2220230	  24    2300.00    2400.00  6.571809669735108E-08  9.292729881389318E-10 2220230	  24    2300.00    2400.00  5.326096628240834E-08  7.523890630363312E-10 2220230
  25    2400.00    2500.00  3.751480349162133E-08  5.741493819586500E-10 1865291	  25    2400.00    2500.00  3.751480349162133E-08  5.741493819586500E-10 1865291	  25    2400.00    2500.00  3.088659744452045E-08  4.717604895649899E-10 1865291	  25    2400.00    2500.00  3.088659744452045E-08  4.717604895649899E-10 1865291	  25    2400.00    2500.00  4.645923443983652E-08  7.130303751321344E-10 1865291	  25    2400.00    2500.00  4.645923443983652E-08  7.130303751321344E-10 1865291	  25    2400.00    2500.00  3.751480349162133E-08  5.741493819586500E-10 1865291
  26    2500.00    2600.00  2.689156112546843E-08  4.804815230977795E-10 1574977	  26    2500.00    2600.00  2.689156112546843E-08  4.804815230977795E-10 1574977	  26    2500.00    2600.00  2.209625149600386E-08  3.976984463234639E-10 1574977	  26    2500.00    2600.00  2.209625149600386E-08  3.976984463234639E-10 1574977	  26    2500.00    2600.00  3.337733997427719E-08  5.918449564289325E-10 1574977	  26    2500.00    2600.00  3.337733997427719E-08  5.918449564289325E-10 1574977	  26    2500.00    2600.00  2.689156112546843E-08  4.804815230977795E-10 1574977
